candidate_id,instrument_id,feature_time_utc,first_event_utc,last_event_utc,trade_count,contract_volume,signed_volume,price_open,price_last,current_volume_5s,current_signed_volume_5s,current_imbalance_5s,current_directional_impulse_ticks,current_acceleration,prior_volume_30s,prior_signed_volume_30s,prior_imbalance_30s,prior_directional_impact_efficiency,instrument_age_seconds,family,direction
flow_exhaustion_flip:1657560552000:LONG:5568,5568,2022-07-11 17:29:12+00:00,2022-07-11 17:29:11.331392243+00:00,2022-07-11 17:29:11.895998971+00:00,19,59.0,22.0,1731.7,1731.7,156.0,58.0,0.3717948717948718,2.9999999999995453,0.8780487804878049,1066.0,-337.0,-0.31613508442776733,0.04154302670622741,18551.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657633807000:LONG:5568,5568,2022-07-12 13:50:07+00:00,2022-07-12 13:50:06.665068449+00:00,2022-07-12 13:50:06.665068449+00:00,2,2.0,2.0,1725.2,1725.3,68.0,18.0,0.2647058823529412,2.9999999999995453,1.2252252252252251,333.0,-92.0,-0.27627627627627627,0.06521739130433794,5406.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657638688000:SHORT:5568,5568,2022-07-12 15:11:28+00:00,2022-07-12 15:11:27.189790957+00:00,2022-07-12 15:11:27.307033817+00:00,4,6.0,-6.0,1730.9,1730.8,53.0,-23.0,-0.4339622641509434,2.0000000000004547,1.003154574132492,317.0,83.0,0.2618296529968454,0.09638554216866922,10287.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657645338000:LONG:5568,5568,2022-07-12 17:02:18+00:00,2022-07-12 17:02:17.353048201+00:00,2022-07-12 17:02:17.353226655+00:00,3,5.0,-5.0,1726.9,1726.9,59.0,15.0,0.2542372881355932,1.0000000000013642,0.8349056603773585,424.0,-114.0,-0.2688679245283019,0.07017543859648724,16937.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657715716000:SHORT:5568,5568,2022-07-13 12:35:16+00:00,2022-07-13 12:35:15.470236249+00:00,2022-07-13 12:35:15.870732599+00:00,3,4.0,2.0,1711.8,1711.7,239.0,-57.0,-0.2384937238493724,15.0,1.6890459363957597,849.0,215.0,0.25323910482921086,-0.04186046511627273,915.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657720388000:SHORT:5568,5568,2022-07-13 13:53:08+00:00,2022-07-13 13:53:07.004473675+00:00,2022-07-13 13:53:07.852169301+00:00,16,30.0,-16.0,1727.2,1726.8,77.0,-20.0,-0.2597402597402597,5.0,1.0744186046511628,430.0,132.0,0.30697674418604654,0.09848484848484504,5587.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657723217000:SHORT:5568,5568,2022-07-13 14:40:17+00:00,2022-07-13 14:40:16.271101091+00:00,2022-07-13 14:40:16.943587283+00:00,35,118.0,-78.0,1729.9,1729.6,201.0,-131.0,-0.6517412935323383,8.000000000001819,1.1302717900656045,1067.0,326.0,0.3055295220243674,0.07668711656441718,8416.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657730567000:SHORT:5568,5568,2022-07-13 16:42:47+00:00,2022-07-13 16:42:46.097524079+00:00,2022-07-13 16:42:46.664252523+00:00,2,9.0,-5.0,1735.2,1735.1,51.0,-31.0,-0.6078431372549019,1.0000000000013642,1.125,272.0,108.0,0.39705882352941174,-0.06481481481481903,15766.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657801861000:SHORT:5568,5568,2022-07-14 12:31:01+00:00,2022-07-14 12:31:00.054572451+00:00,2022-07-14 12:31:00.996934589+00:00,10,12.0,-2.0,1709.2,1709.1,111.0,-49.0,-0.44144144144144143,1.0000000000013642,2.485074626865672,268.0,140.0,0.5223880597014925,0.06428571428572079,660.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657804862000:LONG:5568,5568,2022-07-14 13:21:02+00:00,2022-07-14 13:21:01.299118437+00:00,2022-07-14 13:21:01.919832359+00:00,5,9.0,3.0,1703.0,1703.2,51.0,33.0,0.6470588235294118,5.0,1.1167883211678833,274.0,-98.0,-0.35766423357664234,0.07142857142857607,3661.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657813850000:SHORT:5568,5568,2022-07-14 15:50:50+00:00,2022-07-14 15:50:49.085212815+00:00,2022-07-14 15:50:49.994958495+00:00,19,53.0,-29.0,1712.3,1712.0,142.0,-35.0,-0.24647887323943662,2.0000000000004547,1.4973637961335677,569.0,247.0,0.43409490333919154,0.07287449392712367,12649.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657819750000:LONG:5568,5568,2022-07-14 17:29:10+00:00,2022-07-14 17:29:09.436146801+00:00,2022-07-14 17:29:09.772881327+00:00,12,22.0,12.0,1706.2,1706.2,101.0,39.0,0.38613861386138615,4.0000000000009095,0.8134228187919462,745.0,-415.0,-0.5570469798657718,0.014457831325304493,18549.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657888354000:LONG:5568,5568,2022-07-15 12:32:34+00:00,2022-07-15 12:32:33.025019855+00:00,2022-07-15 12:32:33.997062467+00:00,11,27.0,18.0,1698.4,1698.7,146.0,59.0,0.4041095890410959,10.0,1.1317829457364341,774.0,-347.0,-0.4483204134366925,0.08357348703169636,753.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657891073000:LONG:5568,5568,2022-07-15 13:17:53+00:00,2022-07-15 13:17:52.642813853+00:00,2022-07-15 13:17:52.642813853+00:00,1,1.0,0.0,1710.2,1710.2,72.0,39.0,0.5416666666666666,1.0000000000013642,1.5319148936170213,282.0,-109.0,-0.38652482269503546,0.027522935779833203,3472.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1657893930000:SHORT:5568,5568,2022-07-15 14:05:30+00:00,2022-07-15 14:05:29.012836701+00:00,2022-07-15 14:05:29.717997381+00:00,4,5.0,-3.0,1703.4,1703.5,71.0,-17.0,-0.23943661971830985,4.0000000000009095,1.0191387559808611,418.0,131.0,0.3133971291866029,0.0,6329.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1657906159000:LONG:5568,5568,2022-07-15 17:29:19+00:00,2022-07-15 17:29:18.991980785+00:00,2022-07-15 17:29:18.995518923+00:00,5,24.0,16.0,1704.1,1704.1,112.0,56.0,0.5,3.9999999999986358,1.0434782608695652,644.0,-288.0,-0.4472049689440994,0.0069444444444460235,18558.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658147446000:SHORT:5568,5568,2022-07-18 12:30:46+00:00,2022-07-18 12:30:45.160882435+00:00,2022-07-18 12:30:45.935596379+00:00,14,37.0,-19.0,1709.7,1709.6,52.0,-30.0,-0.5769230769230769,2.0000000000004547,1.036544850498339,301.0,91.0,0.3023255813953488,-0.021978021978026976,645.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658151249000:LONG:5568,5568,2022-07-18 13:34:09+00:00,2022-07-18 13:34:08.023952621+00:00,2022-07-18 13:34:08.814327817+00:00,18,37.0,13.0,1717.6,1717.8,70.0,38.0,0.5428571428571428,7.000000000000455,1.7872340425531916,235.0,-111.0,-0.4723404255319149,0.03603603603604423,4448.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658155325000:LONG:5568,5568,2022-07-18 14:42:05+00:00,2022-07-18 14:42:04.201004217+00:00,2022-07-18 14:42:04.597485377+00:00,5,17.0,7.0,1711.2,1711.4,101.0,25.0,0.24752475247524752,1.0000000000013642,1.9868852459016393,305.0,-100.0,-0.32786885245901637,0.1,8524.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658165362000:LONG:5568,5568,2022-07-18 17:29:22+00:00,2022-07-18 17:29:21.379922921+00:00,2022-07-18 17:29:21.824944495+00:00,32,100.0,81.0,1710.1,1710.3,156.0,65.0,0.4166666666666667,2.9999999999995453,1.5145631067961165,618.0,-343.0,-0.5550161812297735,0.014577259475218658,18561.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658237664000:SHORT:5568,5568,2022-07-19 13:34:24+00:00,2022-07-19 13:34:23.181091183+00:00,2022-07-19 13:34:23.899746571+00:00,3,4.0,2.0,1710.5,1710.5,53.0,-19.0,-0.3584905660377358,2.0000000000004547,0.8857938718662952,359.0,219.0,0.6100278551532033,0.08675799086758407,4463.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658240537000:LONG:5568,5568,2022-07-19 14:22:17+00:00,2022-07-19 14:22:16.085964267+00:00,2022-07-19 14:22:16.997721807+00:00,10,22.0,16.0,1708.6,1708.7,62.0,48.0,0.7741935483870968,1.0000000000013642,0.9946524064171123,374.0,-187.0,-0.5,0.04812834224599417,7336.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658251754000:SHORT:5568,5568,2022-07-19 17:29:14+00:00,2022-07-19 17:29:13.015489081+00:00,2022-07-19 17:29:13.524185649+00:00,12,24.0,1.0,1710.9,1710.8,131.0,-33.0,-0.25190839694656486,5.0,2.2329545454545454,352.0,129.0,0.3664772727272727,0.03100775193797392,18553.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658323770000:SHORT:5568,5568,2022-07-20 13:29:30+00:00,2022-07-20 13:29:29.382135443+00:00,2022-07-20 13:29:29.973475913+00:00,7,14.0,-12.0,1711.1,1711.0,92.0,-56.0,-0.6086956521739131,4.0000000000009095,0.9049180327868852,610.0,188.0,0.3081967213114754,0.08510638297873066,4169.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658335501000:SHORT:5568,5568,2022-07-20 16:45:01+00:00,2022-07-20 16:45:00.286823695+00:00,2022-07-20 16:45:00.674541749+00:00,14,31.0,-16.0,1702.6,1702.4,68.0,-14.0,-0.20588235294117646,3.9999999999986358,1.3465346534653466,303.0,106.0,0.34983498349834985,0.06603773584906089,15900.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658408964000:LONG:5568,5568,2022-07-21 13:09:24+00:00,2022-07-21 13:09:23.130319787+00:00,2022-07-21 13:09:23.772477135+00:00,7,14.0,8.0,1701.2,1701.5,148.0,31.0,0.20945945945945946,7.999999999999545,0.8036199095022625,1105.0,-351.0,-0.3176470588235294,0.09116809116809246,2963.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658412108000:SHORT:5568,5568,2022-07-21 14:01:48+00:00,2022-07-21 14:01:47.907288597+00:00,2022-07-21 14:01:47.907478387+00:00,2,3.0,-3.0,1705.4,1705.4,65.0,-51.0,-0.7846153846153846,1.999999999998181,1.0317460317460319,378.0,97.0,0.2566137566137566,0.0927835051546251,6107.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658415094000:SHORT:5568,5568,2022-07-21 14:51:34+00:00,2022-07-21 14:51:33.123144321+00:00,2022-07-21 14:51:33.123712567+00:00,2,6.0,-2.0,1708.9,1708.8,105.0,-69.0,-0.6571428571428571,4.0000000000009095,1.403118040089087,449.0,245.0,0.5456570155902004,0.053061224489794064,9093.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658424550000:SHORT:5568,5568,2022-07-21 17:29:10+00:00,2022-07-21 17:29:09.280641915+00:00,2022-07-21 17:29:09.902267451+00:00,3,6.0,-6.0,1713.9,1713.8,65.0,-23.0,-0.35384615384615387,2.0000000000004547,1.6666666666666667,234.0,72.0,0.3076923076923077,0.06944444444444445,18549.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658497508000:SHORT:5568,5568,2022-07-22 13:45:08+00:00,2022-07-22 13:45:07.155173027+00:00,2022-07-22 13:45:07.875081723+00:00,15,45.0,-19.0,1730.2,1730.0,231.0,-62.0,-0.2683982683982684,2.9999999999995453,1.4729011689691816,941.0,287.0,0.30499468650371947,0.0940766550522664,5107.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658501167000:SHORT:5568,5568,2022-07-22 14:46:07+00:00,2022-07-22 14:46:06.180909165+00:00,2022-07-22 14:46:06.887664787+00:00,10,19.0,-3.0,1732.7,1732.6,60.0,-14.0,-0.23333333333333334,3.000000000001819,1.180327868852459,305.0,102.0,0.3344262295081967,0.07843137254903744,8766.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658756335000:LONG:5568,5568,2022-07-25 13:38:55+00:00,2022-07-25 13:38:54.415610459+00:00,2022-07-25 13:38:54.441935053+00:00,3,8.0,8.0,1717.4,1717.4,142.0,96.0,0.676056338028169,1.0000000000013642,1.0339805825242718,824.0,-262.0,-0.3179611650485437,0.06488549618320784,4734.0,flow_exhaustion_flip,LONG
flow_exhaustion_flip:1658770159000:SHORT:5568,5568,2022-07-25 17:29:19+00:00,2022-07-25 17:29:18.752551375+00:00,2022-07-25 17:29:18.820602111+00:00,6,8.0,-2.0,1718.6,1718.6,104.0,-59.0,-0.5673076923076923,3.000000000001819,2.761061946902655,226.0,70.0,0.30973451327433627,0.0,18558.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658840839000:SHORT:5568,5568,2022-07-26 13:07:19+00:00,2022-07-26 13:07:18.725119751+00:00,2022-07-26 13:07:18.725979445+00:00,4,18.0,-14.0,1716.8,1716.8,71.0,-29.0,-0.4084507042253521,1.0000000000013642,1.9189189189189189,222.0,143.0,0.6441441441441441,0.0839160839160871,2838.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658930235000:SHORT:5568,5568,2022-07-27 13:57:15+00:00,2022-07-27 13:57:14.270872879+00:00,2022-07-27 13:57:14.362430131+00:00,3,4.0,3.0,1711.6,1711.6,115.0,-70.0,-0.6086956521739131,1.0000000000013642,1.6428571428571428,420.0,198.0,0.4714285714285714,0.09595959595960055,5834.0,flow_exhaustion_flip,SHORT
flow_exhaustion_flip:1658942993000:LONG:5568,5568,2022-07-27 17:29:53+00:00,2022-07-27 17:29:52.017459707+00:00,2022-07-27 17:29:52.893702307+00:00,8,10.0,5.0,1719.6,1719.6,74.0,19.0,0.25675675675675674,3.9999999999986358,1.5205479452054795,292.0,-127.0,-0.4349315068493151,-0.007874015748042237,18592.0,flow_exhaustion_flip,LONG
