month,training_start_utc,training_cutoff_utc,training_signals,score_signals,admitted_experts,selected_signals,status
2025-04,2022-04-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,2316,39,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-05,2022-05-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,2309,88,6,5,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-06,2022-06-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,2332,73,5,3,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-07,2022-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,2318,42,7,4,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-08,2022-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,2342,89,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-09,2022-09-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,2347,88,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-10,2022-10-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,2364,90,5,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-11,2022-11-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,2386,60,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2025-12,2022-12-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,2387,63,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-01,2023-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2374,41,2,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-02,2023-02-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,2336,49,2,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-03,2023-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,2302,62,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-04,2023-04-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2277,63,3,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-05,2023-05-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2247,75,2,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2026-06,2023-06-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2274,62,1,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
