policy_id,horizon_ms,minimum_leg_move_bps,minimum_consensus_sum_bps,maximum_signed_xau_response_ratio,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__LM015__CS010__RR050__QC02,1000,0.15,0.1,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM015__CS010__RR050__QC05,1000,0.15,0.1,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS010__RR075__QC02,1000,0.15,0.1,0.75,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM015__CS010__RR075__QC05,1000,0.15,0.1,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM015__CS020__RR000__QC02,1000,0.15,0.2,0.0,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM015__CS020__RR000__QC05,1000,0.15,0.2,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,21,17,0.4473684210526316,True
H01000__LM015__CS020__RR025__QC02,1000,0.15,0.2,0.25,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS020__RR025__QC05,1000,0.15,0.2,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM015__CS020__RR050__QC02,1000,0.15,0.2,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM015__CS020__RR050__QC05,1000,0.15,0.2,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS020__RR075__QC02,1000,0.15,0.2,0.75,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM015__CS020__RR075__QC05,1000,0.15,0.2,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM015__CS030__RR000__QC02,1000,0.15,0.3,0.0,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM015__CS030__RR000__QC05,1000,0.15,0.3,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,21,17,0.4473684210526316,True
H01000__LM015__CS030__RR025__QC02,1000,0.15,0.3,0.25,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS030__RR025__QC05,1000,0.15,0.3,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM015__CS030__RR050__QC02,1000,0.15,0.3,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM015__CS030__RR050__QC05,1000,0.15,0.3,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS030__RR075__QC02,1000,0.15,0.3,0.75,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM015__CS030__RR075__QC05,1000,0.15,0.3,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM015__CS040__RR000__QC02,1000,0.15,0.4,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM015__CS040__RR000__QC05,1000,0.15,0.4,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,21,17,0.4473684210526316,True
H01000__LM015__CS040__RR025__QC02,1000,0.15,0.4,0.25,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS040__RR025__QC05,1000,0.15,0.4,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM015__CS040__RR050__QC02,1000,0.15,0.4,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM015__CS040__RR050__QC05,1000,0.15,0.4,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS040__RR075__QC02,1000,0.15,0.4,0.75,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM015__CS040__RR075__QC05,1000,0.15,0.4,0.75,5,44,44,1.0,44,1.0,21,23,0.4772727272727273,True
H01000__LM015__CS050__RR000__QC02,1000,0.15,0.5,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM015__CS050__RR000__QC05,1000,0.15,0.5,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,20,18,0.47368421052631576,True
H01000__LM015__CS050__RR025__QC02,1000,0.15,0.5,0.25,2,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS050__RR025__QC05,1000,0.15,0.5,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM015__CS050__RR050__QC02,1000,0.15,0.5,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM015__CS050__RR050__QC05,1000,0.15,0.5,0.5,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM015__CS050__RR075__QC02,1000,0.15,0.5,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM015__CS050__RR075__QC05,1000,0.15,0.5,0.75,5,44,44,1.0,44,1.0,20,24,0.45454545454545453,True
H01000__LM020__CS010__RR000__QC02,1000,0.2,0.1,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM020__CS010__RR000__QC05,1000,0.2,0.1,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,22,16,0.42105263157894735,True
H01000__LM020__CS010__RR025__QC02,1000,0.2,0.1,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS010__RR025__QC05,1000,0.2,0.1,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM020__CS010__RR050__QC02,1000,0.2,0.1,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM020__CS010__RR050__QC05,1000,0.2,0.1,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS010__RR075__QC02,1000,0.2,0.1,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS010__RR075__QC05,1000,0.2,0.1,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS020__RR000__QC02,1000,0.2,0.2,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM020__CS020__RR000__QC05,1000,0.2,0.2,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,22,16,0.42105263157894735,True
H01000__LM020__CS020__RR025__QC02,1000,0.2,0.2,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS020__RR025__QC05,1000,0.2,0.2,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM020__CS020__RR050__QC02,1000,0.2,0.2,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM020__CS020__RR050__QC05,1000,0.2,0.2,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS020__RR075__QC02,1000,0.2,0.2,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS020__RR075__QC05,1000,0.2,0.2,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS030__RR000__QC02,1000,0.2,0.3,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM020__CS030__RR000__QC05,1000,0.2,0.3,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,22,16,0.42105263157894735,True
H01000__LM020__CS030__RR025__QC02,1000,0.2,0.3,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS030__RR025__QC05,1000,0.2,0.3,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM020__CS030__RR050__QC02,1000,0.2,0.3,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM020__CS030__RR050__QC05,1000,0.2,0.3,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS030__RR075__QC02,1000,0.2,0.3,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS030__RR075__QC05,1000,0.2,0.3,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS040__RR000__QC02,1000,0.2,0.4,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM020__CS040__RR000__QC05,1000,0.2,0.4,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,22,16,0.42105263157894735,True
H01000__LM020__CS040__RR025__QC02,1000,0.2,0.4,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS040__RR025__QC05,1000,0.2,0.4,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM020__CS040__RR050__QC02,1000,0.2,0.4,0.5,2,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
H01000__LM020__CS040__RR050__QC05,1000,0.2,0.4,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS040__RR075__QC02,1000,0.2,0.4,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS040__RR075__QC05,1000,0.2,0.4,0.75,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS050__RR000__QC02,1000,0.2,0.5,0.0,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS050__RR000__QC05,1000,0.2,0.5,0.0,5,44,38,0.8636363636363636,38,0.8636363636363636,21,17,0.4473684210526316,True
H01000__LM020__CS050__RR025__QC02,1000,0.2,0.5,0.25,2,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS050__RR025__QC05,1000,0.2,0.5,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,23,20,0.46511627906976744,True
H01000__LM020__CS050__RR050__QC02,1000,0.2,0.5,0.5,2,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
H01000__LM020__CS050__RR050__QC05,1000,0.2,0.5,0.5,5,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
H01000__LM020__CS050__RR075__QC02,1000,0.2,0.5,0.75,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM020__CS050__RR075__QC05,1000,0.2,0.5,0.75,5,44,44,1.0,44,1.0,22,22,0.5,True
H01000__LM025__CS010__RR000__QC02,1000,0.25,0.1,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS010__RR000__QC05,1000,0.25,0.1,0.0,5,44,37,0.8409090909090909,37,0.8409090909090909,21,16,0.43243243243243246,True
H01000__LM025__CS010__RR025__QC02,1000,0.25,0.1,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS010__RR025__QC05,1000,0.25,0.1,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,25,18,0.4186046511627907,True
H01000__LM025__CS010__RR050__QC02,1000,0.25,0.1,0.5,2,44,44,1.0,44,1.0,28,16,0.36363636363636365,True
H01000__LM025__CS010__RR050__QC05,1000,0.25,0.1,0.5,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS010__RR075__QC02,1000,0.25,0.1,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS010__RR075__QC05,1000,0.25,0.1,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS020__RR000__QC02,1000,0.25,0.2,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS020__RR000__QC05,1000,0.25,0.2,0.0,5,44,37,0.8409090909090909,37,0.8409090909090909,21,16,0.43243243243243246,True
H01000__LM025__CS020__RR025__QC02,1000,0.25,0.2,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS020__RR025__QC05,1000,0.25,0.2,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,25,18,0.4186046511627907,True
H01000__LM025__CS020__RR050__QC02,1000,0.25,0.2,0.5,2,44,44,1.0,44,1.0,28,16,0.36363636363636365,True
H01000__LM025__CS020__RR050__QC05,1000,0.25,0.2,0.5,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS020__RR075__QC02,1000,0.25,0.2,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS020__RR075__QC05,1000,0.25,0.2,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS030__RR000__QC02,1000,0.25,0.3,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS030__RR000__QC05,1000,0.25,0.3,0.0,5,44,37,0.8409090909090909,37,0.8409090909090909,21,16,0.43243243243243246,True
H01000__LM025__CS030__RR025__QC02,1000,0.25,0.3,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS030__RR025__QC05,1000,0.25,0.3,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,25,18,0.4186046511627907,True
H01000__LM025__CS030__RR050__QC02,1000,0.25,0.3,0.5,2,44,44,1.0,44,1.0,28,16,0.36363636363636365,True
