prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes,variant
149,2021-09-13 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2811,2021-09-13 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
152,2021-09-15 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2816,2021-09-15 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
153,2021-09-15 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2819,2021-09-15 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
156,2021-10-14 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2900,2021-10-14 00:10:00+00:00,1,10.0,MACRO_SURPRISE_CARRY
157,2021-10-14 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2901,2021-10-14 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
158,2021-10-14 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2903,2021-10-14 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
160,2021-11-08 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2968,2021-11-08 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
161,2021-11-08 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2970,2021-11-08 00:10:00+00:00,3,5.0,MACRO_SURPRISE_CARRY
162,2021-11-08 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2971,2021-11-08 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
164,2021-11-11 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2980,2021-11-11 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
165,2021-11-11 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2981,2021-11-11 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
166,2021-11-11 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,2983,2021-11-11 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
172,2021-12-13 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3068,2021-12-13 00:05:00+00:00,1,5.0,MACRO_SURPRISE_CARRY
173,2021-12-13 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3070,2021-12-13 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
174,2021-12-13 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3071,2021-12-13 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
180,2021-12-16 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3080,2021-12-16 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
184,2021-12-17 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3084,2021-12-17 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
185,2021-12-17 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3086,2021-12-17 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
186,2021-12-17 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3087,2021-12-17 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
192,2022-01-13 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3161,2022-01-13 00:10:00+00:00,2,10.0,MACRO_SURPRISE_CARRY
193,2022-01-13 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3162,2022-01-13 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
194,2022-01-13 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3163,2022-01-13 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
196,2022-02-07 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3228,2022-02-07 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
197,2022-02-07 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3231,2022-02-07 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
200,2022-02-11 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3244,2022-02-11 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
201,2022-02-11 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3246,2022-02-11 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
202,2022-02-11 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3247,2022-02-11 00:20:00+00:00,4,10.0,MACRO_SURPRISE_CARRY
