policy_id,attempt_no,timeframe,mechanic,entry_time,exit_time,direction,entry_price,exit_price,initial_stop,final_stop,initial_risk_price,risk_usd,entry_spread,entry_spread_r,exit_reason,gross_r,extra_cost_r,stress_net_r,holding_minutes,current_account_feasible
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-13 00:00:00+00:00,2016-09-13 18:40:00+00:00,LONG,1330.122,1317.5131541648386,1317.5131541648386,1317.5131541648386,12.608845835161498,12.608845835161498,0.27300000000013824,0.02165146624593032,STOP,-0.9999999999999959,0.045382601207360464,-1.0953826012073564,1120.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-14 08:00:00+00:00,2016-09-15 13:40:00+00:00,LONG,1321.14,1311.712107010299,1308.1011991090943,1311.712107010299,13.03880089090583,13.03880089090583,0.3000000000001819,0.023008250721078413,STOP,-0.7230644189280335,0.05618913081185881,-0.8292535497398924,1780.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-16 04:00:00+00:00,2016-09-21 04:20:00+00:00,SHORT,1313.978,1318.9990581492036,1327.5351792568274,1318.9990581492036,13.55717925682734,13.55717925682734,0.30399999999985994,0.022423543588299667,STOP,-0.37036156667139813,0.15156995951619448,-0.5719315261875927,7220.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-09-16 16:00:00+00:00,2016-09-21 04:20:00+00:00,SHORT,1308.418,1319.6390581492037,1321.9796896903222,1319.6390581492037,13.561689690322321,13.561689690322321,0.2820000000001528,0.020793869085604367,STOP,-0.8274085608381986,0.13861555263667388,-1.0160241134748724,6500.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-09-16 16:00:00+00:00,2016-09-21 07:35:00+00:00,SHORT,1308.418,1321.725401174071,1324.6920276283868,1321.725401174071,16.274027628386783,16.274027628386783,0.2820000000001528,0.017328224238003644,STOP,-0.8177079133661465,0.11842532091335094,-0.9861332342794974,6695.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-09-21 20:00:00+00:00,2016-09-27 12:15:00+00:00,LONG,1334.181,1330.0808391681323,1320.877034356446,1330.0808391681323,13.303965643554001,13.303965643554001,0.20199999999999818,0.01518344269761931,STOP,-0.3081908764439944,0.17190206498877625,-0.5300929414327706,8175.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-21 20:00:00+00:00,2016-09-22 16:00:00+00:00,SHORT,1333.979,1343.012,1347.282965643554,1346.392703759127,13.303965643554001,13.303965643554001,0.20199999999999818,0.01518344269761931,SIGNAL_EXIT,-0.6789704845920543,0.04447295509616257,-0.7734434396882169,1200.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-09-21 20:00:00+00:00,2016-09-27 13:50:00+00:00,LONG,1334.181,1327.822812362821,1318.2162412277353,1327.822812362821,15.964758772264801,15.964758772264801,0.20199999999999818,0.012652868914682758,STOP,-0.39826393419893075,0.14469804883351406,-0.5929619830324449,8270.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-09-22 16:00:00+00:00,2016-09-27 13:50:00+00:00,LONG,1343.012,1327.822812362821,1327.2963814288294,1327.822812362821,15.715618571170616,15.715618571170616,0.30399999999985994,0.019343813838643944,STOP,-0.9665026908353866,0.128432919686688,-1.1449356105220747,7070.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-23 08:00:00+00:00,2016-09-27 13:10:00+00:00,LONG,1335.388,1328.5708391681324,1322.9423155504503,1328.5708391681324,12.445684449549649,12.445684449549649,0.3289999999999509,0.026434865943580615,STOP,-0.5477529869491629,0.1426476164825522,-0.7404006034317151,6070.0,False
