candidate_index,signal_time_utc,entry_time_utc,side,status,prior_position_exit_utc
35,2020-04-02 23:55:00+00:00,2020-04-03 00:00:00+00:00,LONG,CLOSED,2020-04-03 07:10:00+00:00
36,2020-04-14 23:55:00+00:00,2020-04-15 00:00:00+00:00,SHORT,CLOSED,2020-04-15 07:15:00+00:00
37,2020-04-22 23:55:00+00:00,2020-04-23 00:00:00+00:00,LONG,CLOSED,2020-04-23 07:25:00+00:00
38,2020-04-30 23:55:00+00:00,2020-05-01 00:00:00+00:00,SHORT,CLOSED,2020-05-01 08:20:00+00:00
39,2020-05-13 23:55:00+00:00,2020-05-14 00:00:00+00:00,LONG,CLOSED,2020-05-14 07:00:00+00:00
40,2020-05-18 23:55:00+00:00,2020-05-19 00:00:00+00:00,SHORT,CLOSED,2020-05-19 07:15:00+00:00
41,2020-05-21 23:55:00+00:00,2020-05-22 00:00:00+00:00,LONG,CLOSED,2020-05-22 03:40:00+00:00
42,2020-05-27 23:55:00+00:00,2020-05-28 00:00:00+00:00,SHORT,CLOSED,2020-05-28 12:00:00+00:00
43,2020-05-28 23:55:00+00:00,2020-05-29 00:00:00+00:00,SHORT,CLOSED,2020-05-29 05:40:00+00:00
44,2020-06-15 23:55:00+00:00,2020-06-16 00:00:00+00:00,SHORT,CLOSED,2020-06-16 11:45:00+00:00
45,2020-06-22 23:55:00+00:00,2020-06-23 00:00:00+00:00,SHORT,CLOSED,2020-06-23 01:25:00+00:00
46,2020-07-14 23:55:00+00:00,2020-07-15 00:00:00+00:00,SHORT,CLOSED,2020-07-15 07:40:00+00:00
47,2020-08-19 23:55:00+00:00,2020-08-20 00:00:00+00:00,LONG,CLOSED,2020-08-20 08:25:00+00:00
48,2020-09-17 23:55:00+00:00,2020-09-18 00:00:00+00:00,SHORT,CLOSED,2020-09-18 12:00:00+00:00
49,2020-09-22 23:55:00+00:00,2020-09-23 00:00:00+00:00,LONG,CLOSED,2020-09-23 00:45:00+00:00
50,2020-09-23 23:55:00+00:00,2020-09-24 00:00:00+00:00,LONG,CLOSED,2020-09-24 09:30:00+00:00
51,2020-10-05 23:55:00+00:00,2020-10-06 00:00:00+00:00,SHORT,CLOSED,2020-10-06 12:00:00+00:00
52,2020-10-06 23:55:00+00:00,2020-10-07 00:00:00+00:00,LONG,CLOSED,2020-10-07 07:55:00+00:00
53,2020-10-20 23:55:00+00:00,2020-10-21 00:00:00+00:00,SHORT,CLOSED,2020-10-21 04:45:00+00:00
54,2020-11-24 23:55:00+00:00,2020-11-25 00:00:00+00:00,SHORT,CLOSED,2020-11-25 07:35:00+00:00
55,2020-12-01 23:55:00+00:00,2020-12-02 00:00:00+00:00,SHORT,CLOSED,2020-12-02 12:00:00+00:00
56,2020-12-02 23:55:00+00:00,2020-12-03 00:00:00+00:00,SHORT,CLOSED,2020-12-03 08:00:00+00:00
57,2020-12-10 23:55:00+00:00,2020-12-11 00:00:00+00:00,SHORT,CLOSED,2020-12-11 06:35:00+00:00
58,2020-12-16 23:55:00+00:00,2020-12-17 00:00:00+00:00,SHORT,CLOSED,2020-12-17 04:15:00+00:00
59,2021-01-05 23:55:00+00:00,2021-01-06 00:00:00+00:00,SHORT,CLOSED,2021-01-06 00:50:00+00:00
60,2021-01-06 23:55:00+00:00,2021-01-07 00:00:00+00:00,SHORT,CLOSED,2021-01-07 08:05:00+00:00
61,2021-02-16 23:55:00+00:00,2021-02-17 00:00:00+00:00,LONG,CLOSED,2021-02-17 08:50:00+00:00
62,2021-02-22 23:55:00+00:00,2021-02-23 00:00:00+00:00,SHORT,CLOSED,2021-02-23 12:00:00+00:00
63,2021-02-24 23:55:00+00:00,2021-02-25 00:00:00+00:00,SHORT,CLOSED,2021-02-25 07:55:00+00:00
64,2021-03-11 23:55:00+00:00,2021-03-12 00:00:00+00:00,SHORT,CLOSED,2021-03-12 06:15:00+00:00
65,2021-03-17 23:55:00+00:00,2021-03-18 00:00:00+00:00,SHORT,CLOSED,2021-03-18 07:45:00+00:00
66,2021-03-23 23:55:00+00:00,2021-03-24 00:00:00+00:00,LONG,CLOSED,2021-03-24 08:00:00+00:00
67,2021-04-01 23:55:00+00:00,2021-04-02 00:00:00+00:00,SHORT,CLOSED,2021-04-02 12:00:00+00:00
68,2021-04-05 23:55:00+00:00,2021-04-06 00:00:00+00:00,SHORT,CLOSED,2021-04-06 12:00:00+00:00
69,2021-04-28 23:55:00+00:00,2021-04-29 00:00:00+00:00,SHORT,CLOSED,2021-04-29 12:00:00+00:00
70,2021-05-12 23:55:00+00:00,2021-05-13 00:00:00+00:00,LONG,CLOSED,2021-05-13 08:45:00+00:00
71,2021-05-19 23:55:00+00:00,2021-05-20 00:00:00+00:00,LONG,CLOSED,2021-05-20 07:55:00+00:00
72,2021-05-20 23:55:00+00:00,2021-05-21 00:00:00+00:00,SHORT,CLOSED,2021-05-21 06:00:00+00:00
73,2021-05-26 23:55:00+00:00,2021-05-27 00:00:00+00:00,LONG,CLOSED,2021-05-27 12:00:00+00:00
74,2021-06-01 23:55:00+00:00,2021-06-02 00:00:00+00:00,LONG,CLOSED,2021-06-02 06:35:00+00:00
75,2021-06-30 23:55:00+00:00,2021-07-01 00:00:00+00:00,LONG,CLOSED,2021-07-01 05:15:00+00:00
76,2021-07-06 23:55:00+00:00,2021-07-07 00:00:00+00:00,LONG,CLOSED,2021-07-07 12:00:00+00:00
77,2021-07-14 23:55:00+00:00,2021-07-15 00:00:00+00:00,SHORT,CLOSED,2021-07-15 08:35:00+00:00
78,2021-08-17 23:55:00+00:00,2021-08-18 00:00:00+00:00,LONG,CLOSED,2021-08-18 12:00:00+00:00
79,2021-08-23 23:55:00+00:00,2021-08-24 00:00:00+00:00,SHORT,CLOSED,2021-08-24 12:00:00+00:00
80,2021-08-25 23:55:00+00:00,2021-08-26 00:00:00+00:00,SHORT,CLOSED,2021-08-26 12:00:00+00:00
81,2021-09-02 23:55:00+00:00,2021-09-03 00:00:00+00:00,SHORT,CLOSED,2021-09-03 01:00:00+00:00
82,2021-09-07 23:55:00+00:00,2021-09-08 00:00:00+00:00,LONG,CLOSED,2021-09-08 06:20:00+00:00
83,2021-09-22 23:55:00+00:00,2021-09-23 00:00:00+00:00,LONG,CLOSED,2021-09-23 06:25:00+00:00
84,2021-10-13 23:55:00+00:00,2021-10-14 00:00:00+00:00,SHORT,CLOSED,2021-10-14 08:15:00+00:00
85,2021-10-20 23:55:00+00:00,2021-10-21 00:00:00+00:00,SHORT,CLOSED,2021-10-21 01:40:00+00:00
86,2021-10-21 23:55:00+00:00,2021-10-22 00:00:00+00:00,LONG,CLOSED,2021-10-22 07:30:00+00:00
87,2021-11-01 23:55:00+00:00,2021-11-02 00:00:00+00:00,SHORT,CLOSED,2021-11-02 12:00:00+00:00
88,2021-11-08 23:55:00+00:00,2021-11-09 00:00:00+00:00,SHORT,CLOSED,2021-11-09 04:45:00+00:00
89,2021-11-10 23:55:00+00:00,2021-11-11 00:00:00+00:00,LONG,CLOSED,2021-11-11 08:10:00+00:00
90,2021-11-22 23:55:00+00:00,2021-11-23 00:00:00+00:00,LONG,CLOSED,2021-11-23 02:15:00+00:00
91,2021-12-14 23:55:00+00:00,2021-12-15 00:00:00+00:00,LONG,CLOSED,2021-12-15 12:00:00+00:00
92,2021-12-15 23:55:00+00:00,2021-12-16 00:00:00+00:00,SHORT,CLOSED,2021-12-16 07:50:00+00:00
93,2021-12-29 23:55:00+00:00,2021-12-30 00:00:00+00:00,SHORT,CLOSED,2021-12-30 06:15:00+00:00
94,2022-01-11 23:55:00+00:00,2022-01-12 00:00:00+00:00,SHORT,CLOSED,2022-01-12 12:00:00+00:00
95,2022-01-12 23:55:00+00:00,2022-01-13 00:00:00+00:00,SHORT,CLOSED,2022-01-13 07:30:00+00:00
96,2022-01-27 23:55:00+00:00,2022-01-28 00:00:00+00:00,LONG,CLOSED,2022-01-28 12:00:00+00:00
97,2022-01-31 23:55:00+00:00,2022-02-01 00:00:00+00:00,SHORT,CLOSED,2022-02-01 07:50:00+00:00
98,2022-02-23 23:55:00+00:00,2022-02-24 00:00:00+00:00,LONG,CLOSED,2022-02-24 00:25:00+00:00
99,2022-03-21 23:55:00+00:00,2022-03-22 00:00:00+00:00,LONG,CLOSED,2022-03-22 00:30:00+00:00
100,2022-04-04 23:55:00+00:00,2022-04-05 00:00:00+00:00,LONG,CLOSED,2022-04-05 12:00:00+00:00
101,2022-04-26 23:55:00+00:00,2022-04-27 00:00:00+00:00,LONG,CLOSED,2022-04-27 06:35:00+00:00
102,2022-05-17 23:55:00+00:00,2022-05-18 00:00:00+00:00,SHORT,CLOSED,2022-05-18 08:35:00+00:00
103,2022-05-18 23:55:00+00:00,2022-05-19 00:00:00+00:00,LONG,CLOSED,2022-05-19 10:40:00+00:00
104,2022-06-02 23:55:00+00:00,2022-06-03 00:00:00+00:00,SHORT,CLOSED,2022-06-03 12:00:00+00:00
105,2022-06-28 23:55:00+00:00,2022-06-29 00:00:00+00:00,LONG,CLOSED,2022-06-29 06:00:00+00:00
106,2022-06-29 23:55:00+00:00,2022-06-30 00:00:00+00:00,LONG,CLOSED,2022-06-30 10:00:00+00:00
107,2022-06-30 23:55:00+00:00,2022-07-01 00:00:00+00:00,SHORT,CLOSED,2022-07-01 07:15:00+00:00
108,2022-07-06 23:55:00+00:00,2022-07-07 00:00:00+00:00,LONG,CLOSED,2022-07-07 12:00:00+00:00
109,2022-07-26 23:55:00+00:00,2022-07-27 00:00:00+00:00,LONG,CLOSED,2022-07-27 12:00:00+00:00
110,2022-07-27 23:55:00+00:00,2022-07-28 00:00:00+00:00,SHORT,CLOSED,2022-07-28 09:55:00+00:00
111,2022-10-06 23:55:00+00:00,2022-10-07 00:00:00+00:00,LONG,CLOSED,2022-10-07 12:00:00+00:00
112,2022-10-17 23:55:00+00:00,2022-10-18 00:00:00+00:00,SHORT,CLOSED,2022-10-18 12:00:00+00:00
113,2022-10-19 23:55:00+00:00,2022-10-20 00:00:00+00:00,LONG,CLOSED,2022-10-20 11:00:00+00:00
114,2022-10-25 23:55:00+00:00,2022-10-26 00:00:00+00:00,SHORT,CLOSED,2022-10-26 07:20:00+00:00
115,2022-11-08 23:55:00+00:00,2022-11-09 00:00:00+00:00,SHORT,CLOSED,2022-11-09 12:00:00+00:00
116,2023-01-05 23:55:00+00:00,2023-01-06 00:00:00+00:00,LONG,CLOSED,2023-01-06 11:50:00+00:00
117,2023-01-24 23:55:00+00:00,2023-01-25 00:00:00+00:00,SHORT,CLOSED,2023-01-25 06:20:00+00:00
118,2023-02-27 23:55:00+00:00,2023-02-28 00:00:00+00:00,SHORT,CLOSED,2023-02-28 12:00:00+00:00
119,2023-02-28 23:55:00+00:00,2023-03-01 00:00:00+00:00,LONG,CLOSED,2023-03-01 06:35:00+00:00
120,2023-03-21 23:55:00+00:00,2023-03-22 00:00:00+00:00,SHORT,CLOSED,2023-03-22 09:25:00+00:00
121,2023-04-12 23:55:00+00:00,2023-04-13 00:00:00+00:00,SHORT,CLOSED,2023-04-13 08:00:00+00:00
122,2023-04-13 23:55:00+00:00,2023-04-14 00:00:00+00:00,SHORT,CLOSED,2023-04-14 02:05:00+00:00
123,2023-05-11 23:55:00+00:00,2023-05-12 00:00:00+00:00,LONG,CLOSED,2023-05-12 12:00:00+00:00
124,2023-06-08 23:55:00+00:00,2023-06-09 00:00:00+00:00,SHORT,CLOSED,2023-06-09 12:00:00+00:00
125,2023-06-22 23:55:00+00:00,2023-06-23 00:00:00+00:00,LONG,CLOSED,2023-06-23 02:05:00+00:00
126,2023-07-06 23:55:00+00:00,2023-07-07 00:00:00+00:00,SHORT,CLOSED,2023-07-07 12:00:00+00:00
127,2023-07-10 23:55:00+00:00,2023-07-11 00:00:00+00:00,SHORT,CLOSED,2023-07-11 05:00:00+00:00
128,2023-07-20 23:55:00+00:00,2023-07-21 00:00:00+00:00,LONG,CLOSED,2023-07-21 12:00:00+00:00
129,2023-08-23 23:55:00+00:00,2023-08-24 00:00:00+00:00,SHORT,CLOSED,2023-08-24 12:00:00+00:00
130,2023-08-24 23:55:00+00:00,2023-08-25 00:00:00+00:00,LONG,CLOSED,2023-08-25 04:15:00+00:00
131,2023-09-14 23:55:00+00:00,2023-09-15 00:00:00+00:00,LONG,CLOSED,2023-09-15 12:00:00+00:00
132,2023-10-05 23:55:00+00:00,2023-10-06 00:00:00+00:00,SHORT,CLOSED,2023-10-06 10:05:00+00:00
133,2023-10-12 23:55:00+00:00,2023-10-13 00:00:00+00:00,LONG,CLOSED,2023-10-13 12:00:00+00:00
134,2023-10-23 23:55:00+00:00,2023-10-24 00:00:00+00:00,SHORT,CLOSED,2023-10-24 10:50:00+00:00
135,2023-10-30 23:55:00+00:00,2023-10-31 00:00:00+00:00,SHORT,CLOSED,2023-10-31 08:30:00+00:00
136,2023-10-31 23:55:00+00:00,2023-11-01 00:00:00+00:00,LONG,CLOSED,2023-11-01 09:30:00+00:00
137,2023-11-09 23:55:00+00:00,2023-11-10 00:00:00+00:00,LONG,CLOSED,2023-11-10 12:00:00+00:00
138,2023-11-13 23:55:00+00:00,2023-11-14 00:00:00+00:00,SHORT,CLOSED,2023-11-14 09:20:00+00:00
139,2023-11-30 23:55:00+00:00,2023-12-01 00:00:00+00:00,LONG,CLOSED,2023-12-01 12:00:00+00:00
140,2023-12-06 23:55:00+00:00,2023-12-07 00:00:00+00:00,LONG,CLOSED,2023-12-07 07:00:00+00:00
141,2024-02-29 23:55:00+00:00,2024-03-01 00:00:00+00:00,LONG,CLOSED,2024-03-01 12:00:00+00:00
142,2024-04-03 23:55:00+00:00,2024-04-04 00:00:00+00:00,SHORT,CLOSED,2024-04-04 07:35:00+00:00
143,2024-04-08 23:55:00+00:00,2024-04-09 00:00:00+00:00,SHORT,CLOSED,2024-04-09 11:10:00+00:00
144,2024-04-23 23:55:00+00:00,2024-04-24 00:00:00+00:00,SHORT,CLOSED,2024-04-24 12:00:00+00:00
145,2024-04-30 23:55:00+00:00,2024-05-01 00:00:00+00:00,LONG,CLOSED,2024-05-01 12:00:00+00:00
146,2024-05-09 23:55:00+00:00,2024-05-10 00:00:00+00:00,SHORT,CLOSED,2024-05-10 12:00:00+00:00
147,2024-05-28 23:55:00+00:00,2024-05-29 00:00:00+00:00,LONG,CLOSED,2024-05-29 08:00:00+00:00
148,2024-06-13 23:55:00+00:00,2024-06-14 00:00:00+00:00,LONG,CLOSED,2024-06-14 06:35:00+00:00
149,2024-06-17 23:55:00+00:00,2024-06-18 00:00:00+00:00,SHORT,CLOSED,2024-06-18 05:30:00+00:00
150,2024-07-02 23:55:00+00:00,2024-07-03 00:00:00+00:00,SHORT,CLOSED,2024-07-03 07:25:00+00:00
151,2024-09-12 23:55:00+00:00,2024-09-13 00:00:00+00:00,SHORT,CLOSED,2024-09-13 09:25:00+00:00
152,2024-09-19 23:55:00+00:00,2024-09-20 00:00:00+00:00,SHORT,CLOSED,2024-09-20 12:00:00+00:00
153,2024-09-24 23:55:00+00:00,2024-09-25 00:00:00+00:00,SHORT,CLOSED,2024-09-25 12:00:00+00:00
154,2024-09-25 23:55:00+00:00,2024-09-26 00:00:00+00:00,LONG,CLOSED,2024-09-26 12:00:00+00:00
155,2024-09-26 23:55:00+00:00,2024-09-27 00:00:00+00:00,SHORT,CLOSED,2024-09-27 06:45:00+00:00
156,2024-10-01 23:55:00+00:00,2024-10-02 00:00:00+00:00,LONG,CLOSED,2024-10-02 12:00:00+00:00
157,2024-10-16 23:55:00+00:00,2024-10-17 00:00:00+00:00,LONG,CLOSED,2024-10-17 12:00:00+00:00
158,2024-11-05 23:55:00+00:00,2024-11-06 00:00:00+00:00,SHORT,CLOSED,2024-11-06 00:10:00+00:00
159,2024-11-21 23:55:00+00:00,2024-11-22 00:00:00+00:00,LONG,CLOSED,2024-11-22 08:55:00+00:00
160,2025-01-07 23:55:00+00:00,2025-01-08 00:00:00+00:00,LONG,CLOSED,2025-01-08 08:55:00+00:00
161,2025-01-30 23:55:00+00:00,2025-01-31 00:00:00+00:00,LONG,CLOSED,2025-01-31 01:25:00+00:00
162,2025-02-04 23:55:00+00:00,2025-02-05 00:00:00+00:00,SHORT,CLOSED,2025-02-05 07:25:00+00:00
163,2025-02-13 23:55:00+00:00,2025-02-14 00:00:00+00:00,SHORT,CLOSED,2025-02-14 08:40:00+00:00
164,2025-02-27 23:55:00+00:00,2025-02-28 00:00:00+00:00,LONG,CLOSED,2025-02-28 12:00:00+00:00
165,2025-03-17 23:55:00+00:00,2025-03-18 00:00:00+00:00,SHORT,CLOSED,2025-03-18 07:55:00+00:00
166,2025-04-30 23:55:00+00:00,2025-05-01 00:00:00+00:00,LONG,CLOSED,2025-05-01 03:30:00+00:00
167,2025-05-07 23:55:00+00:00,2025-05-08 00:00:00+00:00,LONG,CLOSED,2025-05-08 06:20:00+00:00
168,2025-05-20 23:55:00+00:00,2025-05-21 00:00:00+00:00,SHORT,CLOSED,2025-05-21 02:00:00+00:00
169,2025-06-11 23:55:00+00:00,2025-06-12 00:00:00+00:00,SHORT,CLOSED,2025-06-12 08:15:00+00:00
170,2025-06-17 23:55:00+00:00,2025-06-18 00:00:00+00:00,LONG,CLOSED,2025-06-18 07:05:00+00:00
171,2025-06-23 23:55:00+00:00,2025-06-24 00:00:00+00:00,SHORT,CLOSED,2025-06-24 12:00:00+00:00
172,2025-08-12 23:55:00+00:00,2025-08-13 00:00:00+00:00,SHORT,CLOSED,2025-08-13 07:05:00+00:00
173,2025-10-14 23:55:00+00:00,2025-10-15 00:00:00+00:00,SHORT,CLOSED,2025-10-15 01:20:00+00:00
174,2025-10-23 23:55:00+00:00,2025-10-24 00:00:00+00:00,SHORT,CLOSED,2025-10-24 05:25:00+00:00
175,2025-12-02 23:55:00+00:00,2025-12-03 00:00:00+00:00,SHORT,CLOSED,2025-12-03 01:25:00+00:00
176,2025-12-04 23:55:00+00:00,2025-12-05 00:00:00+00:00,LONG,CLOSED,2025-12-05 06:35:00+00:00
177,2025-12-10 23:55:00+00:00,2025-12-11 00:00:00+00:00,SHORT,CLOSED,2025-12-11 12:00:00+00:00
178,2025-12-22 23:55:00+00:00,2025-12-23 00:00:00+00:00,SHORT,CLOSED,2025-12-23 02:45:00+00:00
179,2025-12-23 23:55:00+00:00,2025-12-24 00:00:00+00:00,SHORT,CLOSED,2025-12-24 01:25:00+00:00
180,2025-12-30 23:55:00+00:00,2025-12-31 00:00:00+00:00,LONG,CLOSED,2025-12-31 04:35:00+00:00
181,2026-01-07 23:55:00+00:00,2026-01-08 00:00:00+00:00,LONG,CLOSED,2026-01-08 08:40:00+00:00
182,2026-01-13 23:55:00+00:00,2026-01-14 00:00:00+00:00,LONG,CLOSED,2026-01-14 12:00:00+00:00
183,2026-01-21 23:55:00+00:00,2026-01-22 00:00:00+00:00,LONG,CLOSED,2026-01-22 11:30:00+00:00
184,2026-01-22 23:55:00+00:00,2026-01-23 00:00:00+00:00,SHORT,CLOSED,2026-01-23 12:00:00+00:00
185,2026-02-05 23:55:00+00:00,2026-02-06 00:00:00+00:00,LONG,CLOSED,2026-02-06 04:35:00+00:00
186,2026-02-18 23:55:00+00:00,2026-02-19 00:00:00+00:00,LONG,CLOSED,2026-02-19 12:00:00+00:00
187,2026-02-25 23:55:00+00:00,2026-02-26 00:00:00+00:00,SHORT,CLOSED,2026-02-26 01:20:00+00:00
188,2026-03-30 23:55:00+00:00,2026-03-31 00:00:00+00:00,LONG,CLOSED,2026-03-31 01:25:00+00:00
189,2026-03-31 23:55:00+00:00,2026-04-01 00:00:00+00:00,SHORT,CLOSED,2026-04-01 08:30:00+00:00
190,2026-04-13 23:55:00+00:00,2026-04-14 00:00:00+00:00,SHORT,CLOSED,2026-04-14 07:00:00+00:00
191,2026-04-30 23:55:00+00:00,2026-05-01 00:00:00+00:00,SHORT,CLOSED,2026-05-01 11:10:00+00:00
192,2026-05-27 23:55:00+00:00,2026-05-28 00:00:00+00:00,LONG,CLOSED,2026-05-28 03:10:00+00:00
193,2026-05-28 23:55:00+00:00,2026-05-29 00:00:00+00:00,SHORT,CLOSED,2026-05-29 12:00:00+00:00
194,2026-06-02 23:55:00+00:00,2026-06-03 00:00:00+00:00,LONG,CLOSED,2026-06-03 08:15:00+00:00
195,2026-06-11 23:55:00+00:00,2026-06-12 00:00:00+00:00,SHORT,CLOSED,2026-06-12 12:00:00+00:00
