trade_index,entry_time_utc,side,oracle_match_exact,oracle_match_15m,oracle_entry_time_utc,absolute_minutes
45,2020-06-23 00:00:00+00:00,SHORT,True,True,2020-06-23 00:00:00+00:00,0.0
46,2020-07-15 00:00:00+00:00,SHORT,False,True,2020-07-15 00:10:00+00:00,10.0
47,2020-08-20 00:00:00+00:00,LONG,False,True,2020-08-20 00:15:00+00:00,15.0
48,2020-09-18 00:00:00+00:00,SHORT,False,True,2020-09-18 00:15:00+00:00,15.0
49,2020-09-23 00:00:00+00:00,LONG,False,False,,
50,2020-09-24 00:00:00+00:00,LONG,True,True,2020-09-24 00:00:00+00:00,0.0
51,2020-10-06 00:00:00+00:00,SHORT,False,False,,
52,2020-10-07 00:00:00+00:00,LONG,False,False,,
53,2020-10-21 00:00:00+00:00,SHORT,False,False,,
54,2020-11-25 00:00:00+00:00,SHORT,False,False,,
55,2020-12-02 00:00:00+00:00,SHORT,True,True,2020-12-02 00:00:00+00:00,0.0
56,2020-12-03 00:00:00+00:00,SHORT,True,True,2020-12-03 00:00:00+00:00,0.0
57,2020-12-11 00:00:00+00:00,SHORT,False,False,,
58,2020-12-17 00:00:00+00:00,SHORT,False,False,,
59,2021-01-06 00:00:00+00:00,SHORT,False,False,,
60,2021-01-07 00:00:00+00:00,SHORT,False,False,,
61,2021-02-17 00:00:00+00:00,LONG,False,False,,
62,2021-02-23 00:00:00+00:00,SHORT,False,False,,
63,2021-02-25 00:00:00+00:00,SHORT,True,True,2021-02-25 00:00:00+00:00,0.0
64,2021-03-12 00:00:00+00:00,SHORT,False,False,,
65,2021-03-18 00:00:00+00:00,SHORT,False,False,,
66,2021-03-24 00:00:00+00:00,LONG,True,True,2021-03-24 00:00:00+00:00,0.0
67,2021-04-02 00:00:00+00:00,SHORT,False,True,2021-04-02 00:10:00+00:00,10.0
68,2021-04-06 00:00:00+00:00,SHORT,False,True,2021-04-06 00:05:00+00:00,5.0
69,2021-04-29 00:00:00+00:00,SHORT,False,False,,
70,2021-05-13 00:00:00+00:00,LONG,False,True,2021-05-13 00:05:00+00:00,5.0
71,2021-05-20 00:00:00+00:00,LONG,True,True,2021-05-20 00:00:00+00:00,0.0
72,2021-05-21 00:00:00+00:00,SHORT,False,True,2021-05-21 00:15:00+00:00,15.0
73,2021-05-27 00:00:00+00:00,LONG,False,False,,
74,2021-06-02 00:00:00+00:00,LONG,True,True,2021-06-02 00:00:00+00:00,0.0
75,2021-07-01 00:00:00+00:00,LONG,False,False,,
76,2021-07-07 00:00:00+00:00,LONG,False,False,,
77,2021-07-15 00:00:00+00:00,SHORT,False,True,2021-07-15 00:05:00+00:00,5.0
78,2021-08-18 00:00:00+00:00,LONG,True,True,2021-08-18 00:00:00+00:00,0.0
79,2021-08-24 00:00:00+00:00,SHORT,False,True,2021-08-24 00:05:00+00:00,5.0
80,2021-08-26 00:00:00+00:00,SHORT,True,True,2021-08-26 00:00:00+00:00,0.0
81,2021-09-03 00:00:00+00:00,SHORT,False,False,,
82,2021-09-08 00:00:00+00:00,LONG,True,True,2021-09-08 00:00:00+00:00,0.0
83,2021-09-23 00:00:00+00:00,LONG,False,False,,
84,2021-10-14 00:00:00+00:00,SHORT,False,True,2021-10-14 00:10:00+00:00,10.0
85,2021-10-21 00:00:00+00:00,SHORT,False,False,,
86,2021-10-22 00:00:00+00:00,LONG,False,False,,
87,2021-11-02 00:00:00+00:00,SHORT,False,False,,
88,2021-11-09 00:00:00+00:00,SHORT,True,True,2021-11-09 00:00:00+00:00,0.0
89,2021-11-11 00:00:00+00:00,LONG,False,False,,
90,2021-11-23 00:00:00+00:00,LONG,False,False,,
91,2021-12-15 00:00:00+00:00,LONG,True,True,2021-12-15 00:00:00+00:00,0.0
92,2021-12-16 00:00:00+00:00,SHORT,True,True,2021-12-16 00:00:00+00:00,0.0
93,2021-12-30 00:00:00+00:00,SHORT,True,True,2021-12-30 00:00:00+00:00,0.0
94,2022-01-12 00:00:00+00:00,SHORT,False,True,2022-01-12 00:05:00+00:00,5.0
95,2022-01-13 00:00:00+00:00,SHORT,False,True,2022-01-13 00:10:00+00:00,10.0
96,2022-01-28 00:00:00+00:00,LONG,False,True,2022-01-28 00:15:00+00:00,15.0
97,2022-02-01 00:00:00+00:00,SHORT,True,True,2022-02-01 00:00:00+00:00,0.0
98,2022-02-24 00:00:00+00:00,LONG,False,False,,
99,2022-03-22 00:00:00+00:00,LONG,False,False,,
100,2022-04-05 00:00:00+00:00,LONG,False,False,,
101,2022-04-27 00:00:00+00:00,LONG,False,False,,
102,2022-05-18 00:00:00+00:00,SHORT,False,True,2022-05-18 00:10:00+00:00,10.0
103,2022-05-19 00:00:00+00:00,LONG,False,True,2022-05-19 00:05:00+00:00,5.0
104,2022-06-03 00:00:00+00:00,SHORT,False,False,,
105,2022-06-29 00:00:00+00:00,LONG,True,True,2022-06-29 00:00:00+00:00,0.0
106,2022-06-30 00:00:00+00:00,LONG,False,False,,
107,2022-07-01 00:00:00+00:00,SHORT,True,True,2022-07-01 00:00:00+00:00,0.0
108,2022-07-07 00:00:00+00:00,LONG,False,True,2022-07-07 00:10:00+00:00,10.0
109,2022-07-27 00:00:00+00:00,LONG,True,True,2022-07-27 00:00:00+00:00,0.0
110,2022-07-28 00:00:00+00:00,SHORT,False,True,2022-07-28 00:05:00+00:00,5.0
111,2022-10-07 00:00:00+00:00,LONG,True,True,2022-10-07 00:00:00+00:00,0.0
112,2022-10-18 00:00:00+00:00,SHORT,False,True,2022-10-18 00:05:00+00:00,5.0
113,2022-10-20 00:00:00+00:00,LONG,False,True,2022-10-20 00:05:00+00:00,5.0
114,2022-10-26 00:00:00+00:00,SHORT,False,True,2022-10-26 00:05:00+00:00,5.0
115,2022-11-09 00:00:00+00:00,SHORT,True,True,2022-11-09 00:00:00+00:00,0.0
116,2023-01-06 00:00:00+00:00,LONG,True,True,2023-01-06 00:00:00+00:00,0.0
117,2023-01-25 00:00:00+00:00,SHORT,True,True,2023-01-25 00:00:00+00:00,0.0
118,2023-02-28 00:00:00+00:00,SHORT,False,True,2023-02-28 00:10:00+00:00,10.0
119,2023-03-01 00:00:00+00:00,LONG,False,False,,
120,2023-03-22 00:00:00+00:00,SHORT,False,True,2023-03-22 00:05:00+00:00,5.0
121,2023-04-13 00:00:00+00:00,SHORT,True,True,2023-04-13 00:00:00+00:00,0.0
122,2023-04-14 00:00:00+00:00,SHORT,False,False,,
123,2023-05-12 00:00:00+00:00,LONG,True,True,2023-05-12 00:00:00+00:00,0.0
124,2023-06-09 00:00:00+00:00,SHORT,True,True,2023-06-09 00:00:00+00:00,0.0
125,2023-06-23 00:00:00+00:00,LONG,False,False,,
126,2023-07-07 00:00:00+00:00,SHORT,True,True,2023-07-07 00:00:00+00:00,0.0
127,2023-07-11 00:00:00+00:00,SHORT,False,False,,
128,2023-07-21 00:00:00+00:00,LONG,False,True,2023-07-21 00:05:00+00:00,5.0
129,2023-08-24 00:00:00+00:00,SHORT,False,False,,
130,2023-08-25 00:00:00+00:00,LONG,False,False,,
131,2023-09-15 00:00:00+00:00,LONG,True,True,2023-09-15 00:00:00+00:00,0.0
132,2023-10-06 00:00:00+00:00,SHORT,True,True,2023-10-06 00:00:00+00:00,0.0
133,2023-10-13 00:00:00+00:00,LONG,True,True,2023-10-13 00:00:00+00:00,0.0
134,2023-10-24 00:00:00+00:00,SHORT,False,False,,
135,2023-10-31 00:00:00+00:00,SHORT,True,True,2023-10-31 00:00:00+00:00,0.0
136,2023-11-01 00:00:00+00:00,LONG,False,False,,
137,2023-11-10 00:00:00+00:00,LONG,False,True,2023-11-10 00:05:00+00:00,5.0
138,2023-11-14 00:00:00+00:00,SHORT,True,True,2023-11-14 00:00:00+00:00,0.0
139,2023-12-01 00:00:00+00:00,LONG,True,True,2023-12-01 00:00:00+00:00,0.0
140,2023-12-07 00:00:00+00:00,LONG,False,False,,
141,2024-03-01 00:00:00+00:00,LONG,True,True,2024-03-01 00:00:00+00:00,0.0
142,2024-04-04 00:00:00+00:00,SHORT,False,False,,
143,2024-04-09 00:00:00+00:00,SHORT,True,True,2024-04-09 00:00:00+00:00,0.0
144,2024-04-24 00:00:00+00:00,SHORT,False,False,,
145,2024-05-01 00:00:00+00:00,LONG,False,False,,
146,2024-05-10 00:00:00+00:00,SHORT,True,True,2024-05-10 00:00:00+00:00,0.0
147,2024-05-29 00:00:00+00:00,LONG,False,True,2024-05-29 00:05:00+00:00,5.0
148,2024-06-14 00:00:00+00:00,LONG,True,True,2024-06-14 00:00:00+00:00,0.0
149,2024-06-18 00:00:00+00:00,SHORT,True,True,2024-06-18 00:00:00+00:00,0.0
150,2024-07-03 00:00:00+00:00,SHORT,False,True,2024-07-03 00:10:00+00:00,10.0
151,2024-09-13 00:00:00+00:00,SHORT,False,False,,
152,2024-09-20 00:00:00+00:00,SHORT,False,False,,
153,2024-09-25 00:00:00+00:00,SHORT,False,False,,
154,2024-09-26 00:00:00+00:00,LONG,True,True,2024-09-26 00:00:00+00:00,0.0
155,2024-09-27 00:00:00+00:00,SHORT,True,True,2024-09-27 00:00:00+00:00,0.0
156,2024-10-02 00:00:00+00:00,LONG,True,True,2024-10-02 00:00:00+00:00,0.0
157,2024-10-17 00:00:00+00:00,LONG,False,False,,
158,2024-11-06 00:00:00+00:00,SHORT,True,True,2024-11-06 00:00:00+00:00,0.0
159,2024-11-22 00:00:00+00:00,LONG,True,True,2024-11-22 00:00:00+00:00,0.0
160,2025-01-08 00:00:00+00:00,LONG,True,True,2025-01-08 00:00:00+00:00,0.0
161,2025-01-31 00:00:00+00:00,LONG,False,False,,
162,2025-02-05 00:00:00+00:00,SHORT,False,False,,
163,2025-02-14 00:00:00+00:00,SHORT,False,False,,
164,2025-02-28 00:00:00+00:00,LONG,True,True,2025-02-28 00:00:00+00:00,0.0
165,2025-03-18 00:00:00+00:00,SHORT,True,True,2025-03-18 00:00:00+00:00,0.0
166,2025-05-01 00:00:00+00:00,LONG,True,True,2025-05-01 00:00:00+00:00,0.0
167,2025-05-08 00:00:00+00:00,LONG,True,True,2025-05-08 00:00:00+00:00,0.0
168,2025-05-21 00:00:00+00:00,SHORT,False,False,,
169,2025-06-12 00:00:00+00:00,SHORT,True,True,2025-06-12 00:00:00+00:00,0.0
170,2025-06-18 00:00:00+00:00,LONG,True,True,2025-06-18 00:00:00+00:00,0.0
171,2025-06-24 00:00:00+00:00,SHORT,False,False,,
172,2025-08-13 00:00:00+00:00,SHORT,True,True,2025-08-13 00:00:00+00:00,0.0
173,2025-10-15 00:00:00+00:00,SHORT,False,False,,
174,2025-10-24 00:00:00+00:00,SHORT,False,True,2025-10-24 00:05:00+00:00,5.0
175,2025-12-03 00:00:00+00:00,SHORT,False,False,,
176,2025-12-05 00:00:00+00:00,LONG,True,True,2025-12-05 00:00:00+00:00,0.0
177,2025-12-11 00:00:00+00:00,SHORT,False,False,,
178,2025-12-23 00:00:00+00:00,SHORT,False,False,,
179,2025-12-24 00:00:00+00:00,SHORT,False,True,2025-12-24 00:05:00+00:00,5.0
180,2025-12-31 00:00:00+00:00,LONG,False,False,,
181,2026-01-08 00:00:00+00:00,LONG,False,False,,
182,2026-01-14 00:00:00+00:00,LONG,False,True,2026-01-14 00:15:00+00:00,15.0
183,2026-01-22 00:00:00+00:00,LONG,True,True,2026-01-22 00:00:00+00:00,0.0
184,2026-01-23 00:00:00+00:00,SHORT,True,True,2026-01-23 00:00:00+00:00,0.0
185,2026-02-06 00:00:00+00:00,LONG,False,False,,
186,2026-02-19 00:00:00+00:00,LONG,False,True,2026-02-19 00:05:00+00:00,5.0
187,2026-02-26 00:00:00+00:00,SHORT,False,False,,
188,2026-03-31 00:00:00+00:00,LONG,False,False,,
189,2026-04-01 00:00:00+00:00,SHORT,False,False,,
190,2026-04-14 00:00:00+00:00,SHORT,True,True,2026-04-14 00:00:00+00:00,0.0
191,2026-05-01 00:00:00+00:00,SHORT,False,False,,
192,2026-05-28 00:00:00+00:00,LONG,False,False,,
193,2026-05-29 00:00:00+00:00,SHORT,False,True,2026-05-29 00:05:00+00:00,5.0
194,2026-06-03 00:00:00+00:00,LONG,True,True,2026-06-03 00:00:00+00:00,0.0
195,2026-06-12 00:00:00+00:00,SHORT,True,True,2026-06-12 00:00:00+00:00,0.0
