symbol,month,basis,timeframe,bar_count,first_bar_utc,last_bar_utc,path,bytes,sha256
EURUSD,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/EURUSD/mid/M15/year=2016/month=07/bars.parquet,69826,6a4207c7c140173f0a5dd0464b2f6d2f0f0dfd3e4585b08cc45aff67d5716c7c
EURUSD,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2016/month=07/bars.parquet,22410,4b87d2165caadaef810f84766949651aab0d22217700606ab9895b7ecf3db193
EURUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/EURUSD/mid/H4/year=2016/month=07/bars.parquet,8168,cbd999c943c3ec40f91fdd4cb94167ded25e34e83ce2c83590253869821907af
EURUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/EURUSD/mid/D1/year=2016/month=07/bars.parquet,3658,6ad4e8f4adb9eec4ccede62dbd76acf7b2e6353f49db17048dd9e4687a905636
GBPUSD,2016-07,Bid,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/GBPUSD/bid/M1/year=2016/month=07/bars.parquet,619047,0b1c16efe1e8b49b35d3d1fbb46c8269921491564787d8098359746e423f1605
GBPUSD,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/GBPUSD/bid/M5/year=2016/month=07/bars.parquet,164111,e4f858bb491de43d25cdecc3889bb6c60af2b3a62ce4c63e4158634cdfe3e25b
GBPUSD,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/GBPUSD/bid/M15/year=2016/month=07/bars.parquet,68851,da134a27aae13b9430f6186a8fdcf622fa658bb47a636d7b87e44afb91f45bd5
GBPUSD,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/GBPUSD/bid/H1/year=2016/month=07/bars.parquet,22346,171662c1051976881af4dbdc2987730a2134e08bfc61303b3f0e087f208b1501
GBPUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/GBPUSD/bid/H4/year=2016/month=07/bars.parquet,8224,96319510d44d0408ddebda10087569d2b47173c035b6ec43d8c468715a1d7fd4
GBPUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/GBPUSD/bid/D1/year=2016/month=07/bars.parquet,3656,5107c63793c4f8b2d39d475c0da8a04f118e8d2664167141ff88d692d58a2d81
GBPUSD,2016-07,Ask,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/GBPUSD/ask/M1/year=2016/month=07/bars.parquet,619329,418adfaa9e6500f27aa1bcf832650c6cb2fdb9ef72ab0eb28d5e93a8cf94a874
GBPUSD,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/GBPUSD/ask/M5/year=2016/month=07/bars.parquet,164305,5aa8643241997fcf3fe2dc614885d2043eedc7e0cb9db0dda8b124e595cc6039
GBPUSD,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/GBPUSD/ask/M15/year=2016/month=07/bars.parquet,69223,29f31840306bd2ec3df32b4930a65dbb26629140d20fcc07f453479ebbb9e606
GBPUSD,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/GBPUSD/ask/H1/year=2016/month=07/bars.parquet,22264,d09f52564b88670321b353a74146eb42e81f86329c4c6ad976048d11888bdd58
GBPUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/GBPUSD/ask/H4/year=2016/month=07/bars.parquet,8208,2774042ffe71a1be63775889c98184d5f409b57b8dfcffc88b4e4cfd50a6d2ec
GBPUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/GBPUSD/ask/D1/year=2016/month=07/bars.parquet,3662,801324a4b89bd6b00c755f7e872ca50610538db0e591ff4071a0c2c1a87393ad
GBPUSD,2016-07,Mid,M1,30210,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/GBPUSD/mid/M1/year=2016/month=07/bars.parquet,690026,8d6bf07a0e8f6fecb61bd6eaa5753b607287847aad65a3a046800b9b3844c4a0
GBPUSD,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/GBPUSD/mid/M5/year=2016/month=07/bars.parquet,179777,9cd9f58d823622e689802f3cfbaa2b73d250c9f8afe78e64631dbce9b9a3f841
GBPUSD,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/GBPUSD/mid/M15/year=2016/month=07/bars.parquet,72912,a48e5f1022d6331a8e3b03f9885ee7b8ea41fc06d2876da13d53b6a06227205e
GBPUSD,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/GBPUSD/mid/H1/year=2016/month=07/bars.parquet,22733,374ad5359f2325b6fbde37adde6f53ebe490ee62cff3021b52c49eeee9bbb868
GBPUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/GBPUSD/mid/H4/year=2016/month=07/bars.parquet,8244,7257bec35c3b693cb0cdb833ccfd9a579dcfc432f531dafb752e943832d13885
GBPUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/GBPUSD/mid/D1/year=2016/month=07/bars.parquet,3678,65212c5f641f647e847703ae7559f7a73fda41a96c3f81b82544f1f1224a4618
USDJPY,2016-07,Bid,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/USDJPY/bid/M1/year=2016/month=07/bars.parquet,577753,841b6d54ee076a72a56e5385a1902b7c20b70fa0bcead3e7e9562dc31936a9c1
USDJPY,2016-07,Bid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/USDJPY/bid/M5/year=2016/month=07/bars.parquet,134180,6c095a5a3217499e82e37a480101ba46719fb436bf2a6dc31caaaa9886d3b54e
USDJPY,2016-07,Bid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/USDJPY/bid/M15/year=2016/month=07/bars.parquet,50764,4e6b68b6e2317665b29e2aedffa4e2cdca61b66986920efd4e7e2c601b0399a0
USDJPY,2016-07,Bid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/USDJPY/bid/H1/year=2016/month=07/bars.parquet,16860,ea958247c1f4f1b48fdec73bfa84d209bd2ba66b3b295db670e518d27fdec03b
USDJPY,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/USDJPY/bid/H4/year=2016/month=07/bars.parquet,7265,2c842c8b922828838c59e76b561d3c9d0d082b678382e9212e08338d9f2b03fe
USDJPY,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/USDJPY/bid/D1/year=2016/month=07/bars.parquet,3640,97d69f6e1600fa1a03985d0a9cfcb37f9ac093cfc30db162235ea86c8d3769e4
USDJPY,2016-07,Ask,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/USDJPY/ask/M1/year=2016/month=07/bars.parquet,577541,aeedadcd99e3d3755976b715f25e9673df9b2404eee5f09eada0d651cccafd8e
USDJPY,2016-07,Ask,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/USDJPY/ask/M5/year=2016/month=07/bars.parquet,134255,9c98146827ef3a41ef2093f60bf019a67432e3bc4c8f3841ed7786a599f61716
USDJPY,2016-07,Ask,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/USDJPY/ask/M15/year=2016/month=07/bars.parquet,50848,c7ecbb958d6d199342391e6a8f5c313006bf55d6ab1ac1141d15d24821f6aaec
USDJPY,2016-07,Ask,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/USDJPY/ask/H1/year=2016/month=07/bars.parquet,16868,88f42418e6198e51251e27e6a3c4b0ec25faf32e29a55f9c87deb472d1e8fa6b
USDJPY,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/USDJPY/ask/H4/year=2016/month=07/bars.parquet,7337,20270fa41bff881de584aa55c6305f12602f39cb2522e7c2f83cd835542744a9
USDJPY,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/USDJPY/ask/D1/year=2016/month=07/bars.parquet,3622,373e845764e967cd10d7b788d56ae061ec768972c8d0399311be114845dc1587
USDJPY,2016-07,Mid,M1,30211,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/USDJPY/mid/M1/year=2016/month=07/bars.parquet,624944,9956e413a630ac655b25530c3c9e5ff47ab23aabff36154eca3f11f5e5cfa032
USDJPY,2016-07,Mid,M5,6048,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/USDJPY/mid/M5/year=2016/month=07/bars.parquet,139732,15b55cfa9ce657e26b2df4e5a5503bc2ed5b4d167f523d18c33efc44902cb86e
USDJPY,2016-07,Mid,M15,2016,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/USDJPY/mid/M15/year=2016/month=07/bars.parquet,52325,9ae5e843a503ec2b37828ad014fee658602f39122c99771a22cd912304773028
USDJPY,2016-07,Mid,H1,504,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/USDJPY/mid/H1/year=2016/month=07/bars.parquet,17301,b125671f6c1b2f7878b3d394ea50dd57c3939c574f5a4321a4a76bb17ac8e151
USDJPY,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/USDJPY/mid/H4/year=2016/month=07/bars.parquet,7395,b42b127dba047ecd0bc7ad67b707a755a5bfded01775229da00f641db8b9544b
USDJPY,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/USDJPY/mid/D1/year=2016/month=07/bars.parquet,3629,5885a170f9e4642d24a2cc08a4e46ce33c2a99cdba96821aa3b9d8ca38e9e54f
XAUUSD,2016-07,Bid,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/XAUUSD/bid/M1/year=2016/month=07/bars.parquet,561736,07e3648184e40e602671aedb67f5446390d8475025fd55afcce88e2cea0b9a70
XAUUSD,2016-07,Bid,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/XAUUSD/bid/M5/year=2016/month=07/bars.parquet,125432,9e8d52954df29b148eb2eab1fe46594c1a853fcf2d8db93a0ae4b5a4c6326038
XAUUSD,2016-07,Bid,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/XAUUSD/bid/M15/year=2016/month=07/bars.parquet,46427,b0aef95a082558a0d14583bbb3c3236362745c8a2a55e26b196645ca37c71949
XAUUSD,2016-07,Bid,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/XAUUSD/bid/H1/year=2016/month=07/bars.parquet,15632,353858ebe33a44f8b96d6a204d34bde4355d95e99c0647ce46e7762f433c154d
XAUUSD,2016-07,Bid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2016/month=07/bars.parquet,7094,9b0f964e9077203ad3fdda4762ccf5f906105014d43d5d1d132e9fda9869315c
XAUUSD,2016-07,Bid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/XAUUSD/bid/D1/year=2016/month=07/bars.parquet,3541,5e66cadd85eeb8001783fa1fbaebad44205d5df0d8bf8867c39c5af44acf6755
XAUUSD,2016-07,Ask,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/XAUUSD/ask/M1/year=2016/month=07/bars.parquet,562072,1d6d5046139e62de03da6b043aee492295f904c033762a64a1b775b5c4657a84
XAUUSD,2016-07,Ask,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/XAUUSD/ask/M5/year=2016/month=07/bars.parquet,125524,b182235f6134b179936c6e3b0a84f1d01935f6489187cd28abe10fa70432643d
XAUUSD,2016-07,Ask,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/XAUUSD/ask/M15/year=2016/month=07/bars.parquet,46481,9540f921adb7f0d312da48d44564a5a311685c4d6dc66d0e51698408f221f4c6
XAUUSD,2016-07,Ask,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/XAUUSD/ask/H1/year=2016/month=07/bars.parquet,15555,5c632930a199aeaa51765ff6387e95e47ebcd01f2beae9da6714c6e61f8c5f23
XAUUSD,2016-07,Ask,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2016/month=07/bars.parquet,7043,22a55120e67cecc5edaeb9c4fb4353b204a7d1b276fd1058dbe142d16983226f
XAUUSD,2016-07,Ask,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/XAUUSD/ask/D1/year=2016/month=07/bars.parquet,3581,f32ce1709ed246043fdd10df0014f5f5980805dedd3ce3669c6e5af9caac58cb
XAUUSD,2016-07,Mid,M1,28738,2016-07-01T00:00:00.000Z,2016-07-31T23:59:00.000Z,bars/XAUUSD/mid/M1/year=2016/month=07/bars.parquet,611466,614bbff53e42fdae48eec0ad429f66eef93af5de562b739f57516792e094f9df
XAUUSD,2016-07,Mid,M5,5748,2016-07-01T00:00:00.000Z,2016-07-31T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2016/month=07/bars.parquet,135702,93d5fa78f1d4d6bb44100b30a1d2b3a1ccbb169704733cdac51555699d4dedbe
XAUUSD,2016-07,Mid,M15,1916,2016-07-01T00:00:00.000Z,2016-07-31T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2016/month=07/bars.parquet,51155,8ae9366d91c179f7cab9ada834bfff08660020730c6e7d07f6a426a26490e4fa
XAUUSD,2016-07,Mid,H1,479,2016-07-01T00:00:00.000Z,2016-07-31T23:00:00.000Z,bars/XAUUSD/mid/H1/year=2016/month=07/bars.parquet,17080,22c381eca44de5e9e14e99635f1c2bcef98c520819e1f2443834179d5c85ed55
XAUUSD,2016-07,Mid,H4,131,2016-07-01T00:00:00.000Z,2016-07-31T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2016/month=07/bars.parquet,7359,96b9a7cf3f52e02c204f8ab3d258d487da2d54bcbdafb3a9cb41e582a07a7934
XAUUSD,2016-07,Mid,D1,26,2016-07-01T00:00:00.000Z,2016-07-31T00:00:00.000Z,bars/XAUUSD/mid/D1/year=2016/month=07/bars.parquet,3571,ac5efbd46cd1f1d102b0599713d32ef319457feafd4be0574a0ba1e527765858
