trade_id,entry_time_utc,source_id,proposal_rule,causal_rank,prior_20_profit_factor,prior_virtual_profit_factor,prior_consecutive_losses,prior_source_closed_count,candidate_endpoint_pnl_usd,baseline_runtime_executed,baseline_runtime_pnl_usd
V9_BREAK_20240716T175000Z_LONG,2024-07-16T17:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.3475409836065574,0.40113234131689374,0.42129059010922937,3,204,8.568029979942368,True,8.568029979942368
V9_BREAK_20240717T012500Z_LONG,2024-07-17T01:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.13537117903930132,0.40113234131689374,0.5510164560204951,3,204,-5.197994502095359,True,2.2824010554558605
V9_BREAK_20240717T024000Z_SHORT,2024-07-17T02:40:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.08178844056706652,0.40113234131689374,0.4008078105987337,3,204,-5.910688466892245,True,2.2394354698303482
V9_BREAK_20240718T070500Z_LONG,2024-07-18T07:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09229098805646037,0.5162939831569134,0.511974920098254,0,205,-4.417077028974225,True,-4.417077028974225
V7_20241007T082500Z_SHORT,2024-10-07T08:25:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.03788634097706879,0.40861652353488476,0.3638869043959852,1,235,-4.839140796303192,True,-4.839140796303192
V9_BREAK_20241024T075000Z_SHORT,2024-10-24T07:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.0647342995169082,0.7135240672209707,0.6430693745893092,1,227,-4.121659523873351,True,-4.121659523873351
V9_BREAK_20250401T021500Z_LONG,2025-04-01T02:15:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.3015115354017502,3.423089787344778,2.970831169624476,0,279,-6.795830749391187,True,-6.795830749391187
V7_20250704T073500Z_LONG,2025-07-04T07:35:00.000Z,V7_SWING_HEALTH,V2_SOURCE_HEALTH,0.014328808446455505,0.8733288666257494,1.5181844322047024,2,329,-4.8879749332363716,True,-4.8879749332363716
V9_BREAK_20250901T024500Z_LONG,2025-09-01T02:45:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.4319009468317553,2.225333437634357,1.8148457355690824,1,303,19.49071541170747,True,3.9722679808967314
V9_BREAK_20250903T002500Z_LONG,2025-09-03T00:25:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.8712011577424024,2.0721723936015723,2.0021804938627676,0,306,-6.995728227477609,True,-6.995728227477609
V9_BREAK_20250922T160500Z_LONG,2025-09-22T16:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.9830508474576272,0.48714389203105757,0.5448984349458436,0,328,12.631966875793774,True,12.631966875793774
V9_BREAK_20250924T000500Z_SHORT,2025-09-24T00:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.09795630725863284,0.745579309563028,1.1786210768167134,0,330,-5.680395270063707,True,-5.680395270063707
V9_BREAK_20250924T011000Z_LONG,2025-09-24T01:10:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V2_SOURCE_HEALTH,0.03943661971830986,0.745579309563028,1.207387183554094,0,330,-6.53165427614743,True,-6.53165427614743
V9_BREAK_20251224T003000Z_LONG,2025-12-24T00:30:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.33178807947019867,1.146662785221517,1.029393253037784,1,370,-11.192727850732803,True,-11.192727850732803
V9_BREAK_20260123T010000Z_LONG,2026-01-23T01:00:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.8214971209213052,1.3754191668560667,1.2143206236107107,2,394,-16.07040539250588,True,-16.07040539250588
V9_BREAK_20260126T065000Z_LONG,2026-01-26T06:50:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.9629629629629629,1.2164126321049238,1.2344721293263348,0,396,-19.99250202021202,True,-19.99250202021202
V9_BREAK_20260128T010500Z_LONG,2026-01-28T01:05:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.727214786488209,1.296361260929954,1.047192066433114,0,398,34.791822543500075,True,34.791822543500075
V9_BREAK_20260128T025500Z_LONG,2026-01-28T02:55:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.9044585987261147,1.296361260929954,1.1404545344692163,0,398,42.704424017355414,True,42.704424017355414
V9_BREAK_20260325T013500Z_LONG,2026-03-25T01:35:00.000Z,V57_BREAK_SWING_H4ADX_HIGH,V57_WEAK_FOLLOWTHROUGH_ANTICHASE,0.026200873362445413,1.446236460754815,1.5858922629934187,1,408,-25.591208720530712,True,-25.591208720530712
