strategy_id,setup_episode_id,UTC_date,chronological_segment,direction,signal_time,entry_time,entry_bid,entry_ask,entry_price,entry_spread,stop,target,initial_risk_price,exit_time,exit_bid,exit_ask,exit_price,exit_spread,exit_reason,gross_R,baseline_net_R,stress_incremental_entry_spread_R,stress_incremental_exit_spread_R,stress_slippage_R,stress_net_R,broker_transfer_diagnostic_R,MFE_R,MAE_R,holding_minutes,stop_gap,target_gap,identical_timestamp_ambiguity,forced_exit,Capital_contract_minimum_loss,Capital_required_margin,Capital_account_feasible,Capital_rejection_reason,entry_delay_minutes
XAU_V2_H4_TREND_PULLBACK_CONTINUATION,A-1702623600000,2023-12-15,DEVELOPMENT,LONG,2023-12-15T07:00:00.000Z,2023-12-15T07:00:00.091Z,2036.075,2036.345,2036.345,0.27,2034.21306622,2040.60886757,2.13193378329,2023-12-15T09:00:47.836Z,2040.625,2040.965,2040.60886757,0.34,TARGET,2,2,0.0797398124335,0.0469057720198,0.05,1.82335441555,1.85,2.00756704244,-0.290815786522,120.79575,false,true,false,false,,,,,0.00151666666667
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2023-12-18,2023-12-18,DEVELOPMENT,SHORT,2023-12-18T09:30:00.000Z,2023-12-18T09:30:00.998Z,2024.135,2024.472,2024.135,0.337,2027.56949964,2018.12462563,3.43449964132,2023-12-18T15:30:01.083Z,2022.015,2022.305,2022.305,0.29,MAXIMUM_ELAPSED_HOLD,0.532828706104,0.532828706104,0.0299898124201,0.0436744841069,0.05,0.409164409577,0.382828706104,1.50822551782,-0.870578049864,360.001416667,false,false,false,false,,,,,0.0166333333333
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1702998000000,2023-12-19,DEVELOPMENT,LONG,2023-12-19T15:20:00.000Z,2023-12-19T15:20:00.078Z,2043.565,2043.875,2043.875,0.31,2040.61654468,2050.39191064,3.25845532103,2023-12-19T15:42:54.738Z,2040.535,2040.855,2040.535,0.32,STOP,-1.02502556302,-1.02502556302,0.0398962045486,0.0368272657371,0.05,-1.1517490333,-1.17502556302,0.444996127657,-1.02502556302,22.911,true,false,false,false,,,,,0.0013
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1703080800000,2023-12-20,DEVELOPMENT,LONG,2023-12-20T14:20:00.000Z,2023-12-20T14:20:00.010Z,2038.165,2038.502,2038.502,0.337,2035.89001143,2043.72597713,2.6119885674,2023-12-20T14:22:35.929Z,2035.888,2036.125,2035.888,0.237,STOP,-1.00077007711,-1.00077007711,0.0394335569787,0.077718563754,0.05,-1.16792219784,-1.15077007711,0,-1.00077007711,2.59865,true,false,false,false,,,,,0.000166666666667
XAU_V2_H4_TREND_PULLBACK_CONTINUATION,A-1703657700000,2023-12-27,DEVELOPMENT,LONG,2023-12-27T06:15:00.000Z,2023-12-27T06:15:01.635Z,2065.125,2065.432,2065.432,0.307,2064.27408427,2067.74783145,1.15791572629,2023-12-27T08:08:46.893Z,2067.798,2068.135,2067.74783145,0.337,TARGET,2,2,0.11486155424,0.088952932982,0.05,1.74618551278,1.85,2.04332659647,-0.636488462213,113.7543,false,true,false,false,,,,,0.02725
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1703691000000,2023-12-27,DEVELOPMENT,LONG,2023-12-27T15:55:00.000Z,2023-12-27T15:55:00.209Z,2078.585,2078.885,2078.885,0.3,2075.52196434,2085.61107133,3.36303566326,2023-12-27T20:00:00.027Z,2077.435,2077.785,2077.435,0.35,SAME_DAY_20_UTC_FORCE_CLOSE,-0.431158080136,-0.431158080136,0.0416290560131,0.0267615360085,0.05,-0.549548672158,-0.581158080136,1.62353318451,-0.924759744292,244.996966667,false,false,false,true,,,,,0.00348333333333
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,B-1703736000000,2023-12-28,DEVELOPMENT,LONG,2023-12-28T06:45:00.000Z,2023-12-28T06:45:00.869Z,2085.855,2086.245,2086.245,0.39,2084.16681177,2090.40137646,2.07818822881,2023-12-28T07:50:18.421Z,2084.148,2084.475,2084.148,0.327,STOP,-1.00905200546,-1.00905200546,0.0240594183467,0.0543742854634,0.05,-1.13748570927,-1.15905200546,0.582237923987,-1.00905200546,65.2925333333,true,false,false,false,,,,,0.0144833333333
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1703775600000,2023-12-28,DEVELOPMENT,LONG,2023-12-28T15:30:00.000Z,2023-12-28T15:30:00.080Z,2079.625,2080.005,2080.005,0.38,2078.13614072,2083.74271856,1.86885928245,2023-12-28T15:31:09.819Z,2078.105,2078.495,2078.105,0.39,STOP,-1.01666295469,-1.01666295469,0.0321051459377,0.0267542882815,0.05,-1.12552238891,-1.16666295469,0,-1.01666295469,1.16231666667,true,false,false,false,,,,,0.00133333333333
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2023-12-29,2023-12-29,DEVELOPMENT,SHORT,2023-12-29T08:00:00.000Z,2023-12-29T08:00:00.099Z,2071.905,2072.215,2071.905,0.31,2074.30937682,2067.69734056,2.40437682306,2023-12-29T09:49:23.122Z,2067.295,2067.672,2067.69734056,0.377,TARGET,1.75,1.75,0.0540680640212,0.026202215641,0.05,1.61972972034,1.6,1.76053934617,-0.736157487057,109.383716667,false,true,false,false,,,,,0.00165
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-04,2024-01-04,DEVELOPMENT,SHORT,2024-01-04T08:00:00.000Z,2024-01-04T08:00:00.000Z,2047.615,2047.915,2047.615,0.3,2049.74539139,2043.88681507,2.13039139083,2024-01-04T09:35:21.984Z,2049.455,2049.796,2049.796,0.341,STOP,-1.02375554529,-1.02375554529,0.0657156241819,0.0464703342429,0.05,-1.18594150371,-1.17375554529,0.91532476539,-1.02375554529,95.3664,true,false,false,false,,,,,0
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,B-1704715200000,2024-01-08,DEVELOPMENT,SHORT,2024-01-08T13:15:00.000Z,2024-01-08T13:15:00.347Z,2020.805,2021.145,2020.805,0.34,2025.86026594,2010.69446812,5.05526593982,2024-01-08T14:58:00.558Z,2025.585,2025.882,2025.882,0.297,STOP,-1.00429929116,-1.00429929116,0.0197813529873,0.0282873347718,0.05,-1.10236797892,-1.15429929116,0.425299089226,-1.00429929116,103.003516667,true,false,false,false,,,,,0.00578333333333
