record_type,symbol,month,basis,timeframe,item_count,first_utc,last_utc,relative_path,bytes,sha256,contract_normalized_sha256
BARS,XAUUSD,2021-09,Ask,M15,2008,2021-09-01T00:00:00.000Z,2021-09-30T23:45:00.000Z,bars/XAUUSD/ask/M15/year=2021/month=09/bars.parquet,48253,834a6b67e4bebc0b2c0872ea63c154f422cf7d5deaf2825f0507b63b19129efa,
BARS,XAUUSD,2021-09,Ask,H1,502,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/XAUUSD/ask/H1/year=2021/month=09/bars.parquet,15660,1080d58d7351f4107d3f54de179ba7c939605a0abe296e6cd7beb12245b5de98,
BARS,XAUUSD,2021-09,Ask,H4,136,2021-09-01T00:00:00.000Z,2021-09-30T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2021/month=09/bars.parquet,7019,4a6126f983f4d369f6bdbecdab7bee6015dacdb297286fc74b0e205403ca274f,
BARS,XAUUSD,2021-09,Mid,M5,6024,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=09/bars.parquet,140900,7ad7d65474c440748f4297b035f8b5c5d77acde786083e3a95adcd0eee625d56,
BARS,XAUUSD,2021-09,Mid,M15,2008,2021-09-01T00:00:00.000Z,2021-09-30T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=09/bars.parquet,53450,e129cb0279968fca96ff26093d9ac732b647eba88ecabd0688f15f0058af4f96,
BARS,XAUUSD,2021-09,Mid,H1,502,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=09/bars.parquet,17661,3475c8cb91dca1d2239f00adb40e53f374ec2650da539e3e82c76d492dbc8722,
BARS,XAUUSD,2021-09,Mid,H4,136,2021-09-01T00:00:00.000Z,2021-09-30T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=09/bars.parquet,7567,990e3325fbcf9ab61c93d5431263b97ae390d1abd4c6ac4cdb4ce8523f155cd8,
TICKS,XAUUSD,2021-10,Bid/Ask,TICK,4170152,2021-10-01T00:00:00.064Z,2021-10-31T23:59:59.385Z,normalized/XAUUSD/year=2021/month=10/ticks.parquet,44674407,015d2960bfe0dd42f6aab62e7379726cc247fef98d9819b9baf07374b00db549,f4bc43fb890eb8de2c5b0ca2bdcc593f10c8d2449463554410829a7cb2cdd144
BARS,XAUUSD,2021-10,Bid,M5,5796,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/XAUUSD/bid/M5/year=2021/month=10/bars.parquet,123783,cd310acff202718a4416d81c87c598245ee4ac7090ac768bfd07b58c1a2a6844,
BARS,XAUUSD,2021-10,Bid,M15,1932,2021-10-01T00:00:00.000Z,2021-10-31T23:45:00.000Z,bars/XAUUSD/bid/M15/year=2021/month=10/bars.parquet,45540,36405de6c02e497485f1811d2062143068fb593d5b830a098dfc3ec5eaa86999,
BARS,XAUUSD,2021-10,Bid,H1,483,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/XAUUSD/bid/H1/year=2021/month=10/bars.parquet,14693,bd47c4fbfc246e4330cb9f43dbfe93e3c0d881d0c2f0e99ed8307a9465c542f8,
BARS,XAUUSD,2021-10,Bid,H4,131,2021-10-01T00:00:00.000Z,2021-10-31T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2021/month=10/bars.parquet,6693,1f2f7f1d94822f547dbae9e13c29a75f60ed027d62d32dcf86ae66485129ad99,
BARS,XAUUSD,2021-10,Ask,M5,5796,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/XAUUSD/ask/M5/year=2021/month=10/bars.parquet,124078,d399156950c85c9dac9db42e5facbf3df3b16e636230b73c055c061a697e54cb,
BARS,XAUUSD,2021-10,Ask,M15,1932,2021-10-01T00:00:00.000Z,2021-10-31T23:45:00.000Z,bars/XAUUSD/ask/M15/year=2021/month=10/bars.parquet,45550,fb6279ec10c18a76791646d84403a79dd9d9ea2c32be67f1cd47ccc2464b604e,
BARS,XAUUSD,2021-10,Ask,H1,483,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/XAUUSD/ask/H1/year=2021/month=10/bars.parquet,14767,1adb61a40b93b1bda23b95c95600d37e8d819e8b24f18519514bdb27a02bcc95,
BARS,XAUUSD,2021-10,Ask,H4,131,2021-10-01T00:00:00.000Z,2021-10-31T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2021/month=10/bars.parquet,6736,26ff75db28a36a16e9637c5538978212b6e0377f1a4d6025f6ce352d7c9630e0,
BARS,XAUUSD,2021-10,Mid,M5,5796,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=10/bars.parquet,133211,dd403e07026f6be8f7641fa814f3200411cb1e6869d92ea780a884c892dcba2e,
BARS,XAUUSD,2021-10,Mid,M15,1932,2021-10-01T00:00:00.000Z,2021-10-31T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=10/bars.parquet,50234,e250b02bb700588725421638597bbf2ff168ab4861a1e9b98c9f9376ac7fd5ff,
BARS,XAUUSD,2021-10,Mid,H1,483,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=10/bars.parquet,16756,dd46c7d26fcdf0e86d400e4a0ed7785107fc66c2c36091329520af6a663f5efc,
BARS,XAUUSD,2021-10,Mid,H4,131,2021-10-01T00:00:00.000Z,2021-10-31T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=10/bars.parquet,7292,ab9f695c3fe03bd0b753e5852b9fcce393797361a63a138b5fa00c7d9f760512,
TICKS,XAUUSD,2021-11,Bid/Ask,TICK,4156947,2021-11-01T00:00:00.040Z,2021-11-30T23:59:58.203Z,normalized/XAUUSD/year=2021/month=11/ticks.parquet,45918412,efeb0a8539e9f2b19ac1c1c1a117b825f0b0ac66e0f4d93fd321bb386ec05591,d1b71500fda8ce0182c64bc6af5f0d7a022d5208aaf3c86b8320dfb04ca51cca
BARS,XAUUSD,2021-11,Bid,M5,5970,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/XAUUSD/bid/M5/year=2021/month=11/bars.parquet,128997,757c4170fefc615db447bcd2f2c466f2f92f2dc7928ef4e17e421b006c547118,
BARS,XAUUSD,2021-11,Bid,M15,1990,2021-11-01T00:00:00.000Z,2021-11-30T23:45:00.000Z,bars/XAUUSD/bid/M15/year=2021/month=11/bars.parquet,47679,51ae0e2749540f873b017b30092185f3087ebe36be2027e373c8f547f4d80f57,
BARS,XAUUSD,2021-11,Bid,H1,498,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/XAUUSD/bid/H1/year=2021/month=11/bars.parquet,15475,596d26ba9aea859089144c3f605b7339d547c450184eabcbab67d33071cc08be,
BARS,XAUUSD,2021-11,Bid,H4,135,2021-11-01T00:00:00.000Z,2021-11-30T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2021/month=11/bars.parquet,6889,e43ed3600205fea7de7981501f08203b1efcd3b42ff684863f51e8c601c60365,
BARS,XAUUSD,2021-11,Ask,M5,5970,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/XAUUSD/ask/M5/year=2021/month=11/bars.parquet,128880,96cc91af70b3de7ae943adbdfda5df6093d1a63cc5b6d6ac3a7718882927e75a,
BARS,XAUUSD,2021-11,Ask,M15,1990,2021-11-01T00:00:00.000Z,2021-11-30T23:45:00.000Z,bars/XAUUSD/ask/M15/year=2021/month=11/bars.parquet,47618,82b93f0a10a946ae309904027e38a2a4d5da9ed63ff090f6fe9e99b5048a9478,
BARS,XAUUSD,2021-11,Ask,H1,498,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/XAUUSD/ask/H1/year=2021/month=11/bars.parquet,15409,7892ebc57b7e3e53c5bc58c6d6371b866ba6e7f16154c5c7c92848e59210e50e,
BARS,XAUUSD,2021-11,Ask,H4,135,2021-11-01T00:00:00.000Z,2021-11-30T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2021/month=11/bars.parquet,6825,bb7c6f02e6379a915f89c29aea09069624cda6bbc74e761258a0074740d1b682,
BARS,XAUUSD,2021-11,Mid,M5,5970,2021-11-01T00:00:00.000Z,2021-11-30T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=11/bars.parquet,140284,e5ef0ba10eda9d99439e08940d9ee144d0b2ab1d45c3c71fe534ced4487bacf1,
BARS,XAUUSD,2021-11,Mid,M15,1990,2021-11-01T00:00:00.000Z,2021-11-30T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=11/bars.parquet,53130,c3b35c082c9aee95605fe4629256d2228e0cbeaf1192b39c96bf66fd80acfd06,
BARS,XAUUSD,2021-11,Mid,H1,498,2021-11-01T00:00:00.000Z,2021-11-30T23:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=11/bars.parquet,17495,80fab84f3f798f6780a82326437182fe4c16d197dcb6422b95eb9d199d890a50,
BARS,XAUUSD,2021-11,Mid,H4,135,2021-11-01T00:00:00.000Z,2021-11-30T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=11/bars.parquet,7473,fff0b374c1966575d151c41a5d113bf78d63bd33ec62bdcb705735440d1dcb4d,
TICKS,XAUUSD,2021-12,Bid/Ask,TICK,3436395,2021-12-01T00:00:00.551Z,2021-12-31T21:59:58.279Z,normalized/XAUUSD/year=2021/month=12/ticks.parquet,37730495,4a84b3a3a4e9864e182c6dbb0301e285014e2a320c65f0dcc43a7f1e1c3d3a31,27748584ae43c5bb71bf0039c285eca74427218b15333e350f148cfd12210cb0
BARS,XAUUSD,2021-12,Bid,M5,6060,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/XAUUSD/bid/M5/year=2021/month=12/bars.parquet,128606,2a3bd671b38a84aae5117faa8e8fbbc4c1fdd664900be755f33bf3f386b1a3a0,
BARS,XAUUSD,2021-12,Bid,M15,2020,2021-12-01T00:00:00.000Z,2021-12-31T21:45:00.000Z,bars/XAUUSD/bid/M15/year=2021/month=12/bars.parquet,47504,fa99b6902695abe479845e2f838f020538e459770f1373ac65c3a8c70c952b53,
BARS,XAUUSD,2021-12,Bid,H1,505,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/XAUUSD/bid/H1/year=2021/month=12/bars.parquet,15222,848ed2a43d45831b389e2530181a49fa33d6ec133e8b8dadb9408dc2eb231eb5,
BARS,XAUUSD,2021-12,Bid,H4,136,2021-12-01T00:00:00.000Z,2021-12-31T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2021/month=12/bars.parquet,6800,1c5ae859f97363e19926b57a80ba1bd96d8399e569ae1527bbce2837b671c9d3,
BARS,XAUUSD,2021-12,Ask,M5,6060,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/XAUUSD/ask/M5/year=2021/month=12/bars.parquet,128929,acd201eae9bb7a9136d362ffefaf57c5d2cd60082180240eed65022ae4cfc7ec,
BARS,XAUUSD,2021-12,Ask,M15,2020,2021-12-01T00:00:00.000Z,2021-12-31T21:45:00.000Z,bars/XAUUSD/ask/M15/year=2021/month=12/bars.parquet,47457,c40976139563bba1585ddaf589c9cb20ec500ef40275ee11658145a4056822b1,
BARS,XAUUSD,2021-12,Ask,H1,505,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/XAUUSD/ask/H1/year=2021/month=12/bars.parquet,15135,47a2298c8e34dfea649ce8c349222037c478a5424047e7fb7c7d84f74a36d830,
BARS,XAUUSD,2021-12,Ask,H4,136,2021-12-01T00:00:00.000Z,2021-12-31T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2021/month=12/bars.parquet,6775,faf1d637adec5ae4d55468640b02adc54186d043ba90000cb11cd507d737b375,
BARS,XAUUSD,2021-12,Mid,M5,6060,2021-12-01T00:00:00.000Z,2021-12-31T21:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=12/bars.parquet,139930,1725b0fd004248068219664aaa2b86630fc7654a33ffb32fe6f2a6ca66628ed2,
BARS,XAUUSD,2021-12,Mid,M15,2020,2021-12-01T00:00:00.000Z,2021-12-31T21:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=12/bars.parquet,52578,ef99f185462da2451b33896e85bac83d8a2c53eb0ccd300b6cd743b0da8a5fb8,
