candidate,decision_scope,frequency_bias_diagnosis,absolute_concentration_gate,cells,total_trades,max_absolute_single_trade_pct,max_absolute_top5_pct,max_normalized_top_trade_r,max_normalized_top5_trade_r,concentration_failed_cells,normalized_concentration_flag,gate_context
d1_w1_momentum_h4_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,552,60.9924,201.5032,0.386344,1.225295,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
daily_pivot_reclaim_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,4713,100.0,100.0,0.066935,0.305054,7,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;no_catastrophic_failure;concentration
emr_inactivity_long_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,84,1306.4986,5105.6392,0.416545,1.695691,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
extreme_activity_mean_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1056,100.0,100.0,0.151877,0.750729,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
gold_fx_proxy_divergence_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1044,100.0,243.4894,0.179865,0.806486,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_acwx_spy_global_ex_us_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1008,100.0,257.9141,0.146641,0.719518,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_audjpy_usdjpy_fx_carry_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1143,100.0,248.01,0.136295,0.649509,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_broker_fx_usd_pressure_conflict_reversion_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,402,244.2681,1179.6025,0.339944,1.533546,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_broker_fx_usd_pressure_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,2280,100.0,193.925,0.149042,0.602812,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_btc_risk_pressure_gold_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,558,100.0,100.0,0.200803,0.992193,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_calendar_drift_state_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,8661,100.0,100.0,0.396239,0.706334,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;no_catastrophic_failure;concentration
h1_cot_positioning_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,594,12988.2189,62854.1312,0.214637,1.027058,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_dbb_uup_industrial_metals_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1395,100.0,376.4468,0.138513,0.588259,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_dbc_uup_commodity_dollar_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1398,100.0,224.9287,0.188567,0.652092,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_eem_spy_em_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1188,288.5275,1425.5268,0.13355,0.653854,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_eurjpy_usdjpy_fx_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,957,100.0,153.0088,0.153419,0.748009,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_friday_position_squaring_reversion_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,318,100.0,392.4532,0.246593,1.195806,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_fxa_uup_aussie_dollar_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1473,100.0,461.871,0.203006,0.664219,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_fxe_uup_euro_dollar_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1380,100.0,442.2977,0.219732,0.684412,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_fxf_uup_safe_haven_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1410,330.8786,1630.5956,0.116616,0.57268,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_fxy_uup_safe_haven_fx_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1476,197.8179,978.5978,0.115988,0.57402,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_gc_momentum_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1095,100.0,102.8309,0.135225,0.655737,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_gc_xau_basis_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,2097,115.7354,575.0712,0.090374,0.44078,6,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_gdx_gld_trend_confirmation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,729,220.2661,1090.0616,0.166657,0.815404,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_gld_flow_momentum_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,576,100.0,100.0,0.188199,0.929852,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_gld_flow_stress_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,726,100.0,100.0,0.173253,0.85848,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_gld_flow_stress_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,234,100.0,100.0,0.291392,1.419548,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_gvz_vix_vol_premium_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1437,100.0,100.0,0.218837,0.656807,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_hyg_ief_credit_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1287,100.0,195.8705,0.125047,0.622703,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_iwm_spy_size_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1134,224.4925,1087.2778,0.14777,0.722319,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_m5_path_skew_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,4920,100.0,100.0,0.30479,0.539155,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_macro_composite_pullback_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,144,117.8966,585.0963,0.427487,1.99258,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_macro_composite_state_reversion_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,93,100.0,100.0,0.760302,1.530157,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity;cost_sensitivity
h1_macro_composite_trend_continuation_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,609,100.0,248.9907,0.222538,1.07799,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_macro_event_aftershock_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,810,100.0,404.178,0.238853,0.778705,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
