candidate,decision_scope,frequency_bias_diagnosis,complete_cells,pf_passing_cells,total_trades,min_cell_trades,max_cell_trades,median_cell_trades,failed_gate_count,failed_gates,multi_cell_survival,sample_size,no_catastrophic_failure,concentration,activity,cost_sensitivity
h4_gld_etf_flow_reversal_v2,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,6,378,32,51,43.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h4_gold_futures_volume_climax_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,0,141,11,20,16.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h4_gvz_volatility_panic_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,489,48,60,55.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h4_inside_bar_d1_momentum_breakout_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,2,741,71,100,76.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_macro_composite_risk_state_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,6,516,34,98,40.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h4_macro_composite_risk_state_v1,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,894,51,169,78.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h4_policy_uncertainty_safe_haven_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,1443,142,181,158.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_real_yield_proxy_momentum_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,3,306,18,64,20.0,4,multi_cell_survival;sample_size;concentration;activity,FAIL,FAIL,PASS,FAIL,FAIL,PASS
h4_treasury_curve_stress_momentum_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,975,55,207,63.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
h4_us_session_liquidity_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,0,378,32,60,34.0,3,multi_cell_survival;sample_size;concentration,FAIL,FAIL,PASS,FAIL,PASS,PASS
h4_vix_risk_off_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1404,149,160,159.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_vix_risk_off_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,504,47,61,60.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
h4_walk_forward_knn_momentum_state_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,5013,485,652,534.0,3,multi_cell_survival;concentration;activity,FAIL,PASS,PASS,FAIL,FAIL,PASS
liquidity_sweep_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,12222,1281,1423,1370.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
liquidity_sweep_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,3906,393,482,427.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
london_fix_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,4821,463,658,486.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
m15_inside_bar_breakout_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,7170,727,854,809.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
m15_two_bar_exhaustion_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,12282,1304,1454,1336.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
m15_two_bar_impulse_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,11191,1192,1310,1229.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
m5_impulse_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,20346,2199,2363,2220.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
ny_am_pullback_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,3195,326,382,357.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
ny_failed_london_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,3369,322,415,386.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
ny_london_overlap_compression_break_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,3,135,2,41,2.0,5,multi_cell_survival;sample_size;concentration;activity;cost_sensitivity,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
opening_drive_failed_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,2208,221,294,221.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
post_spike_short_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1860,192,234,194.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
previous_day_extreme_retest_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,5295,478,704,583.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
quarter_round_retest_v0,REJECTED_OR_RESEARCH,NON_MATRIX_REJECTION_OR_PENDING,9,9,73431,6184,9786,8507.0,0,none,PASS,PASS,PASS,PASS,PASS,PASS
range_mr,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,9,0,24,0,5,3.0,5,multi_cell_survival;sample_size;concentration;activity;cost_sensitivity,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
round_number_retest_v0,REJECTED_OR_RESEARCH,NON_MATRIX_REJECTION_OR_PENDING,9,9,47388,3837,6462,5497.0,0,none,PASS,PASS,PASS,PASS,PASS,PASS
session_extreme_retest_v0,REJECTED_OR_RESEARCH,NON_MATRIX_REJECTION_OR_PENDING,9,9,23727,2331,2898,2680.0,0,none,PASS,PASS,PASS,PASS,PASS,PASS
session_vwap_reclaim_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,4806,481,614,507.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
squeeze_breakout_long_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1800,194,211,195.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
symbol_round_sweep_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,9609,685,1338,1180.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
trend_pullback,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,27576,2873,3280,3039.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
w1_d1_momentum_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,3,498,48,68,50.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
weekly_level_reclaim_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1083,113,129,119.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
weekly_open_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,1878,197,220,209.0,3,multi_cell_survival;no_catastrophic_failure;concentration,FAIL,PASS,FAIL,FAIL,PASS,PASS
xag_lead_xau_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,7608,816,887,833.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
xau_xag_fx_composite_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,4704,506,547,515.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
xau_xag_relative_value_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,9,0,936,102,107,103.0,2,multi_cell_survival;concentration,FAIL,PASS,PASS,FAIL,PASS,PASS
