policy_id,dimension,value,trades,stress_net_r,average_stress_r
EVENT_NFP_IMPULSE_RR2,exit_reason,MAX_HOLD,16,-0.5711845625080734,-0.035699035156754585
EVENT_NFP_IMPULSE_RR2,exit_reason,STOP,14,-15.832168990192855,-1.1308692135852039
EVENT_PPI_FADE_RR2,regime,CHOP,16,-3.6852376770292574,-0.2303273548143286
EVENT_PPI_FADE_RR2,regime,COMPRESSION,4,1.4320748594576669,0.3580187148644167
EVENT_PPI_FADE_RR2,regime,TRANSITION,6,-1.7381422554562866,-0.2896903759093811
EVENT_PPI_FADE_RR2,regime,TREND_DOWN,6,-0.9043332795966219,-0.15072221326610366
EVENT_PPI_FADE_RR2,regime,TREND_UP,2,0.6833118528439655,0.3416559264219827
EVENT_PPI_FADE_RR2,regime,UNSAFE_SHOCK,1,-1.1966071488095607,-1.1966071488095607
EVENT_PPI_FADE_RR2,regime,WARMUP,4,1.2914635038029256,0.3228658759507314
EVENT_PPI_FADE_RR2,direction,LONG,18,6.010223020226126,0.3339012789014515
EVENT_PPI_FADE_RR2,direction,SHORT,21,-10.127693165013296,-0.48227110309587123
EVENT_PPI_FADE_RR2,exit_reason,MAX_HOLD,1,-1.5573771299603245,-1.5573771299603245
EVENT_PPI_FADE_RR2,exit_reason,STOP,24,-27.99479423875668,-1.1664497599481949
EVENT_PPI_FADE_RR2,exit_reason,TARGET,14,25.434701223929835,1.8167643731378453
EVENT_PPI_IMPULSE_RR2,regime,CHOP,19,0.9942386563987646,0.05232835033677709
EVENT_PPI_IMPULSE_RR2,regime,COMPRESSION,9,1.5948647960985558,0.1772071995665062
EVENT_PPI_IMPULSE_RR2,regime,TRANSITION,6,1.9846968454953007,0.33078280758255013
EVENT_PPI_IMPULSE_RR2,regime,TREND_DOWN,7,-3.2640153850797065,-0.46628791215424376
EVENT_PPI_IMPULSE_RR2,regime,TREND_UP,3,-3.485365123170266,-1.1617883743900885
EVENT_PPI_IMPULSE_RR2,regime,UNSAFE_SHOCK,1,-1.13829609946775,-1.13829609946775
EVENT_PPI_IMPULSE_RR2,regime,WARMUP,6,-3.3031132866941837,-0.5505188811156972
EVENT_PPI_IMPULSE_RR2,direction,LONG,27,-9.4497292618852,-0.34998997266241477
EVENT_PPI_IMPULSE_RR2,direction,SHORT,24,2.8327396654659163,0.11803081939441318
EVENT_PPI_IMPULSE_RR2,exit_reason,MAX_HOLD,4,2.85294796577764,0.71323699144441
EVENT_PPI_IMPULSE_RR2,exit_reason,STOP,32,-36.470655217561685,-1.1397079755488027
EVENT_PPI_IMPULSE_RR2,exit_reason,TARGET,15,27.000717655364763,1.8000478436909841
