candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256
EURHUNT01_0093,93,trend_pullback_long,long,0.4,1.25,1.25,24,08287bb4b7ac45444b6e61a0316faf62ce721797c28346c85940185b46448a8c
EURHUNT01_0094,94,trend_pullback_long,long,0.4,1.25,1.5,24,1bd926e958942324de0c4c574c3fd19a5ff6f6f1f4ae05e28bf7243c04c295fc
EURHUNT01_0095,95,trend_pullback_long,long,0.4,1.25,2.0,24,01a1f07b8fd0b33a1256bf7aff8c5b12c773122e5c24ead1e0402b9b08e1b37b
EURHUNT01_0096,96,trend_pullback_long,long,0.4,1.5,0.75,24,90eb2b0e0d62fa744bbc7c3f04c7acbd77d32d86f583d2eca5b745cee53ddbe0
EURHUNT01_0097,97,trend_pullback_long,long,0.4,1.5,1.0,24,3849c099309e4eab7b479ec0af74a0d6cc26fb316384150d72b055ddd6ccbda3
EURHUNT01_0098,98,trend_pullback_long,long,0.4,1.5,1.25,24,7ece510ac2607eaba87d8f8e0a3bebd60fafbe079cd79c73f9070c62c9eef738
EURHUNT01_0099,99,trend_pullback_long,long,0.4,1.5,1.5,24,a10b1e1e17a58c86ada66e9f138c30bfb32b7108133ac9ac747c0b4987f232ad
EURHUNT01_0100,100,trend_pullback_long,long,0.4,1.5,2.0,24,e59811506c34815e0d6b9133866de4f71782ac45d7fec4e5f9e903cc1e2d6c5a
EURHUNT01_0101,101,trend_pullback_short,short,0.0,0.75,0.75,24,2da06c47907110dcbacde853a32ef3a5e342c126eeb6e928d06b4bd663ad0ec9
EURHUNT01_0102,102,trend_pullback_short,short,0.0,0.75,1.0,24,33ac42ec782e29ae9c574ef56f01087875fc5e6285c5a368528e5fbbd07ebe06
EURHUNT01_0103,103,trend_pullback_short,short,0.0,0.75,1.25,24,c205e35abaf419b764462b81dc79b1693708f519622aca9cb8392087f7434991
EURHUNT01_0104,104,trend_pullback_short,short,0.0,0.75,1.5,24,04c828eb59bc7de67f4859e9971e4ba931d50007b5830a92e66ca936a245f0cb
EURHUNT01_0105,105,trend_pullback_short,short,0.0,0.75,2.0,24,1ecccec7dacdac72b5b9ce6798783c557745d1be1388fc108cf7edd41df92109
EURHUNT01_0106,106,trend_pullback_short,short,0.0,1.0,0.75,24,ec9ecc8345ce0e9870f5ec12ef31fde1e7f997339ec25dcbb66cfabb8a68958e
EURHUNT01_0107,107,trend_pullback_short,short,0.0,1.0,1.0,24,16dfe8df948d35cc670537e762143b351a958712b89a74a70c9a2e2a664f5a00
EURHUNT01_0108,108,trend_pullback_short,short,0.0,1.0,1.25,24,151050986f5e0220218c2ae2febb9c72ffd08b30e2345d4ee8ef2ebbc6c6096b
EURHUNT01_0109,109,trend_pullback_short,short,0.0,1.0,1.5,24,5fde50c52813201c679adbdb57a2af5515fee8d79a1101c8ab1013181041a498
EURHUNT01_0110,110,trend_pullback_short,short,0.0,1.0,2.0,24,12c88684968ced642fa7b0a75b7cac32dfa6d411658d61f109d72f2f11c7e199
EURHUNT01_0111,111,trend_pullback_short,short,0.0,1.25,0.75,24,6a4cb402addb4b021dbd4a9da734d969ab6ab50bfa905168fc65721d42ba265d
EURHUNT01_0112,112,trend_pullback_short,short,0.0,1.25,1.0,24,92fb8665575032e80d161a30670ade4151cd12d31160dad8c55eb0f7c92a402e
