shock_episode_id,specialist_id,entry_time,rejection_reason
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-11-07T15:40:00.024Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-11-18T14:50:00.092Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-11-22T15:10:00.090Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-11-25T15:15:00.010Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-11-27T14:00:00.233Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-12-02T16:15:00.037Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-12-10T13:45:00.039Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-12-10T14:10:00.057Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2019-12-12T14:45:00.038Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-12-17T16:55:00.957Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-12-18T14:10:00.045Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-12-23T07:35:00.510Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2019-12-23T08:35:00.006Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-01-02T15:55:05.471Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-01-15T14:20:00.084Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-01-17T14:35:00.034Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-01-21T10:00:01.428Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-01-21T15:55:00.326Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-01-23T13:25:00.061Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-01-24T15:55:00.208Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-01-30T15:10:00.127Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-02-05T10:00:00.460Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-02-07T16:05:00.715Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-02-18T14:10:00.397Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-02-18T15:10:00.559Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-18T15:50:00.151Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-18T16:05:00.100Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-18T16:35:00.076Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-21T15:20:00.074Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-27T15:15:00.033Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-02-27T15:40:00.039Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-03-06T11:50:00.368Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-03-06T14:45:00.001Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-03-06T15:40:00.044Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-03-12T14:45:00.063Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-03-23T17:30:00.093Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-04-09T15:05:00.081Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-04-15T14:05:00.157Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-04-21T11:50:00.002Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-04-21T13:40:00.127Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-04-21T14:30:00.124Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-04-29T12:55:00.327Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-04-30T07:40:00.114Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-04T14:40:01.555Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-05-06T13:10:00.108Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
