record_type,instrument,month,logical_path,item_count,bytes,SHA256
BAR,USDJPY,2019-03,bars/USDJPY/mid/H1/year=2019/month=03/bars.parquet,505,16676,910b361d1418c46404f1a12a3ec43e903407dc90a6d8286e819919bb726c98b9
NORMALIZED_TICKS,USDJPY,2019-04,normalized/USDJPY/year=2019/month=04/ticks.parquet,1226916,14803924,431a19fd628144bce96f9785ffcc86b5fb4419935a6be6f19ca88be44eb8a6b8
BAR,USDJPY,2019-04,bars/USDJPY/bid/M5/year=2019/month=04/bars.parquet,6336,122334,1f028a59b45f90a51b899f737a2ed45bc843a9c257b244464d07dcba37847d6a
BAR,USDJPY,2019-04,bars/USDJPY/bid/H1/year=2019/month=04/bars.parquet,528,16669,cbf370e7c754264e6819bf623ac0b669236913929fb272cf71918d1a87c71b69
BAR,USDJPY,2019-04,bars/USDJPY/ask/M5/year=2019/month=04/bars.parquet,6336,122249,7156bd73556a344731f6f28e82eee600927fd2bc4a7394de2d3d51725c03a89f
BAR,USDJPY,2019-04,bars/USDJPY/ask/H1/year=2019/month=04/bars.parquet,528,16624,a0f43ccd35725b76fc7c0379a050e1e76d208cf23de7736bf1d59179572d64bc
BAR,USDJPY,2019-04,bars/USDJPY/mid/M5/year=2019/month=04/bars.parquet,6336,131786,00acdc01dd9f78c4e650d8b0db236b9fee4ddf52a1c43fd1741beca4f7bfdac9
BAR,USDJPY,2019-04,bars/USDJPY/mid/H1/year=2019/month=04/bars.parquet,528,17226,65a73ac9769ccc510f682cca0e6faf8af56341a0718454f39ca38c91077a38c8
NORMALIZED_TICKS,USDJPY,2019-05,normalized/USDJPY/year=2019/month=05/ticks.parquet,1835600,21730201,d4bc026da151464c881b952e92e373e07d97a0720a1ef98c847c9c7da0247074
BAR,USDJPY,2019-05,bars/USDJPY/bid/M5/year=2019/month=05/bars.parquet,6553,134150,12214d5942589f5d64c8e0598e3478d646ccfa8e51b565baf5f2b3ed67c234d3
BAR,USDJPY,2019-05,bars/USDJPY/bid/H1/year=2019/month=05/bars.parquet,547,17250,d3e44a59c0649865bd8012e9b4fc0f4c4ceb46fec06c979d4f9237f028d8884d
BAR,USDJPY,2019-05,bars/USDJPY/ask/M5/year=2019/month=05/bars.parquet,6553,134209,9dc27a478e0b8b3c6644566f9f6a5f17697e0829c20a7b1bb99b7b74eaa0298c
