book,month,name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_net,net_2023_2024
current_r1_r2_plus_r3_all,2023-12,current_r1_r2_plus_r3_all_2023-12,24,22,2,91.67,1.1581,12.7388,687.19,1.1362,12.498,679.99,1.05,47.32,1.43,-47.32,0,0,59.96,358.41,100.0,1,1,1,0,0,100.0,2023-12,687.19,2023-12,687.19,[],0,0,0,687.19
current_r1_r2_plus_r3_all,2024-01,current_r1_r2_plus_r3_all_2024-01,4,0,4,0.0,0.0,0.0,-128.51,0.0,0.0,-129.71,0.38,128.51,0.0,-93.71,0,0,-128.51,-34.8,,0,1,0,1,0,0.0,2024-01,-128.51,2024-01,-128.51,[],0,0,0,-128.51
current_r1_r2_plus_r3_all,2024-02,current_r1_r2_plus_r3_all_2024-02,10,0,10,0.0,0.0,0.0,-155.95,0.0,0.0,-158.95,0.48,155.95,0.0,-92.27,0,0,-155.95,-93.02,,0,1,0,1,0,0.0,2024-02,-155.95,2024-02,-155.95,[],0,0,0,-155.95
current_r1_r2_plus_r3_all,2024-03,current_r1_r2_plus_r3_all_2024-03,26,26,0,100.0,,,860.07,,,852.27,0.96,0.0,1.9,0.0,0,0,256.83,334.18,100.0,1,1,1,0,0,100.0,2024-03,860.07,2024-03,860.07,[],0,0,0,860.07
current_r1_r2_plus_r3_all,2024-04,current_r1_r2_plus_r3_all_2024-04,5,5,0,100.0,,,485.31,,,483.81,0.19,0.0,0.48,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2024-04,485.31,2024-04,485.31,[],0,0,0,485.31
current_r1_r2_plus_r3_all,2024-05,current_r1_r2_plus_r3_all_2024-05,13,6,7,46.15,0.7478,0.641,-37.72,0.7136,0.6116,-41.62,0.38,67.72,0.48,-67.72,0,0,-105.07,-67.72,,0,1,0,1,0,0.0,2024-05,-37.72,2024-05,-37.72,[],0,0,0,-37.72
current_r1_r2_plus_r3_all,2024-07,current_r1_r2_plus_r3_all_2024-07,25,10,15,40.0,2.5753,1.7168,173.99,2.5102,1.6734,166.49,0.77,183.92,0.95,-41.85,0,0,-242.72,-156.0,100.0,1,1,1,0,0,100.0,2024-07,173.99,2024-07,173.99,[],0,0,0,173.99
current_r1_r2_plus_r3_all,2024-08,current_r1_r2_plus_r3_all_2024-08,14,3,11,21.43,7.6362,2.0826,132.0,7.4086,2.0205,127.8,0.67,58.36,0.95,-56.53,0,0,-121.93,-107.35,100.0,1,1,1,0,0,100.0,2024-08,132.0,2024-08,132.0,[],0,0,0,132.0
current_r1_r2_plus_r3_all,2024-09,current_r1_r2_plus_r3_all_2024-09,41,19,22,46.34,3.643,3.1463,518.02,3.5194,3.0395,505.72,1.25,110.76,1.43,-97.89,0,0,-140.06,71.68,100.0,1,1,1,0,0,100.0,2024-09,518.02,2024-09,518.02,[],0,0,0,518.02
current_r1_r2_plus_r3_all,2024-10,current_r1_r2_plus_r3_all_2024-10,43,22,21,51.16,3.9429,4.1307,1092.27,3.8553,4.0389,1079.37,1.53,185.2,1.43,-137.58,0,0,-87.81,400.69,100.0,1,1,1,0,0,100.0,2024-10,1092.27,2024-10,1092.27,[],0,0,0,1092.27
current_r1_r2_plus_r3_all,2024-11,current_r1_r2_plus_r3_all_2024-11,8,0,8,0.0,0.0,0.0,-371.12,0.0,0.0,-373.52,0.48,371.12,0.0,-315.99,0,0,-371.12,-194.72,,0,1,0,1,0,0.0,2024-11,-371.12,2024-11,-371.12,[],0,0,0,-371.12
current_r1_r2_plus_r3_all,2024-12,current_r1_r2_plus_r3_all_2024-12,3,1,2,33.33,1.5163,0.7582,-5.86,1.4555,0.7277,-6.76,0.19,17.44,0.48,-6.79,0,0,-24.23,0.0,,0,1,0,1,0,0.0,2024-12,-5.86,2024-12,-5.86,[],0,0,0,-5.86
current_r1_r2_plus_r3_all,2025-01,current_r1_r2_plus_r3_all_2025-01,28,19,9,67.86,4.1135,8.6841,939.07,4.003,8.4507,930.67,0.96,79.69,1.43,0.0,0,0,7.73,216.3,100.0,1,1,1,0,0,100.0,2025-01,939.07,2025-01,939.07,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-02,current_r1_r2_plus_r3_all_2025-02,29,17,12,58.62,3.5297,5.0005,931.51,3.4608,4.9028,922.81,0.96,188.98,0.95,-182.82,0,0,-132.54,32.42,100.0,1,1,1,0,0,100.0,2025-02,931.51,2025-02,931.51,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-03,current_r1_r2_plus_r3_all_2025-03,24,18,6,75.0,5.95,17.85,1031.56,5.7515,17.2545,1024.36,0.86,27.45,1.9,0.0,0,0,107.75,192.98,100.0,1,1,1,0,0,100.0,2025-03,1031.56,2025-03,1031.56,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-04,current_r1_r2_plus_r3_all_2025-04,14,4,10,28.57,1.927,0.7708,-78.08,1.9014,0.7606,-82.28,0.58,305.37,0.0,-78.08,0,0,-340.64,-310.14,,0,1,0,1,0,0.0,2025-04,-78.08,2025-04,-78.08,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-06,current_r1_r2_plus_r3_all_2025-06,7,1,6,14.29,0.4448,0.0741,-259.16,0.4356,0.0726,-261.26,0.19,279.91,0.0,-209.44,0,0,-279.91,0.0,,0,1,0,1,0,0.0,2025-06,-259.16,2025-06,-259.16,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-07,current_r1_r2_plus_r3_all_2025-07,16,5,11,31.25,0.3244,0.1475,-407.75,0.3153,0.1433,-412.55,0.29,478.28,0.0,-208.32,0,0,-478.28,0.0,,0,1,0,1,0,0.0,2025-07,-407.75,2025-07,-407.75,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-08,current_r1_r2_plus_r3_all_2025-08,12,6,6,50.0,1.0095,1.0095,1.4,0.9852,0.9852,-2.2,0.38,146.79,0.95,-126.59,0,0,-146.79,-74.14,100.0,1,1,1,0,0,100.0,2025-08,1.4,2025-08,1.4,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-09,current_r1_r2_plus_r3_all_2025-09,43,32,11,74.42,9.1603,26.6481,3141.38,8.8937,25.8726,3128.48,1.63,58.88,2.38,0.0,0,0,1077.23,1556.42,100.0,1,1,1,0,0,100.0,2025-09,3141.38,2025-09,3141.38,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-10,current_r1_r2_plus_r3_all_2025-10,9,9,0,100.0,,,1892.49,,,1889.79,0.29,0.0,1.43,0.0,0,0,0.0,0.0,100.0,1,1,1,0,0,100.0,2025-10,1892.49,2025-10,1892.49,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-11,current_r1_r2_plus_r3_all_2025-11,10,7,3,70.0,1.7287,4.0336,129.9,1.6725,3.9026,126.9,0.38,42.82,0.48,-21.95,0,0,-42.82,-17.64,100.0,1,1,1,0,0,100.0,2025-11,129.9,2025-11,129.9,[],0,0,0,0
current_r1_r2_plus_r3_all,2025-12,current_r1_r2_plus_r3_all_2025-12,27,11,16,40.74,1.6172,1.1118,114.97,1.605,1.1034,106.87,0.96,866.37,0.95,-866.37,0,0,-1016.66,-647.72,100.0,1,1,1,0,0,100.0,2025-12,114.97,2025-12,114.97,[],0,0,0,0
current_r1_r2_plus_r3_all,2026-01,current_r1_r2_plus_r3_all_2026-01,21,13,8,61.9,18.5569,30.1549,2695.08,18.062,29.3507,2688.78,0.67,57.46,1.43,-23.32,0,0,-19.7,330.78,100.0,2,1,1,0,0,100.0,2026-01,2695.08,2026-01,2695.08,[],0,0,0,0
current_r1_r2_plus_r3_all,2026-02,current_r1_r2_plus_r3_all_2026-02,3,0,3,0.0,0.0,0.0,-50.02,0.0,0.0,-50.92,0.19,50.02,0.0,-29.32,0,0,-50.02,-0.0,,0,1,0,1,0,0.0,2026-02,-50.02,2026-02,-50.02,[],0,0,0,0
current_r1_r2_plus_r3_all,2026-03,current_r1_r2_plus_r3_all_2026-03,3,0,3,0.0,0.0,0.0,-37.14,0.0,0.0,-38.04,0.19,37.14,0.0,-26.98,0,0,-37.14,0.0,,0,1,0,1,0,0.0,2026-03,-37.14,2026-03,-37.14,[],0,0,0,0
current_r1_r2_plus_r3_all,2026-04,current_r1_r2_plus_r3_all_2026-04,8,6,2,75.0,1.8257,5.4771,145.37,1.7744,5.3233,142.97,0.29,32.47,0.48,0.0,8,145.37,-32.47,0.0,100.0,1,1,1,0,0,100.0,2026-04,145.37,2026-04,145.37,[],0,8,145.37,0
current_r1_r2_plus_r3_all,2026-05,current_r1_r2_plus_r3_all_2026-05,5,2,3,40.0,5.2309,3.4873,55.74,4.9903,3.3269,54.24,0.38,8.72,0.95,-7.12,5,55.74,-22.41,-8.72,100.0,1,1,1,0,0,100.0,2026-05,55.74,2026-05,55.74,[],0,5,55.74,0
current_r1_r2_plus_r3_all,2026-06,current_r1_r2_plus_r3_all_2026-06,47,29,18,61.7,1.1369,1.8317,359.11,1.1105,1.7892,345.01,0.96,236.94,1.43,-215.55,47,359.11,2.32,-174.93,100.0,1,1,1,0,0,100.0,2026-06,359.11,2026-06,359.11,[],0,47,359.11,0
