profile,episode_id,start_ms,end_ms,start_utc,end_utc,trades,stress_net_usd
demo_guard_10k,episode_0015,1609718400106,1610092822654,2021-01-04T00:00:00.106Z,2021-01-08T08:00:22.654Z,4,-177.60469525115718
demo_guard_10k,episode_0016,1620057600055,1623943474651,2021-05-03T16:00:00.055Z,2021-06-17T15:24:34.651Z,9,-42.83218952951363
demo_guard_10k,episode_0017,1636344000045,1637674687173,2021-11-08T04:00:00.045Z,2021-11-23T13:38:07.173Z,4,-143.37470985416624
demo_guard_10k,episode_0018,1640952000067,1641474261034,2021-12-31T12:00:00.067Z,2022-01-06T13:04:21.034Z,1,-32.660640491319334
demo_guard_10k,episode_0019,1642608000038,1643288444431,2022-01-19T16:00:00.038Z,2022-01-27T13:00:44.431Z,3,-99.30936745196767
demo_guard_10k,episode_0020,1644854400112,1645697844032,2022-02-14T16:00:00.112Z,2022-02-24T10:17:24.032Z,3,99.3396455196758
demo_guard_10k,episode_0021,1650240000078,1650373404208,2022-04-18T00:00:00.078Z,2022-04-19T13:03:24.208Z,2,-59.03615316261572
demo_guard_10k,episode_0022,1669262400074,1676555258051,2022-11-24T04:00:00.074Z,2023-02-16T13:47:38.051Z,21,327.16100808044035
demo_guard_10k,episode_0023,1690358400132,1690464766851,2023-07-26T08:00:00.132Z,2023-07-27T13:32:46.851Z,2,-40.23043380266226
demo_guard_10k,episode_0024,1700539200084,1701646039689,2023-11-21T04:00:00.084Z,2023-12-03T23:27:19.689Z,5,329.956257349537
demo_guard_10k,episode_0025,1703203200129,1704461449955,2023-12-22T00:00:00.129Z,2024-01-05T13:30:49.955Z,6,-167.95317858043973
demo_guard_10k,episode_0026,1709035201072,1709112222511,2024-02-27T12:00:01.072Z,2024-02-28T09:23:42.511Z,1,-13.822008144097031
demo_guard_10k,episode_0027,1709222400037,1709570094035,2024-02-29T16:00:00.037Z,2024-03-04T16:34:54.035Z,2,106.15097229976891
demo_guard_10k,episode_0028,1709640000128,1711933431728,2024-03-05T12:00:00.128Z,2024-04-01T01:03:51.728Z,3,247.33029528935174
demo_guard_10k,episode_0029,1720166400219,1721651618358,2024-07-05T08:00:00.219Z,2024-07-22T12:33:38.358Z,2,28.049759885995606
demo_guard_10k,episode_0030,1724659200156,1725370804425,2024-08-26T08:00:00.156Z,2024-09-03T13:40:04.425Z,2,-90.14097937557852
demo_guard_10k,episode_0031,1725984000090,1731332469236,2024-09-10T16:00:00.090Z,2024-11-11T13:41:09.236Z,13,127.20709592650465
demo_guard_10k,episode_0032,1737028800057,1738742380009,2025-01-16T12:00:00.057Z,2025-02-05T07:59:40.009Z,7,318.50212272627266
demo_guard_10k,episode_0033,1739174400097,1740732250255,2025-02-10T08:00:00.097Z,2025-02-28T08:44:10.255Z,2,-108.93313776504627
demo_guard_10k,episode_0034,1742270400878,1743685961112,2025-03-18T04:00:00.878Z,2025-04-03T13:12:41.112Z,6,342.15230411805527
demo_guard_10k,episode_0035,1753084800070,1753454375154,2025-07-21T08:00:00.070Z,2025-07-25T14:39:35.154Z,2,19.625389593750043
demo_guard_10k,episode_0036,1754553600096,1754911650520,2025-08-07T08:00:00.096Z,2025-08-11T11:27:30.520Z,1,-48.12643574537057
demo_guard_10k,episode_0037,1756195200078,1757317176126,2025-08-26T08:00:00.078Z,2025-09-08T07:39:36.126Z,5,420.5844847968751
demo_guard_10k,episode_0038,1757952000043,1759705446974,2025-09-15T16:00:00.043Z,2025-10-05T23:04:06.974Z,3,181.994624545139
demo_guard_10k,episode_0039,1765411200050,1766074295893,2025-12-11T00:00:00.050Z,2025-12-18T16:11:35.893Z,1,122.61384785821706
