signal_id,candidate_id,direction,entry_time,exit_time,session_bucket,h1_regime,entry_price,stop_loss,take_profit,risk_points,gross_r,charged_spread_points,median_spread_points,p95_spread_points,realized_spread_points,entry_slippage_points,stop_exit_slippage_points,charged_cost_r,p95_spread_cost_r,stress_cost_r,net_r,stress_net_r,cost_guard_pass,market_day_direction,loss_class
1033669|XAUUSD|breakout_retest|SHORT|2025-01-16 05:25:00|2025-01-16 05:30:00|2025-01-16 05:35:00|2695.55,B0_RAW_ALL_SESSION,SHORT,2025-01-16 05:40:00,2025-01-16 06:15:00,Morning 06:00-11:59,RISING,2693.655,2695.67399,2690.62652,201.9,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.297179,0.421003,0.421003,1.202821,1.078997,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-16 07:45:00|2025-01-16 07:55:00|2025-01-16 08:00:00|2697.45,B0_RAW_ALL_SESSION,LONG,2025-01-16 08:05:00,2025-01-16 08:20:00,Afternoon 12:00-15:59,RISING,2698.608,2696.40577,2701.91134,220.22,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.272451,0.385973,0.385973,1.227549,1.114027,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-16 08:45:00|2025-01-16 08:50:00|2025-01-16 08:55:00|2697.45,B0_RAW_ALL_SESSION,LONG,2025-01-16 09:00:00,2025-01-16 09:20:00,Afternoon 12:00-15:59,RISING,2699.269,2697.10054,2702.52169,216.85,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.276694,0.391984,0.391984,1.223306,1.108016,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-16 09:30:00|2025-01-16 09:35:00|2025-01-16 09:40:00|2703.20,B0_RAW_ALL_SESSION,LONG,2025-01-16 09:45:00,2025-01-16 10:10:00,Afternoon 12:00-15:59,RISING,2704.588,2702.73189,2707.37216,185.61,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.323257,0.457948,0.457948,1.176743,1.042052,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-16 11:20:00|2025-01-16 11:25:00|2025-01-16 11:30:00|2708.30,B0_RAW_ALL_SESSION,LONG,2025-01-16 11:35:00,2025-01-16 11:45:00,Afternoon 12:00-15:59,RISING,2709.365,2708.12044,2711.23185,124.46,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.883843,1.084717,1.084717,-1.883843,-2.084717,False,UP,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|SHORT|2025-01-16 12:45:00|2025-01-16 12:50:00|2025-01-16 12:55:00|2704.82,B0_RAW_ALL_SESSION,SHORT,2025-01-16 13:00:00,2025-01-16 13:15:00,Evening 16:00-19:59,RISING,2702.935,2705.04908,2699.76388,211.41,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.520321,0.638576,0.638576,-1.520321,-1.638576,False,UP,BAD_EXIT_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-16 13:30:00|2025-01-16 13:40:00|2025-01-16 13:45:00|2711.05,B0_RAW_ALL_SESSION,LONG,2025-01-16 13:50:00,2025-01-16 17:40:00,Evening 16:00-19:59,RISING,2714.989,2709.12764,2723.78104,586.14,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.102365,0.145018,0.145018,1.397635,1.354982,True,UP,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-16 21:05:00|2025-01-16 21:10:00|2025-01-16 21:15:00|2714.30,B0_RAW_ALL_SESSION,SHORT,2025-01-16 21:20:00,2025-01-16 23:10:00,Night 20:00-05:59,RISING,2713.335,2714.54921,2711.51368,121.42,-1.0,50.0,50.0,50.0,0.0,10.0,50.0,0.905936,0.905936,0.905936,-1.905936,-1.905936,False,UP,BAD_EXIT_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-17 00:30:00|2025-01-17 00:40:00|2025-01-17 00:45:00|2715.36,B0_RAW_ALL_SESSION,LONG,2025-01-17 00:50:00,2025-01-17 00:55:00,Night 20:00-05:59,RISING,2715.965,2715.26966,2717.008,69.53,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,1.58197,1.941508,1.941508,-2.58197,-2.941508,False,DOWN,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|SHORT|2025-01-17 06:15:00|2025-01-17 07:05:00|2025-01-17 07:10:00|2714.49,B0_RAW_ALL_SESSION,SHORT,2025-01-17 07:15:00,2025-01-17 07:45:00,Morning 06:00-11:59,RISING,2712.775,2714.69937,2709.88844,192.44,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.31179,0.441703,0.441703,1.18821,1.058297,False,DOWN,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-17 07:45:00|2025-01-17 09:10:00|2025-01-17 09:15:00|2710.61,B0_RAW_ALL_SESSION,SHORT,2025-01-17 09:20:00,2025-01-17 09:30:00,Afternoon 12:00-15:59,FALLING,2709.878,2711.88509,2706.86736,200.71,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.29894,0.423498,0.423498,1.20106,1.076502,False,DOWN,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-17 12:10:00|2025-01-17 12:20:00|2025-01-17 12:25:00|2706.97,B0_RAW_ALL_SESSION,LONG,2025-01-17 12:30:00,2025-01-17 13:20:00,Evening 16:00-19:59,FALLING,2709.365,2706.58168,2713.53998,278.33,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.395211,0.485032,0.485032,-1.395211,-1.485032,False,DOWN,BAD_EXIT_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-17 12:40:00|2025-01-17 13:35:00|2025-01-17 13:40:00|2706.97,B0_RAW_ALL_SESSION,LONG,2025-01-17 13:45:00,2025-01-17 14:00:00,Evening 16:00-19:59,FALLING,2707.555,2704.64019,2711.92721,291.48,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.377383,0.463152,0.463152,-1.377383,-1.463152,False,DOWN,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|SHORT|2025-01-17 14:00:00|2025-01-17 14:15:00|2025-01-17 14:20:00|2706.75,B0_RAW_ALL_SESSION,SHORT,2025-01-17 14:25:00,2025-01-17 14:40:00,Evening 16:00-19:59,FALLING,2705.685,2707.91424,2702.34114,222.92,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.493441,0.605587,0.605587,-1.493441,-1.605587,False,DOWN,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-17 15:05:00|2025-01-17 15:20:00|2025-01-17 15:25:00|2711.99,B0_RAW_ALL_SESSION,LONG,2025-01-17 15:30:00,2025-01-17 17:20:00,Evening 16:00-19:59,FALLING,2713.215,2710.56009,2717.19736,265.49,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.414327,0.508492,0.508492,-1.414327,-1.508492,False,DOWN,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-21 00:45:00|2025-01-21 00:50:00|2025-01-21 00:55:00|2702.76,B0_RAW_ALL_SESSION,LONG,2025-01-21 01:00:00,2025-01-21 02:00:00,Night 20:00-05:59,FALLING,2708.655,2702.62038,2717.70693,603.46,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.099426,0.140854,0.140854,1.400574,1.359146,True,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-21 03:20:00|2025-01-21 04:10:00|2025-01-21 04:15:00|2724.57,B0_RAW_ALL_SESSION,LONG,2025-01-21 04:20:00,2025-01-21 07:10:00,Morning 06:00-11:59,RISING,2725.565,2722.98197,2729.43954,258.3,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.425857,0.522642,0.522642,-1.425857,-1.522642,False,UP,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-21 07:10:00|2025-01-21 07:15:00|2025-01-21 07:20:00|2724.57,B0_RAW_ALL_SESSION,LONG,2025-01-21 07:25:00,2025-01-21 07:40:00,Morning 06:00-11:59,RISING,2726.085,2723.80907,2729.49889,227.59,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.263629,0.373474,0.373474,1.236371,1.126526,False,UP,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-21 07:00:00|2025-01-21 08:25:00|2025-01-21 08:30:00|2725.11,B0_RAW_ALL_SESSION,SHORT,2025-01-21 08:35:00,2025-01-21 09:05:00,Afternoon 12:00-15:59,RISING,2724.125,2726.63721,2720.35668,251.22,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.238833,0.338347,0.338347,1.261167,1.161653,False,UP,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-21 09:15:00|2025-01-21 09:25:00|2025-01-21 09:30:00|2722.47,B0_RAW_ALL_SESSION,SHORT,2025-01-21 09:35:00,2025-01-21 09:45:00,Afternoon 12:00-15:59,RISING,2720.855,2723.32312,2717.15282,246.81,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.445683,0.546975,0.546975,-1.445683,-1.546975,False,UP,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|SHORT|2025-01-21 09:05:00|2025-01-21 10:30:00|2025-01-21 10:35:00|2722.47,B0_RAW_ALL_SESSION,SHORT,2025-01-21 10:40:00,2025-01-21 11:30:00,Afternoon 12:00-15:59,RISING,2720.495,2723.05476,2716.65535,255.98,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.234397,0.332062,0.332062,1.265603,1.167938,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-21 13:50:00|2025-01-21 13:55:00|2025-01-21 14:00:00|2724.57,B0_RAW_ALL_SESSION,LONG,2025-01-21 14:05:00,2025-01-21 14:50:00,Evening 16:00-19:59,RISING,2728.235,2724.19522,2734.29467,403.98,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.148523,0.210408,0.210408,1.351477,1.289592,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 03:35:00|2025-01-22 04:00:00|2025-01-22 04:05:00|2749.45,B0_RAW_ALL_SESSION,LONG,2025-01-22 04:10:00,2025-01-22 04:35:00,Morning 06:00-11:59,RISING,2750.198,2748.98934,2752.011,120.87,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.496416,0.703256,0.703256,1.003584,0.796744,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 04:30:00|2025-01-22 04:35:00|2025-01-22 04:40:00|2750.86,B0_RAW_ALL_SESSION,LONG,2025-01-22 04:45:00,2025-01-22 05:10:00,Morning 06:00-11:59,RISING,2752.015,2750.70047,2753.98679,131.45,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.836802,1.026984,1.026984,-1.836802,-2.026984,False,UP,MIXED
