date,open,high,low,close,source,regime,atr14,atr14_pct_252,ema50,ema200,ema50_slope_20_pct,ret20_pct,ret60_pct,range20_pct_rank_252
2018-09-07,1197.06,1206.95,1195.74,1201.06,capital_com_processed_d1,downtrend,10.094285714285709,40.476190476190474,1214.5707663218586,1263.1906117389663,-1.7670147187641039,0.6030857889534724,-3.800530232036592,75.79365079365078
2018-09-08,1201.09,1203.48,1193.41,1195.83,capital_com_processed_d1,downtrend,10.172142857142846,42.46031746031746,1213.8358343092368,1262.5203568957925,-1.6308052235544435,1.8846222661474954,-4.542842090138421,76.5873015873016
2018-09-10,1196.35,1196.46,1194.6,1196.11,capital_com_processed_d1,compression,9.475714285714275,21.825396825396826,1213.140703552012,1261.85955732469,-1.503582728591868,1.7688799646053743,-4.562391784822351,33.730158730158735
2018-09-11,1196.11,1198.49,1191.44,1194.98,capital_com_processed_d1,compression,8.171428571428562,2.7777777777777777,1212.4285190989917,1261.1940890926035,-1.4123355101367197,0.9128756850790065,-3.7897025079505653,11.904761904761903
2018-09-12,1194.98,1199.32,1187.66,1196.98,capital_com_processed_d1,compression,8.85857142857141,11.507936507936508,1211.8226948206,1260.555142932478,-1.3159075920470942,1.1389945078158048,-4.617027380231409,11.507936507936508
2018-09-13,1196.98,1208.43,1192.63,1206.13,capital_com_processed_d1,compression,9.328571428571406,18.253968253968253,1211.5994518864588,1260.013599221707,-1.2177708252616326,1.2610086390006048,-4.0393030471795655,11.11111111111111
2018-09-14,1206.13,1212.6,1200.07,1202.07,capital_com_processed_d1,compression,9.17499999999997,15.873015873015872,1211.2257478909116,1259.4370459956203,-1.1517004829644795,0.5083654545606553,-4.3927463612503,11.11111111111111
2018-09-15,1202.07,1208.52,1192.84,1193.43,capital_com_processed_d1,downtrend,9.835714285714273,32.142857142857146,1210.5278754246015,1258.7802594683008,-1.112735720664093,-0.1338878521878084,-4.8726246652212595,11.11111111111111
2018-09-17,1193.67,1194.73,1192.95,1193.36,capital_com_processed_d1,compression,9.174999999999986,16.26984126984127,1209.8546254079504,1258.1293116128948,-1.0418808332974372,0.752247878762291,-5.012218127402834,11.11111111111111
2018-09-18,1193.36,1204.77,1192.75,1198.38,capital_com_processed_d1,compression,9.279285714285704,18.253968253968253,1209.4046400978348,1257.5347910993337,-1.025629452106791,-0.6219524330779214,-4.76198044981323,3.1746031746031744
2018-09-19,1198.45,1203.48,1195.82,1199.45,capital_com_processed_d1,downtrend,9.679285714285713,30.158730158730158,1209.0142620547824,1256.9568329789424,-1.012379791532747,-0.68393902509708,-4.493263687613469,3.1746031746031744
2018-09-20,1199.44,1206.16,1198.11,1203.91,capital_com_processed_d1,downtrend,9.665714285714298,30.158730158730158,1208.8140949153792,1256.4290037950725,-0.9958066315696401,-0.5862874790464101,-3.1190903457877006,3.1746031746031744
2018-09-21,1203.91,1208.4,1201.23,1207.36,capital_com_processed_d1,compression,9.294285714285722,18.650793650793652,1208.7570715853642,1255.940755001092,-0.9420865891763497,0.3941394621742589,-3.0949017593425054,3.1746031746031744
2018-09-22,1207.36,1211.03,1191.78,1199.1,capital_com_processed_d1,downtrend,10.127857142857156,43.25396825396825,1208.3783628957422,1255.3751753493398,-0.9314047859126817,-0.6668599594085389,-3.3809807744992204,3.571428571428571
2018-09-24,1198.88,1198.91,1197.02,1197.95,capital_com_processed_d1,compression,9.475714285714291,24.206349206349206,1207.969407488066,1254.8037805697443,-0.9015005189831449,-0.15668886425576067,-3.4775322090708993,3.968253968253968
2018-09-25,1197.95,1204.12,1194.36,1199.27,capital_com_processed_d1,compression,9.453571428571438,23.015873015873016,1207.62825425324,1254.2512056387022,-0.8715151325517367,-0.12575159479671916,-3.338464886474468,3.571428571428571
2018-09-26,1199.27,1203.34,1197.01,1201.19,capital_com_processed_d1,chop,9.772857142857138,33.33333333333333,1207.3757736942894,1253.7232334432924,-0.8309308597124865,0.1793101147584908,-2.110684627859394,3.571428571428571
2018-09-27,1201.19,1202.44,1190.47,1196.45,capital_com_processed_d1,chop,10.124285714285715,43.25396825396825,1206.9473119807878,1253.1533505234588,-0.8125700274278169,-0.3564498263556315,-2.514442153979024,5.158730158730158
2018-09-28,1196.45,1198.52,1181.84,1183.51,capital_com_processed_d1,downtrend,10.482857142857158,51.19047619047619,1206.0282017070315,1252.460381861534,-0.8085850799613881,-0.7089164065908315,-3.2621667129849152,10.317460317460316
2018-09-29,1183.48,1193.94,1180.66,1191.51,capital_com_processed_d1,downtrend,10.30285714285716,47.61904761904761,1205.4588604636185,1251.8539104002252,-0.7952587402303313,-0.4636359079745356,-3.2543297688354067,13.095238095238097
2018-10-01,1191.89,1192.15,1190.65,1190.86,capital_com_processed_d1,downtrend,9.515000000000018,25.793650793650798,1204.886356131712,1251.2470058191286,-0.7973524852301739,-0.8492498293174444,-3.400444523759316,13.095238095238097
2018-10-02,1190.86,1192.05,1184.51,1188.99,capital_com_processed_d1,compression,8.93357142857144,13.095238095238097,1204.2629696167432,1250.627533124411,-0.788645747795147,-0.5719876571084415,-2.8737838698873586,13.492063492063492
2018-10-03,1188.99,1208.19,1188.67,1205.49,capital_com_processed_d1,chop,10.200714285714298,46.82539682539682,1204.3110884553023,1250.178403441581,-0.7278310809996746,0.7842088102264944,-1.5998824576153536,11.507936507936508
2018-10-04,1205.49,1208.25,1196.43,1197.9,capital_com_processed_d1,chop,10.18642857142858,46.42857142857143,1204.0596732217612,1249.6582203227592,-0.690254785779032,0.24435555406785436,-2.850654880175163,13.095238095238097
2018-10-05,1197.89,1206.74,1195.95,1199.01,capital_com_processed_d1,chop,10.41,51.19047619047619,1203.8616468209077,1249.154257931488,-0.656948251069911,0.16959347691689608,-2.048868955714034,13.095238095238097
2018-10-06,1199.01,1205.76,1197.2,1202.75,capital_com_processed_d1,chop,10.446428571428555,51.98412698412699,1203.818052827931,1248.6925240217222,-0.6422418767532578,-0.280235132199691,-1.640483803698034,13.095238095238097
2018-10-08,1203.18,1203.94,1202.66,1203.74,capital_com_processed_d1,chop,10.025714285714262,40.476190476190474,1203.8149919327182,1248.245235225486,-0.6118393677725043,0.13892701756137438,-1.5281163593527602,6.746031746031746
2018-10-09,1203.74,1204.04,1183.33,1190.64,capital_com_processed_d1,chop,10.12999999999998,45.23809523809524,1203.2983255824156,1247.6720488053322,-0.5972229131567919,-0.23377994519996337,-2.6053382849757334,8.73015873015873
2018-10-10,1190.65,1191.81,1183.16,1189.83,capital_com_processed_d1,chop,10.599285714285688,54.36507936507936,1202.7701559517327,1247.0965060311498,-0.5855636956240806,-0.29580344573305606,-2.7805467945680062,9.126984126984127
2018-10-11,1189.83,1194.86,1185.25,1193.87,capital_com_processed_d1,chop,10.588571428571397,54.36507936507936,1202.4211302281353,1246.5668890557156,-0.5774336924269208,-0.37634139421554025,-1.9585783267089374,8.73015873015873
2018-10-12,1193.87,1226.3,1191.22,1221.23,capital_com_processed_d1,chop,12.642142857142826,87.6984126984127,1203.158732964287,1246.3147807069026,-0.4843225819804231,1.8158322564508778,1.070098485475457,46.03174603174603
2018-10-13,1221.23,1223.42,1215.8,1217.76,capital_com_processed_d1,chop,12.331428571428546,82.53968253968253,1203.73133167157,1246.0306535356897,-0.42047518019427965,1.1504182206311109,0.3808299124585801,47.22222222222222
2018-10-15,1217.78,1220.21,1217.74,1219.17,capital_com_processed_d1,chop,11.316428571428544,66.66666666666666,1204.3367696452337,1245.763383351255,-0.3656898515044804,0.9781672409223674,0.36055614550662973,46.42857142857143
