pair_id,direction,entry_delta_seconds,control_owner,replacement_owner,baseline_source_id,baseline_entry_time,baseline_exit_time,baseline_pnl_usd,baseline_source_row,r3_source_id,r3_entry_time,r3_exit_time,r3_pnl_usd,r3_source_row,r3_minus_baseline_pnl_usd,match_basis
77,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-30 20:00:00,2025-02-10 22:35:38,121.81,98,r1_long_expansion_r3_reclass_strict_r1,2025-01-30 20:00:00,2025-02-11 00:13:28,151.76,84,29.95,validated_control_drop_metadata_same_direction_within_5m
78,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-01-31 12:00:00,2025-02-11 00:11:32,121.96,99,r1_long_expansion_r3_reclass_strict_r1,2025-01-31 12:00:00,2025-02-20 05:54:25,141.91,85,19.95,validated_control_drop_metadata_same_direction_within_5m
79,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-02-04 16:00:00,2025-02-28 07:44:35,-44.29,100,r1_long_expansion_r3_reclass_strict_r1,2025-02-04 16:00:00,2025-03-13 14:39:38,136.58,86,180.87,validated_control_drop_metadata_same_direction_within_5m
80,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-02-04 20:00:00,2025-02-28 07:44:38,-55.12,101,r1_long_expansion_r3_reclass_strict_r1,2025-02-04 20:00:00,2025-03-13 19:49:35,143.99,87,199.11,validated_control_drop_metadata_same_direction_within_5m
81,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-02-05 04:00:00,2025-02-28 07:44:38,-50.53,102,r1_long_expansion_r3_reclass_strict_r1,2025-02-05 04:00:00,2025-03-18 07:22:37,166.08,88,216.61,validated_control_drop_metadata_same_direction_within_5m
82,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-02-05 08:00:00,2025-03-13 14:39:38,136.58,103,r1_long_expansion_r3_reclass_strict_r1,2025-02-05 08:00:00,2025-03-27 13:48:41,190.71,89,54.13,validated_control_drop_metadata_same_direction_within_5m
83,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-18 04:00:00,2025-03-28 04:44:15,64.63,107,r1_long_expansion_r3_reclass_strict_r1,2025-03-18 04:00:00,2025-03-28 13:06:14,72.17,90,7.54,validated_control_drop_metadata_same_direction_within_5m
84,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-18 08:00:00,2025-03-31 04:53:29,88.58,108,r1_long_expansion_r3_reclass_strict_r1,2025-03-18 08:00:00,2025-03-31 06:12:32,96.16,91,7.58,validated_control_drop_metadata_same_direction_within_5m
85,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-18 12:00:00,2025-04-01 01:44:25,84.88,109,r1_long_expansion_r3_reclass_strict_r1,2025-03-18 12:00:00,2025-04-01 03:36:36,95.22,92,10.34,validated_control_drop_metadata_same_direction_within_5m
86,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-27 12:00:00,2025-04-01 02:12:00,104.34,110,r1_long_expansion_r3_reclass_strict_r1,2025-03-27 12:00:00,2025-04-01 03:53:13,111.76,93,7.42,validated_control_drop_metadata_same_direction_within_5m
87,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-28 04:00:00,2025-04-03 12:26:03,-69.38,111,r1_long_expansion_r3_reclass_strict_r1,2025-03-28 04:00:00,2025-04-03 12:40:36,-83.93,94,-14.55,validated_control_drop_metadata_same_direction_within_5m
88,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-31 04:00:00,2025-04-03 12:40:36,-62.37,112,r1_long_expansion_r3_reclass_strict_r1,2025-03-31 04:00:00,2025-04-04 15:36:27,-101.54,95,-39.17,validated_control_drop_metadata_same_direction_within_5m
89,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-31 08:00:00,2025-04-03 12:40:37,-45.13,113,r1_long_expansion_r3_reclass_strict_r1,2025-03-31 08:00:00,2025-04-04 15:36:28,-84.23,96,-39.1,validated_control_drop_metadata_same_direction_within_5m
90,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-03-31 20:00:00,2025-04-03 12:40:38,-62.58,114,r1_long_expansion_r3_reclass_strict_r1,2025-03-31 20:00:00,2025-04-04 15:36:29,-101.57,97,-38.99,validated_control_drop_metadata_same_direction_within_5m
91,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-04-01 04:00:00,2025-04-06 22:00:00,-65.91,115,r1_long_expansion_r3_reclass_strict_r1,2025-04-01 04:00:00,2025-04-06 22:06:00,-74.67,98,-8.76,validated_control_drop_metadata_same_direction_within_5m
92,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-08-27 20:00:00,2025-09-01 06:33:01,89.94,120,r1_long_expansion_r3_reclass_strict_r1,2025-08-27 20:00:00,2025-09-01 06:33:01,89.94,104,0.0,validated_control_drop_metadata_same_direction_within_5m
93,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-08-28 12:00:00,2025-09-02 14:44:41,105.67,121,r1_long_expansion_r3_reclass_strict_r1,2025-08-28 12:00:00,2025-09-02 14:44:41,105.67,105,0.0,validated_control_drop_metadata_same_direction_within_5m
94,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-08-28 16:00:00,2025-09-02 18:29:05,119.34,122,r1_long_expansion_r3_reclass_strict_r1,2025-08-28 16:00:00,2025-09-02 18:29:05,119.34,106,0.0,validated_control_drop_metadata_same_direction_within_5m
95,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-08-28 20:00:00,2025-09-03 14:24:31,141.73,123,r1_long_expansion_r3_reclass_strict_r1,2025-08-28 20:00:00,2025-09-03 14:24:31,141.73,107,0.0,validated_control_drop_metadata_same_direction_within_5m
96,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-08-29 16:00:00,2025-09-05 13:46:42,143.29,124,r1_long_expansion_r3_reclass_strict_r1,2025-08-29 16:00:00,2025-09-08 13:46:30,188.41,108,45.12,validated_control_drop_metadata_same_direction_within_5m
97,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-05 16:00:00,2025-12-22 15:45:28,190.63,127,r1_long_expansion_r3_reclass_strict_r1,2025-12-05 16:00:00,2025-12-22 05:27:42,160.61,127,-30.02,validated_control_drop_metadata_same_direction_within_5m
98,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-11 16:00:00,2025-12-23 01:01:24,221.14,128,r1_long_expansion_r3_reclass_strict_r1,2025-12-11 16:00:00,2025-12-22 14:17:41,172.03,128,-49.11,validated_control_drop_metadata_same_direction_within_5m
99,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-11 20:00:00,2025-12-23 01:06:42,206.99,129,r1_long_expansion_r3_reclass_strict_r1,2025-12-11 20:00:00,2025-12-23 01:06:42,206.99,129,0.0,validated_control_drop_metadata_same_direction_within_5m
100,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-12 08:00:00,2025-12-23 02:43:41,210.39,130,r1_long_expansion_r3_reclass_strict_r1,2025-12-12 08:00:00,2025-12-24 01:23:35,234.18,130,23.79,validated_control_drop_metadata_same_direction_within_5m
101,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-12 12:00:00,2025-12-29 07:03:39,-98.32,131,r1_long_expansion_r3_reclass_strict_r1,2025-12-12 12:00:00,2025-12-29 15:22:30,-177.45,131,-79.13,validated_control_drop_metadata_same_direction_within_5m
102,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-22 04:00:00,2025-12-29 15:05:42,-148.82,132,r1_long_expansion_r3_reclass_strict_r1,2025-12-22 04:00:00,2025-12-29 15:22:30,-184.15,132,-35.33,validated_control_drop_metadata_same_direction_within_5m
103,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-22 08:00:00,2025-12-29 15:05:42,-155.52,133,r1_long_expansion_r3_reclass_strict_r1,2025-12-22 08:00:00,2025-12-29 15:22:30,-181.52,133,-26.0,validated_control_drop_metadata_same_direction_within_5m
104,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-22 16:00:00,2025-12-29 15:05:42,-152.93,134,r1_long_expansion_r3_reclass_strict_r1,2025-12-22 16:00:00,2025-12-29 15:22:31,-84.01,134,68.92,validated_control_drop_metadata_same_direction_within_5m
105,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-23 04:00:00,2025-12-29 15:22:30,-83.28,135,r1_long_expansion_r3_reclass_strict_r1,2025-12-23 04:00:00,2025-12-29 15:22:31,-123.21,135,-39.93,validated_control_drop_metadata_same_direction_within_5m
106,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-23 12:00:00,2025-12-29 15:22:30,-122.48,136,r1_long_expansion_r3_reclass_strict_r1,2025-12-23 12:00:00,2025-12-29 15:22:31,-105.75,136,16.73,validated_control_drop_metadata_same_direction_within_5m
107,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2025-12-23 20:00:00,2025-12-29 15:22:30,-105.02,137,r1_long_expansion_r3_reclass_strict_r1,2025-12-23 20:00:00,2026-01-18 23:16:42,332.64,137,437.66,validated_control_drop_metadata_same_direction_within_5m
108,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2026-01-20 08:00:00,2026-01-22 23:08:40,336.84,142,r1_long_expansion_r3_reclass_strict_r1,2026-01-20 08:00:00,2026-01-26 01:31:40,358.86,138,22.02,validated_control_drop_metadata_same_direction_within_5m
109,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2026-01-20 12:00:00,2026-01-23 00:04:05,229.84,143,r1_long_expansion_r3_reclass_strict_r1,2026-01-20 12:00:00,2026-01-27 20:09:41,392.71,139,162.87,validated_control_drop_metadata_same_direction_within_5m
110,LONG,0.0,h4_d1_long_best_box2_atr80,r1_long_expansion_r3_reclass_strict_r1,h4_d1_long_best_box2_atr80,2026-01-20 20:00:00,2026-01-26 00:33:28,285.23,144,r1_long_expansion_r3_reclass_strict_r1,2026-01-20 20:00:00,2026-01-28 01:41:38,448.06,140,162.83,validated_control_drop_metadata_same_direction_within_5m
