candidate,family,symbol,time_bucket,direction,normalized_direction,m5_bar_time,broker_status,broker_outcome,broker_profit_aed,v1_replay_status,v1_replay_outcome,v1_replay_net_r,v1_outcome_match,v1_pnl_sign_match,v2_replay_model,v2_replay_status,v2_replay_outcome,v2_replay_entry_price,v2_replay_synthetic_stop_loss,v2_replay_synthetic_take_profit,v2_replay_signal_risk_points,v2_replay_spread_points,v2_replay_net_r,v2_outcome_match,v2_pnl_sign_match,v1_vs_v2_outcome_same
round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:15:00,BROKER_CLOSED_LOSS,LOSS,-38.54,REPLAY_TP,WIN,1.395843,false,false,executor_v2,REPLAY_SL,LOSS,4135.835000,4151.570000,4112.232500,1573.500000,75.000000,-1.047664,true,true,false
round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:25:00,BROKER_CLOSED_WIN,WIN,75.49,REPLAY_SL,LOSS,-1.091446,false,false,executor_v2,REPLAY_SL,LOSS,4140.785000,4143.785000,4136.285000,300.000000,75.000000,-1.250000,false,false,true
round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:45:00,BROKER_CLOSED_LOSS,LOSS,-32.22,REPLAY_SL,LOSS,-1.041505,true,true,executor_v2,REPLAY_SL,LOSS,4157.265000,4173.860000,4132.372500,1659.500000,75.000000,-1.045194,true,true,true
round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 15:10:00,BROKER_CLOSED_WIN,WIN,94.14,REPLAY_TP,WIN,1.448308,true,true,executor_v2,REPLAY_TP,WIN,4122.835000,4137.360000,4101.047500,1452.500000,75.000000,1.448365,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 16:15:00,BROKER_CLOSED_LOSS,LOSS,-25.42,REPLAY_SL,LOSS,-1.092398,true,true,executor_v2,REPLAY_TP,WIN,4132.475000,4135.475000,4127.975000,300.000000,75.000000,1.250000,false,false,false
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 16:45:00,BROKER_CLOSED_WIN,WIN,98.25,REPLAY_SL,LOSS,-1.102953,false,false,executor_v2,REPLAY_SL,LOSS,4119.805000,4132.980000,4100.042500,1317.500000,75.000000,-1.056926,false,false,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 18:40:00,BROKER_CLOSED_WIN,WIN,50.19,REPLAY_TP,WIN,1.329542,true,true,executor_v2,REPLAY_TP,WIN,4104.525000,4113.160000,4091.572500,863.500000,75.000000,1.413144,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 18:45:00,BROKER_CLOSED_WIN,WIN,59.30,REPLAY_TP,WIN,1.324030,true,true,executor_v2,REPLAY_TP,WIN,4103.945000,4110.590000,4093.977500,664.500000,75.000000,1.387133,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.10 20:20:00,BROKER_CLOSED_LOSS,LOSS,-36.89,REPLAY_SL,LOSS,-1.156858,true,true,executor_v2,REPLAY_SL,LOSS,4076.765000,4068.540000,4089.102500,822.500000,75.000000,-1.091185,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 20:50:00,BROKER_CLOSED_LOSS,LOSS,-33.18,REPLAY_TP,WIN,1.366335,false,false,executor_v2,REPLAY_TP,WIN,4068.505000,4076.660000,4056.272500,815.500000,75.000000,1.408032,false,false,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 22:10:00,BROKER_CLOSED_WIN,WIN,53.46,REPLAY_TP,WIN,1.447834,true,true,executor_v2,REPLAY_TP,WIN,4055.545000,4072.960000,4029.422500,1741.500000,75.000000,1.456934,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 00:15:00,BROKER_CLOSED_LOSS,LOSS,-34.76,REPLAY_TP,WIN,1.435389,false,false,executor_v2,REPLAY_TP,WIN,4065.325000,4038.360000,4105.772500,2696.500000,75.000000,1.472186,false,false,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 00:20:00,BROKER_CLOSED_LOSS,LOSS,-16.50,REPLAY_TP,WIN,1.463785,false,false,executor_v2,REPLAY_TP,WIN,4062.175000,4034.600000,4103.537500,2757.500000,75.000000,1.472801,false,false,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.11 03:30:00,BROKER_CLOSED_LOSS,LOSS,-44.09,REPLAY_TP,WIN,1.388963,false,false,executor_v2,REPLAY_TP,WIN,4067.705000,4058.990000,4080.777500,871.500000,75.000000,1.413941,false,false,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.11 03:50:00,BROKER_CLOSED_LOSS,LOSS,-37.51,REPLAY_SL,LOSS,-1.112049,true,true,executor_v2,REPLAY_SL,LOSS,4072.515000,4075.515000,4068.015000,300.000000,75.000000,-1.250000,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.11 04:05:00,BROKER_CLOSED_LOSS,LOSS,-32.22,REPLAY_SL,LOSS,-1.188130,true,true,executor_v2,REPLAY_SL,LOSS,4079.475000,4083.130000,4073.992500,365.500000,75.000000,-1.205198,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.11 04:15:00,BROKER_CLOSED_WIN,WIN,63.41,REPLAY_TP,WIN,1.430217,true,true,executor_v2,REPLAY_TP,WIN,4081.705000,4069.150000,4100.537500,1255.500000,75.000000,1.440263,true,true,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.11 11:40:00,BROKER_CLOSED_LOSS,LOSS,-18.19,REPLAY_TP,WIN,1.412080,false,false,executor_v2,REPLAY_TP,WIN,4084.255000,4096.300000,4066.187500,1204.500000,75.000000,1.437733,false,false,true
round_number_retest_v0,round,XAUUSD,Evening 16:00-19:59,LONG,BUY,2026.06.11 13:50:00,BROKER_CLOSED_LOSS,LOSS,-18.00,REPLAY_SL,LOSS,-1.059396,true,true,executor_v2,REPLAY_SL,LOSS,4085.235000,4065.850000,4114.312500,1938.500000,75.000000,-1.038690,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 16:25:00,BROKER_CLOSED_LOSS,LOSS,-29.98,REPLAY_TP,WIN,1.438886,false,false,executor_v2,REPLAY_SL,LOSS,4078.975000,4108.200000,4035.137500,2922.500000,75.000000,-1.025663,true,true,false
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 17:45:00,BROKER_CLOSED_LOSS,LOSS,-57.98,REPLAY_SL,LOSS,-1.042676,true,true,executor_v2,REPLAY_SL,LOSS,4154.635000,4136.860000,4181.297500,1777.500000,75.000000,-1.042194,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:00:00,BROKER_CLOSED_WIN,WIN,56.58,REPLAY_SL,LOSS,-1.047644,false,false,executor_v2,REPLAY_SL,LOSS,4138.405000,4162.530000,4102.217500,2412.500000,75.000000,-1.031088,false,false,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:10:00,BROKER_CLOSED_LOSS,LOSS,-38.76,REPLAY_SL,LOSS,-1.036066,true,true,executor_v2,REPLAY_SL,LOSS,4146.165000,4156.890000,4130.077500,1072.500000,75.000000,-1.069930,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 18:20:00,BROKER_CLOSED_WIN,WIN,64.91,REPLAY_TP,WIN,1.443612,true,true,executor_v2,REPLAY_TP,WIN,4155.985000,4133.410000,4189.847500,2257.500000,75.000000,1.466777,true,true,true
round_number_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:30:00,BROKER_CLOSED_LOSS,LOSS,-76.58,REPLAY_SL,LOSS,-1.058368,true,true,executor_v2,REPLAY_SL,LOSS,4153.465000,4163.870000,4137.857500,1040.500000,75.000000,-1.072081,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 03:50:00,BROKER_CLOSED_WIN,WIN,38.59,REPLAY_TP,WIN,1.388972,true,true,executor_v2,REPLAY_TP,WIN,4199.885000,4205.380000,4191.642500,549.500000,75.000000,1.363512,true,true,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 04:05:00,BROKER_CLOSED_LOSS,LOSS,-25.54,REPLAY_TP,WIN,1.359561,false,false,executor_v2,REPLAY_TP,WIN,4195.675000,4201.790000,4186.502500,611.500000,75.000000,1.377351,false,false,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 04:10:00,BROKER_CLOSED_LOSS,LOSS,-40.16,REPLAY_TP,WIN,1.415180,false,false,executor_v2,REPLAY_TP,WIN,4193.785000,4201.410000,4182.347500,762.500000,75.000000,1.401639,false,false,true
round_number_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 06:45:00,BROKER_CLOSED_LOSS,LOSS,-41.33,REPLAY_SL,LOSS,-1.125196,true,true,executor_v2,REPLAY_SL,LOSS,4175.675000,4181.840000,4166.427500,616.500000,75.000000,-1.121655,true,true,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.12 09:55:00,BROKER_CLOSED_LOSS,LOSS,-19.44,UNRESOLVED_REPLAY_NO_SL_TP_HIT,UNRESOLVED,,false,false,executor_v2,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,UNRESOLVED,,,,,,,false,false,true
round_number_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.12 10:10:00,BROKER_CLOSED_LOSS,LOSS,-39.90,UNRESOLVED_REPLAY_NO_SL_TP_HIT,UNRESOLVED,,false,false,executor_v2,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,UNRESOLVED,,,,,,,false,false,true
swing_breakout_retest_v0,breakout,EURUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 23:25:00,BROKER_CLOSED_WIN,WIN,27.86,REPLAY_SL,LOSS,-1.091170,false,false,executor_v2,REPLAY_SL,LOSS,1.153525,1.154525,1.152025,100.000000,7.000000,-1.070000,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.08 11:15:00,BROKER_CLOSED_LOSS,LOSS,-28.22,REPLAY_TP,WIN,1.388675,false,false,executor_v2,REPLAY_SL,LOSS,4327.245000,4299.320000,4369.132500,2792.500000,75.000000,-1.026858,true,true,false
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.09 04:45:00,BROKER_CLOSED_LOSS,LOSS,-20.68,REPLAY_SL,LOSS,-1.128698,true,true,executor_v2,REPLAY_SL,LOSS,4328.645000,4331.645000,4324.145000,300.000000,75.000000,-1.250000,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.09 23:20:00,BROKER_CLOSED_WIN,WIN,43.55,REPLAY_TP,WIN,1.403745,true,true,executor_v2,REPLAY_TP,WIN,4226.855000,4243.340000,4202.127500,1648.500000,75.000000,1.454504,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.10 04:30:00,BROKER_CLOSED_WIN,WIN,33.59,REPLAY_SL,LOSS,-1.104938,false,false,executor_v2,REPLAY_SL,LOSS,4173.865000,4183.350000,4159.637500,948.500000,75.000000,-1.079072,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.10 05:05:00,BROKER_CLOSED_LOSS,LOSS,-54.15,REPLAY_SL,LOSS,-1.283511,true,true,executor_v2,REPLAY_SL,LOSS,4176.095000,4179.095000,4171.595000,300.000000,75.000000,-1.250000,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.10 05:15:00,BROKER_CLOSED_LOSS,LOSS,-45.26,REPLAY_TP,WIN,1.369056,false,false,executor_v2,REPLAY_TP,WIN,4176.825000,4173.060000,4182.472500,376.500000,75.000000,1.300797,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.10 09:00:00,BROKER_CLOSED_LOSS,LOSS,-11.57,REPLAY_SL,LOSS,-1.119592,true,true,executor_v2,REPLAY_SL,LOSS,4166.605000,4177.220000,4150.682500,1061.500000,75.000000,-1.070655,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.10 10:20:00,BROKER_CLOSED_LOSS,LOSS,-28.58,REPLAY_TP,WIN,1.397270,false,false,executor_v2,REPLAY_SL,LOSS,4166.965000,4154.910000,4185.047500,1205.500000,75.000000,-1.062215,true,true,false
symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:15:00,BROKER_CLOSED_LOSS,LOSS,-36.37,REPLAY_TP,WIN,1.395843,false,false,executor_v2,REPLAY_SL,LOSS,4135.835000,4151.570000,4112.232500,1573.500000,75.000000,-1.047664,true,true,false
symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:25:00,BROKER_CLOSED_WIN,WIN,76.54,REPLAY_SL,LOSS,-1.091446,false,false,executor_v2,REPLAY_SL,LOSS,4140.785000,4143.785000,4136.285000,300.000000,75.000000,-1.250000,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 12:45:00,BROKER_CLOSED_LOSS,LOSS,-30.71,REPLAY_SL,LOSS,-1.041505,true,true,executor_v2,REPLAY_SL,LOSS,4157.265000,4173.860000,4132.372500,1659.500000,75.000000,-1.045194,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,SHORT,SELL,2026.06.10 15:10:00,BROKER_CLOSED_WIN,WIN,92.74,REPLAY_TP,WIN,1.448308,true,true,executor_v2,REPLAY_TP,WIN,4122.835000,4137.360000,4101.047500,1452.500000,75.000000,1.448365,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 16:15:00,BROKER_CLOSED_LOSS,LOSS,-24.69,REPLAY_SL,LOSS,-1.092398,true,true,executor_v2,REPLAY_TP,WIN,4132.475000,4135.475000,4127.975000,300.000000,75.000000,1.250000,false,false,false
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 16:45:00,BROKER_CLOSED_WIN,WIN,99.52,REPLAY_SL,LOSS,-1.102953,false,false,executor_v2,REPLAY_SL,LOSS,4119.805000,4132.980000,4100.042500,1317.500000,75.000000,-1.056926,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 18:40:00,BROKER_CLOSED_WIN,WIN,50.04,REPLAY_TP,WIN,1.329542,true,true,executor_v2,REPLAY_TP,WIN,4104.525000,4113.160000,4091.572500,863.500000,75.000000,1.413144,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 18:45:00,BROKER_CLOSED_WIN,WIN,58.85,REPLAY_TP,WIN,1.324030,true,true,executor_v2,REPLAY_TP,WIN,4103.945000,4110.590000,4093.977500,664.500000,75.000000,1.387133,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.10 20:20:00,BROKER_CLOSED_LOSS,LOSS,-35.68,REPLAY_SL,LOSS,-1.156858,true,true,executor_v2,REPLAY_SL,LOSS,4076.765000,4068.540000,4089.102500,822.500000,75.000000,-1.091185,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 20:50:00,BROKER_CLOSED_LOSS,LOSS,-33.99,REPLAY_TP,WIN,1.366335,false,false,executor_v2,REPLAY_TP,WIN,4068.505000,4076.660000,4056.272500,815.500000,75.000000,1.408032,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.10 22:10:00,BROKER_CLOSED_WIN,WIN,53.79,REPLAY_TP,WIN,1.447834,true,true,executor_v2,REPLAY_TP,WIN,4055.545000,4072.960000,4029.422500,1741.500000,75.000000,1.456934,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 00:15:00,BROKER_CLOSED_LOSS,LOSS,-33.95,REPLAY_TP,WIN,1.435389,false,false,executor_v2,REPLAY_TP,WIN,4065.325000,4038.360000,4105.772500,2696.500000,75.000000,1.472186,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 00:20:00,BROKER_CLOSED_LOSS,LOSS,-16.50,REPLAY_TP,WIN,1.463785,false,false,executor_v2,REPLAY_TP,WIN,4062.175000,4034.600000,4103.537500,2757.500000,75.000000,1.472801,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.11 03:30:00,BROKER_CLOSED_LOSS,LOSS,-43.29,REPLAY_TP,WIN,1.388963,false,false,executor_v2,REPLAY_TP,WIN,4067.705000,4058.990000,4080.777500,871.500000,75.000000,1.413941,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.11 03:50:00,BROKER_CLOSED_LOSS,LOSS,-37.81,REPLAY_SL,LOSS,-1.112049,true,true,executor_v2,REPLAY_SL,LOSS,4072.515000,4075.515000,4068.015000,300.000000,75.000000,-1.250000,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.11 04:05:00,BROKER_CLOSED_LOSS,LOSS,-33.32,REPLAY_SL,LOSS,-1.188130,true,true,executor_v2,REPLAY_SL,LOSS,4079.475000,4083.130000,4073.992500,365.500000,75.000000,-1.205198,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,LONG,BUY,2026.06.11 04:15:00,BROKER_CLOSED_WIN,WIN,64.25,REPLAY_TP,WIN,1.430217,true,true,executor_v2,REPLAY_TP,WIN,4081.705000,4069.150000,4100.537500,1255.500000,75.000000,1.440263,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.11 11:40:00,BROKER_CLOSED_LOSS,LOSS,-18.19,REPLAY_TP,WIN,1.412080,false,false,executor_v2,REPLAY_TP,WIN,4084.255000,4096.300000,4066.187500,1204.500000,75.000000,1.437733,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Evening 16:00-19:59,LONG,BUY,2026.06.11 13:50:00,BROKER_CLOSED_LOSS,LOSS,-16.17,REPLAY_SL,LOSS,-1.059396,true,true,executor_v2,REPLAY_SL,LOSS,4085.235000,4065.850000,4114.312500,1938.500000,75.000000,-1.038690,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 16:25:00,BROKER_CLOSED_LOSS,LOSS,-28.55,REPLAY_TP,WIN,1.438886,false,false,executor_v2,REPLAY_SL,LOSS,4078.975000,4108.200000,4035.137500,2922.500000,75.000000,-1.025663,true,true,false
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 17:45:00,BROKER_CLOSED_LOSS,LOSS,-57.06,REPLAY_SL,LOSS,-1.042676,true,true,executor_v2,REPLAY_SL,LOSS,4154.635000,4136.860000,4181.297500,1777.500000,75.000000,-1.042194,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:00:00,BROKER_CLOSED_WIN,WIN,56.54,REPLAY_SL,LOSS,-1.047644,false,false,executor_v2,REPLAY_SL,LOSS,4138.405000,4162.530000,4102.217500,2412.500000,75.000000,-1.031088,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:10:00,BROKER_CLOSED_LOSS,LOSS,-37.92,REPLAY_SL,LOSS,-1.036066,true,true,executor_v2,REPLAY_SL,LOSS,4146.165000,4156.890000,4130.077500,1072.500000,75.000000,-1.069930,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,LONG,BUY,2026.06.11 18:20:00,BROKER_CLOSED_WIN,WIN,64.66,REPLAY_TP,WIN,1.443612,true,true,executor_v2,REPLAY_TP,WIN,4155.985000,4133.410000,4189.847500,2257.500000,75.000000,1.466777,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Night 20:00-05:59,SHORT,SELL,2026.06.11 18:30:00,BROKER_CLOSED_LOSS,LOSS,-76.43,REPLAY_SL,LOSS,-1.058368,true,true,executor_v2,REPLAY_SL,LOSS,4153.465000,4163.870000,4137.857500,1040.500000,75.000000,-1.072081,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 03:50:00,BROKER_CLOSED_WIN,WIN,39.03,REPLAY_TP,WIN,1.388972,true,true,executor_v2,REPLAY_TP,WIN,4199.885000,4205.380000,4191.642500,549.500000,75.000000,1.363512,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 04:05:00,BROKER_CLOSED_LOSS,LOSS,-25.61,REPLAY_TP,WIN,1.359561,false,false,executor_v2,REPLAY_TP,WIN,4195.675000,4201.790000,4186.502500,611.500000,75.000000,1.377351,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 04:10:00,BROKER_CLOSED_LOSS,LOSS,-40.74,REPLAY_TP,WIN,1.415180,false,false,executor_v2,REPLAY_TP,WIN,4193.785000,4201.410000,4182.347500,762.500000,75.000000,1.401639,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Morning 06:00-11:59,SHORT,SELL,2026.06.12 06:45:00,BROKER_CLOSED_LOSS,LOSS,-41.33,REPLAY_SL,LOSS,-1.125196,true,true,executor_v2,REPLAY_SL,LOSS,4175.675000,4181.840000,4166.427500,616.500000,75.000000,-1.121655,true,true,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,SHORT,SELL,2026.06.12 09:55:00,BROKER_CLOSED_LOSS,LOSS,-19.44,UNRESOLVED_REPLAY_NO_SL_TP_HIT,UNRESOLVED,,false,false,executor_v2,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,UNRESOLVED,,,,,,,false,false,true
symbol_normalized_round_retest_v0,round,XAUUSD,Afternoon 12:00-15:59,LONG,BUY,2026.06.12 10:10:00,BROKER_CLOSED_LOSS,LOSS,-40.16,UNRESOLVED_REPLAY_NO_SL_TP_HIT,UNRESOLVED,,false,false,executor_v2,UNRESOLVED_REPLAY_NO_EXECUTOR_ENTRY_BAR,UNRESOLVED,,,,,,,false,false,true
