time_utc,event,trade_id,source,direction,decision,equity_usd,active_trades,active_gross_lots
2021-01-26T09:00:00Z,ENTRY,T00478,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-26T10:00:00Z,ENTRY,T00479,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-26T15:00:00Z,ENTRY,T00480,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-27T06:00:00Z,ENTRY,T00481,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-27T08:00:00Z,ENTRY,T00482,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-27T16:00:00Z,ENTRY,T00483,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-27T19:00:00Z,ENTRY,T00484,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-27T23:00:00Z,ENTRY,T00485,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-28T01:00:00Z,ENTRY,T00486,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-28T20:00:00Z,ENTRY,T00487,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-29T00:00:00Z,ENTRY,T00488,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-01-29T02:00:00Z,ENTRY,T00489,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-04T01:00:00Z,ENTRY,T00490,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-04T02:00:00Z,ENTRY,T00491,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-04T10:00:00Z,ENTRY,T00492,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-14T23:00:00Z,ENTRY,T00493,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-15T07:00:00Z,ENTRY,T00494,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-15T13:00:00Z,ENTRY,T00495,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-16T11:00:00Z,ENTRY,T00496,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-16T12:00:00Z,ENTRY,T00497,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
