period,date,dominant_regime,dominant_share_pct,bars
last_3_months_2026_04_01_to_2026_06_30,2026-05-05,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-06,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-07,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-08,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-05-10,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-05-11,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-12,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-13,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-14,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-15,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-05-17,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-05-18,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-19,downtrend,95.65,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-20,downtrend,82.61,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-21,downtrend,69.57,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-22,downtrend,80.95,252
last_3_months_2026_04_01_to_2026_06_30,2026-05-24,downtrend,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-05-25,chop,100.0,246
last_3_months_2026_04_01_to_2026_06_30,2026-05-26,chop,52.17,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-27,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-28,downtrend,69.57,276
last_3_months_2026_04_01_to_2026_06_30,2026-05-29,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-05-31,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-06-01,chop,82.61,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-02,chop,65.22,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-03,downtrend,82.61,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-04,downtrend,69.57,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-05,downtrend,95.24,252
last_3_months_2026_04_01_to_2026_06_30,2026-06-07,downtrend,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-06-08,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-09,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-10,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-11,downtrend,82.61,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-12,chop,100.0,252
last_3_months_2026_04_01_to_2026_06_30,2026-06-14,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-06-15,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-16,chop,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-17,chop,95.65,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-18,downtrend,65.22,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-19,downtrend,100.0,204
last_3_months_2026_04_01_to_2026_06_30,2026-06-21,downtrend,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-06-22,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-23,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-24,downtrend,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-25,shock,100.0,276
last_3_months_2026_04_01_to_2026_06_30,2026-06-26,downtrend,76.19,252
last_3_months_2026_04_01_to_2026_06_30,2026-06-28,chop,100.0,24
last_3_months_2026_04_01_to_2026_06_30,2026-06-29,chop,69.57,276
