dedup_key,entry_minute,entry_date,entry_time,time_bucket,account,account_role,lane,symbol,direction,volume,selected_candidate,selected_family,selected_status,selected_position_ticket,selected_profit_aed,selected_outcome,group_size,duplicate_count,group_raw_profit_aed,candidate_members,family_members,has_round_family,has_breakout_core,has_p2weakness,actual_join_status,entry_price,sl,tp,magic,entry_comment,exit_comment,cost_join_status,cost_r,spread_points,stop_distance_points,result_r,is_breakout_core,is_round_family,is_evening_night,is_morning_afternoon,is_protected_breakout_cluster,is_mixed_family_group
2026-06-16 06:35|XAUUSD|BUY|0.01,2026-06-16 06:35,2026-06-16,2026-06-16 06:35:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095110,-12.79,LOSS,1,0,-12.79,round_number_retest_v0,round_family,true,false,false,MATCHED,4318.27,4314.95,4323.19,920401,P2DEMO_round_XAUUSD,[sl 4314.95],COST_KNOWN,0.2276,75.00000,329.51000,-1.0561,false,true,false,true,false,false
2026-06-16 06:30|XAUUSD|BUY|0.01,2026-06-16 06:30,2026-06-16,2026-06-16 06:30:00,Morning 06:00-11:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4095060,16.52,WIN,1,0,16.52,round_number_retest_v0,round_family,true,false,false,MATCHED,4313.26,4310.26,4317.76,920401,P2DEMO_round_XAUUSD,[tp 4317.76],COST_KNOWN,0.1667,50.00000,300.00000,1.5000,false,true,false,true,false,false
2026-06-16 05:35|XAUUSD|SELL|0.01,2026-06-16 05:35,2026-06-16,2026-06-16 05:35:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4094215,-25.06,LOSS,1,0,-25.06,round_number_retest_v0,round_family,true,false,false,MATCHED,4315.42,4322.02,4305.59,920401,P2DEMO_round_XAUUSD,[sl 4322.02],COST_KNOWN,0.0760,50.00000,657.49000,-1.0373,false,true,true,false,false,false
2026-06-16 05:25|XAUUSD|BUY|0.01,2026-06-16 05:25,2026-06-16,2026-06-16 05:25:01,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4094014,-12.01,LOSS,1,0,-12.01,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4319.72,4316.46,4324.56,920201,P2DEMO_swing_br_XAUUSD,[sl 4316.46],COST_KNOWN,0.1543,50.00000,324.14000,-1.0088,true,false,true,false,true,false
2026-06-16 05:20|XAUUSD|SELL|0.01,2026-06-16 05:20,2026-06-16,2026-06-16 05:20:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4093740,-18.55,LOSS,1,0,-18.55,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4319.05,4324.25,4311.08,920301,P2DEMO_sn_round_XAUUSD,[sl 4324.25],COST_KNOWN,0.0949,50.00000,526.61000,-0.9590,false,true,true,false,false,false
2026-06-16 05:10|XAUUSD|SELL|0.01,2026-06-16 05:10,2026-06-16,2026-06-16 05:10:01,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4093607,-36.56,LOSS,1,0,-36.56,round_number_retest_v0,round_family,true,false,false,MATCHED,4318.76,4328.62,4303.92,920401,P2DEMO_round_XAUUSD,[sl 4328.62],COST_KNOWN,0.0506,50.00000,987.89000,-1.0072,false,true,true,false,false,false
2026-06-16 04:45|XAUUSD|SELL|0.01,2026-06-16 04:45,2026-06-16,2026-06-16 04:45:01,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4093100,-16.98,LOSS,1,0,-16.98,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4310.79,4315.36,4304.24,920201,P2DEMO_swing_br_XAUUSD,[sl 4315.36],COST_KNOWN,0.1686,75.00000,444.76000,-1.0388,true,false,true,false,true,false
2026-06-16 03:55|XAUUSD|BUY|0.01,2026-06-16 03:55,2026-06-16,2026-06-16 03:55:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4092501,-20.43,LOSS,1,0,-20.43,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4319.01,4313.35,4327.35,920201,P2DEMO_swing_br_XAUUSD,[sl 4313.35],COST_KNOWN,0.0893,50.00000,560.14000,-0.9926,true,false,true,false,true,false
2026-06-16 02:45|XAUUSD|BUY|0.01,2026-06-16 02:45,2026-06-16,2026-06-16 02:45:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,round_number_retest_v0,round_family,PROVISIONAL,4092063,16.34,WIN,1,0,16.34,round_number_retest_v0,round_family,true,false,false,MATCHED,4312.73,4309.68,4317.18,920401,P2DEMO_round_XAUUSD,[tp 4317.18],COST_KNOWN,0.2500,75.00000,300.00000,1.4833,false,true,true,false,false,false
2026-06-16 02:40|XAUUSD|BUY|0.01,2026-06-16 02:40,2026-06-16,2026-06-16 02:40:01,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,breakout_retest,breakout_core,ACCEPTED,4092043,27.68,WIN,1,0,27.68,breakout_retest,breakout_core,false,true,false,MATCHED,4311.67,4306.41,4319.21,920101,P2DEMO_br_XAUUSD,[tp 4319.21],COST_KNOWN,0.1464,75.00000,512.20000,1.4721,true,false,true,false,true,false
2026-06-16 02:20|XAUUSD|BUY|0.01,2026-06-16 02:20,2026-06-16,2026-06-16 02:20:02,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,breakout_retest,breakout_core,ACCEPTED,4091841,30.03,WIN,1,0,30.03,breakout_retest,breakout_core,false,true,false,MATCHED,4311.05,4305.60,4319.23,920101,P2DEMO_br_XAUUSD,[tp 4319.23],COST_KNOWN,0.0917,50.00000,545.28000,1.5001,true,false,true,false,true,false
2026-06-16 02:10|XAUUSD|BUY|0.01,2026-06-16 02:10,2026-06-16,2026-06-16 02:10:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,breakout_retest,breakout_core,ACCEPTED,4091735,-18.12,LOSS,2,1,-36.24,breakout_retest;round_number_retest_v0,breakout_core;round_family,true,true,false,MATCHED,4314.34,4309.15,4322.13,920101,P2DEMO_br_XAUUSD,[sl 4309.15],COST_KNOWN,0.1445,75.00000,519.01000,-0.9499,true,false,true,false,true,true
2026-06-16 02:05|XAUUSD|BUY|0.01,2026-06-16 02:05,2026-06-16,2026-06-16 02:05:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,breakout_retest,breakout_core,ACCEPTED,4091700,-14.00,LOSS,1,0,-14.00,breakout_retest,breakout_core,false,true,false,MATCHED,4313.61,4309.81,4318.89,920101,P2DEMO_br_XAUUSD,[sl 4309.81],COST_KNOWN,0.2064,75.00000,363.31000,-1.0487,true,false,true,false,true,false
2026-06-16 00:50|XAUUSD|BUY|0.01,2026-06-16 00:50,2026-06-16,2026-06-16 00:50:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,breakout_retest,breakout_core,ACCEPTED,4091527,-19.36,LOSS,1,0,-19.36,breakout_retest,breakout_core,false,true,false,MATCHED,4310.63,4305.90,4317.27,920101,P2DEMO_br_XAUUSD,[sl 4305.90],COST_KNOWN,0.1100,50.00000,454.69000,-1.0073,true,false,true,false,true,false
2026-06-16 00:15|XAUUSD|SELL|0.01,2026-06-16 00:15,2026-06-16,2026-06-16 00:15:01,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4091086,-11.46,LOSS,1,0,-11.46,round_number_retest_v0,round_family,true,false,false,MATCHED,4315.86,4318.86,4311.36,920401,P2DEMO_round_XAUUSD,[sl 4318.86],COST_KNOWN,0.1667,50.00000,300.00000,-1.0400,false,true,true,false,false,false
2026-06-16 00:10|XAUUSD|SELL|0.01,2026-06-16 00:10,2026-06-16,2026-06-16 00:10:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,breakout_retest,breakout_core,ACCEPTED,4090995,16.78,WIN,2,1,33.56,breakout_retest;round_number_retest_v0,breakout_core;round_family,true,true,false,MATCHED,4319.05,4322.45,4314.48,920101,P2DEMO_br_XAUUSD,[tp 4314.48],COST_KNOWN,0.1568,50.00000,318.79000,1.4335,true,false,true,false,true,true
2026-06-15 23:10|XAUUSD|SELL|0.01,2026-06-15 23:10,2026-06-15,2026-06-15 23:10:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4089437,29.59,WIN,1,0,29.59,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4321.49,4326.96,4313.43,920301,P2DEMO_sn_round_XAUUSD,[tp 4313.43],COST_KNOWN,0.0924,50.00000,541.09000,1.4896,false,true,true,false,false,false
2026-06-15 22:35|XAUUSD|SELL|0.01,2026-06-15 22:35,2026-06-15,2026-06-15 22:35:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4087561,-15.43,LOSS,1,0,-15.43,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4323.09,4327.28,4316.78,920301,P2DEMO_sn_round_XAUUSD,[sl 4327.28],COST_KNOWN,0.1190,50.00000,420.09000,-0.9998,false,true,true,false,false,false
2026-06-15 22:15|XAUUSD|BUY|0.01,2026-06-15 22:15,2026-06-15,2026-06-15 22:15:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4087348,-14.18,LOSS,1,0,-14.18,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4324.68,4320.93,4330.31,920301,P2DEMO_sn_round_XAUUSD,[sl 4320.93],COST_KNOWN,0.1333,50.00000,375.11000,-1.0290,false,true,true,false,false,false
2026-06-15 22:10|XAUUSD|BUY|0.01,2026-06-15 22:10,2026-06-15,2026-06-15 22:10:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4087306,-28.29,LOSS,1,0,-28.29,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4321.05,4313.49,4332.50,920301,P2DEMO_sn_round_XAUUSD,[sl 4313.49],COST_KNOWN,0.0658,50.00000,760.39000,-1.0126,false,true,true,false,false,false
2026-06-15 21:55|XAUUSD|SELL|0.01,2026-06-15 21:55,2026-06-15,2026-06-15 21:55:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4087123,-17.23,LOSS,1,0,-17.23,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4321.20,4325.80,4314.41,920301,P2DEMO_sn_round_XAUUSD,[sl 4325.80],COST_KNOWN,0.1098,50.00000,455.58000,-1.0295,false,true,true,false,false,false
2026-06-15 21:00|XAUUSD|BUY|0.01,2026-06-15 21:00,2026-06-15,2026-06-15 21:00:00,Night 20:00-05:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,session_extreme_retest_v0,session_extreme,PROVISIONAL,4086196,-19.03,LOSS,1,0,-19.03,session_extreme_retest_v0,session_extreme,false,false,false,MATCHED,4339.50,4334.43,4346.91,920501,P2DEMO_sess_ext_XAUUSD,[sl 4334.43],COST_KNOWN,0.1001,50.00000,499.27000,-1.0375,false,false,true,false,false,false
2026-06-15 19:55|XAUUSD|SELL|0.01,2026-06-15 19:55,2026-06-15,2026-06-15 19:55:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4084497,24.71,WIN,2,1,49.50,round_number_retest_v0;symbol_normalized_round_retest_v0_repair_v1,repair;round_family,true,false,false,MATCHED,4356.50,4360.86,4349.77,920401,P2DEMO_round_XAUUSD,[tp 4349.77],COST_KNOWN,0.1127,50.00000,443.57000,1.5172,false,true,true,false,false,true
2026-06-15 19:40|XAUUSD|BUY|0.01,2026-06-15 19:40,2026-06-15,2026-06-15 19:40:01,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4084227,-20.83,LOSS,1,0,-20.83,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4354.78,4349.22,4363.37,920301,P2DEMO_sn_round_XAUUSD,[sl 4349.22],COST_KNOWN,0.0884,50.00000,565.73000,-1.0022,false,true,true,false,false,false
2026-06-15 19:20|XAUUSD|BUY|0.01,2026-06-15 19:20,2026-06-15,2026-06-15 19:20:01,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4084036,30.22,WIN,1,0,30.22,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4351.72,4346.26,4359.95,920301,P2DEMO_sn_round_XAUUSD,[tp 4359.95],COST_KNOWN,0.0913,50.00000,547.61000,1.5029,false,true,true,false,false,false
2026-06-15 19:05|XAUUSD|SELL|0.01,2026-06-15 19:05,2026-06-15,2026-06-15 19:05:01,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4083622,35.98,WIN,2,1,71.96,symbol_normalized_round_retest_v0;symbol_normalized_round_retest_v0_repair_v1,repair;round_family,true,false,false,MATCHED,4355.01,4361.54,4345.21,920301,P2DEMO_sn_round_XAUUSD,[tp 4345.21],COST_KNOWN,0.0765,50.00000,653.36000,1.4999,false,true,true,false,false,true
2026-06-15 18:00|XAUUSD|SELL|0.01,2026-06-15 18:00,2026-06-15,2026-06-15 18:00:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4081398,-27.41,LOSS,2,1,-54.82,symbol_normalized_round_retest_v0;symbol_normalized_round_retest_v0_repair_v1,repair;round_family,true,false,false,MATCHED,4354.54,4361.84,4344.47,920301,P2DEMO_sn_round_XAUUSD,[sl 4361.84],COST_KNOWN,0.1079,75.00000,694.91000,-1.0735,false,true,true,false,false,true
2026-06-15 17:45|XAUUSD|BUY|0.01,2026-06-15 17:45,2026-06-15,2026-06-15 17:45:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4080856,-30.20,LOSS,1,0,-30.20,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4363.98,4355.93,4375.70,920301,P2DEMO_sn_round_XAUUSD,[sl 4355.93],COST_KNOWN,0.0632,50.00000,790.59000,-1.0397,false,true,true,false,false,false
2026-06-15 17:15|XAUUSD|BUY|0.01,2026-06-15 17:15,2026-06-15,2026-06-15 17:15:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4079988,34.11,WIN,1,0,34.11,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4350.03,4343.84,4359.32,920201,P2DEMO_swing_br_XAUUSD,[tp 4359.32],COST_KNOWN,0.0807,50.00000,619.31000,1.5001,true,false,true,false,true,false
2026-06-15 16:45|XAUUSD|BUY|0.01,2026-06-15 16:45,2026-06-15,2026-06-15 16:45:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4079421,38.88,WIN,1,0,38.88,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4345.18,4338.70,4355.77,920201,P2DEMO_swing_br_XAUUSD,[tp 4355.77],COST_KNOWN,0.0732,50.00000,682.94000,1.5506,true,false,true,false,true,false
2026-06-15 16:40|XAUUSD|BUY|0.01,2026-06-15 16:40,2026-06-15,2026-06-15 16:40:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4079366,50.45,WIN,2,1,100.90,session_extreme_retest_v0;swing_breakout_retest_v0,breakout_core;session_extreme,false,true,false,MATCHED,4344.28,4335.42,4358.02,920201,P2DEMO_swing_br_XAUUSD,[tp 4358.02],COST_KNOWN,0.0553,50.00000,904.12000,1.5197,true,false,true,false,true,true
2026-06-15 16:30|XAUUSD|BUY|0.01,2026-06-15 16:30,2026-06-15,2026-06-15 16:30:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4077943,60.11,WIN,1,0,60.11,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4337.72,4326.77,4354.09,920301,P2DEMO_sn_round_XAUUSD,[tp 4354.09],COST_KNOWN,0.0458,50.00000,1092.73000,1.4981,false,true,true,false,false,false
2026-06-15 16:25|XAUUSD|BUY|0.01,2026-06-15 16:25,2026-06-15,2026-06-15 16:25:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4077845,50.74,WIN,1,0,50.74,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4333.72,4324.50,4347.54,920301,P2DEMO_sn_round_XAUUSD,[tp 4347.54],COST_KNOWN,0.0543,50.00000,921.55000,1.4996,false,true,true,false,false,false
2026-06-15 16:05|XAUUSD|BUY|0.01,2026-06-15 16:05,2026-06-15,2026-06-15 16:05:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,session_extreme_retest_v0,session_extreme,PROVISIONAL,4077455,-10.99,LOSS,1,0,-10.99,session_extreme_retest_v0,session_extreme,false,false,false,MATCHED,4337.77,4334.90,4342.40,920501,P2DEMO_sess_ext_XAUUSD,[sl 4334.90],COST_KNOWN,0.1667,50.00000,300.00000,-0.9967,false,false,true,false,false,false
2026-06-15 16:00|XAUUSD|SELL|0.01,2026-06-15 16:00,2026-06-15,2026-06-15 16:00:00,Evening 16:00-19:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,swing_breakout_retest_v0,breakout_core,ACCEPTED,4077405,-13.56,LOSS,1,0,-13.56,swing_breakout_retest_v0,breakout_core,false,true,false,MATCHED,4335.04,4338.63,4329.83,920201,P2DEMO_swing_br_XAUUSD,[sl 4338.63],COST_KNOWN,0.2132,75.00000,351.79000,-1.0489,true,false,true,false,true,false
2026-06-15 15:50|XAUUSD|SELL|0.01,2026-06-15 15:50,2026-06-15,2026-06-15 15:50:00,Afternoon 12:00-15:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,round_number_retest_v0,round_family,PROVISIONAL,4077263,-36.45,LOSS,1,0,-36.45,round_number_retest_v0,round_family,true,false,false,MATCHED,4333.54,4343.42,4318.73,920401,P2DEMO_round_XAUUSD,[sl 4343.42],COST_KNOWN,0.0759,75.00000,987.58000,-1.0045,false,true,false,true,false,false
2026-06-15 14:50|XAUUSD|BUY|0.01,2026-06-15 14:50,2026-06-15,2026-06-15 14:50:01,Afternoon 12:00-15:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,BUY,0.01,session_extreme_retest_v0,session_extreme,PROVISIONAL,4076661,-13.12,LOSS,1,0,-13.12,session_extreme_retest_v0,session_extreme,false,false,false,MATCHED,4340.61,4337.10,4345.87,920501,P2DEMO_sess_ext_XAUUSD,[sl 4337.10],COST_KNOWN,0.1425,50.00000,350.87000,-1.0175,false,false,false,true,false,false
2026-06-15 14:05|XAUUSD|SELL|0.01,2026-06-15 14:05,2026-06-15,2026-06-15 14:05:01,Afternoon 12:00-15:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4076351,-18.08,LOSS,1,0,-18.08,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4335.54,4340.35,4329.20,920301,P2DEMO_sn_round_XAUUSD,[sl 4340.35],COST_KNOWN,0.1122,50.00000,445.73000,-1.1038,false,true,false,true,false,false
2026-06-15 14:00|XAUUSD|SELL|0.01,2026-06-15 14:00,2026-06-15,2026-06-15 14:00:01,Afternoon 12:00-15:59,1025742,A1_LAB_OBSERVATION,A1,XAUUSD,SELL,0.01,symbol_normalized_round_retest_v0,round_family,ACCEPTED,4076291,-10.54,LOSS,1,0,-10.54,symbol_normalized_round_retest_v0,round_family,true,false,false,MATCHED,4336.61,4339.48,4331.98,920301,P2DEMO_sn_round_XAUUSD,[sl 4339.48],COST_KNOWN,0.1667,50.00000,300.00000,-0.9567,false,true,false,true,false,false
