time_utc,timestamp_ms,ticks,spread_median,spread_p90,spread_p95,spread_p99,spread_last,atr,broker_spread_median_atr,broker_spread_p90_atr,dukascopy_open_spread,dukascopy_open_spread_atr,tick_spread_mean,tick_spread_last,tick_spread_max,broker_p90_minus_dukascopy_mean
2026-06-14T22:25:00.000Z,1781475900000,2321,0.5,0.75,0.75,0.75,0.5,9.826606748115022,0.05088226412397259,0.07632339618595889,0.8899999999994179,0.09057043014061199,0.915132984901273,0.8400000000001455,1.6869999999998981,-0.16513298490127304
2026-06-14T22:30:00.000Z,1781476200000,1932,0.5,0.75,0.75,0.75,0.75,9.613634837535397,0.05200946452093272,0.07801419678139908,0.9799999999995634,0.10193855046098271,0.8754512779552523,0.8499999999994543,1.6940000000004147,-0.12545127795525235
2026-06-14T22:35:00.000Z,1781476500000,1399,0.5,0.75,0.75,0.75,0.75,9.282660920568617,0.05386386557458916,0.08079579836188373,0.9499999999998181,0.1023413445916998,0.8757690721649438,0.8000000000001819,1.6199999999998909,-0.12576907216494382
2026-06-14T22:40:00.000Z,1781476800000,1040,0.5,0.75,0.75,0.75,0.5,8.917827997670807,0.05606746397559943,0.08410119596339914,0.7899999999999636,0.08858659308144302,0.8305239361702141,0.7700000000004366,1.6140000000004875,-0.08052393617021414
2026-06-14T22:45:00.000Z,1781477100000,1099,0.5,0.75,0.75,0.75,0.5,8.774411712122948,0.056983877256316505,0.08547581588447475,0.6570000000001528,0.0748768147148173,0.7866561151078961,0.7700000000004366,1.5670000000000073,-0.036656115107896126
2026-06-14T22:50:00.000Z,1781477400000,912,0.5,0.75,0.75,0.75,0.5,8.414346589828407,0.05942232051677306,0.08913348077515959,0.7699999999995271,0.09151037359577431,0.7296637630661803,0.7299999999995634,0.8899999999994179,0.020336236933819696
2026-06-14T22:55:00.000Z,1781477700000,843,0.5,0.75,0.75,0.75,0.5,8.23117897626926,0.060744639551820606,0.09111695932773091,0.7299999999995634,0.08868717374560504,1.1937428924598295,1.4640000000008513,3.550000000000182,-0.44374289245982945
2026-06-14T23:00:00.000Z,1781478000000,1375,0.5,0.75,0.75,0.75,0.5,7.982880477964321,0.06263403308870569,0.09395104963305853,1.4440000000004147,0.180887087560234,1.341967684021557,1.344000000000051,6.230000000000473,-0.5919676840215571
2026-06-14T23:05:00.000Z,1781478300000,1154,0.5,0.75,0.75,0.75,0.5,7.849460443824062,0.06369864573219156,0.09554796859828733,1.2070000000003347,0.15376853079755307,1.3283596193066187,1.2340000000003783,1.7200000000002547,-0.5783596193066187
2026-06-14T23:10:00.000Z,1781478600000,896,0.5,0.75,0.75,0.75,0.5,7.4205704121224265,0.06738026488950064,0.10107039733425095,1.2340000000003783,0.16629449374733857,0.7430497737556764,0.6700000000000728,1.4340000000001965,0.006950226244323621
2026-06-14T23:15:00.000Z,1781478900000,1003,0.5,0.75,0.75,0.75,0.5,7.044101096970799,0.07098137762602767,0.1064720664390415,0.6700000000000728,0.0951150460188874,0.6707124304267332,0.6700000000000728,0.7100000000000364,0.07928756957326677
