timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2023.09.26 04:00:00	2023.09.26 04:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1913.58	1913.66	8	1913.58	0.00	0.00	1364.00	0.0059	0		0	0	0.00	direction_mode_block	
2023.09.26 12:00:00	2023.09.26 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1911.58	1911.66	8	1911.57	0.00	0.00	1565.00	0.0051	0		0	0	0.00	direction_mode_block	
2023.09.26 16:00:00	2023.09.26 16:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1902.49	1902.57	8	1902.41	0.00	0.00	2481.00	0.0032	0		0	0	0.00	direction_mode_block	
2023.09.26 20:00:00	2023.09.26 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1900.53	1900.67	14	1900.54	0.00	0.00	2668.00	0.0052	0		0	0	0.00	direction_mode_block	
2023.09.27 08:00:00	2023.09.27 08:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1896.58	1896.66	8	1896.68	0.00	0.00	3054.00	0.0026	0		0	0	0.00	direction_mode_block	
2023.09.27 12:00:00	2023.09.27 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1892.95	1893.03	8	1892.95	0.00	0.00	3427.00	0.0023	0		0	0	0.00	direction_mode_block	
2023.09.27 16:00:00	2023.09.27 16:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1881.50	1881.57	7	1881.49	0.00	0.00	4573.00	0.0015	0		0	0	0.00	direction_mode_block	
2023.09.27 20:00:00	2023.09.27 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1876.74	1876.83	9	1876.71	0.00	0.00	5051.00	0.0018	0		0	0	0.00	direction_mode_block	
2023.10.02 04:00:00	2023.10.02 04:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1843.49	1843.55	6	1843.50	0.00	0.00	3638.00	0.0016	0		0	0	0.00	direction_mode_block	
2023.10.02 08:00:00	2023.10.02 08:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1839.80	1839.84	4	1839.81	0.00	0.00	4007.00	0.0010	0		0	0	0.00	direction_mode_block	
2023.10.02 20:00:00	2023.10.02 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1829.35	1829.46	11	1829.38	0.00	0.00	5050.00	0.0022	0		0	0	0.00	direction_mode_block	
2023.10.06 16:00:00	2023.10.06 16:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1832.63	1832.67	4	1832.63	0.00	0.00	1962.00	0.0020	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2023.10.09 20:00:00	2023.10.09 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1863.28	1863.37	9	1863.30	0.00	0.00	5283.00	0.0017	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.11 08:00:00	2023.10.11 08:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1867.96	1868.00	4	1867.99	0.00	0.00	2376.00	0.0017	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.11 12:00:00	2023.10.11 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1870.99	1871.03	4	1871.00	0.00	0.00	2677.00	0.0015	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.12 04:00:00	2023.10.12 04:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1877.72	1877.80	8	1877.72	0.00	0.00	2472.00	0.0032	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.12 12:00:00	2023.10.12 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1883.58	1883.62	4	1883.56	0.00	0.00	3056.00	0.0013	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 12:00:00	2023.10.13 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1896.52	1896.56	4	1896.52	0.00	0.00	3791.00	0.0011	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 16:00:00	2023.10.13 16:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1923.04	1923.09	5	1922.99	0.00	0.00	6438.00	0.0008	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 20:00:00	2023.10.13 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1928.39	1928.47	8	1928.39	0.00	0.00	6978.00	0.0011	0		0	0	0.00	blocked_entry_day_hour	
2023.10.18 04:00:00	2023.10.18 04:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1937.50	1937.58	8	1937.50	0.00	0.00	2930.00	0.0027	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.18 08:00:00	2023.10.18 08:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1939.66	1939.70	4	1939.66	0.00	0.00	3146.00	0.0013	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.18 12:00:00	2023.10.18 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1946.23	1946.31	8	1946.22	0.00	0.00	3802.00	0.0021	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.18 20:00:00	2023.10.18 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1950.42	1950.51	9	1950.42	0.00	0.00	4222.00	0.0021	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.19 20:00:00	2023.10.19 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1974.37	1974.45	8	1974.36	0.00	0.00	6195.00	0.0013	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.24 12:00:00	2023.10.24 12:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1963.73	1963.81	8	1963.74	0.00	0.00	1907.00	0.0042	0		0	0	0.00	direction_mode_block	
2023.10.26 08:00:00	2023.10.26 08:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1990.15	1990.22	7	1990.14	0.00	0.00	3665.00	0.0019	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.27 20:00:00	2023.10.27 20:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	2006.92	2007.07	15	2006.97	0.00	0.00	4401.00	0.0034	0		0	0	0.00	blocked_entry_day_hour	
2023.10.31 21:00:00	2023.10.31 21:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1983.46	1983.96	50	1983.97	0.00	0.00	2277.00	0.0220	0		0	0	0.00	direction_mode_block	
2023.11.01 04:00:00	2023.11.01 04:00:00	A1_XAU_H4_CLUSTER_EQUITY_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1977.62	1977.71	9	1977.67	0.00	0.00	3026.00	0.0030	0		0	0	0.00	direction_mode_block	
