timestamp_utc,bar_start_utc,bar_end_utc,broker,symbol,timeframe,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_open_points,spread_close_points,spread_median_points,spread_p95_points,tick_count,volume_sum
2025-01-30T00:00:00Z,2025-01-29T00:00:00Z,2025-01-30T00:00:00Z,dukascopy,XAUUSD,D1,2762.575,2765.985,2745.0,2760.035,2762.575,2765.985,2745.0,2760.035,,,,,,,,,,,,,1.0,0.0
2025-01-31T00:00:00Z,2025-01-30T00:00:00Z,2025-01-31T00:00:00Z,dukascopy,XAUUSD,D1,2760.035,2798.305,2758.475,2795.965,2760.035,2798.305,2758.475,2795.965,,,,,,,,,,,,,1.0,0.0
2025-02-01T00:00:00Z,2025-01-31T00:00:00Z,2025-02-01T00:00:00Z,dukascopy,XAUUSD,D1,2795.948,2816.935,2790.895,2798.085,2795.948,2816.935,2790.895,2798.085,,,,,,,,,,,,,1.0,0.0
2025-02-02T00:00:00Z,2025-02-01T00:00:00Z,2025-02-02T00:00:00Z,dukascopy,XAUUSD,D1,2798.085,2798.085,2798.085,2798.085,2798.085,2798.085,2798.085,2798.085,,,,,,,,,,,,,1.0,0.0
2025-02-03T00:00:00Z,2025-02-02T00:00:00Z,2025-02-03T00:00:00Z,dukascopy,XAUUSD,D1,2793.987,2803.148,2782.548,2792.545,2793.987,2803.148,2782.548,2792.545,,,,,,,,,,,,,1.0,0.0
2025-02-04T00:00:00Z,2025-02-03T00:00:00Z,2025-02-04T00:00:00Z,dukascopy,XAUUSD,D1,2792.108,2830.305,2771.885,2813.548,2792.108,2830.305,2771.885,2813.548,,,,,,,,,,,,,1.0,0.0
2025-02-05T00:00:00Z,2025-02-04T00:00:00Z,2025-02-05T00:00:00Z,dukascopy,XAUUSD,D1,2813.525,2845.335,2806.925,2841.035,2813.525,2845.335,2806.925,2841.035,,,,,,,,,,,,,1.0,0.0
2025-02-06T00:00:00Z,2025-02-05T00:00:00Z,2025-02-06T00:00:00Z,dukascopy,XAUUSD,D1,2841.095,2882.215,2839.335,2868.985,2841.095,2882.215,2839.335,2868.985,,,,,,,,,,,,,1.0,0.0
2025-02-07T00:00:00Z,2025-02-06T00:00:00Z,2025-02-07T00:00:00Z,dukascopy,XAUUSD,D1,2868.985,2873.085,2833.955,2857.835,2868.985,2873.085,2833.955,2857.835,,,,,,,,,,,,,1.0,0.0
2025-02-08T00:00:00Z,2025-02-07T00:00:00Z,2025-02-08T00:00:00Z,dukascopy,XAUUSD,D1,2857.845,2886.605,2852.085,2860.135,2857.845,2886.605,2852.085,2860.135,,,,,,,,,,,,,1.0,0.0
