evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
EARLY_REPLICATION,2019-08-15,1565870400000,2019-08-15T15:20:39.000000Z,1565882439000,LONG,0.7777777777777778,0.671500000000151,1565882439050,50,1518.465,1518.742,1565882559387,337,1517.885,1518.192,-0.8569999999999709,-0.9569999999999709,-1.156999999999971,0.01
EARLY_REPLICATION,2019-08-15,1565884800000,2019-08-15T18:16:05.380000Z,1565892965380,LONG,0.75,0.6865000000000236,1565892965430,50,1523.725,1524.055,1565893085470,40,1523.115,1523.422,-0.9400000000000546,-1.0400000000000547,-1.2400000000000546,0.01
EARLY_REPLICATION,2019-08-26,1566792000000,2019-08-26T07:50:08.400000Z,1566805808400,SHORT,-0.7647058823529411,-0.6150000000000091,1566805808450,50,1529.165,1529.492,1566805929848,1398,1529.388,1529.735,-0.5699999999999363,-0.6699999999999363,-0.8699999999999364,0.01
EARLY_REPLICATION,2019-08-26,1566806400000,2019-08-26T08:37:59.474000Z,1566808679474,SHORT,-0.8333333333333334,-0.6469999999999345,1566808679525,51,1526.388,1526.685,1566808799667,142,1525.925,1526.232,0.15599999999994907,0.05599999999994906,-0.14400000000005092,0.01
EARLY_REPLICATION,2019-08-26,1566820800000,2019-08-26T13:35:11.089000Z,1566826511089,SHORT,-0.8181818181818182,-0.6099999999999,1566826511139,50,1529.525,1529.852,1566826631222,83,1529.405,1529.742,-0.21699999999987085,-0.31699999999987083,-0.5169999999998709,0.01
EARLY_REPLICATION,2019-08-28,1566964800000,2019-08-28T06:42:25.890000Z,1566974545890,SHORT,-0.75,-0.6100000000001273,1566974546041,151,1538.428,1538.705,1566974666199,158,1538.095,1538.425,0.003000000000156433,-0.09699999999984357,-0.29699999999984356,0.01
EARLY_REPLICATION,2019-08-29,1567094400000,2019-08-29T18:26:53.105000Z,1567103213105,SHORT,-0.9090909090909091,-0.6150000000002365,1567103213183,78,1520.465,1520.802,1567103334547,1364,1521.145,1521.432,-0.9670000000000982,-1.0670000000000983,-1.2670000000000983,0.01
EARLY_REPLICATION,2019-09-03,1567483200000,2019-09-03T06:08:01.761000Z,1567490881761,SHORT,-0.76,-0.7300000000000182,1567490881811,50,1525.108,1525.405,1567491002226,415,1525.468,1525.805,-0.6970000000001164,-0.7970000000001164,-0.9970000000001165,0.01
EARLY_REPLICATION,2019-09-03,1567512000000,2019-09-03T14:52:24.983000Z,1567522344983,SHORT,-0.75,-0.7049999999999272,1567522345034,51,1544.108,1544.432,1567522465125,91,1543.985,1544.315,-0.20700000000010732,-0.3070000000001073,-0.5070000000001074,0.01
EARLY_REPLICATION,2019-09-04,1567555200000,2019-09-04T00:19:58.258000Z,1567556398258,LONG,0.76,0.60349999999994,1567556399443,1185,1548.838,1549.145,1567556519860,417,1548.298,1548.655,-0.84699999999998,-0.94699999999998,-1.14699999999998,0.01
