trade_id,candidate_id,month,family_id,decision_time_utc,entry_time_utc,exit_time_utc,direction,xau_feature_status,model_score,threshold,ml_action,ml_retained,raw_pnl_usd,ml_pnl_usd
106e717fd9d04f538a5efaa5,1d205fb0f6118eed6f30f94234c1932abe896cf3235e61a974b99cf27447e894,2025-07,R3_COMPRESSION,2025-07-08 14:00:00+00:00,2025-07-08 14:00:00.019000+00:00,2025-07-08 20:00:00.158000+00:00,SHORT,PASS,0.011026283338307186,0.11799484150232556,VETO,False,10.828748426493428,0.0
ea62ac6ef16718f9f6117366,f1b9887bc9e1fb6b451bf7dd5f92aeaaa5dda510d48f544d4f4ca0ec9180d284,2025-07,R3_COMPRESSION,2025-07-09 03:00:00+00:00,2025-07-09 03:00:00.069000+00:00,2025-07-09 04:25:58.322000+00:00,SHORT,PASS,-0.16337643873874724,0.11799484150232556,VETO,False,-9.075498620577097,0.0
V8_20250709T032000Z_SHORT,e2792c14c9f24edb880cd563c4c7d9b8111234111f002c557d3f3e414c7d8a84,2025-07,V8_RETEST_HEALTH,2025-07-09 03:20:00+00:00,2025-07-09 03:20:00+00:00,2025-07-09 04:10:00+00:00,SHORT,PASS,0.1619032052054424,0.09655066187150227,RETAIN,True,-5.336631373644823,-5.336631373644823
V7_20250710T091000Z_SHORT,3cfc5e34a0bd1c64da40a9f0f41ff251e9bffb29f1cfdc49317345807f571e81,2025-07,V7_SWING_HEALTH,2025-07-10 09:10:00+00:00,2025-07-10 09:10:00+00:00,2025-07-10 12:00:00+00:00,SHORT,PASS,0.02663046006879599,0.07779505977910199,VETO,False,7.744723750837397,0.0
V7_20250710T122500Z_LONG,1488a7b91bf7507d7ecc0f607a118b72f1ada1e632d5e82ccce2f47269b08253,2025-07,V7_SWING_HEALTH,2025-07-10 12:25:00+00:00,2025-07-10 12:25:00+00:00,2025-07-10 13:50:00+00:00,LONG,PASS,0.2275320819760232,0.07779505977910199,RETAIN,True,-5.64144450693671,-5.64144450693671
V7_20250711T081000Z_SHORT,f30eefff79d79bd114d78a775247f45081ea7d79240a703130fd20df3eadf3be,2025-07,V7_SWING_HEALTH,2025-07-11 08:10:00+00:00,2025-07-11 08:10:00+00:00,2025-07-11 10:30:00+00:00,SHORT,PASS,0.0155545685660739,0.07779505977910199,VETO,False,-5.29401162024298,0.0
0ceaad778b275a37c4bae639,228fd6063fbf2a2455fccc931a89eeb67a58a3400fc492043ab150e3db5e569b,2025-07,R3_COMPRESSION,2025-07-11 11:00:00+00:00,2025-07-11 11:00:00.067000+00:00,2025-07-13 22:00:08.519000+00:00,LONG,PASS,0.15486064860254833,0.11799484150232556,RETAIN,True,15.954555907844908,15.954555907844908
7155f1fc8a59aca9d63e6c48,ff3bf52cc01101c822d28a55170d463b2579d80092ff34447e5c4c6cfbd82d61,2025-07,R3_COMPRESSION,2025-07-17 13:00:00+00:00,2025-07-17 13:00:00.046000+00:00,2025-07-17 13:57:38.475000+00:00,SHORT,PASS,0.07191266954479976,0.11799484150232556,VETO,False,-9.773396754195952,0.0
2025-07-22 11:15:00|LONG|r1_h1_pullback_long_v1,8338e28a73ef9fd4262b87283c5f2cf658329e214563e139f4657af9aaabdeb2,2025-07,R1_UPTREND,2025-07-22 11:15:00+00:00,2025-07-22 11:15:00+00:00,2025-07-22 12:20:18+00:00,LONG,PASS,0.35505728799920155,0.3311466856105185,RETAIN,True,6.7,6.7
2025-07-22 11:45:00|LONG|r1_h1_pullback_long_v1,974aad1f089564362269aab33482fd7fa126b3b1be02715a6873bf124d8fe604,2025-07,R1_UPTREND,2025-07-22 11:45:00+00:00,2025-07-22 11:45:00+00:00,2025-07-22 12:21:18+00:00,LONG,PASS,0.3415168254665797,0.3311466856105185,RETAIN,True,7.430000000000001,7.430000000000001
2025-07-22 12:00:00|LONG|r1_h1_pullback_long_v1,6764ba423166a377591277c3aa565b9a77b36019c40a9727857f515336854a5e,2025-07,R1_UPTREND,2025-07-22 12:00:00+00:00,2025-07-22 12:00:00+00:00,2025-07-22 12:42:04+00:00,LONG,PASS,0.10735406789165455,0.3311466856105185,VETO,False,10.239999999999998,0.0
2025-07-22 12:15:00|LONG|r1_h1_pullback_long_v1,81fcf1f6f540586a0ee80b8f06b1eb499a17f02586288dff98bcf26f018769b0,2025-07,R1_UPTREND,2025-07-22 12:15:00+00:00,2025-07-22 12:15:00+00:00,2025-07-22 13:07:17+00:00,LONG,PASS,0.39434276381257716,0.3311466856105185,RETAIN,True,16.189999999999998,16.189999999999998
2025-07-22 12:30:00|LONG|r1_h1_pullback_long_v1,3fe8533dcd3ad3f54c76c872e36655cc0d95ca072774dade379a10321fea5f46,2025-07,R1_UPTREND,2025-07-22 12:30:00+00:00,2025-07-22 12:30:00+00:00,2025-07-22 15:04:39+00:00,LONG,PASS,0.4789625830310003,0.3311466856105185,RETAIN,True,28.47,28.47
2025-07-22 12:45:00|LONG|r1_h1_pullback_long_v1,575b17b5d90c31e62ff3615c7474d6e77d6ce544bdded022d080cffe61f1a1e9,2025-07,R1_UPTREND,2025-07-22 12:45:00+00:00,2025-07-22 12:45:00+00:00,2025-07-23 16:03:40+00:00,LONG,PASS,0.5663747401177399,0.3311466856105185,RETAIN,True,-18.07,-18.07
2025-07-22 13:00:00|LONG|r1_h1_pullback_long_v1,13ceeb2f29b626b9197a2e12a89c1f1e5ef22c6d4c91b640c37497cd2a5e24b3,2025-07,R1_UPTREND,2025-07-22 13:00:00+00:00,2025-07-22 13:00:00+00:00,2025-07-23 16:03:41+00:00,LONG,PASS,0.3881402564069932,0.3311466856105185,RETAIN,True,-22.04,-22.04
2025-07-23 09:00:00|LONG|r1_h1_pullback_long_v1,20c8688e9f4d57ce395089fe657a82a356e4f9cf18a7ff6e602a75e2cbf2d0b7,2025-07,R1_UPTREND,2025-07-23 09:00:00+00:00,2025-07-23 09:00:00+00:00,2025-07-23 13:00:27+00:00,LONG,PASS,0.17018368823340665,0.3311466856105185,VETO,False,-9.780000000000001,0.0
2025-07-23 09:15:00|LONG|r1_h1_pullback_long_v1,4524994d6b84997f364d87b461b780a5164835c4096450b5f3002fa2b269097f,2025-07,R1_UPTREND,2025-07-23 09:15:00+00:00,2025-07-23 09:15:00+00:00,2025-07-23 13:00:27+00:00,LONG,PASS,0.3924966230845479,0.3311466856105185,RETAIN,True,-11.450000000000001,-11.450000000000001
2025-07-23 11:30:00|LONG|r1_h1_pullback_long_v1,06f76d72855f3b56172e933d8fd00b270a61a8e94ce435c73ce4acd784d785c6,2025-07,R1_UPTREND,2025-07-23 11:30:00+00:00,2025-07-23 11:30:00+00:00,2025-07-23 13:00:19+00:00,LONG,PASS,0.0703978746847605,0.3311466856105185,VETO,False,-6.16,0.0
2025-07-23 11:45:00|LONG|r1_h1_pullback_long_v1,9004b05344dda0ffb522e739d5a78831f81188cf2c22b0e79ef7bd857e2e8e68,2025-07,R1_UPTREND,2025-07-23 11:45:00+00:00,2025-07-23 11:45:00+00:00,2025-07-23 13:00:19+00:00,LONG,PASS,0.24254712213567553,0.3311466856105185,VETO,False,-9.56,0.0
V9_BREAK_20250729T012000Z_LONG,2370d1ec005c6323f313631cbb2bca4bcef00c606baeecb0008e5538939620e2,2025-07,V57_BREAK_SWING_H4ADX_HIGH,2025-07-29 01:20:00+00:00,2025-07-29 01:20:00+00:00,2025-07-29 04:30:00+00:00,LONG,PASS,0.12282126726916082,0.059173643554119026,RETAIN,True,-5.2848807398759305,-5.2848807398759305
da03d27d153c27e0f12fbe5a,f1e4c563171b31e3281e8b6d0b320afc3b337cfd98a3aca6ea24bc77b312e8a6,2025-07,R2_DOWNTREND,2025-07-30 13:00:00+00:00,2025-07-30 13:00:00.008000+00:00,2025-08-01 01:00:00.072000+00:00,SHORT,PASS,0.21940537663999427,0.11799484150232556,RETAIN,True,21.113441773153625,21.113441773153625
2025-08-07 08:00:00|LONG|h4_d1_long_best_box2_atr80,060b274e8c54f8ce432b718bfcb8f6b0ed526355da7f687f108f65bfd0c1920c,2025-08,R1_UPTREND,2025-08-07 08:00:00+00:00,2025-08-07 08:00:00+00:00,2025-08-11 11:27:42+00:00,LONG,PASS,0.6087056087202634,0.3311466856105185,RETAIN,True,-46.65,-46.65
2025-08-07 09:15:00|LONG|r1_h1_pullback_long_v1,34905d03e92ad47da7749c597e31c5758997ccf0cd98be3aad884d98f5798ada,2025-08,R1_UPTREND,2025-08-07 09:15:00+00:00,2025-08-07 09:15:00+00:00,2025-08-07 20:07:14+00:00,LONG,PASS,0.14381846552938352,0.3311466856105185,VETO,False,19.509999999999998,0.0
2025-08-07 12:30:00|LONG|r1_h1_pullback_long_v1,a09a42b8feafc75c94f640b9f319a1736c0aabd6498051f9c3cc222328b54616,2025-08,R1_UPTREND,2025-08-07 12:30:00+00:00,2025-08-07 12:30:00+00:00,2025-08-07 22:00:00+00:00,LONG,PASS,0.11814581982605374,0.3311466856105185,VETO,False,22.4,0.0
2025-08-07 14:15:00|LONG|r1_h1_pullback_long_v1,2aba56f180ea9abf57f1531f6fd7904e12430ed9b4d11324f1a80aa877a601a0,2025-08,R1_UPTREND,2025-08-07 14:15:00+00:00,2025-08-07 14:15:00+00:00,2025-08-11 01:07:41+00:00,LONG,PASS,-0.00828055226248725,0.3311466856105185,VETO,False,-16.78,0.0
2025-08-07 14:45:00|LONG|r1_h1_pullback_long_v1,58eed23ccbc2d52fc6c6a36629767dbd48d25656907e8832e57efc0e14f29617,2025-08,R1_UPTREND,2025-08-07 14:45:00+00:00,2025-08-07 14:45:00+00:00,2025-08-11 01:07:41+00:00,LONG,PASS,0.30943931607408265,0.3311466856105185,VETO,False,-13.96,0.0
2025-08-08 09:15:00|LONG|r1_h1_pullback_long_v1,396cd479915c24a8a8bc79d9a8ef220e62743f5675f7bb5936459bde12eb090c,2025-08,R1_UPTREND,2025-08-08 09:15:00+00:00,2025-08-08 09:15:00+00:00,2025-08-08 10:19:57+00:00,LONG,PASS,-0.05792193448246846,0.3311466856105185,VETO,False,-6.16,0.0
2025-08-08 14:00:00|LONG|r1_h1_pullback_long_v1,1f6802affd392cb1a142a9b84fcf2ba42ede4d95231a1037f952ca43116beb3c,2025-08,R1_UPTREND,2025-08-08 14:00:00+00:00,2025-08-08 14:00:00+00:00,2025-08-08 14:09:03+00:00,LONG,PASS,0.08846172546394318,0.3311466856105185,VETO,False,-14.64,0.0
cabdf210903e3c2e07c74d61,74fb4c5d6ec903a19664fe70b001103e2250780ced6bba3f90ddacc2f8505468,2025-08,R4_CHOP,2025-08-11 06:30:00+00:00,2025-08-11 06:30:00.033000+00:00,2025-08-11 12:30:42.782000+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,20.73304709697341,20.73304709697341
V25_f0aecf32143228a14c6d596d,04bfedd73d7aee9c7ab285508befcc7f3de97fdc0e19e6e8cdaf503005730366,2025-08,V25_CHOP,2025-08-11 07:30:00+00:00,2025-08-11 07:30:00.134000+00:00,2025-08-11 14:40:27.143000+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,21.102665164658195,21.102665164658195
V7_20250811T092500Z_LONG,b3bceccb166e4acdc54d6a636716ddab394e5a4ceecf9403078886a97a7657a5,2025-08,V7_SWING_HEALTH,2025-08-11 09:25:00+00:00,2025-08-11 09:25:00+00:00,2025-08-11 09:55:00+00:00,LONG,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-7.545713421108808,-7.545713421108808
4d93f54e9e73876b5e6697f3,03c033a1bbe30293ca716e7bc01f4036980f8ff20f54cf1d5de1a3eb8bd1883b,2025-08,R4_CHOP,2025-08-11 23:00:00+00:00,2025-08-11 23:00:00.166000+00:00,2025-08-12 01:10:53.367000+00:00,SHORT,PASS,0.3652024596737752,0.11799484150232556,RETAIN,True,-11.166511572925865,-11.166511572925865
603fe41194cb5dc98d0c2639,e2ae2e9e22c8d8e8774f81ff34092fe3fd63586b03fb32c96f48d3f0c854b3ef,2025-08,R4_CHOP,2025-08-12 03:00:00+00:00,2025-08-12 03:00:01.856000+00:00,2025-08-12 14:16:21.909000+00:00,SHORT,PASS,0.1160306178200962,0.11799484150232556,VETO,False,17.93708566012307,0.0
b98fc8981224ff465707ecf9,3e7b4df5939c3c278bcafc9ffdf759cf08ac4a7c06cd10cb960c53baf64bea86,2025-08,R3_COMPRESSION,2025-08-22 08:00:00+00:00,2025-08-22 08:00:00.198000+00:00,2025-08-22 13:37:18.081000+00:00,SHORT,PASS,-0.0038017295538820273,0.11799484150232556,VETO,False,-6.104043071103782,0.0
855aed9cb331b5d81e34762c,8b69392253b905118a936f21391d96caff4a3f47b4bc5d11f0693e861589c06d,2025-08,R3_COMPRESSION,2025-08-22 15:00:00+00:00,2025-08-22 15:00:00.143000+00:00,2025-08-24 22:00:01.417000+00:00,LONG,PASS,0.27637427094997696,0.11799484150232556,RETAIN,True,-5.010418482403348,-5.010418482403348
de671f6624bcb614e1b17046,8c575142054491583d5aac08d9e6566db93db6446651e94023a5c19e6bb92280,2025-08,R3_COMPRESSION,2025-08-24 23:00:00+00:00,2025-08-24 23:00:00.157000+00:00,2025-08-25 15:07:37.131000+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-10.173788461236434,-10.173788461236434
2025-08-27 20:00:00|LONG|h4_d1_long_best_box2_atr80,83c2fbeb5341f86ce029c1c24527b8fc19438120bd8010efab5c894fb2951559,2025-08,R1_UPTREND,2025-08-27 20:00:00+00:00,2025-08-27 20:00:00+00:00,2025-09-01 06:33:01+00:00,LONG,PASS,0.8645105355277971,0.3311466856105185,RETAIN,True,89.64,89.64
2025-08-28 13:30:00|LONG|r1_h1_pullback_long_v1,9dfbd5145bf25b8258650ed31214b9c7a85a81d2beb4bd7df2271a1c25adaf3c,2025-08,R1_UPTREND,2025-08-28 13:30:00+00:00,2025-08-28 13:30:00+00:00,2025-08-29 13:57:39+00:00,LONG,PASS,0.3749592173886731,0.3311466856105185,RETAIN,True,22.34,22.34
2025-08-28 14:15:00|LONG|r1_h1_pullback_long_v1,3cfce74e08331a929329cdaf69497e23328a31dd2c096d3a3d47c2ff61e085db,2025-08,R1_UPTREND,2025-08-28 14:15:00+00:00,2025-08-28 14:15:00+00:00,2025-08-29 16:55:39+00:00,LONG,PASS,0.14555269886233146,0.3311466856105185,VETO,False,36.36,0.0
2025-08-29 13:00:00|LONG|r1_h1_pullback_long_v1,b74a0ae862ae498e797e1a025580e3b256887830f49eb9ebeeb65690b7f95865,2025-08,R1_UPTREND,2025-08-29 13:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:31:20+00:00,LONG,PASS,0.10753923390315218,0.3311466856105185,VETO,False,20.68,0.0
2025-08-29 13:15:00|LONG|r1_h1_pullback_long_v1,d99e12de617b09709a7ef682f3edfa1bf94703d8113258f097fa6d59083aed5f,2025-08,R1_UPTREND,2025-08-29 13:15:00+00:00,2025-08-29 13:15:00+00:00,2025-08-29 15:16:29+00:00,LONG,PASS,-0.028709932339287092,0.3311466856105185,VETO,False,25.099999999999998,0.0
2025-08-29 13:45:00|LONG|r1_h1_pullback_long_v1,895e13291d885412827651e7053056a819672321e5c4a4d44dd47bd589805a53,2025-08,R1_UPTREND,2025-08-29 13:45:00+00:00,2025-08-29 13:45:00+00:00,2025-09-01 02:07:12+00:00,LONG,PASS,0.12664126592638275,0.3311466856105185,VETO,False,37.24,0.0
2025-08-29 14:00:00|LONG|r1_h1_pullback_long_v1,97aa08a7e5e6c19d84ff833665f9b3d543afb3ad8c2ae2e555cd61bbc0938900,2025-08,R1_UPTREND,2025-08-29 14:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-01 02:40:31+00:00,LONG,PASS,0.07352786732067307,0.3311466856105185,VETO,False,43.11,0.0
V9_BREAK_20250901T024500Z_LONG,92141b5134c4d0ef240b96b9370070ca1d338e53d721c55a41b01ee2ec94a4c2,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-01 02:45:00+00:00,2025-09-01 02:45:00+00:00,2025-09-02 01:30:00+00:00,LONG,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,19.49071541170747,19.49071541170747
V9_BREAK_20250902T013000Z_LONG,ee00d1471071d4f97b9e0e71a80a7d84bd352260b73ebc94d93b939249816736,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-02 01:30:00+00:00,2025-09-02 01:30:00+00:00,2025-09-02 01:55:00+00:00,LONG,PASS,0.11307761465943353,0.059173643554119026,RETAIN,True,-7.7130108987935815,-7.7130108987935815
V9_BREAK_20250902T044500Z_LONG,c405dd49f9f039e5fe53585304d6de483b97d871cab976a8654d7a405cfceb29,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-02 04:45:00+00:00,2025-09-02 04:45:00+00:00,2025-09-02 05:25:00+00:00,LONG,PASS,0.3335301242838065,0.059173643554119026,RETAIN,True,-5.703456611957857,-5.703456611957857
2025-09-02 11:00:00|LONG|r1_h1_pullback_long_v1,02b40318ad947ffcea704e78cb4ea0e95af0decb156a2b9e87ffd615f759b40f,2025-09,R1_UPTREND,2025-09-02 11:00:00+00:00,2025-09-02 11:00:00+00:00,2025-09-02 12:40:03+00:00,LONG,PASS,0.31849156955763075,0.3311466856105185,VETO,False,-11.55,0.0
2025-09-02 11:45:00|LONG|r1_h1_pullback_long_v1,aa5ee756e461a355ca56da2048af95f937be717b83ff3a14933d9b9ead2c968f,2025-09,R1_UPTREND,2025-09-02 11:45:00+00:00,2025-09-02 11:45:00+00:00,2025-09-02 12:36:32+00:00,LONG,PASS,0.31983892173363593,0.3311466856105185,VETO,False,-6.95,0.0
2025-09-02 12:00:00|LONG|r1_h1_pullback_long_v1,bb8f69f8f3245dc2400ad18db63f8f83971904c96422693092349cea74c07cca,2025-09,R1_UPTREND,2025-09-02 12:00:00+00:00,2025-09-02 12:00:00+00:00,2025-09-02 12:36:37+00:00,LONG,PASS,0.3322173011018902,0.3311466856105185,RETAIN,True,-12.57,-12.57
2025-09-02 13:30:00|LONG|r1_h1_pullback_long_v1,a485b82e23fc597cd33090ecbe893151e4139da6fff1a3fbf1dc5da7b0a30ea2,2025-09,R1_UPTREND,2025-09-02 13:30:00+00:00,2025-09-02 13:30:00+00:00,2025-09-02 14:44:41+00:00,LONG,PASS,0.2915859377962101,0.3311466856105185,VETO,False,24.48,0.0
2025-09-02 13:45:00|LONG|r1_h1_pullback_long_v1,0ed9a07f3522520e2479f5da24cef92bfce39819938d2455eba05a4bcd0f2b3e,2025-09,R1_UPTREND,2025-09-02 13:45:00+00:00,2025-09-02 13:45:00+00:00,2025-09-02 16:06:20+00:00,LONG,PASS,0.35590176142197105,0.3311466856105185,RETAIN,True,32.7,32.7
V9_BREAK_20250903T002000Z_LONG,1fdb6cd16bba1b8999f136095effe94b72c66fb640fd5864f1c1bce190a1d121,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-03 00:20:00+00:00,2025-09-03 00:20:00+00:00,2025-09-03 00:25:00+00:00,LONG,PASS,0.08573005369140149,0.059173643554119026,RETAIN,True,9.079491871621682,9.079491871621682
V9_BREAK_20250903T002500Z_LONG,345414d89b2fbc7d32c4e4bb81962bebeac0d13886bc14e8a3027fb331022b38,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-03 00:25:00+00:00,2025-09-03 00:25:00+00:00,2025-09-03 00:30:00+00:00,LONG,PASS,-0.2217378390990397,0.059173643554119026,VETO,False,-6.995728227477609,0.0
V9_BREAK_20250904T013500Z_SHORT,67d70ea1ac30d31caeaa08c88542510763c0b8da7cb56318f30413cdebc5ac06,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-04 01:35:00+00:00,2025-09-04 01:35:00+00:00,2025-09-04 02:50:00+00:00,SHORT,PASS,-0.13404139325575498,0.059173643554119026,VETO,False,13.959475538179536,0.0
V9_BREAK_20250904T025000Z_SHORT,5e5ea77df799ca1af3fc694f07eee40c8181357256aab388fdf905b1704516d5,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-04 02:50:00+00:00,2025-09-04 02:50:00+00:00,2025-09-04 03:15:00+00:00,SHORT,PASS,-0.14652216181232125,0.059173643554119026,VETO,False,17.517481181753723,0.0
2025-09-04 14:45:00|LONG|r1_h1_pullback_long_v1,f266fb3fa4a12a3549ada875e8b394df8c93abfe0d3e0b53a3a5b06102ddf17a,2025-09,R1_UPTREND,2025-09-04 14:45:00+00:00,2025-09-04 14:45:00+00:00,2025-09-05 12:30:54+00:00,LONG,PASS,0.23971494151741535,0.3311466856105185,VETO,False,23.65,0.0
V9_BREAK_20250905T033500Z_LONG,db086931a3cf0c1221f9d1c48080d301807596c82213d0cc5f06af6ab3de13fa,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-05 03:35:00+00:00,2025-09-05 03:35:00+00:00,2025-09-05 06:15:00+00:00,LONG,PASS,-0.029419134614360798,0.059173643554119026,VETO,False,-6.098561554524234,0.0
V9_BREAK_20250905T061500Z_SHORT,067b19efa2586ca10f91f7ddccc2b65e7f542a0ffb2568566c14783d712f11e4,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-05 06:15:00+00:00,2025-09-05 06:15:00+00:00,2025-09-05 12:30:00+00:00,SHORT,PASS,-0.28333924312122,0.059173643554119026,VETO,False,-5.514022859691324,0.0
2025-09-05 10:30:00|LONG|r1_h1_pullback_long_v1,017f2c4a190cea34000f9a48640e85144438a55ef992a412a67b177ba89fcfe4,2025-09,R1_UPTREND,2025-09-05 10:30:00+00:00,2025-09-05 10:30:00+00:00,2025-09-05 12:30:44+00:00,LONG,PASS,0.05956856150499702,0.3311466856105185,VETO,False,13.87,0.0
2025-09-05 12:30:00|LONG|r1_h1_pullback_long_v1,a6fbc64010d1a88f69cf00c2018db147bcc1ab319957dc04fff8b489b25dd122,2025-09,R1_UPTREND,2025-09-05 12:30:00+00:00,2025-09-05 12:30:00+00:00,2025-09-05 12:30:56+00:00,LONG,PASS,-0.540271280195457,0.3311466856105185,VETO,False,15.58,0.0
V9_BREAK_20250908T010000Z_LONG,96bb3fc6cf15242a4f0537500d749512d3d02895b029428d92320c11bdd8c1f2,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-08 01:00:00+00:00,2025-09-08 01:00:00+00:00,2025-09-08 01:10:00+00:00,LONG,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-6.770720520948227,-6.770720520948227
V9_BREAK_20250908T033000Z_SHORT,69ed026efaf6cc6e796c3e5f26efefd1ebb794c56fa962ae9c1d1fcfa93c71ba,2025-09,V57_BREAK_SWING_H4ADX_HIGH,2025-09-08 03:30:00+00:00,2025-09-08 03:30:00+00:00,2025-09-08 06:00:00+00:00,SHORT,ABSTAIN_MISSING_MANDATORY_XAU,,,MODEL_ABSTAIN_RETAIN_ALL,True,-7.464250678636888,-7.464250678636888
