specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,train_trades,train_stress_profit_factor,train_removed_profit_factor,train_robust_score,profile,reference_hours,decision_hours,buffer_atr,body_min,cross_window_score
V3_EURSESSIONV2R_0276,chop,EURSESSIONV2R_0276,development_2020_2022,OPENED,98,45,0.45918367346938777,37.380419330761384,3.7380419330761385,-4.418344341081533,-0.04508514633756666,0.9227564372041656,0.5833333333333334,16.065764749836283,0.8173210827531726,False,session_expansion,,long,,0.75,1.25,12,6148df52eea2c4b1c327459aecdb6b471c72ce61f4012fddc99545880541990a,148,0.7462144382369797,0.6189867782579682,0.6189867782579682,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.35,0.6189867782579682
V3_EURSESSIONV2R_0208,trend_down,EURSESSIONV2R_0208,development_2020_2022,OPENED,30,16,0.5333333333333333,-27.976071391404577,-2.797607139140458,-2.211015881675837,-0.07370052938919457,0.838467948615117,0.3076923076923077,5.995792866324962,0.5737169870913725,False,session_expansion,,short,,1.75,0.75,12,d2a03224242998fc0e48ac8ee7ff40f48d7e07461548db4b8d931db9bff1a49a,73,0.8299294564497306,0.6135343349089026,0.6135343349089026,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.55,0.5737169870913725
V3_EURSESSIONV2R_0822,chop,EURSESSIONV2R_0822,development_2020_2022,OPENED,59,34,0.576271186440678,147.3804489554631,14.73804489554631,3.158398245391965,0.05353217365071127,1.1722077563450783,0.5,4.341332796802611,0.9745598754907954,True,session_expansion,,short,,1.25,0.75,12,e61f7c0d95156c37326a6912500e52ecafd47003e3febc07df911e40c5d9f03a,98,0.8021216572148228,0.6117382553336854,0.6117382553336854,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.1,0.35,0.6117382553336854
V3_EURSESSIONV2R_0795,chop,EURSESSIONV2R_0795,development_2020_2022,OPENED,49,28,0.5714285714285714,123.286791981485,12.3286791981485,3.4896886484253127,0.07121813568214924,1.24359726302893,0.5,3.0434215280053936,0.9907215948319719,True,session_expansion,,short,,1.25,0.75,12,19c866466590fe9453ff28cf20bdce7cc30d86e25148ae0c68e10cce187c6874,90,0.8049878191223359,0.5958473556956596,0.5958473556956596,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.0,0.55,0.5958473556956596
V3_EURSESSIONV2R_0849,chop,EURSESSIONV2R_0849,development_2020_2022,OPENED,48,27,0.5625,115.08314852474604,11.508314852474605,3.1046173171363325,0.06467952744034026,1.216699782275654,0.5,3.044586783293137,0.963844681437527,True,session_expansion,,short,,1.25,0.75,12,8236a435933883d08648b91d904db02e7e2b2d08761cd0bd7517f641df13699b,85,0.8180975120926383,0.5937902608024195,0.5937902608024195,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.1,0.55,0.5937902608024195
V3_EURSESSIONV2R_0397,trend_down,EURSESSIONV2R_0397,development_2020_2022,OPENED,41,24,0.5853658536585366,18.59871559680925,1.859871559680925,-0.8027253085058681,-0.019578666061118733,0.9537918249814319,0.5333333333333333,5.812303168893142,0.7447164972368305,False,session_expansion,,short,,1.75,0.75,12,fb59ec84649934aaf099671810d625d7175cacdbdc11b570dfed06f7b92d1f0f,103,0.7371196556790026,0.5903354508223021,0.5903354508223021,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.35,0.5903354508223021
V3_EURSESSIONV2R_0451,trend_up,EURSESSIONV2R_0451,development_2020_2022,OPENED,32,16,0.5,-24.828609599023558,-2.482860959902356,-0.8729371628130957,-0.027279286337909242,0.926943989319889,0.46153846153846156,3.0961537877601684,0.6228333031289186,False,session_expansion,,long,,1.75,0.75,12,9e47d9db12c22783a6b8ece6ac373cb3c2ac4916fa84c61c3aee639b226e35c3,64,0.8676752206735848,0.5747699004318241,0.5747699004318241,LONDON_NY,"[6, 7, 8, 9, 10, 11]","[12, 13, 14, 15]",0.0,0.35,0.5747699004318241
V3_EURSESSIONV2R_0303,chop,EURSESSIONV2R_0303,development_2020_2022,OPENED,88,35,0.3977272727272727,-75.39503151584138,-7.539503151584139,-16.098930638643786,-0.1829423936209521,0.7184845736582248,0.4166666666666667,21.294560732898624,0.6130281572382824,False,session_expansion,,long,,0.75,1.25,12,222cf1cb0e3775ff5c35f69f0592a9096352a0597580ed4826c07e23d62ec249,118,0.7251245913871253,0.5676743554396945,0.5676743554396945,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.55,0.5676743554396945
V3_EURSESSIONV2R_0505,trend_up,EURSESSIONV2R_0505,development_2020_2022,OPENED,31,16,0.5161290322580645,-24.428609599025386,-2.442860959902539,-0.8286863601401833,-0.02673181806903817,0.9303895423912212,0.46153846153846156,3.0961537877601684,0.6251484432293452,False,session_expansion,,long,,1.75,0.75,12,bf8344d244ed4a2b195ccfa6ba0155ba544a5c0ce6a06609fd1202283f3f81e1,60,0.8475036485927091,0.5461019495960769,0.5461019495960769,LONDON_NY,"[6, 7, 8, 9, 10, 11]","[12, 13, 14, 15]",0.1,0.35,0.5461019495960769
V3_EURSESSIONV2R_0321,chop,EURSESSIONV2R_0321,development_2020_2022,OPENED,88,37,0.42045454545454547,-105.99699123962746,-10.599699123962747,-8.528745300796022,-0.09691756023631842,0.8254025298654308,0.5,16.00853768263768,0.6996123342615792,False,session_expansion,,long,,1.75,1.25,12,d98f3bc439c34da97897051e76523444bcdef8f0c8a2fa22aeef02b219d3cf62,118,0.682034479053402,0.5136486694614377,0.5136486694614377,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.55,0.5136486694614377
V3_EURSESSIONV2R_0409,trend_down,EURSESSIONV2R_0409,development_2020_2022,OPENED,37,14,0.3783783783783784,-41.0159340534011,-4.10159340534011,-8.403679045169199,-0.2271264606802486,0.6619503398909609,0.35714285714285715,12.827653486853045,0.42141160873530376,False,session_expansion,,short,,0.75,1.25,12,bde7e3307f38454bb9b3364685da6ef11d85599bff87b80663db9d75a4d41666,90,0.7101528462144333,0.5075365885654819,0.5075365885654819,FRANKFURT_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",0.1,0.55,0.42141160873530376
V3_EURSESSIONV2R_0762,chop,EURSESSIONV2R_0762,development_2020_2022,OPENED,62,27,0.43548387096774194,26.885734093613504,2.6885734093613505,-4.3937081043658495,-0.07086625974783628,0.875217919102659,0.3181818181818182,12.868555149205218,0.7037015599010236,False,session_expansion,,short,,0.75,1.25,12,fbc6cedc1ba9255ef08bc0b8f40bcb9008e884853cc41423b22e358c5db7e74b,106,0.6570918859454856,0.4781211804598959,0.4781211804598959,NY_AFTERNOON,"[12, 13, 14]","[15, 16, 17, 18]",0.0,0.35,0.4781211804598959
V3_EURSESSIONV2R_0436,trend_up,EURSESSIONV2R_0436,development_2020_2022,OPENED,32,13,0.40625,-45.972841440506954,-4.597284144050696,-4.8742186465912125,-0.1523193327059754,0.759417174728606,0.23076923076923078,5.108260634842089,0.46409247558948574,False,session_expansion,,long,,0.75,1.25,12,71899a2dd09f26fbf080e58bcb768fa14bec5b8ff966bdb33533fa660c7eacff,64,0.7239174790051913,0.4306689972229222,0.4306689972229222,LONDON_NY,"[6, 7, 8, 9, 10, 11]","[12, 13, 14, 15]",0.0,0.35,0.4306689972229222
