family,symbol,rr,atr_mult,context_mult,trades,win_rate_pct,net_usd,profit_factor,expectancy_usd,avg_win_usd,avg_loss_usd,avg_stop_points,max_closed_drawdown_usd,max_closed_drawdown_pct,pf_excluding_best_5pct,active_days,trades_per_active_day,months_active,months_positive,months_positive_pct,median_bars_held,timeout_pct,ambiguous_bars
london_breakout,EURUSD,2.0,1.5,1.0,1342,36.59,-192.71,0.9003,-0.1436,3.545,-2.2718,258.9,215.85,2.159,0.6446,1142,1.175,66,21,31.8,70,23.8,1
london_breakout,EURUSD,2.0,2.0,0.0,1353,35.11,-241.18,0.8775,-0.1783,3.6361,-2.2418,239.5,265.39,2.654,0.6408,1178,1.149,66,22,33.3,67,19.6,1
london_breakout,EURUSD,2.0,2.0,0.5,1352,35.06,-245.8,0.8751,-0.1818,3.6349,-2.2423,239.9,266.07,2.661,0.6386,1177,1.149,66,22,33.3,67,19.7,1
london_breakout,EURUSD,2.0,2.0,1.0,1294,37.94,-144.0,0.9254,-0.1113,3.6361,-2.4027,275.2,193.44,1.934,0.6692,1127,1.148,66,22,33.3,79,27.2,1
london_breakout,EURUSD,2.0,3.0,0.0,1127,42.95,-53.28,0.9718,-0.0473,3.7885,-2.9346,355.1,197.95,1.98,0.7042,1079,1.044,66,28,42.4,216,43.8,1
london_breakout,EURUSD,2.0,3.0,0.5,1127,42.95,-53.28,0.9718,-0.0473,3.7885,-2.9346,355.1,197.95,1.98,0.7042,1079,1.044,66,28,42.4,216,43.8,1
london_breakout,EURUSD,2.0,3.0,1.0,1123,43.19,-41.96,0.9777,-0.0374,3.7864,-2.9442,362.0,184.44,1.844,0.7056,1075,1.045,66,27,40.9,237,45.0,1
london_breakout,EURUSD,2.5,1.0,0.0,1466,28.44,-262.47,0.8462,-0.179,3.4632,-1.6269,164.0,265.04,2.65,0.6494,1242,1.18,66,22,33.3,42,9.3,1
london_breakout,EURUSD,2.5,1.0,0.5,1446,28.91,-284.09,0.8372,-0.1965,3.4953,-1.6976,172.7,285.94,2.859,0.6202,1224,1.181,66,20,30.3,45,11.1,1
london_breakout,EURUSD,2.5,1.0,1.0,1311,35.09,-163.96,0.9141,-0.1251,3.7933,-2.2431,257.8,188.24,1.882,0.624,1119,1.172,66,22,33.3,77,28.5,1
london_breakout,EURUSD,2.5,1.5,0.0,1416,30.3,-235.1,0.8716,-0.166,3.7215,-1.8558,190.7,239.54,2.395,0.6243,1206,1.174,66,21,31.8,54,14.3,1
london_breakout,EURUSD,2.5,1.5,0.5,1410,30.57,-225.1,0.8772,-0.1596,3.7318,-1.8728,193.6,225.19,2.252,0.6263,1201,1.174,66,22,33.3,54,14.9,1
london_breakout,EURUSD,2.5,1.5,1.0,1310,35.27,-151.79,0.9208,-0.1159,3.8202,-2.2603,259.5,194.78,1.948,0.6305,1118,1.172,66,22,33.3,77,28.5,1
london_breakout,EURUSD,2.5,2.0,0.0,1309,33.92,-225.33,0.8836,-0.1721,3.853,-2.2382,240.0,256.69,2.567,0.6096,1144,1.144,66,23,34.8,74,25.7,1
london_breakout,EURUSD,2.5,2.0,0.5,1308,33.87,-230.69,0.8808,-0.1764,3.8496,-2.2382,240.4,257.03,2.57,0.6069,1143,1.144,66,23,34.8,74,25.8,1
london_breakout,EURUSD,2.5,2.0,1.0,1264,36.87,-103.8,0.9457,-0.0821,3.8789,-2.3952,275.0,189.99,1.9,0.6529,1103,1.146,66,22,33.3,90,32.4,1
london_breakout,EURUSD,2.5,3.0,0.0,1106,42.86,-75.56,0.9596,-0.0683,3.7868,-2.9596,355.2,205.63,2.056,0.6823,1059,1.044,66,26,39.4,273,48.9,1
london_breakout,EURUSD,2.5,3.0,0.5,1106,42.86,-75.56,0.9596,-0.0683,3.7868,-2.9596,355.2,205.63,2.056,0.6823,1059,1.044,66,26,39.4,273,48.9,1
london_breakout,EURUSD,2.5,3.0,1.0,1102,43.1,-72.55,0.9611,-0.0658,3.7702,-2.9719,362.2,198.2,1.982,0.6813,1055,1.045,66,27,40.9,287,49.9,1
