policy_id,impulse_scale_multiple,maximum_retracement_fraction,minimum_resume_scale_multiple,cooldown_minutes,candidates,eligible_weekdays,candidates_per_weekday,active_day_share,long_candidates,short_candidates,minority_direction_share,first_half_candidates_per_weekday,second_half_candidates_per_weekday
I100__R50__S20__C90,10.0,0.5,2.0,90,122,33,3.696969696969697,1.0,61,61,0.5,3.25,4.117647058823529
I100__R50__S30__C120,10.0,0.5,3.0,120,61,33,1.8484848484848484,0.8787878787878788,30,31,0.4918032786885246,1.5625,2.1176470588235294
I100__R50__S30__C45,10.0,0.5,3.0,45,65,33,1.9696969696969697,0.9090909090909091,31,34,0.47692307692307695,1.625,2.2941176470588234
I100__R50__S30__C60,10.0,0.5,3.0,60,64,33,1.9393939393939394,0.9090909090909091,30,34,0.46875,1.625,2.235294117647059
I100__R50__S30__C90,10.0,0.5,3.0,90,63,33,1.9090909090909092,0.8787878787878788,30,33,0.47619047619047616,1.5625,2.235294117647059
I100__R65__S10__C120,10.0,0.65,1.0,120,185,33,5.606060606060606,1.0,88,97,0.4756756756756757,5.5,5.705882352941177
I100__R65__S10__C45,10.0,0.65,1.0,45,259,33,7.848484848484849,1.0,127,132,0.49034749034749037,7.4375,8.235294117647058
I100__R65__S10__C60,10.0,0.65,1.0,60,240,33,7.2727272727272725,1.0,119,121,0.49583333333333335,7.1875,7.352941176470588
I100__R65__S10__C90,10.0,0.65,1.0,90,208,33,6.303030303030303,1.0,102,106,0.49038461538461536,6.3125,6.294117647058823
I100__R65__S15__C120,10.0,0.65,1.5,120,149,33,4.515151515151516,1.0,73,76,0.4899328859060403,4.375,4.647058823529412
I100__R65__S15__C45,10.0,0.65,1.5,45,193,33,5.848484848484849,1.0,95,98,0.49222797927461137,5.5,6.176470588235294
I100__R65__S15__C60,10.0,0.65,1.5,60,184,33,5.575757575757576,1.0,90,94,0.4891304347826087,5.375,5.764705882352941
I100__R65__S15__C90,10.0,0.65,1.5,90,164,33,4.96969696969697,1.0,83,81,0.49390243902439024,4.8125,5.117647058823529
I100__R65__S20__C120,10.0,0.65,2.0,120,117,33,3.5454545454545454,1.0,59,58,0.49572649572649574,3.1875,3.8823529411764706
I100__R65__S20__C45,10.0,0.65,2.0,45,137,33,4.151515151515151,1.0,71,66,0.48175182481751827,3.625,4.647058823529412
I100__R65__S20__C60,10.0,0.65,2.0,60,132,33,4.0,1.0,67,65,0.49242424242424243,3.5625,4.411764705882353
I100__R65__S20__C90,10.0,0.65,2.0,90,124,33,3.757575757575758,1.0,64,60,0.4838709677419355,3.375,4.117647058823529
I100__R65__S30__C120,10.0,0.65,3.0,120,64,33,1.9393939393939394,0.8787878787878788,33,31,0.484375,1.6875,2.176470588235294
I100__R65__S30__C45,10.0,0.65,3.0,45,69,33,2.090909090909091,0.9090909090909091,35,34,0.4927536231884058,1.75,2.411764705882353
I100__R65__S30__C60,10.0,0.65,3.0,60,67,33,2.0303030303030303,0.9090909090909091,33,34,0.4925373134328358,1.75,2.2941176470588234
I100__R65__S30__C90,10.0,0.65,3.0,90,66,33,2.0,0.8787878787878788,33,33,0.5,1.6875,2.2941176470588234
I120__R35__S10__C120,12.0,0.35,1.0,120,118,33,3.5757575757575757,1.0,58,60,0.4915254237288136,3.5625,3.588235294117647
I120__R35__S10__C45,12.0,0.35,1.0,45,143,33,4.333333333333333,1.0,74,69,0.4825174825174825,4.1875,4.470588235294118
I120__R35__S10__C60,12.0,0.35,1.0,60,136,33,4.121212121212121,1.0,70,66,0.4852941176470588,4.125,4.117647058823529
I120__R35__S10__C90,12.0,0.35,1.0,90,126,33,3.8181818181818183,1.0,65,61,0.48412698412698413,3.875,3.764705882352941
I120__R35__S15__C120,12.0,0.35,1.5,120,92,33,2.787878787878788,1.0,46,46,0.5,2.625,2.9411764705882355
I120__R35__S15__C45,12.0,0.35,1.5,45,106,33,3.212121212121212,1.0,54,52,0.49056603773584906,3.0,3.411764705882353
I120__R35__S15__C60,12.0,0.35,1.5,60,102,33,3.090909090909091,1.0,52,50,0.49019607843137253,2.9375,3.235294117647059
I120__R35__S15__C90,12.0,0.35,1.5,90,97,33,2.9393939393939394,1.0,50,47,0.4845360824742268,2.8125,3.0588235294117645
I120__R35__S20__C120,12.0,0.35,2.0,120,72,33,2.1818181818181817,1.0,40,32,0.4444444444444444,1.9375,2.411764705882353
I120__R35__S20__C45,12.0,0.35,2.0,45,79,33,2.393939393939394,1.0,44,35,0.4430379746835443,2.1875,2.588235294117647
I120__R35__S20__C60,12.0,0.35,2.0,60,78,33,2.3636363636363638,1.0,43,35,0.44871794871794873,2.1875,2.5294117647058822
I120__R35__S20__C90,12.0,0.35,2.0,90,74,33,2.242424242424242,1.0,42,32,0.43243243243243246,2.0625,2.411764705882353
I120__R35__S30__C120,12.0,0.35,3.0,120,41,33,1.2424242424242424,0.696969696969697,21,20,0.4878048780487805,1.1875,1.2941176470588236
I120__R35__S30__C45,12.0,0.35,3.0,45,41,33,1.2424242424242424,0.696969696969697,21,20,0.4878048780487805,1.1875,1.2941176470588236
I120__R35__S30__C60,12.0,0.35,3.0,60,41,33,1.2424242424242424,0.696969696969697,21,20,0.4878048780487805,1.1875,1.2941176470588236
I120__R35__S30__C90,12.0,0.35,3.0,90,41,33,1.2424242424242424,0.696969696969697,21,20,0.4878048780487805,1.1875,1.2941176470588236
I120__R50__S10__C120,12.0,0.5,1.0,120,131,33,3.9696969696969697,1.0,61,70,0.46564885496183206,4.0,3.9411764705882355
I120__R50__S10__C45,12.0,0.5,1.0,45,161,33,4.878787878787879,1.0,79,82,0.4906832298136646,4.8125,4.9411764705882355
I120__R50__S10__C60,12.0,0.5,1.0,60,152,33,4.606060606060606,1.0,76,76,0.5,4.75,4.470588235294118
I120__R50__S10__C90,12.0,0.5,1.0,90,143,33,4.333333333333333,1.0,70,73,0.48951048951048953,4.4375,4.235294117647059
I120__R50__S15__C120,12.0,0.5,1.5,120,107,33,3.242424242424242,1.0,53,54,0.4953271028037383,3.0625,3.411764705882353
I120__R50__S15__C45,12.0,0.5,1.5,45,124,33,3.757575757575758,1.0,63,61,0.49193548387096775,3.5625,3.9411764705882355
I120__R50__S15__C60,12.0,0.5,1.5,60,120,33,3.6363636363636362,1.0,61,59,0.49166666666666664,3.5,3.764705882352941
I120__R50__S15__C90,12.0,0.5,1.5,90,114,33,3.4545454545454546,1.0,58,56,0.49122807017543857,3.375,3.5294117647058822
I120__R50__S20__C120,12.0,0.5,2.0,120,80,33,2.4242424242424243,1.0,44,36,0.45,2.125,2.7058823529411766
I120__R50__S20__C45,12.0,0.5,2.0,45,89,33,2.696969696969697,1.0,49,40,0.449438202247191,2.4375,2.9411764705882355
I120__R50__S20__C60,12.0,0.5,2.0,60,88,33,2.6666666666666665,1.0,48,40,0.45454545454545453,2.4375,2.8823529411764706
