attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
30249,e81415bd7128fffa,29249,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,112,16,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":1.0}",18,-7.984690463042821,0.4571559162895043,-0.44359391461349,9.225154442364628,0,0.0,0.0,0.0,0.0,1,1.24046397932181,inf,1.24046397932181,0.0,4,-4.749871066624952,0.0,-1.187467766656238,4.749871066624952,13,-4.475283375739677,0.5506347969744942,-0.34425256736459053,7.38926337936586,-14.708994170969243,1.0,0,0.0,-1.187467766656238,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30250,28da02cf2cf1f7ce,29250,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,576,111,"{""age_min"":16,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":6.0,""width_atr_min"":1.0}",207,-98.85420242949053,0.42415410272725407,-0.4775565334757996,102.01933290868617,20,-3.172905208208925,0.7674461926428151,-0.15864526041044624,4.6091520803045025,26,-12.603451871397555,0.42705445416947035,-0.484748148899906,13.965185234951491,59,-32.985754346797314,0.35083337025708045,-0.559080582149107,32.98575434679732,102,-50.09209100308676,0.41216094659080565,-0.49109893140281136,51.820974610186774,-105.94501362571796,1.0,20,0.35083337025708045,-0.559080582149107,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30251,ab1b7bf5de9c617e,29251,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,108,19,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":6.0,""width_atr_min"":1.0}",35,-9.953116993891783,0.5528680498845665,-0.2843747712540509,15.134659723010397,3,0.1985889785436059,1.1569599392609369,0.06619632618120197,1.2652207912329987,5,4.157489825027403,inf,0.8314979650054806,0.0,13,-6.4848007531106076,0.3318361612267817,-0.49883082716235444,7.310264678658213,14,-7.824395044352187,0.30691840563810535,-0.5588853603108704,7.824395044352187,-14.275090336564107,1.0,3,0.30691840563810535,-0.5588853603108704,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30252,a83d8fa244d62b68,29252,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,548,113,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.03,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}",301,-123.29697441348306,0.48551312662342927,-0.4096244997125683,127.33967216720228,34,-10.599214248777587,0.5952852591123823,-0.311741595552282,14.641912002496777,58,-14.629993506702016,0.6611250312618184,-0.2522412673569313,15.846748621099197,99,-43.40263069071483,0.4485252510466163,-0.43841041101732153,43.40263069071484,110,-54.665135967288634,0.40312745346781864,-0.4969557815208058,54.83480393205739,-130.41857930976812,1.0,34,0.40312745346781864,-0.4969557815208058,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30253,3842a689290aa067,29253,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,119,20,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.25,""width_atr_max"":4.0,""width_atr_min"":3.0}",48,-25.554288311492108,0.41717118208530973,-0.5323810064894189,29.1444455333748,3,-0.8731528730064642,0.6563854859485608,-0.2910509576688214,2.5410826298092664,6,-1.0463794055823188,0.7766904799049765,-0.17439656759705313,4.685780548617274,17,-14.150226645825745,0.20365045445206978,-0.8323662732838674,14.150226645825747,22,-9.48452938707758,0.4968298082205316,-0.43111497213989003,12.113979560875919,-34.97269189840442,1.0,3,0.20365045445206978,-0.8323662732838674,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30254,50e6f6ea92ac1d20,29254,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,192,44,"{""age_min"":8,""geometry_id"":""C_SCALP"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":4.0,""width_atr_min"":2.0}",47,-19.159960628112103,0.42792331368598374,-0.40765873676834263,19.900729855960712,4,-3.0013551918388095,0.1979541952029712,-0.7503387979597024,3.7421244196874177,7,-2.268956532616026,0.5257787430054164,-0.32413664751657517,3.936657106744649,11,-3.753201600008096,0.4682314547226371,-0.34120014545528143,3.753201600008096,25,-10.136447303649163,0.4339477513372782,-0.4054578921459665,10.971097176649957,-23.58493157631723,1.0,4,0.1979541952029712,-0.7503387979597024,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30255,b8aa8ef4752a649d,29255,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,127,17,"{""age_min"":64,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":1.0}",68,-22.287532082554023,0.5673503225654545,-0.3277578247434415,26.309748773194308,8,2.527671326370613,1.6745856948510518,0.3159589157963266,1.2741606171410373,11,-5.238717577609773,0.4375541758943715,-0.47624705250997934,6.7332629418794365,23,-5.148126623820534,0.6751369704235487,-0.22383159234002323,5.680749599151795,26,-14.42835920749433,0.3617408037312933,-0.5549368925959357,14.9602220968617,-29.227582490059387,1.0,8,0.3617408037312933,-0.5549368925959357,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30256,be271cef63ef505a,29256,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,568,114,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":1.0}",128,-49.0053461315718,0.45822825541566725,-0.3828542666529047,51.17268129934191,7,-2.997866664148596,0.41779319984857693,-0.42826666630694227,5.149144021280577,22,-13.934768064485008,0.26253428097648335,-0.6333985483856822,15.571571457984065,32,-6.815164478156166,0.6442436194561703,-0.2129738899423802,9.431449644449735,67,-25.25754692478202,0.46547598405500246,-0.3769783123101794,25.961072322775543,-53.57232009034047,1.0,7,0.26253428097648335,-0.6333985483856822,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
30257,afeb2563efcdf575,29257,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,215,32,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}",138,-56.57098962220197,0.5054461503882818,-0.4099347074072607,56.9077137727063,18,-4.05716884708127,0.6970684912708428,-0.22539826928229278,4.393892997585583,22,-7.263225111578926,0.5846085249903383,-0.33014659598086027,10.948732441486424,49,-21.325302326727638,0.47658054680363865,-0.4352102515658702,22.039961028059178,49,-23.925293336814132,0.4405713121324996,-0.4882712925880435,23.925293336814132,-66.07743874942253,1.0,18,0.4405713121324996,-0.4882712925880435,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30258,54f223ececb60caa,29258,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,649,121,"{""age_min"":16,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.03,""sweep_atr"":0.0,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}",299,-108.59556598939284,0.5607787176260148,-0.36319587287422356,109.81220562858327,41,-9.954443089231344,0.6888046482531955,-0.24279129485930107,11.865758645778051,45,-18.90778081732185,0.5025078764628939,-0.42017290705159666,18.92556028835975,106,-42.05680843814377,0.5273867150703461,-0.3967623437560733,43.58734364178636,107,-37.67653364469588,0.5731378967059634,-0.3521171368663166,42.19700951404043,-118.17880593377419,1.0,41,0.5025078764628939,-0.42017290705159666,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30259,57bcaae8f9b723fb,29259,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,852,170,"{""age_min"":8,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}",442,-192.67117594933674,0.4584685419558146,-0.435907637894427,195.83525446095337,49,-16.667479351182667,0.5688291712239828,-0.34015263982005445,18.41792081293731,99,-37.66031938944861,0.519264582447562,-0.38040726656008694,37.747596036968424,133,-57.65346566093598,0.4513083639391039,-0.43348470421756374,57.653465660935986,161,-80.6899115477695,0.39657426888840597,-0.5011795748308664,82.10354859763157,-199.79006940739754,1.0,49,0.39657426888840597,-0.5011795748308664,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30260,c0c041ad8afb0314,29260,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,390,82,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",273,-111.8561053861277,0.5087565715839142,-0.4097293237587095,115.50115654964989,48,-15.16864631937884,0.6112398930221669,-0.3160134649870592,22.370082530903844,57,-27.743545863634186,0.44312093580136647,-0.48672887480059973,32.93092397045378,91,-31.33407032658877,0.5733884735756357,-0.34433044314932715,33.161931932908765,77,-37.60984287652592,0.4250448563400153,-0.48843951787695994,37.60984287652592,-121.44657030922819,1.0,48,0.4250448563400153,-0.48843951787695994,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
30261,b5186e8eb96620dc,29261,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,258,46,"{""age_min"":8,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""reentry_atr"":0.03,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":4.0,""width_atr_min"":2.0}",82,-15.89440731768676,0.7503086589524487,-0.19383423558154586,20.49744041064942,6,-3.2483299530763086,0.3611718864723191,-0.5413883255127181,3.831081616830079,11,1.9802559870792815,1.2807417088120003,0.18002327155266196,5.871107058959685,28,-12.171450539041116,0.5099600677490109,-0.4346946621086113,12.171450539041116,37,-2.45488281264862,0.907988129859713,-0.06634818412563838,10.399297140129985,-25.383395421620552,1.0,6,0.3611718864723191,-0.5413883255127181,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30262,9e28933c5c6084f8,29262,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_BALANCED,568,114,"{""age_min"":32,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.0,""sweep_atr"":0.0,""wick_min"":0.25,""width_atr_max"":8.0,""width_atr_min"":2.0}",204,-79.76598739086116,0.5029820007148621,-0.39100974211206446,81.57426263727675,21,-6.111316369918903,0.6227540135047361,-0.2910150652342335,6.190708009234466,36,-16.820313394887545,0.4429650652388295,-0.4672309276357651,18.3380676656494,60,-19.845073580555727,0.5569809809802679,-0.33075122634259546,20.511954153303,87,-36.989284045498984,0.466229279025189,-0.42516418443102283,38.71816765259901,-86.83139729733853,1.0,21,0.4429650652388295,-0.4672309276357651,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
