specialist,symbol,signal_time_utc,entry_time_utc,exit_time_utc,side,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,pnl_usd_0_01_lot
s1_established_aligned_cycle_exit_v1,USDJPY,2021-01-13 08:15:00+00:00,2021-01-13 08:30:00+00:00,2021-01-13 09:15:00+00:00,LONG,103.732,103.6115,103.85249999999999,103.85149999999999,TARGET,0.12049999999999272,0.9917012448132378,0.9502074688796254,1.150681501952191
s1_established_aligned_cycle_exit_v1,USDJPY,2021-01-13 11:00:00+00:00,2021-01-13 11:15:00+00:00,2021-01-14 06:00:00+00:00,LONG,103.962,103.6115,104.3125,103.984,NEXT_CYCLE,0.3504999999999967,0.06276747503563927,0.04850213980026111,0.21157101092467456
s1_established_aligned_cycle_exit_v1,USDJPY,2021-02-04 10:45:00+00:00,2021-02-04 11:00:00+00:00,2021-02-04 15:15:00+00:00,LONG,105.28800000000001,105.144,105.43200000000002,105.43100000000001,TARGET,0.14400000000000546,0.9930555555555226,0.9583333333333017,1.3563373201430382
s1_established_aligned_cycle_exit_v1,USDJPY,2021-03-04 09:45:00+00:00,2021-03-04 10:00:00+00:00,2021-03-04 15:50:00+00:00,LONG,107.342,107.0555,107.6285,107.6275,TARGET,0.28650000000000375,0.9965095986038228,0.9790575916230203,2.652667766137827
s1_established_aligned_cycle_exit_v1,USDJPY,2021-09-27 11:00:00+00:00,2021-09-27 11:15:00+00:00,2021-09-28 06:00:00+00:00,LONG,110.974,110.616,111.33200000000001,111.213,NEXT_CYCLE,0.3580000000000041,0.6675977653630932,0.6536312849161661,2.149029340095044
s1_established_aligned_cycle_exit_v1,USDJPY,2021-10-11 08:00:00+00:00,2021-10-11 08:15:00+00:00,2021-10-11 12:30:00+00:00,LONG,112.908,112.6395,113.1765,113.1755,TARGET,0.26850000000000307,0.9962756052141349,0.9776536312848987,2.363585758401759
s1_established_aligned_cycle_exit_v1,USDJPY,2021-11-30 08:30:00+00:00,2021-11-30 08:45:00+00:00,2021-11-30 14:45:00+00:00,SHORT,112.928,113.243,112.613,112.614,TARGET,0.3149999999999977,0.9968253968253816,0.9809523809523656,2.78828564832075
s1_established_aligned_cycle_exit_v1,USDJPY,2022-01-04 08:30:00+00:00,2022-01-04 08:45:00+00:00,2022-01-04 11:25:00+00:00,LONG,115.84,115.6555,116.0245,116.0235,TARGET,0.1844999999999999,0.9945799457994321,0.967479674796722,1.5815761462117166
s1_established_aligned_cycle_exit_v1,USDJPY,2022-01-04 11:15:00+00:00,2022-01-04 11:30:00+00:00,2022-01-05 06:00:00+00:00,LONG,116.119,115.6555,116.5825,116.002,NEXT_CYCLE,0.46349999999999625,-0.252427184466031,-0.26321467098167295,-1.0086032999431427
s1_established_aligned_cycle_exit_v1,USDJPY,2022-01-19 08:45:00+00:00,2022-01-19 09:00:00+00:00,2022-01-19 15:15:00+00:00,LONG,114.46300000000001,114.229,114.69700000000002,114.228,STOP,0.23400000000000887,-1.0042735042735245,-1.025641025641045,-2.0572889309102287
s1_established_aligned_cycle_exit_v1,USDJPY,2022-01-27 08:00:00+00:00,2022-01-27 08:15:00+00:00,2022-01-27 09:15:00+00:00,LONG,114.83,114.62700000000001,115.03299999999999,115.03199999999998,TARGET,0.20299999999998875,0.995073891625592,0.9704433497536694,1.7560331038318382
s1_established_aligned_cycle_exit_v1,USDJPY,2022-01-27 09:00:00+00:00,2022-01-27 09:15:00+00:00,2022-01-27 13:05:00+00:00,LONG,115.00200000000001,114.62700000000001,115.37700000000001,115.376,TARGET,0.375,0.9973333333333206,0.9839999999999873,3.24157537096099
s1_established_aligned_cycle_exit_v1,USDJPY,2022-02-02 11:15:00+00:00,2022-02-02 11:30:00+00:00,2022-02-03 06:00:00+00:00,SHORT,114.356,114.7645,113.94749999999999,114.52900000000001,NEXT_CYCLE,0.40850000000000364,-0.4235006119951395,-0.43574051407592274,-1.5105344497901494
s1_established_aligned_cycle_exit_v1,USDJPY,2022-03-11 08:00:00+00:00,2022-03-11 08:15:00+00:00,2022-03-11 16:10:00+00:00,LONG,116.83500000000001,116.58,117.09000000000002,117.08900000000001,TARGET,0.25500000000000966,0.9960784313725305,0.9764705882352763,2.169290027244274
s1_established_aligned_cycle_exit_v1,USDJPY,2022-03-14 10:45:00+00:00,2022-03-14 11:00:00+00:00,2022-03-15 01:25:00+00:00,LONG,118.051,117.685,118.417,118.416,TARGET,0.36599999999999966,0.9972677595628284,0.9836065573770361,3.082353735981581
s1_established_aligned_cycle_exit_v1,USDJPY,2022-03-22 11:00:00+00:00,2022-03-22 11:15:00+00:00,2022-03-22 23:55:00+00:00,LONG,120.857,120.3125,121.4015,121.4005,TARGET,0.5444999999999993,0.9981634527088985,0.9889807162534348,4.476917310884177
s1_established_aligned_cycle_exit_v1,USDJPY,2022-04-22 10:00:00+00:00,2022-04-22 10:15:00+00:00,2022-04-25 06:00:00+00:00,LONG,128.526,127.738,129.31400000000002,128.484,NEXT_CYCLE,0.7880000000000109,-0.053299492385788086,-0.05964467005076262,-0.3268889511534634
s1_established_aligned_cycle_exit_v1,USDJPY,2022-08-01 09:30:00+00:00,2022-08-01 09:45:00+00:00,2022-08-01 23:55:00+00:00,SHORT,132.031,132.61,131.452,131.453,TARGET,0.5790000000000077,0.9982728842832388,0.9896373056994738,4.397008816839501
s1_established_aligned_cycle_exit_v1,USDJPY,2022-09-07 10:00:00+00:00,2022-09-07 10:15:00+00:00,2022-09-07 10:55:00+00:00,LONG,144.28900000000002,143.8545,144.72350000000003,144.72250000000003,TARGET,0.4345000000000141,0.9976985040276071,0.9861910241656971,2.9953877247837015
s1_established_aligned_cycle_exit_v1,USDJPY,2022-11-24 10:45:00+00:00,2022-11-24 11:00:00+00:00,2022-11-25 00:50:00+00:00,SHORT,138.188,138.998,137.378,138.999,STOP,0.8100000000000023,-1.0012345679012404,-1.0074074074074133,-5.834574349455802
s1_established_aligned_cycle_exit_v1,USDJPY,2022-11-28 08:30:00+00:00,2022-11-28 08:45:00+00:00,2022-11-28 13:05:00+00:00,SHORT,137.68699999999998,138.3865,136.98749999999995,138.38750000000002,STOP,0.6995000000000289,-1.0014295925661254,-1.0085775553967185,-5.061873362840094
s1_established_aligned_cycle_exit_v1,USDJPY,2022-11-29 09:30:00+00:00,2022-11-29 09:45:00+00:00,2022-11-29 14:15:00+00:00,SHORT,137.984,138.7,137.26800000000003,138.701,STOP,0.7159999999999798,-1.0013966480446994,-1.0083798882681634,-5.169393155060054
s1_established_aligned_cycle_exit_v1,USDJPY,2023-01-12 09:00:00+00:00,2023-01-12 09:15:00+00:00,2023-01-12 09:35:00+00:00,SHORT,131.49099999999999,131.902,131.07999999999998,131.081,TARGET,0.41100000000000136,0.9975669099756574,0.985401459854003,3.1278369862908937
