specialist_id,owned_regime,side,signal_time_utc,entry_time_utc,entry_delay_minutes,exit_time_utc,entry,stop,target,exit,entry_spread_pips,stop_pips,net_pips,r,stress_r,pnl_usd_001_lot,exit_reason,portfolio_risk_weight,pnl_usd_001_lot_equivalent,portfolio_sleeve
L0_PROTECTED_CHOP,chop,SHORT,2019-07-19 08:00:00+00:00,2019-07-19 09:00:00+00:00,0,2019-07-19 12:10:00+00:00,1.12509,1.1270218736815256,1.1226751578980927,1.1226851578980928,0.700000000000145,19.318736815257708,24.048421019071675,1.24482367812364,1.218942068741959,2.4048421019071675,TARGET,1.0,2.4048421019071675,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-07-23 08:00:00+00:00,2019-07-23 09:00:00+00:00,0,2019-07-23 13:30:00+00:00,1.11828,1.1196590245182374,1.1165562193522032,1.1165662193522032,0.700000000000145,13.790245182373893,17.137806477967032,1.2427484973125678,1.2064909838755276,1.7137806477967032,TARGET,1.0,1.7137806477967032,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2019-07-31 08:00:00+00:00,2019-07-31 09:00:00+00:00,0,2019-07-31 18:00:00+00:00,1.11441,1.1155910725686298,1.1120478548627404,1.1120578548627404,0.700000000000145,11.810725686297618,23.521451372594537,0.9957665598771499,0.974599359263047,1.1760725686297269,TARGET,0.5,1.1760725686297269,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2019-08-12 06:00:00+00:00,2019-08-12 07:00:00+00:00,0,2019-08-12 07:20:00+00:00,1.12011,1.1215199808922003,1.1183475238847493,1.1183575238847494,0.700000000000145,14.099808922004154,17.52476115250534,1.2429077053062902,1.2074462318376888,1.7524761152505341,TARGET,1.0,1.7524761152505341,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-08-26 07:00:00+00:00,2019-08-26 08:00:00+00:00,0,2019-08-26 19:55:00+00:00,1.11211,1.1145065991225065,1.1091142510968668,1.10973,0.700000000000145,23.965991225065096,23.799999999998267,0.9930738844261436,0.9722109876945004,2.3799999999998267,TIME,1.0,2.3799999999998267,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-08-29 08:00:00+00:00,2019-08-29 09:00:00+00:00,0,2019-08-29 13:10:00+00:00,1.1076199999999998,1.1087160621360619,1.1062499223299223,1.1062599223299223,0.700000000000145,10.96062136061987,13.600776700775086,1.2408764296558004,1.1952585779346894,1.3600776700775086,TARGET,1.0,1.3600776700775086,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-09-11 07:00:00+00:00,2019-09-11 08:00:00+00:00,0,2019-09-11 10:30:00+00:00,1.10341,1.1048640922109376,1.1015923847363278,1.1016023847363279,0.700000000000145,14.540922109376975,18.076152636721243,1.2431228570480073,1.2087371422880357,1.8076152636721243,TARGET,1.0,1.8076152636721243,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-09-17 06:00:00+00:00,2019-09-17 07:00:00+00:00,0,2019-09-17 07:30:00+00:00,1.09957,1.1014541055504796,1.0972148680619003,1.1014641055504797,0.700000000000145,18.841055504796554,-18.94105550479752,-1.0053075582721738,-1.0318453496327857,-1.8941055504797522,STOP,1.0,-1.8941055504797522,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-09-18 06:00:00+00:00,2019-09-18 07:00:00+00:00,0,2019-09-18 09:10:00+00:00,1.10575,1.1071839212822259,1.1039575983972176,1.1039675983972177,0.700000000000145,14.33921282225906,17.82401602782313,1.2430261164793186,1.2081566988761543,1.782401602782313,TARGET,1.0,1.782401602782313,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-09-23 06:00:00+00:00,2019-09-23 07:00:00+00:00,0,2019-09-23 07:30:00+00:00,1.10148,1.1028882009513061,1.0997197488108674,1.0997297488108675,0.700000000000145,14.082009513060356,17.502511891325234,1.2428987407722267,1.2073924446334352,1.7502511891325234,TARGET,1.0,1.7502511891325234,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-09-30 09:00:00+00:00,2019-09-30 10:00:00+00:00,0,2019-09-30 12:10:00+00:00,1.0920999999999998,1.093663475679639,1.0901456554004507,1.0901556554004508,0.700000000000145,15.634756796392885,19.443445995490638,1.243603993889848,1.211623963339238,1.9443445995490638,TARGET,1.0,1.9443445995490638,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-10-02 06:00:00+00:00,2019-10-02 07:00:00+00:00,0,2019-10-02 08:55:00+00:00,1.09238,1.0938657051477083,1.0905228685653645,1.0905328685653646,0.700000000000145,14.857051477083058,18.471314346353296,1.2432691893707997,1.2096151362249754,1.8471314346353296,TARGET,1.0,1.8471314346353296,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-10-03 06:00:00+00:00,2019-10-03 07:00:00+00:00,0,2019-10-03 08:20:00+00:00,1.0941699999999999,1.095515312704679,1.0924883591191508,1.0955253127046791,0.700000000000145,13.453127046792494,-13.553127046792568,-1.0074332160584119,-1.044599296350444,-1.3553127046792568,STOP,1.0,-1.3553127046792568,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2019-10-07 08:00:00+00:00,2019-10-07 09:00:00+00:00,0,2019-10-07 11:00:00+00:00,1.09639,1.0980229878427856,1.0943487651965178,1.0980329878427857,0.700000000000145,16.329878427856773,-16.429878427857147,-1.0061237443035576,-1.0367424658212303,-1.6429878427857147,STOP,1.0,-1.6429878427857147,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2019-10-29 06:00:00+00:00,2019-10-29 07:00:00+00:00,0,2019-10-29 14:00:00+00:00,1.10906,1.11004867600385,1.1070826479923002,1.11005867600385,0.700000000000145,9.886760038499153,-9.98676003850063,-0.5050572684889729,-0.530343610933464,-0.4993380019250315,STOP,0.5,-0.4993380019250315,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2019-12-11 06:00:00+00:00,2019-12-11 07:00:00+00:00,0,2019-12-11 14:15:00+00:00,1.1086099999999999,1.1095898310509487,1.1066503378981025,1.1095998310509487,0.700000000000145,9.798310509487191,-9.898310509488528,-0.5051029205445424,-0.5306175232669136,-0.4949155254744264,STOP,0.5,-0.4949155254744264,BASELINE_COMPRESSION
