evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
DEVELOPMENT,2026-06-10,1781049600000,2026-06-10T00:04:41.828000Z,1781049881828,LONG,-0.7037037037037037,-2.199999999999818,1781049881973,145,4219.63,4220.13,1781050002042,69,4224.97,4225.47,4.8400000000001455,4.740000000000146,4.540000000000146,0.01
DEVELOPMENT,2026-06-10,1781064000000,2026-06-10T04:29:42.109000Z,1781065782109,LONG,-0.7391304347826086,-1.2150000000001455,1781065782167,58,4174.91,4175.66,1781065902232,65,4174.03,4174.53,-1.6300000000001091,-1.7300000000001092,-1.9300000000001092,0.01
DEVELOPMENT,2026-06-10,1781078400000,2026-06-10T08:01:55.167000Z,1781078515167,LONG,-0.7058823529411765,-1.4000000000005457,1781078515231,64,4178.77,4179.27,1781078635238,7,4166.14,4166.64,-13.13000000000011,-13.230000000000109,-13.43000000000011,0.01
DEVELOPMENT,2026-06-10,1781092800000,2026-06-10T12:00:23.365000Z,1781092823365,LONG,-0.8,-1.8400000000001455,1781092823367,2,4146.78,4147.28,1781092943402,35,4149.66,4150.16,2.380000000000109,2.280000000000109,2.0800000000001093,0.01
DEVELOPMENT,2026-06-10,1781107200000,2026-06-10T16:03:02.075000Z,1781107382075,LONG,-0.7222222222222222,-1.2200000000002547,1781107382085,10,4124.06,4124.56,1781107502122,37,4126.24,4126.74,1.6799999999993815,1.5799999999993815,1.3799999999993815,0.01
DEVELOPMENT,2026-06-10,1781121600000,2026-06-10T20:00:11.926000Z,1781121611926,LONG,-0.7837837837837838,-1.2600000000002183,1781121612156,230,4081.88,4082.38,1781121732174,18,4077.86,4078.61,-4.519999999999982,-4.6199999999999815,-4.819999999999982,0.01
DEVELOPMENT,2026-06-11,1781136000000,2026-06-11T00:02:01.812000Z,1781136121812,SHORT,0.7,2.269999999999982,1781136121824,12,4057.54,4058.04,1781136241853,29,4045.95,4046.45,11.090000000000146,10.990000000000146,10.790000000000145,0.01
DEVELOPMENT,2026-06-11,1781150400000,2026-06-11T04:05:23.854000Z,1781150723854,LONG,-0.7692307692307693,-1.2400000000002365,1781150723858,4,4070.4,4071.15,1781150843891,33,4074.15,4074.9,3.0,2.9,2.7,0.01
DEVELOPMENT,2026-06-11,1781164800000,2026-06-11T08:00:48.050000Z,1781164848050,SHORT,0.8,1.2899999999999636,1781164848154,104,4109.38,4109.88,1781164968461,307,4111.07,4111.57,-2.1899999999996,-2.2899999999996,-2.4899999999995996,0.01
DEVELOPMENT,2026-06-11,1781179200000,2026-06-11T12:03:40.237000Z,1781179420237,SHORT,0.7368421052631579,1.7850000000003092,1781179420343,106,4086.38,4087.13,1781179540438,95,4086.16,4086.66,-0.27999999999974534,-0.3799999999997453,-0.5799999999997454,0.01
DEVELOPMENT,2026-06-11,1781193600000,2026-06-11T16:10:40.344000Z,1781194240344,SHORT,0.7837837837837838,1.6649999999999636,1781194240349,5,4092.67,4093.17,1781194360553,204,4098.27,4099.02,-6.350000000000364,-6.450000000000363,-6.650000000000364,0.01
DEVELOPMENT,2026-06-11,1781208000000,2026-06-11T20:01:45.040000Z,1781208105040,SHORT,0.7021276595744681,2.1700000000000728,1781208105048,8,4213.76,4214.26,1781208225181,133,4209.45,4209.95,3.8100000000004,3.7100000000004,3.5100000000004004,0.01
DEVELOPMENT,2026-06-15,1781481600000,2026-06-15T00:12:26.477000Z,1781482346477,SHORT,0.8,1.2950000000000728,1781482346479,2,4298.48,4298.98,1781482466867,388,4299.45,4299.95,-1.4700000000002547,-1.5700000000002547,-1.7700000000002547,0.01
DEVELOPMENT,2026-06-15,1781496000000,2026-06-15T04:29:14.011000Z,1781497754011,LONG,-0.7037037037037037,-1.4400000000005093,1781497754023,12,4326.6,4327.1,1781497874248,225,4325.74,4326.24,-1.360000000000582,-1.4600000000005822,-1.6600000000005821,0.01
