source_report,source_report_sha256,row_index,generated_at_utc,tag,from_date,to_date,tuning_attempted,symbol,variant,description,status,trades,win_rate_pct,parsed_net_usd,parsed_profit_factor,mt5_net_usd,mt5_profit_factor
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT.json,c6841d831873ac2e089a124e67468030f79b55aeaa768d056c7f1a7155b7c505,3,2026-07-03T21:15:51Z,CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT,2024.07.01,2026.07.02,False,EURUSD,rsi_extreme_fade_m15_short,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M15. Direction=short.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,779,53.15,-46.91,0.8912,-46.03,0.89
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT.json,c6841d831873ac2e089a124e67468030f79b55aeaa768d056c7f1a7155b7c505,4,2026-07-03T21:15:51Z,CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT,2024.07.01,2026.07.02,False,EURUSD,rsi_extreme_fade_m15_long,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M15. Direction=long.,FREQUENT_RAW_EDGE_TUNING_CANDIDATE,739,56.7,64.66,1.1924,59.38,1.18
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,1,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,bb_close_fade_m30_both_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=both. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1816,52.2,-146.94,0.8943,-155.67,0.89
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,2,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,bb_close_fade_m30_both_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=both. RiskReward=0.80.",FREQUENT_BUT_THIN_EDGE_WATCH,1733,54.76,18.83,1.0182,11.69,1.01
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,3,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,bb_close_fade_m30_both_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=both. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1728,52.14,-151.76,0.8842,-162.60,0.88
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,4,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,rsi_bb_close_fade_m30_both_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1147,51.7,-112.23,0.8804,-118.32,0.87
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,5,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_bb_close_fade_m30_both_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1121,52.45,-93.89,0.8949,-99.57,0.89
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,6,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,rsi_bb_close_fade_m30_both_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_THIN_EDGE_WATCH,1105,54.93,21.37,1.0305,16.85,1.02
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,7,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,bb_close_fade_m30_short_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=short. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,930,51.94,-75.3,0.8933,-80.33,0.89
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,8,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_extreme_fade_m30_both_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,919,51.58,-121.4,0.8504,-128.49,0.84
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,9,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,bb_close_fade_m30_long_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=long. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,907,52.04,-78.97,0.8867,-82.72,0.88
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,10,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,bb_close_fade_m30_long_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=long. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,905,51.93,-75.98,0.8931,-73.00,0.90
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,11,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,bb_close_fade_m30_long_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=long. RiskReward=0.80.",FREQUENT_BUT_THIN_EDGE_WATCH,890,55.84,40.34,1.0797,31.43,1.06
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,12,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,rsi_extreme_fade_m30_both_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,864,53.7,-21.67,0.9706,-28.61,0.96
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,13,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,bb_close_fade_m30_short_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=short. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,862,52.9,-29.24,0.9459,-27.47,0.95
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,14,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,bb_close_fade_m30_short_rr0p80,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M30. Direction=short. RiskReward=0.80.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,840,52.5,-72.62,0.8804,-86.44,0.86
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,15,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,rsi_extreme_fade_m30_both_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=both. RiskReward=0.80.,FREQUENT_BUT_THIN_EDGE_WATCH,785,56.31,28.05,1.0502,24.19,1.04
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,16,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,590,53.9,-19.66,0.9569,-23.34,0.95
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,17,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_bb_close_fade_m30_long_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=long. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,568,51.23,-61.25,0.8746,-59.19,0.88
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,18,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,rsi_bb_close_fade_m30_long_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=long. RiskReward=0.80.,FREQUENT_RAW_EDGE_TUNING_CANDIDATE,560,57.86,60.28,1.1889,54.56,1.17
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,19,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,GBPUSD,rsi_bb_close_fade_m30_long_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=long. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,557,49.37,-92.57,0.8084,-94.98,0.80
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,20,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,553,53.71,-32.64,0.9194,-40.38,0.90
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,21,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,EURUSD,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,545,51.93,-38.93,0.8979,-37.73,0.90
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,22,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_extreme_fade_m30_short_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,463,52.7,-24.34,0.9306,-34.03,0.90
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST.json,26308ca1bb0ff2601fe6aa204e765abcc37e6829a2527ffaf122bf1c2d01e80b,23,2026-07-03T21:53:50Z,CURRENT_2024_2026_M30_MEANREV_DIRECTION_FREQ_FIRST,2024.07.01,2026.07.02,True,USDJPY,rsi_extreme_fade_m30_long_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=long. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,456,50.44,-97.06,0.7892,-94.46,0.79
