policy_id,horizon_ms,minimum_absolute_comex_move_usd,minimum_directional_innovation_usd,minimum_absolute_flow_imbalance,minimum_received_volume,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H0250__CM080__IN060__FI00__VO05,250,0.8,0.6,0.0,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI00__VO10,250,0.8,0.6,0.0,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI15__VO05,250,0.8,0.6,0.15,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI15__VO10,250,0.8,0.6,0.15,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI30__VO05,250,0.8,0.6,0.3,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI30__VO10,250,0.8,0.6,0.3,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM080__IN060__FI45__VO05,250,0.8,0.6,0.45,5,20,11,0.55,11,0.55,6,5,0.45454545454545453,False
H0250__CM080__IN060__FI45__VO10,250,0.8,0.6,0.45,10,20,11,0.55,11,0.55,6,5,0.45454545454545453,False
H0250__CM100__IN020__FI00__VO05,250,1.0,0.2,0.0,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI00__VO10,250,1.0,0.2,0.0,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI15__VO05,250,1.0,0.2,0.15,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI15__VO10,250,1.0,0.2,0.15,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI30__VO05,250,1.0,0.2,0.3,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI30__VO10,250,1.0,0.2,0.3,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0250__CM100__IN020__FI45__VO05,250,1.0,0.2,0.45,5,20,11,0.55,11,0.55,7,4,0.36363636363636365,False
H0250__CM100__IN020__FI45__VO10,250,1.0,0.2,0.45,10,20,11,0.55,11,0.55,7,4,0.36363636363636365,False
H0250__CM100__IN030__FI00__VO05,250,1.0,0.3,0.0,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI00__VO10,250,1.0,0.3,0.0,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI15__VO05,250,1.0,0.3,0.15,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI15__VO10,250,1.0,0.3,0.15,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI30__VO05,250,1.0,0.3,0.3,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI30__VO10,250,1.0,0.3,0.3,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0250__CM100__IN030__FI45__VO05,250,1.0,0.3,0.45,5,20,11,0.55,11,0.55,6,5,0.45454545454545453,False
H0250__CM100__IN030__FI45__VO10,250,1.0,0.3,0.45,10,20,11,0.55,11,0.55,6,5,0.45454545454545453,False
H0250__CM100__IN040__FI00__VO05,250,1.0,0.4,0.0,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI00__VO10,250,1.0,0.4,0.0,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI15__VO05,250,1.0,0.4,0.15,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI15__VO10,250,1.0,0.4,0.15,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI30__VO05,250,1.0,0.4,0.3,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI30__VO10,250,1.0,0.4,0.3,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN040__FI45__VO05,250,1.0,0.4,0.45,5,20,10,0.5,10,0.5,6,4,0.4,False
H0250__CM100__IN040__FI45__VO10,250,1.0,0.4,0.45,10,20,10,0.5,10,0.5,6,4,0.4,False
H0250__CM100__IN050__FI00__VO05,250,1.0,0.5,0.0,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI00__VO10,250,1.0,0.5,0.0,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI15__VO05,250,1.0,0.5,0.15,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI15__VO10,250,1.0,0.5,0.15,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI30__VO05,250,1.0,0.5,0.3,5,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI30__VO10,250,1.0,0.5,0.3,10,20,12,0.6,12,0.6,6,6,0.5,False
H0250__CM100__IN050__FI45__VO05,250,1.0,0.5,0.45,5,20,10,0.5,10,0.5,6,4,0.4,False
H0250__CM100__IN050__FI45__VO10,250,1.0,0.5,0.45,10,20,10,0.5,10,0.5,6,4,0.4,False
H0250__CM100__IN060__FI00__VO05,250,1.0,0.6,0.0,5,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI00__VO10,250,1.0,0.6,0.0,10,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI15__VO05,250,1.0,0.6,0.15,5,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI15__VO10,250,1.0,0.6,0.15,10,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI30__VO05,250,1.0,0.6,0.3,5,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI30__VO10,250,1.0,0.6,0.3,10,20,11,0.55,11,0.55,5,6,0.45454545454545453,False
H0250__CM100__IN060__FI45__VO05,250,1.0,0.6,0.45,5,20,9,0.45,9,0.45,5,4,0.4444444444444444,False
H0250__CM100__IN060__FI45__VO10,250,1.0,0.6,0.45,10,20,9,0.45,9,0.45,5,4,0.4444444444444444,False
H0250__CM120__IN020__FI00__VO05,250,1.2,0.2,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI00__VO10,250,1.2,0.2,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI15__VO05,250,1.2,0.2,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI15__VO10,250,1.2,0.2,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI30__VO05,250,1.2,0.2,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI30__VO10,250,1.2,0.2,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN020__FI45__VO05,250,1.2,0.2,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN020__FI45__VO10,250,1.2,0.2,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN030__FI00__VO05,250,1.2,0.3,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI00__VO10,250,1.2,0.3,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI15__VO05,250,1.2,0.3,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI15__VO10,250,1.2,0.3,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI30__VO05,250,1.2,0.3,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI30__VO10,250,1.2,0.3,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN030__FI45__VO05,250,1.2,0.3,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN030__FI45__VO10,250,1.2,0.3,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN040__FI00__VO05,250,1.2,0.4,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI00__VO10,250,1.2,0.4,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI15__VO05,250,1.2,0.4,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI15__VO10,250,1.2,0.4,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI30__VO05,250,1.2,0.4,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI30__VO10,250,1.2,0.4,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN040__FI45__VO05,250,1.2,0.4,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN040__FI45__VO10,250,1.2,0.4,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN050__FI00__VO05,250,1.2,0.5,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI00__VO10,250,1.2,0.5,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI15__VO05,250,1.2,0.5,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI15__VO10,250,1.2,0.5,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI30__VO05,250,1.2,0.5,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI30__VO10,250,1.2,0.5,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN050__FI45__VO05,250,1.2,0.5,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN050__FI45__VO10,250,1.2,0.5,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN060__FI00__VO05,250,1.2,0.6,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI00__VO10,250,1.2,0.6,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI15__VO05,250,1.2,0.6,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI15__VO10,250,1.2,0.6,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI30__VO05,250,1.2,0.6,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI30__VO10,250,1.2,0.6,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0250__CM120__IN060__FI45__VO05,250,1.2,0.6,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0250__CM120__IN060__FI45__VO10,250,1.2,0.6,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM040__IN020__FI00__VO05,500,0.4,0.2,0.0,5,20,20,1.0,20,1.0,10,10,0.5,True
H0500__CM040__IN020__FI00__VO10,500,0.4,0.2,0.0,10,20,20,1.0,20,1.0,10,10,0.5,True
H0500__CM040__IN020__FI15__VO05,500,0.4,0.2,0.15,5,20,20,1.0,20,1.0,11,9,0.45,True
H0500__CM040__IN020__FI15__VO10,500,0.4,0.2,0.15,10,20,20,1.0,20,1.0,10,10,0.5,True
H0500__CM040__IN020__FI30__VO05,500,0.4,0.2,0.3,5,20,20,1.0,20,1.0,11,9,0.45,True
H0500__CM040__IN020__FI30__VO10,500,0.4,0.2,0.3,10,20,20,1.0,20,1.0,10,10,0.5,True
H0500__CM040__IN020__FI45__VO05,500,0.4,0.2,0.45,5,20,20,1.0,20,1.0,11,9,0.45,True
H0500__CM040__IN020__FI45__VO10,500,0.4,0.2,0.45,10,20,20,1.0,20,1.0,10,10,0.5,True
H0500__CM040__IN030__FI00__VO05,500,0.4,0.3,0.0,5,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI00__VO10,500,0.4,0.3,0.0,10,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI15__VO05,500,0.4,0.3,0.15,5,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI15__VO10,500,0.4,0.3,0.15,10,20,20,1.0,20,1.0,14,6,0.3,True
