bar_start_utc,bar_end_utc,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,source_terminal
2026-06-03 08:00:00,2026-06-03 12:00:00,1.34558,1.34594,1.34401,1.34495,16935,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 12:00:00,2026-06-03 16:00:00,1.34494,1.34504,1.34181,1.3434,28854,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 16:00:00,2026-06-03 20:00:00,1.34341,1.34347,1.34114,1.34192,14710,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 20:00:00,2026-06-04 00:00:00,1.34191,1.34281,1.34097,1.34261,5202,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 00:00:00,2026-06-04 04:00:00,1.34258,1.34313,1.34167,1.34225,11565,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 04:00:00,2026-06-04 08:00:00,1.34224,1.34342,1.34108,1.34213,14776,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 08:00:00,2026-06-04 12:00:00,1.34214,1.34619,1.3421,1.34583,20695,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 12:00:00,2026-06-04 16:00:00,1.34582,1.3462,1.34295,1.34387,25928,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 16:00:00,2026-06-04 20:00:00,1.34388,1.34414,1.34211,1.34232,13731,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 20:00:00,2026-06-05 00:00:00,1.34233,1.34261,1.34181,1.34222,7581,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 00:00:00,2026-06-05 04:00:00,1.3422,1.34279,1.34155,1.34262,13576,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 04:00:00,2026-06-05 08:00:00,1.34261,1.34478,1.34233,1.34448,14321,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 08:00:00,2026-06-05 12:00:00,1.34449,1.34827,1.34439,1.34677,16977,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 12:00:00,2026-06-05 16:00:00,1.34678,1.34687,1.33564,1.33579,40851,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 16:00:00,2026-06-05 20:00:00,1.3358,1.33587,1.33296,1.33374,25651,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 20:00:00,2026-06-06 00:00:00,1.33373,1.33397,1.33269,1.33369,3655,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-07 20:00:00,2026-06-08 00:00:00,1.33182,1.33357,1.33145,1.33346,5072,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 00:00:00,2026-06-08 04:00:00,1.33344,1.33498,1.33182,1.33406,16871,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 04:00:00,2026-06-08 08:00:00,1.33405,1.33483,1.33195,1.33271,21028,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 08:00:00,2026-06-08 12:00:00,1.3327,1.3369,1.33054,1.33592,28010,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 12:00:00,2026-06-08 16:00:00,1.33593,1.33671,1.33348,1.33462,34657,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 16:00:00,2026-06-08 20:00:00,1.33461,1.33519,1.33373,1.33405,19548,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 20:00:00,2026-06-09 00:00:00,1.33404,1.33471,1.33291,1.33331,5395,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 00:00:00,2026-06-09 04:00:00,1.3333,1.33524,1.33304,1.33488,13857,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 04:00:00,2026-06-09 08:00:00,1.3349,1.33742,1.33471,1.33669,16215,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 08:00:00,2026-06-09 12:00:00,1.3367,1.34057,1.33642,1.34021,15881,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 12:00:00,2026-06-09 16:00:00,1.34023,1.34104,1.33722,1.33866,31025,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 16:00:00,2026-06-09 20:00:00,1.33865,1.33902,1.3358,1.3379,30701,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 20:00:00,2026-06-10 00:00:00,1.33789,1.33823,1.33618,1.3371,7038,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 00:00:00,2026-06-10 04:00:00,1.33711,1.33902,1.33679,1.33882,14655,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 04:00:00,2026-06-10 08:00:00,1.33881,1.33967,1.33792,1.339,16295,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 08:00:00,2026-06-10 12:00:00,1.33901,1.33991,1.33757,1.33779,21403,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 12:00:00,2026-06-10 16:00:00,1.3378,1.34228,1.33708,1.33891,39629,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 16:00:00,2026-06-10 20:00:00,1.33892,1.33971,1.33711,1.33717,24176,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 20:00:00,2026-06-11 00:00:00,1.33716,1.33804,1.33493,1.3361,12589,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 00:00:00,2026-06-11 04:00:00,1.33612,1.33912,1.33612,1.33779,16205,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 04:00:00,2026-06-11 08:00:00,1.3378,1.33911,1.33748,1.33818,13727,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 08:00:00,2026-06-11 12:00:00,1.33816,1.3383,1.3352,1.33646,15623,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 12:00:00,2026-06-11 16:00:00,1.33647,1.33672,1.33241,1.33348,34564,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 16:00:00,2026-06-11 20:00:00,1.33349,1.34329,1.33259,1.34158,35062,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 20:00:00,2026-06-12 00:00:00,1.34159,1.34259,1.34024,1.34136,9004,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 00:00:00,2026-06-12 04:00:00,1.34138,1.34169,1.33993,1.34139,16843,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 04:00:00,2026-06-12 08:00:00,1.3414,1.34176,1.33829,1.33971,19613,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 08:00:00,2026-06-12 12:00:00,1.33974,1.34252,1.33941,1.34087,23835,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 12:00:00,2026-06-12 16:00:00,1.34086,1.34234,1.33891,1.34124,37097,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 16:00:00,2026-06-12 20:00:00,1.34125,1.34213,1.34069,1.34105,24107,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 20:00:00,2026-06-13 00:00:00,1.34103,1.34108,1.33951,1.3399,2367,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
