instrument,segment,basis,field,status,count,exact_count,exact_rate,mean_abs_difference,median_abs_difference,p95_abs_difference,maximum_abs_difference,median_difference_points
XAUUSD,VALIDATION_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,ALL,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,ALL,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,ALL,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,ALL,BID,open,COMPARED,8918,57,0.006391567616057412,8.118075801749162e-05,4.999999999988347e-05,9.999999999998899e-05,0.0038400000000000656,4.999999999988347
EURUSD,ALL,BID,high,COMPARED,8918,17,0.0019062570082978246,7.896389324960802e-05,4.999999999988347e-05,8.000000000008001e-05,0.0036800000000001276,4.999999999988347
EURUSD,ALL,BID,low,COMPARED,8918,39,0.004373177842565598,8.311841220004428e-05,4.999999999988347e-05,0.00015999999999993797,0.00378999999999996,4.999999999988347
EURUSD,ALL,BID,close,COMPARED,8918,46,0.0051581071989235255,8.094303655528186e-05,4.999999999988347e-05,9.000000000014552e-05,0.0038599999999999746,4.999999999988347
EURUSD,DEVELOPMENT_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,BID,open,COMPARED,8918,57,0.006391567616057412,8.118075801749162e-05,4.999999999988347e-05,9.999999999998899e-05,0.0038400000000000656,4.999999999988347
EURUSD,VALIDATION_OVERLAP,BID,high,COMPARED,8918,17,0.0019062570082978246,7.896389324960802e-05,4.999999999988347e-05,8.000000000008001e-05,0.0036800000000001276,4.999999999988347
EURUSD,VALIDATION_OVERLAP,BID,low,COMPARED,8918,39,0.004373177842565598,8.311841220004428e-05,4.999999999988347e-05,0.00015999999999993797,0.00378999999999996,4.999999999988347
EURUSD,VALIDATION_OVERLAP,BID,close,COMPARED,8918,46,0.0051581071989235255,8.094303655528186e-05,4.999999999988347e-05,9.000000000014552e-05,0.0038599999999999746,4.999999999988347
EURUSD,LOCKED_EXAM_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,ALL,ASK,open,COMPARED,8918,3,0.00033639829558196907,0.00015813411078717077,0.0001100000000000545,0.00045000000000006146,0.0037800000000001166,11.000000000005448
EURUSD,ALL,ASK,high,COMPARED,8918,1,0.00011213276519398969,0.00015544180309486552,0.0001100000000000545,0.0004300000000001525,0.00383,11.000000000005448
EURUSD,ALL,ASK,low,COMPARED,8918,0,0.0,0.00016095200717649834,0.0001100000000000545,0.0005100000000000104,0.003730000000000011,11.000000000005448
EURUSD,ALL,ASK,close,COMPARED,8918,4,0.00044853106077595876,0.00015729872168647907,0.0001100000000000545,0.00043999999999999595,0.003849999999999909,11.000000000005448
EURUSD,DEVELOPMENT_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,ASK,open,COMPARED,8918,3,0.00033639829558196907,0.00015813411078717077,0.0001100000000000545,0.00045000000000006146,0.0037800000000001166,11.000000000005448
EURUSD,VALIDATION_OVERLAP,ASK,high,COMPARED,8918,1,0.00011213276519398969,0.00015544180309486552,0.0001100000000000545,0.0004300000000001525,0.00383,11.000000000005448
EURUSD,VALIDATION_OVERLAP,ASK,low,COMPARED,8918,0,0.0,0.00016095200717649834,0.0001100000000000545,0.0005100000000000104,0.003730000000000011,11.000000000005448
EURUSD,VALIDATION_OVERLAP,ASK,close,COMPARED,8918,4,0.00044853106077595876,0.00015729872168647907,0.0001100000000000545,0.00043999999999999595,0.003849999999999909,11.000000000005448
EURUSD,LOCKED_EXAM_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,ALL,MID,open,COMPARED,8918,6,0.0006727965911639381,0.00011755438439111778,8.000000000008001e-05,0.0002500000000000835,0.003810000000000091,8.000000000008
EURUSD,ALL,MID,high,COMPARED,8918,5,0.0005606638259699485,0.00011383381924198277,7.999999999985796e-05,0.00019999999999997797,0.0036800000000001276,7.999999999985795
EURUSD,ALL,MID,low,COMPARED,8918,2,0.00022426553038797938,0.00012239403453689432,7.999999999985796e-05,0.00034000000000000696,0.0037599999999999856,7.999999999985795
EURUSD,ALL,MID,close,COMPARED,8918,3,0.00033639829558196907,0.00011725611123570392,8.000000000008001e-05,0.00024000000000001798,0.0038599999999999746,8.000000000008
EURUSD,DEVELOPMENT_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,MID,open,COMPARED,8918,6,0.0006727965911639381,0.00011755438439111778,8.000000000008001e-05,0.0002500000000000835,0.003810000000000091,8.000000000008
EURUSD,VALIDATION_OVERLAP,MID,high,COMPARED,8918,5,0.0005606638259699485,0.00011383381924198277,7.999999999985796e-05,0.00019999999999997797,0.0036800000000001276,7.999999999985795
EURUSD,VALIDATION_OVERLAP,MID,low,COMPARED,8918,2,0.00022426553038797938,0.00012239403453689432,7.999999999985796e-05,0.00034000000000000696,0.0037599999999999856,7.999999999985795
EURUSD,VALIDATION_OVERLAP,MID,close,COMPARED,8918,3,0.00033639829558196907,0.00011725611123570392,8.000000000008001e-05,0.00024000000000001798,0.0038599999999999746,8.000000000008
EURUSD,LOCKED_EXAM_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
EURUSD,ALL,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,ALL,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,ALL,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,ALL,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,DEVELOPMENT_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,VALIDATION_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
EURUSD,LOCKED_EXAM_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,ALL,BID,open,COMPARED,8916,24,0.0026917900403768506,0.014150852400179622,0.007000000000005002,0.014000000000010004,0.7959999999999923,7.000000000005002
USDJPY,ALL,BID,high,COMPARED,8916,19,0.0021310004486316736,0.014370569762225626,0.007000000000005002,0.01300000000000523,0.7889999999999873,7.000000000005002
USDJPY,ALL,BID,low,COMPARED,8916,23,0.002579632122027815,0.013774226110363457,0.007000000000005002,0.014000000000010004,0.8359999999999843,7.000000000005002
USDJPY,ALL,BID,close,COMPARED,8916,34,0.003813369223867205,0.014050471063257223,0.007000000000005002,0.01300000000000523,0.8520000000000039,7.000000000005002
USDJPY,DEVELOPMENT_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,BID,open,COMPARED,8916,24,0.0026917900403768506,0.014150852400179622,0.007000000000005002,0.014000000000010004,0.7959999999999923,7.000000000005002
USDJPY,VALIDATION_OVERLAP,BID,high,COMPARED,8916,19,0.0021310004486316736,0.014370569762225626,0.007000000000005002,0.01300000000000523,0.7889999999999873,7.000000000005002
USDJPY,VALIDATION_OVERLAP,BID,low,COMPARED,8916,23,0.002579632122027815,0.013774226110363457,0.007000000000005002,0.014000000000010004,0.8359999999999843,7.000000000005002
USDJPY,VALIDATION_OVERLAP,BID,close,COMPARED,8916,34,0.003813369223867205,0.014050471063257223,0.007000000000005002,0.01300000000000523,0.8520000000000039,7.000000000005002
USDJPY,LOCKED_EXAM_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,ALL,ASK,open,COMPARED,8916,2,0.00022431583669807088,0.02582626738447756,0.016999999999995907,0.06599999999997408,0.8259999999999934,16.999999999995907
USDJPY,ALL,ASK,high,COMPARED,8916,1,0.00011215791834903544,0.026021982951996613,0.016999999999995907,0.06399999999999295,0.8189999999999884,16.999999999995907
USDJPY,ALL,ASK,low,COMPARED,8916,1,0.00011215791834903544,0.025277590847913957,0.016999999999995907,0.06499999999999773,0.8410000000000082,16.999999999995907
USDJPY,ALL,ASK,close,COMPARED,8916,1,0.00011215791834903544,0.025579632122027848,0.016999999999995907,0.06200000000001182,0.8569999999999993,16.999999999995907
USDJPY,DEVELOPMENT_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,ASK,open,COMPARED,8916,2,0.00022431583669807088,0.02582626738447756,0.016999999999995907,0.06599999999997408,0.8259999999999934,16.999999999995907
USDJPY,VALIDATION_OVERLAP,ASK,high,COMPARED,8916,1,0.00011215791834903544,0.026021982951996613,0.016999999999995907,0.06399999999999295,0.8189999999999884,16.999999999995907
USDJPY,VALIDATION_OVERLAP,ASK,low,COMPARED,8916,1,0.00011215791834903544,0.025277590847913957,0.016999999999995907,0.06499999999999773,0.8410000000000082,16.999999999995907
USDJPY,VALIDATION_OVERLAP,ASK,close,COMPARED,8916,1,0.00011215791834903544,0.025579632122027848,0.016999999999995907,0.06200000000001182,0.8569999999999993,16.999999999995907
USDJPY,LOCKED_EXAM_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,ALL,MID,open,COMPARED,8916,0,0.0,0.019873710183939266,0.012000000000000455,0.04099999999999682,0.8109999999999786,12.000000000000455
USDJPY,ALL,MID,high,COMPARED,8916,1,0.00011215791834903544,0.019971063257066192,0.012000000000000455,0.03499999999999659,0.8039999999999736,12.000000000000455
USDJPY,ALL,MID,low,COMPARED,8916,3,0.00033647375504710633,0.019578061911171014,0.012000000000000455,0.043000000000006366,0.8389999999999986,12.000000000000455
USDJPY,ALL,MID,close,COMPARED,8916,2,0.00022431583669807088,0.019730933153880848,0.012000000000000455,0.03899999999998727,0.8540000000000134,12.000000000000455
USDJPY,DEVELOPMENT_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,MID,open,COMPARED,8916,0,0.0,0.019873710183939266,0.012000000000000455,0.04099999999999682,0.8109999999999786,12.000000000000455
USDJPY,VALIDATION_OVERLAP,MID,high,COMPARED,8916,1,0.00011215791834903544,0.019971063257066192,0.012000000000000455,0.03499999999999659,0.8039999999999736,12.000000000000455
USDJPY,VALIDATION_OVERLAP,MID,low,COMPARED,8916,3,0.00033647375504710633,0.019578061911171014,0.012000000000000455,0.043000000000006366,0.8389999999999986,12.000000000000455
USDJPY,VALIDATION_OVERLAP,MID,close,COMPARED,8916,2,0.00022431583669807088,0.019730933153880848,0.012000000000000455,0.03899999999998727,0.8540000000000134,12.000000000000455
USDJPY,LOCKED_EXAM_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
USDJPY,ALL,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,ALL,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,ALL,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,ALL,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,DEVELOPMENT_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,VALIDATION_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,LAST,open,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,LAST,high,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,LAST,low,NOT_APPLICABLE,0,0,0,,,,,
USDJPY,LOCKED_EXAM_OVERLAP,LAST,close,NOT_APPLICABLE,0,0,0,,,,,
