family,signal_time_utc,signal_complete_utc,entry_time_utc,state_latest_allowed_utc,side,atr,prior_day_atr,range_high,range_low,session_range,range_atr,daily_range_atr,body_fraction,close_location,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,state_known_at_utc,state_known_lag_hours,neutral_owned,entry_bar_available,risk_eligible,entry_position,entry_price_decision_time,stop_price_decision_time,risk_distance,risk_pips,risk_points,window
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-08-15 11:30:00+00:00,2022-08-15 11:45:00+00:00,2022-08-15 11:45:00+00:00,2022-08-15 10:00:00+00:00,SHORT,0.0009135223882184261,0.008607702312144241,1.02474,1.023005,0.001735000000000042,1.8992419040585111,0.20156366206487,0.9117647058824297,0.07352941176453301,2022-08-15 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-08-15 11:00:00+00:00,0.75,True,True,True,270744,1.01946,1.02474,0.005279999999999951,52.799999999999514,527.9999999999951,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-09-20 11:45:00+00:00,2022-09-20 12:00:00+00:00,2022-09-20 12:00:00+00:00,2022-09-20 11:00:00+00:00,SHORT,0.0010012679203527282,0.009143790455428742,1.0042200000000001,1.0013,0.0029200000000000337,2.916302360881962,0.3193424011883831,0.44705882352937076,0.12156862745099063,2022-09-20 11:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2022-09-20 12:00:00+00:00,0.0,True,True,True,278234,0.9986700000000001,1.0042200000000001,0.005550000000000055,55.50000000000055,555.0000000000055,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-10-19 10:45:00+00:00,2022-10-19 11:00:00+00:00,2022-10-19 11:00:00+00:00,2022-10-19 10:00:00+00:00,SHORT,0.0011484649665732785,0.010195201885184697,0.98411,0.981525,0.0025850000000000595,2.250830521816463,0.2535506436372279,0.8435374149660039,0.017006802721050415,2022-10-19 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2022-10-19 11:00:00+00:00,0.0,True,True,True,284269,0.97806,0.98411,0.00605,60.49999999999999,604.9999999999999,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-10-19 11:00:00+00:00,2022-10-19 11:15:00+00:00,2022-10-19 11:15:00+00:00,2022-10-19 10:00:00+00:00,SHORT,0.0012257174689608982,0.010195201885184697,0.98411,0.981525,0.0025850000000000595,2.108968881867608,0.2535506436372279,0.8475336322869893,0.042600896860967796,2022-10-19 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2022-10-19 11:00:00+00:00,0.25,True,True,True,284272,0.9761700000000001,0.98411,0.007939999999999947,79.39999999999947,793.9999999999947,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-10-19 11:30:00+00:00,2022-10-19 11:45:00+00:00,2022-10-19 11:45:00+00:00,2022-10-19 10:00:00+00:00,SHORT,0.0012043941441550552,0.010195201885184697,0.98411,0.981525,0.0025850000000000595,2.1463073467644356,0.2535506436372279,0.7421875000000352,0.007812499999878027,2022-10-19 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2022-10-19 11:00:00+00:00,0.75,True,True,True,284278,0.9768,0.98411,0.007310000000000039,73.10000000000038,731.0000000000039,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-11-01 08:00:00+00:00,2022-11-01 08:15:00+00:00,2022-11-01 08:15:00+00:00,2022-11-01 07:00:00+00:00,LONG,0.0009717289139056799,0.00998772143462154,0.9938549999999999,0.990875,0.0029799999999999827,3.066698908878237,0.2983663510748388,0.7103960396039899,0.809405940594077,2022-11-01 07:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-11-01 08:00:00+00:00,0.25,True,True,True,286828,0.9944999999999999,0.990875,0.0036249999999999893,36.24999999999989,362.4999999999989,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 08:45:00+00:00,2022-12-20 09:00:00+00:00,2022-12-20 09:00:00+00:00,2022-12-20 08:00:00+00:00,LONG,0.0012294482038286473,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.643462319013595,0.3630061168508326,0.7305389221557587,0.9161676646706332,2022-12-20 08:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,True,2022-12-20 09:00:00+00:00,0.0,True,True,True,296904,1.06343,1.0583,0.005130000000000079,51.300000000000786,513.0000000000078,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 09:15:00+00:00,2022-12-20 09:30:00+00:00,2022-12-20 09:30:00+00:00,2022-12-20 08:00:00+00:00,LONG,0.0011882742165665325,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.735058923849001,0.3630061168508326,0.7079207920794158,0.8960396039605669,2022-12-20 08:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,True,2022-12-20 09:00:00+00:00,0.5,True,True,True,296910,1.06343,1.0583,0.005130000000000079,51.300000000000786,513.0000000000078,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 09:45:00+00:00,2022-12-20 10:00:00+00:00,2022-12-20 10:00:00+00:00,2022-12-20 09:00:00+00:00,LONG,0.0011710884826517712,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.7751959379199005,0.3630061168508326,0.39259259259254387,0.9333333333332237,2022-12-20 09:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-12-20 10:00:00+00:00,0.0,True,True,True,296916,1.06375,1.0583,0.005449999999999955,54.499999999999545,544.9999999999955,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 10:15:00+00:00,2022-12-20 10:30:00+00:00,2022-12-20 10:30:00+00:00,2022-12-20 09:00:00+00:00,LONG,0.0011549691508579134,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.8139279716569647,0.3630061168508326,0.37222222222238943,0.8833333333333251,2022-12-20 09:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-12-20 10:00:00+00:00,0.5,True,True,True,296922,1.06331,1.0583,0.005009999999999959,50.09999999999959,500.99999999999585,development_2019_2022
