trade_index,entry_time_utc,side,oracle_match_exact,oracle_match_15m,oracle_entry_time_utc,absolute_minutes
62,2022-03-17 08:15:00+00:00,LONG,False,False,,
63,2022-05-11 10:00:00+00:00,LONG,False,False,,
64,2022-05-17 10:30:00+00:00,LONG,False,False,,
65,2022-05-18 11:15:00+00:00,SHORT,False,False,,
66,2022-05-31 10:00:00+00:00,SHORT,False,False,,
67,2022-07-06 11:15:00+00:00,SHORT,False,False,,
68,2022-08-15 09:15:00+00:00,SHORT,False,False,,
69,2022-09-20 12:00:00+00:00,SHORT,False,False,,
70,2022-10-19 11:00:00+00:00,SHORT,False,False,,
71,2022-11-01 08:15:00+00:00,LONG,False,False,,
72,2022-12-20 09:00:00+00:00,LONG,False,False,,
73,2023-03-29 10:00:00+00:00,LONG,False,False,,
74,2023-05-30 09:30:00+00:00,LONG,False,False,,
75,2023-11-02 09:30:00+00:00,LONG,False,False,,
76,2023-11-10 08:30:00+00:00,LONG,False,False,,
77,2023-11-27 08:45:00+00:00,SHORT,False,False,,
78,2023-12-12 09:30:00+00:00,LONG,False,False,,
79,2024-01-31 08:45:00+00:00,LONG,False,False,,
80,2024-02-22 10:15:00+00:00,LONG,False,False,,
81,2024-02-28 11:45:00+00:00,SHORT,False,False,,
82,2024-03-21 08:45:00+00:00,SHORT,False,False,,
83,2024-04-30 10:15:00+00:00,LONG,False,False,,
84,2024-05-02 08:15:00+00:00,SHORT,False,False,,
85,2024-06-18 09:30:00+00:00,SHORT,False,False,,
86,2024-06-20 09:30:00+00:00,SHORT,False,False,,
87,2024-07-31 11:15:00+00:00,LONG,False,False,,
88,2024-08-29 10:15:00+00:00,SHORT,False,False,,
89,2024-09-19 08:45:00+00:00,LONG,False,False,,
90,2024-11-04 11:15:00+00:00,LONG,False,False,,
91,2024-11-12 12:00:00+00:00,SHORT,False,False,,
92,2024-11-19 11:00:00+00:00,SHORT,False,False,,
93,2024-11-27 11:45:00+00:00,LONG,False,False,,
94,2025-01-20 11:15:00+00:00,LONG,False,False,,
95,2025-01-24 08:15:00+00:00,LONG,False,False,,
96,2025-03-03 08:30:00+00:00,SHORT,False,False,,
97,2025-03-03 11:15:00+00:00,LONG,False,False,,
98,2025-04-16 08:45:00+00:00,SHORT,False,False,,
99,2025-04-23 09:00:00+00:00,LONG,False,False,,
100,2025-05-01 08:15:00+00:00,LONG,False,False,,
101,2025-05-20 10:15:00+00:00,SHORT,False,False,,
102,2025-06-23 08:45:00+00:00,SHORT,False,False,,
103,2025-07-21 12:00:00+00:00,LONG,False,False,,
104,2025-09-01 09:00:00+00:00,LONG,False,False,,
105,2025-09-24 09:30:00+00:00,SHORT,False,False,,
106,2025-09-30 09:45:00+00:00,LONG,False,False,,
107,2025-10-21 10:15:00+00:00,SHORT,False,False,,
108,2025-10-29 11:00:00+00:00,LONG,False,False,,
109,2025-11-24 12:00:00+00:00,LONG,False,False,,
110,2025-12-03 10:15:00+00:00,LONG,False,False,,
111,2025-12-11 10:00:00+00:00,LONG,False,False,,
112,2025-12-23 08:15:00+00:00,LONG,False,False,,
113,2025-12-31 08:30:00+00:00,SHORT,False,False,,
114,2026-01-29 10:00:00+00:00,SHORT,False,False,,
115,2026-02-23 08:45:00+00:00,SHORT,False,False,,
116,2026-02-26 11:30:00+00:00,SHORT,False,False,,
117,2026-03-25 08:15:00+00:00,LONG,False,False,,
118,2026-04-02 11:00:00+00:00,SHORT,False,False,,
119,2026-05-04 12:00:00+00:00,SHORT,False,False,,
120,2026-06-18 08:45:00+00:00,SHORT,False,False,,
