timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2021.09.21 12:00:00	2021.09.21 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1767.91	1767.97	6	1767.91	0.00	0.00	2584.00	0.0023	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.09.23 16:00:00	2021.09.23 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1751.90	1751.95	5	1751.90	0.00	0.00	3531.00	0.0014	0		0	0	0.00	direction_mode_block	
2021.09.27 04:00:00	2021.09.27 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1759.27	1759.32	5	1759.29	0.00	0.00	1880.00	0.0027	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.09.28 08:00:00	2021.09.28 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1743.83	1743.88	5	1743.86	0.00	0.00	1696.00	0.0029	0		0	0	0.00	direction_mode_block	
2021.09.29 20:00:00	2021.09.29 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1725.82	1725.88	6	1725.77	0.00	0.00	3505.00	0.0017	0		0	0	0.00	direction_mode_block	
2021.09.30 16:00:00	2021.09.30 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1757.94	1757.99	5	1757.94	0.00	0.00	3629.00	0.0014	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.10.04 16:00:00	2021.10.04 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1765.52	1765.57	5	1765.52	0.00	0.00	1575.00	0.0032	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.10.12 12:00:00	2021.10.12 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1761.87	1761.92	5	1761.96	0.00	0.00	1178.00	0.0042	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.10.13 12:00:00	2021.10.13 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1773.61	1773.66	5	1773.53	0.00	0.00	2335.00	0.0021	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.10.14 16:00:00	2021.10.14 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1798.30	1798.35	5	1798.30	0.00	0.00	4750.00	0.0011	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
