m15_trade_index,control_trade_index,m15_entry_time,m15_exit_time,control_entry_time,control_exit_time,overlap_start_utc,overlap_end_utc,overlap_minutes,absolute_entry_delta_minutes,same_entry_time,entries_within_15_minutes,opposite_side,m15_volume,control_volume
172,173,2025-01-02 10:00:00+00:00,2025-01-02 10:09:34+00:00,2025-01-02 10:00:00+00:00,2025-01-02 14:28:28+00:00,2025-01-02 10:00:00+00:00,2025-01-02 10:09:34+00:00,9.566666666666666,0.0,True,True,True,0.01,0.01
179,180,2025-01-08 08:00:00+00:00,2025-01-08 10:19:51+00:00,2025-01-08 08:00:00+00:00,2025-01-08 10:30:24+00:00,2025-01-08 08:00:00+00:00,2025-01-08 10:19:51+00:00,139.85,0.0,True,True,True,0.01,0.01
181,180,2025-01-08 10:30:00+00:00,2025-01-08 10:33:15+00:00,2025-01-08 08:00:00+00:00,2025-01-08 10:30:24+00:00,2025-01-08 10:30:00+00:00,2025-01-08 10:30:24+00:00,0.4,150.0,False,False,True,0.01,0.01
197,198,2025-01-29 06:45:00+00:00,2025-01-29 07:10:05+00:00,2025-01-29 07:00:00+00:00,2025-01-29 09:12:59+00:00,2025-01-29 07:00:00+00:00,2025-01-29 07:10:05+00:00,10.083333333333334,15.0,False,True,True,0.01,0.01
199,198,2025-01-29 09:00:00+00:00,2025-01-29 12:11:03+00:00,2025-01-29 07:00:00+00:00,2025-01-29 09:12:59+00:00,2025-01-29 09:00:00+00:00,2025-01-29 09:12:59+00:00,12.983333333333333,120.0,False,False,True,0.01,0.01
218,219,2025-02-24 08:30:00+00:00,2025-02-24 11:31:34+00:00,2025-02-24 08:00:00+00:00,2025-02-24 20:00:00+00:00,2025-02-24 08:30:00+00:00,2025-02-24 11:31:34+00:00,181.56666666666666,30.0,False,False,True,0.01,0.01
234,235,2025-03-20 08:15:00+00:00,2025-03-20 08:24:40+00:00,2025-03-20 07:00:00+00:00,2025-03-20 08:24:41+00:00,2025-03-20 08:15:00+00:00,2025-03-20 08:24:40+00:00,9.666666666666666,75.0,False,False,True,0.01,0.01
269,270,2025-05-08 06:45:00+00:00,2025-05-08 07:38:00+00:00,2025-05-08 07:00:00+00:00,2025-05-08 12:40:19+00:00,2025-05-08 07:00:00+00:00,2025-05-08 07:38:00+00:00,38.0,15.0,False,True,True,0.01,0.01
311,310,2025-07-10 12:00:00+00:00,2025-07-10 12:29:44+00:00,2025-07-10 09:00:00+00:00,2025-07-10 12:29:34+00:00,2025-07-10 12:00:00+00:00,2025-07-10 12:29:34+00:00,29.566666666666666,180.0,False,False,True,0.01,0.01
328,329,2025-07-17 12:00:00+00:00,2025-07-17 12:12:12+00:00,2025-07-17 07:00:00+00:00,2025-07-17 19:00:00+00:00,2025-07-17 12:00:00+00:00,2025-07-17 12:12:12+00:00,12.2,300.0,False,False,True,0.01,0.01
333,337,2025-07-28 08:00:00+00:00,2025-07-28 08:24:43+00:00,2025-07-28 08:00:00+00:00,2025-07-28 13:21:39+00:00,2025-07-28 08:00:00+00:00,2025-07-28 08:24:43+00:00,24.716666666666665,0.0,True,True,True,0.01,0.01
334,337,2025-07-28 08:30:00+00:00,2025-07-28 09:34:40+00:00,2025-07-28 08:00:00+00:00,2025-07-28 13:21:39+00:00,2025-07-28 08:30:00+00:00,2025-07-28 09:34:40+00:00,64.66666666666667,30.0,False,False,True,0.01,0.01
335,337,2025-07-28 10:00:00+00:00,2025-07-28 11:17:20+00:00,2025-07-28 08:00:00+00:00,2025-07-28 13:21:39+00:00,2025-07-28 10:00:00+00:00,2025-07-28 11:17:20+00:00,77.33333333333333,120.0,False,False,True,0.01,0.01
336,337,2025-07-28 11:30:00+00:00,2025-07-28 12:02:32+00:00,2025-07-28 08:00:00+00:00,2025-07-28 13:21:39+00:00,2025-07-28 11:30:00+00:00,2025-07-28 12:02:32+00:00,32.53333333333333,210.0,False,False,True,0.01,0.01
372,371,2025-08-25 15:45:00+00:00,2025-08-25 15:53:42+00:00,2025-08-25 10:00:00+00:00,2025-08-25 15:52:39+00:00,2025-08-25 15:45:00+00:00,2025-08-25 15:52:39+00:00,7.65,345.0,False,False,True,0.01,0.01
382,383,2025-08-27 08:15:00+00:00,2025-08-27 08:31:30+00:00,2025-08-27 08:00:00+00:00,2025-08-27 08:31:39+00:00,2025-08-27 08:15:00+00:00,2025-08-27 08:31:30+00:00,16.5,15.0,False,True,True,0.01,0.01
406,407,2025-09-25 08:00:00+00:00,2025-09-25 08:12:31+00:00,2025-09-25 08:00:00+00:00,2025-09-25 09:07:34+00:00,2025-09-25 08:00:00+00:00,2025-09-25 08:12:31+00:00,12.516666666666667,0.0,True,True,True,0.01,0.01
417,418,2025-10-07 09:00:00+00:00,2025-10-07 10:35:37+00:00,2025-10-07 08:00:00+00:00,2025-10-07 11:50:30+00:00,2025-10-07 09:00:00+00:00,2025-10-07 10:35:37+00:00,95.61666666666666,60.0,False,False,True,0.01,0.01
419,418,2025-10-07 11:30:00+00:00,2025-10-07 12:08:37+00:00,2025-10-07 08:00:00+00:00,2025-10-07 11:50:30+00:00,2025-10-07 11:30:00+00:00,2025-10-07 11:50:30+00:00,20.5,210.0,False,False,True,0.01,0.01
473,474,2025-12-18 09:15:00+00:00,2025-12-18 09:25:20+00:00,2025-12-18 08:00:00+00:00,2025-12-18 09:25:41+00:00,2025-12-18 09:15:00+00:00,2025-12-18 09:25:20+00:00,10.333333333333334,75.0,False,False,True,0.01,0.01
483,485,2026-01-02 08:30:00+00:00,2026-01-02 09:07:43+00:00,2026-01-02 08:00:00+00:00,2026-01-02 10:14:28+00:00,2026-01-02 08:30:00+00:00,2026-01-02 09:07:43+00:00,37.71666666666667,30.0,False,False,True,0.01,0.01
484,485,2026-01-02 09:45:00+00:00,2026-01-02 10:01:37+00:00,2026-01-02 08:00:00+00:00,2026-01-02 10:14:28+00:00,2026-01-02 09:45:00+00:00,2026-01-02 10:01:37+00:00,16.616666666666667,105.0,False,False,True,0.01,0.01
491,492,2026-01-07 08:15:00+00:00,2026-01-07 08:38:31+00:00,2026-01-07 08:00:00+00:00,2026-01-07 14:54:29+00:00,2026-01-07 08:15:00+00:00,2026-01-07 08:38:31+00:00,23.516666666666666,15.0,False,True,True,0.01,0.01
513,512,2026-02-11 13:45:00+00:00,2026-02-17 07:30:37+00:00,2026-02-13 07:00:00+00:00,2026-02-13 13:30:29+00:00,2026-02-13 07:00:00+00:00,2026-02-13 13:30:29+00:00,390.48333333333335,2475.0,False,False,True,0.02,0.01
523,525,2026-02-23 10:00:00+00:00,2026-02-23 11:13:30+00:00,2026-02-23 09:00:00+00:00,2026-02-23 12:20:38+00:00,2026-02-23 10:00:00+00:00,2026-02-23 11:13:30+00:00,73.5,60.0,False,False,True,0.01,0.01
524,525,2026-02-23 11:15:00+00:00,2026-02-23 11:31:34+00:00,2026-02-23 09:00:00+00:00,2026-02-23 12:20:38+00:00,2026-02-23 11:15:00+00:00,2026-02-23 11:31:34+00:00,16.566666666666666,135.0,False,False,True,0.01,0.01
526,525,2026-02-23 12:15:00+00:00,2026-02-23 12:24:17+00:00,2026-02-23 09:00:00+00:00,2026-02-23 12:20:38+00:00,2026-02-23 12:15:00+00:00,2026-02-23 12:20:38+00:00,5.633333333333334,195.0,False,False,True,0.01,0.01
530,531,2026-02-26 10:45:00+00:00,2026-02-26 11:00:41+00:00,2026-02-26 09:00:00+00:00,2026-02-26 13:21:05+00:00,2026-02-26 10:45:00+00:00,2026-02-26 11:00:41+00:00,15.683333333333334,105.0,False,False,True,0.01,0.01
536,538,2026-03-02 06:45:00+00:00,2026-03-02 07:08:38+00:00,2026-03-02 07:00:00+00:00,2026-03-02 15:46:27+00:00,2026-03-02 07:00:00+00:00,2026-03-02 07:08:38+00:00,8.633333333333333,15.0,False,True,True,0.01,0.01
537,538,2026-03-02 08:30:00+00:00,2026-03-02 08:48:28+00:00,2026-03-02 07:00:00+00:00,2026-03-02 15:46:27+00:00,2026-03-02 08:30:00+00:00,2026-03-02 08:48:28+00:00,18.466666666666665,90.0,False,False,True,0.01,0.01
557,558,2026-03-11 09:30:00+00:00,2026-03-11 10:31:38+00:00,2026-03-11 10:00:00+00:00,2026-03-11 16:09:40+00:00,2026-03-11 10:00:00+00:00,2026-03-11 10:31:38+00:00,31.633333333333333,30.0,False,False,True,0.01,0.01
559,558,2026-03-11 16:00:00+00:00,2026-03-11 22:55:52+00:00,2026-03-11 10:00:00+00:00,2026-03-11 16:09:40+00:00,2026-03-11 16:00:00+00:00,2026-03-11 16:09:40+00:00,9.666666666666666,360.0,False,False,True,0.01,0.01
571,572,2026-03-18 08:30:00+00:00,2026-03-18 08:47:27+00:00,2026-03-18 08:00:00+00:00,2026-03-18 10:07:19+00:00,2026-03-18 08:30:00+00:00,2026-03-18 08:47:27+00:00,17.45,30.0,False,False,True,0.01,0.01
578,579,2026-03-20 10:15:00+00:00,2026-03-20 10:40:17+00:00,2026-03-20 10:00:00+00:00,2026-03-20 11:10:15+00:00,2026-03-20 10:15:00+00:00,2026-03-20 10:40:17+00:00,25.283333333333335,15.0,False,True,True,0.01,0.01
582,583,2026-03-23 10:00:00+00:00,2026-03-23 11:05:19+00:00,2026-03-23 10:00:00+00:00,2026-03-23 11:05:28+00:00,2026-03-23 10:00:00+00:00,2026-03-23 11:05:19+00:00,65.31666666666666,0.0,True,True,True,0.01,0.01
586,585,2026-03-26 11:45:00+00:00,2026-03-26 11:58:36+00:00,2026-03-26 08:00:00+00:00,2026-03-26 11:47:05+00:00,2026-03-26 11:45:00+00:00,2026-03-26 11:47:05+00:00,2.0833333333333335,225.0,False,False,True,0.01,0.01
588,589,2026-03-27 12:00:00+00:00,2026-03-27 12:44:37+00:00,2026-03-27 08:00:00+00:00,2026-03-27 15:23:36+00:00,2026-03-27 12:00:00+00:00,2026-03-27 12:44:37+00:00,44.61666666666667,240.0,False,False,True,0.01,0.01
625,624,2026-05-04 10:15:00+00:00,2026-05-04 10:31:58+00:00,2026-05-04 08:00:00+00:00,2026-05-04 10:18:05+00:00,2026-05-04 10:15:00+00:00,2026-05-04 10:18:05+00:00,3.0833333333333335,135.0,False,False,True,0.01,0.01
630,629,2026-05-13 08:00:00+00:00,2026-05-13 08:49:29+00:00,2026-05-13 07:00:00+00:00,2026-05-13 08:47:16+00:00,2026-05-13 08:00:00+00:00,2026-05-13 08:47:16+00:00,47.266666666666666,60.0,False,False,True,0.01,0.01
674,677,2026-06-18 08:45:00+00:00,2026-06-18 09:00:20+00:00,2026-06-18 09:00:00+00:00,2026-06-18 21:05:00+00:00,2026-06-18 09:00:00+00:00,2026-06-18 09:00:20+00:00,0.3333333333333333,15.0,False,True,True,0.01,0.01
675,677,2026-06-18 09:15:00+00:00,2026-06-18 10:07:29+00:00,2026-06-18 09:00:00+00:00,2026-06-18 21:05:00+00:00,2026-06-18 09:15:00+00:00,2026-06-18 10:07:29+00:00,52.483333333333334,15.0,False,True,True,0.01,0.01
676,677,2026-06-18 10:45:00+00:00,2026-06-18 12:21:19+00:00,2026-06-18 09:00:00+00:00,2026-06-18 21:05:00+00:00,2026-06-18 10:45:00+00:00,2026-06-18 12:21:19+00:00,96.31666666666666,105.0,False,False,True,0.01,0.01
