attempt_no,portfolio_id,weights_json,active_component_count,total_risk_weight,tie_priority
25175,5b182021b20815a6,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.25}",4,2.25,ATTEMPT_DESCENDING
25176,7676450211026800,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.5}",4,2.5,ATTEMPT_ASCENDING
25177,f6a3500165a02efc,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.5}",4,2.5,ATTEMPT_DESCENDING
25178,064e7a0b40b07463,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.75}",4,2.75,ATTEMPT_ASCENDING
25179,4a576a12f35cf30e,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.75}",4,2.75,ATTEMPT_DESCENDING
25180,9321f146c2712256,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":1.0}",4,3.0,ATTEMPT_ASCENDING
25181,564ee7f9f446e565,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":1.0}",4,3.0,ATTEMPT_DESCENDING
25182,20474943aa0d6248,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.25}",4,2.5,ATTEMPT_ASCENDING
25183,922e2bf4dab9d75e,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.25}",4,2.5,ATTEMPT_DESCENDING
25184,0d55e8ad27a1d9cb,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.5}",4,2.75,ATTEMPT_ASCENDING
25185,489705f27b1389b9,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.5}",4,2.75,ATTEMPT_DESCENDING
25186,7c43d52b36eb414e,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.75}",4,3.0,ATTEMPT_ASCENDING
25187,57eeedc93f379368,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":0.75}",4,3.0,ATTEMPT_DESCENDING
25188,3222762c85be7a5f,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":1.0}",4,3.25,ATTEMPT_ASCENDING
25189,c8ddc0d205832ac3,"{""23925"":0.75,""24877"":0.5,""24995"":1.0,""25048"":1.0}",4,3.25,ATTEMPT_DESCENDING
25190,988c958da8a222b5,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,2.0,ATTEMPT_ASCENDING
25191,12a0db969b8c43a0,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,2.0,ATTEMPT_DESCENDING
25192,22fe4cc4adf6c622,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.25,ATTEMPT_ASCENDING
25193,b2dbc98e35dd35a7,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.25,ATTEMPT_DESCENDING
25194,940d425b7db3d9df,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.5,ATTEMPT_ASCENDING
25195,29d0367077675534,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.5,ATTEMPT_DESCENDING
25196,6c78307957280761,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.75,ATTEMPT_ASCENDING
25197,241a426b534b39e5,"{""23925"":1.0,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.75,ATTEMPT_DESCENDING
25198,fc4da734796b1d5c,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.25,ATTEMPT_ASCENDING
25199,e7fb939d59d86807,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.25,ATTEMPT_DESCENDING
25200,f34303f2ebddf1e5,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.5,ATTEMPT_ASCENDING
25201,b758dbc6793a2fb0,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.5,ATTEMPT_DESCENDING
25202,de5e338011d86e42,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.75,ATTEMPT_ASCENDING
25203,d9b375e641bc31ae,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.75,ATTEMPT_DESCENDING
25204,d5200890ede02dce,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,3.0,ATTEMPT_ASCENDING
25205,66142f7bcbfe4397,"{""23925"":1.0,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,3.0,ATTEMPT_DESCENDING
25206,5fd2e27089957c68,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.25,ATTEMPT_ASCENDING
25207,4c4ed4092b6910f4,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.25,ATTEMPT_DESCENDING
25208,f87ac7a0836a5ace,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.5,ATTEMPT_ASCENDING
25209,74d9f2f5de5881b1,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.5,ATTEMPT_DESCENDING
25210,f2e1a8d11572dd68,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.75,ATTEMPT_ASCENDING
25211,e98fd9478f9a65e8,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.75,ATTEMPT_DESCENDING
25212,d94029443d2762af,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,3.0,ATTEMPT_ASCENDING
25213,8dfc3f5a5df186d6,"{""23925"":1.0,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,3.0,ATTEMPT_DESCENDING
25214,a1fbea101b90fd00,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.5,ATTEMPT_ASCENDING
25215,5eea1023ceef46f7,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.5,ATTEMPT_DESCENDING
25216,b7c3b9cda9837e2b,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.5}",4,2.75,ATTEMPT_ASCENDING
25217,1d5ee87eb43102ff,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.5}",4,2.75,ATTEMPT_DESCENDING
25218,1eeaaba371b22334,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.75}",4,3.0,ATTEMPT_ASCENDING
25219,da696dcea6adab5a,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":0.75}",4,3.0,ATTEMPT_DESCENDING
25220,81472d50570e3448,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":1.0}",4,3.25,ATTEMPT_ASCENDING
25221,4589620de8368b5a,"{""23925"":1.0,""24877"":0.25,""24995"":1.0,""25048"":1.0}",4,3.25,ATTEMPT_DESCENDING
25222,97fa221cda067b7e,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.25}",4,2.5,ATTEMPT_ASCENDING
25223,d44f9647daa07f1c,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.25}",4,2.5,ATTEMPT_DESCENDING
25224,102bf0835c1cbb58,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.5}",4,2.75,ATTEMPT_ASCENDING
25225,81075ee18e566cc9,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.5}",4,2.75,ATTEMPT_DESCENDING
25226,7231f408028099ef,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.75}",4,3.0,ATTEMPT_ASCENDING
25227,d4ee902087b640a2,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":0.75}",4,3.0,ATTEMPT_DESCENDING
25228,4774d34fecfb9482,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":1.0}",4,3.25,ATTEMPT_ASCENDING
25229,504bc53b0bf1da2a,"{""23925"":1.0,""24877"":0.5,""24995"":0.75,""25048"":1.0}",4,3.25,ATTEMPT_DESCENDING
25230,d52b8d0ac4103dfe,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.25}",4,2.75,ATTEMPT_ASCENDING
25231,323e9963e9315b50,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.25}",4,2.75,ATTEMPT_DESCENDING
25232,c58f48f72f66981f,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.5}",4,3.0,ATTEMPT_ASCENDING
25233,ca5c2d76cb42e6d9,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.5}",4,3.0,ATTEMPT_DESCENDING
25234,8adec838a4c7c80a,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.75}",4,3.25,ATTEMPT_ASCENDING
25235,2d5e71014dac7527,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":0.75}",4,3.25,ATTEMPT_DESCENDING
25236,5ae37a99aacb6338,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":1.0}",4,3.5,ATTEMPT_ASCENDING
25237,c596addec317ca9a,"{""23925"":1.0,""24877"":0.5,""24995"":1.0,""25048"":1.0}",4,3.5,ATTEMPT_DESCENDING
