attempt_no,portfolio_id,weights_json,active_component_count,total_risk_weight,tie_priority,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2023_trades,era_2021_2023_stress_net_r,era_2021_2023_stress_pf,era_2021_2023_average_stress_r,era_2021_2023_closed_drawdown_r,era_2023_2024_trades,era_2023_2024_stress_net_r,era_2023_2024_stress_pf,era_2023_2024_average_stress_r,era_2023_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,selection_adjusted_pvalue,statistical_pass
25152,4362ae1675ab8e22,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.25,ATTEMPT_ASCENDING,246,24.515913889692154,1.2147224592715815,0.09965818654346405,9.692644146668398,65,3.9806373231719183,1.1340947440304237,0.0612405742026449,4.28085773932913,75,4.707057477963431,1.1258415978794432,0.06276076637284575,9.6926441466684,66,9.816733306734434,1.3542096060259046,0.14873838343537021,4.51370868346393,40,6.011485781822371,1.3103417401636008,0.15028714454555928,9.266434476599244,11.16602521070017,0.08314931473542969,40,1.1258415978794432,0.0612405742026449,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25153,256318964d906cdc,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.25,ATTEMPT_DESCENDING,247,21.18548907338255,1.1866129200713533,0.08577121082341113,9.266434476599242,66,1.0453041470356597,1.0337424664949701,0.015837941621752418,6.497611820978265,75,6.7365679838832335,1.1883186610001526,0.08982090645177644,7.269752921696703,66,10.590479822339585,1.3942040523764248,0.16046181548999372,4.724861531663609,40,2.81313712012407,1.1412938224420726,0.07032842800310175,9.266434476599244,7.839223024182823,0.12170526861837153,40,1.0337424664949701,0.015837941621752418,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25154,4a535fcfc7b874ff,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.5,ATTEMPT_ASCENDING,246,25.504428359216,1.1925353719888923,0.1036765380455935,11.385789012244182,65,5.469015601095377,1.159753898651141,0.08413870155531349,5.6081571048993615,75,3.9096928414929315,1.0903317790407934,0.05212923788657242,11.385789012244183,66,10.38806392761762,1.3084018104668087,0.15739490799420638,5.885264583951294,40,5.737655989010066,1.269789255592625,0.14344139972525166,9.274217716285113,12.154539680224014,0.09571140062488039,40,1.0903317790407934,0.05212923788657242,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25155,f153b107c1dd52e9,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.5,ATTEMPT_DESCENDING,247,22.100550963670802,1.1654762925856872,0.08947591483267531,9.274217716285113,66,1.8868675184638535,1.0521602287435992,0.02858890179490687,7.595656786321644,75,6.675178541239845,1.1592393924734024,0.08900238054986459,8.29962159172848,66,11.268848704072,1.3375171635111338,0.17074013187987877,5.885264583951294,40,2.269656199895108,1.1028104159628849,0.0567414049973777,9.274217716285113,8.754284914471086,0.13925982813797547,40,1.0521602287435992,0.02858890179490687,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25156,fa83d7b5fbe4aeeb,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,2.75,ATTEMPT_ASCENDING,246,26.492942828739846,1.1757321725392176,0.10769488954772295,13.078933877819965,65,6.957393879018841,1.1793940404812633,0.10703682890798218,6.984810050078336,75,3.112328205022435,1.063312323321415,0.04149770940029913,13.078933877819967,66,10.95939454850081,1.2763852714024482,0.16605143255304258,7.847019445268392,40,5.463826196197764,1.235877604616902,0.1365956549049441,9.391439338379527,13.123183026578596,0.11324130430404271,40,1.063312323321415,0.04149770940029913,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25157,a5dc67a825228300,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,2.75,ATTEMPT_DESCENDING,247,23.01561285395906,1.1498529084231803,0.09318061884193951,9.391439338379525,66,2.7284308898920466,1.0659519067361614,0.04133986196806131,8.693701751665026,75,6.613789098596458,1.1375977676715474,0.08818385464795277,9.32949026176026,66,11.947217585804415,1.2993578110592543,0.18101844826976388,7.847019445268392,40,1.7261752796661476,1.0712047317324624,0.04315438199165369,9.391439338379529,9.645853051797815,0.16044300442575715,40,1.0659519067361614,0.04133986196806131,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25158,89c056e275ee051c,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.0,ATTEMPT_ASCENDING,330,23.717953714868166,1.2492998537991,0.07187258701475202,7.1640925040328955,81,1.7489750463488771,1.0715237165873295,0.021592284522825644,3.887892035751551,105,9.701311515412348,1.3307182576810006,0.09239344300392713,3.423917027384288,96,7.856553743549157,1.3175595407615404,0.08183910149530373,5.45099523477407,48,4.411113409557783,1.2655585388999138,0.0918981960324538,7.164092504032901,13.705537205624172,0.0448123063995631,48,1.0715237165873295,0.021592284522825644,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25159,3c45dbef43c9f88b,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.0,ATTEMPT_DESCENDING,333,17.225466629889546,1.1813822787019836,0.05172812801768632,7.164092504032899,82,-0.12911738250568217,0.9948558593006003,-0.0015746022256790508,5.765984464606111,106,7.4174888679513735,1.254942053924935,0.06997631007501295,3.42391702738429,96,8.243980185219813,1.3490244099482298,0.08587479359603972,5.442264141773232,49,1.6931149592240398,1.0987067273712936,0.03455336651477632,7.164092504032901,7.2157670929897515,0.11048650727046203,49,0.9948558593006003,-0.0015746022256790508,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25160,5e82daf9ad9fecd8,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.25,ATTEMPT_ASCENDING,330,26.54618121091439,1.2399091076116457,0.08044297336640724,6.388922540017859,81,3.508616638354379,1.1221214185077604,0.04331625479449851,5.149211381009247,105,9.660187524441533,1.2857258572548278,0.09200178594706221,4.597841559800196,96,8.990300946457596,1.2982148753025975,0.09364896819226663,4.806231251772288,48,4.387076101660883,1.2442136510330903,0.09139741878460172,6.388922540017867,16.5337647016704,0.04071316426909002,48,1.1221214185077604,0.04331625479449851,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25161,04b98c0c9c1c8f46,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.25,ATTEMPT_DESCENDING,333,18.328814491970817,1.1605468537460752,0.05504148496087333,7.092777542701613,82,0.9837093030045532,1.0327638926100668,0.011996454914689673,6.2355342691287765,106,6.710705500993708,1.1904190838921487,0.06330854246220478,4.34254584265237,96,9.484765648977477,1.3206516361662497,0.09879964217684872,4.806231251772288,49,1.1496340389950792,1.0595070934062076,0.023461919163164882,7.092777542701615,8.319114955071026,0.12188014073582903,49,1.0327638926100668,0.011996454914689673,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25162,7d6bf84376c3aae6,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.5,ATTEMPT_ASCENDING,330,29.37440870696061,1.232827680736863,0.08901335971806246,6.525864326188218,81,5.268258230359878,1.1596053034014984,0.06504022506617134,6.525864326188218,105,9.619063533470719,1.2512521187746917,0.09161012889019732,6.157833695519407,96,10.124048149366034,1.2847536899994136,0.10545883488922952,6.464831044826315,48,4.363038793763983,1.2258596243903055,0.09089664153674964,6.146913294788333,19.347088855339678,0.044568037627901,48,1.1596053034014984,0.06504022506617134,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25163,dafe52884e03ad9c,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.5,ATTEMPT_DESCENDING,333,19.432162354052082,1.14570984754753,0.0583548419040603,7.198068983138364,82,2.096535988514784,1.0599893245314733,0.025567512055058344,7.198068983138364,106,6.003922134036041,1.14506174082202,0.05664077484939661,6.24305165251058,96,10.725551112735143,1.3017945449550765,0.11172449075765774,6.464831044826315,49,0.6061531187661178,1.0282121030179918,0.012370471811553424,7.182639569193896,9.40484250243115,0.14288732846123445,49,1.0282121030179918,0.012370471811553424,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25164,c118a4f28a3fbf19,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,2.75,ATTEMPT_ASCENDING,330,32.20263620300684,1.2272970026986314,0.0975837460697177,9.348451148247724,81,7.027899822365379,1.1884887131241977,0.08676419533784419,7.902517271367192,105,9.577939542499907,1.2239944023298572,0.09121847183333245,8.269604362724214,96,11.25779535227447,1.2748461785479155,0.1172687015861924,8.33860876351677,48,4.339001485867085,1.2099089944708077,0.0903958642888976,5.904904049558798,18.916415724991136,0.05251476887432322,48,1.1884887131241977,0.08676419533784419,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25165,b4315b7cb8be18b4,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,2.75,ATTEMPT_DESCENDING,333,20.535510216133357,1.13460684351722,0.06166819884724732,9.222404247892294,82,3.2093626740250194,1.0804900647660516,0.03913856919542707,8.160603697147952,106,5.297138767078377,1.111434952049773,0.049973007236588464,8.143557462368793,96,11.966336576492806,1.2883535347254769,0.12464933933846672,8.33860876351677,49,0.06267219853715617,1.0026497785180477,0.0012790244599419625,7.483882369978216,7.2360320388443435,0.16664991310821242,49,1.0026497785180477,0.0012790244599419625,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25166,94cb8ea4a97692d9,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.25,ATTEMPT_ASCENDING,330,26.496689217406644,1.243847608770168,0.08029299762850498,9.056868876091446,81,2.03284692467198,1.073460491925956,0.025096875613234322,4.3644828549067975,105,9.968007056574555,1.2893747740650374,0.09493340053880528,4.688258284113368,96,8.639891533771749,1.3140461989365018,0.08999887014345571,6.630876774929142,48,5.855943702388359,1.3077222809817244,0.1219988271330908,9.056868876091448,13.146800538414656,0.05821937660139451,48,1.073460491925956,0.025096875613234322,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25167,b5199b2d246aae26,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.25,ATTEMPT_DESCENDING,333,19.347686532577015,1.1797016929808857,0.058101160758489534,9.243870640570604,82,-0.25567134496901,0.9909718883673486,-0.0031179432313293903,6.347273580257768,106,7.823574438679976,1.2323999315102832,0.07380730602528279,4.485973518396974,96,9.306599788527675,1.3564437661226882,0.09694374779716329,6.895399362344027,49,2.473183650338372,1.1263617636759025,0.05047313572119127,9.243870640570611,6.001420483377293,0.12598646958859788,49,0.9909718883673486,-0.0031179432313293903,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
