family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,initial_value,rolling_median_initial_value,release_gap_from_rolling_median,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-09-15,2021-09-15T0000,0,CPI,2021-09-14 12:30:00+00:00,11.5,0.3,0.6,-0.3,LONG,development_2019_2022,2021-09-15 00:00:00+00:00,2021-09-15 01:20:00+00:00,1.18032,1.17992,1.18092,1.18091,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-09-15,2021-09-15T0015,15,CPI,2021-09-14 12:30:00+00:00,11.75,0.3,0.6,-0.3,LONG,development_2019_2022,2021-09-15 00:15:00+00:00,2021-09-15 01:10:00+00:00,1.18021,1.17981,1.18081,1.1807999999999998,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-09-15,2021-09-15T0030,30,CPI,2021-09-14 12:30:00+00:00,12.0,0.3,0.6,-0.3,LONG,development_2019_2022,2021-09-15 00:30:00+00:00,2021-09-15 01:20:00+00:00,1.18033,1.1799300000000001,1.18093,1.18092,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-09-15,2021-09-15T0045,45,CPI,2021-09-14 12:30:00+00:00,12.25,0.3,0.6,-0.3,LONG,development_2019_2022,2021-09-15 00:45:00+00:00,2021-09-15 01:20:00+00:00,1.18035,1.17995,1.18095,1.1809399999999999,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-10-14,2021-10-14T0000,0,CPI,2021-10-13 12:30:00+00:00,11.5,0.4,0.6,-0.19999999999999996,LONG,development_2019_2022,2021-10-14 00:00:00+00:00,2021-10-14 01:40:00+00:00,1.15974,1.15934,1.16034,1.15933,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-10-14,2021-10-14T0015,15,CPI,2021-10-13 12:30:00+00:00,11.75,0.4,0.6,-0.19999999999999996,LONG,development_2019_2022,2021-10-14 00:15:00+00:00,2021-10-14 00:35:00+00:00,1.1600300000000001,1.1596300000000002,1.16063,1.15962,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-10-14,2021-10-14T0030,30,CPI,2021-10-13 12:30:00+00:00,12.0,0.4,0.6,-0.19999999999999996,LONG,development_2019_2022,2021-10-14 00:30:00+00:00,2021-10-14 01:40:00+00:00,1.15975,1.15935,1.16035,1.15934,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-10-14,2021-10-14T0045,45,CPI,2021-10-13 12:30:00+00:00,12.25,0.4,0.6,-0.19999999999999996,LONG,development_2019_2022,2021-10-14 00:45:00+00:00,2021-10-14 01:35:00+00:00,1.15978,1.15938,1.16038,1.15937,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-08,2021-11-08T0000,0,NFP,2021-11-05 12:30:00+00:00,59.5,531000.0,412500.0,118500.0,SHORT,development_2019_2022,2021-11-08 00:00:00+00:00,2021-11-08 00:50:00+00:00,1.1567999999999998,1.1571999999999998,1.1562,1.15621,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-08,2021-11-08T0015,15,NFP,2021-11-05 12:30:00+00:00,59.75,531000.0,412500.0,118500.0,SHORT,development_2019_2022,2021-11-08 00:15:00+00:00,2021-11-08 00:20:00+00:00,1.15646,1.15686,1.15586,1.15687,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-08,2021-11-08T0030,30,NFP,2021-11-05 12:30:00+00:00,60.0,531000.0,412500.0,118500.0,SHORT,development_2019_2022,2021-11-08 00:30:00+00:00,2021-11-08 00:55:00+00:00,1.15656,1.15696,1.15596,1.1559700000000002,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-08,2021-11-08T0045,45,NFP,2021-11-05 12:30:00+00:00,60.25,531000.0,412500.0,118500.0,SHORT,development_2019_2022,2021-11-08 00:45:00+00:00,2021-11-08 01:35:00+00:00,1.15622,1.15662,1.15562,1.1556300000000002,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-11,2021-11-11T0000,0,CPI,2021-11-10 13:30:00+00:00,10.5,0.9,0.55,0.35,SHORT,development_2019_2022,2021-11-11 00:00:00+00:00,2021-11-11 01:00:00+00:00,1.14855,1.14895,1.14795,1.14796,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-11,2021-11-11T0015,15,CPI,2021-11-10 13:30:00+00:00,10.75,0.9,0.55,0.35,SHORT,development_2019_2022,2021-11-11 00:15:00+00:00,2021-11-11 01:00:00+00:00,1.1484999999999999,1.1488999999999998,1.1479,1.14791,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-11,2021-11-11T0030,30,CPI,2021-11-10 13:30:00+00:00,11.0,0.9,0.55,0.35,SHORT,development_2019_2022,2021-11-11 00:30:00+00:00,2021-11-11 01:00:00+00:00,1.14852,1.14892,1.14792,1.1479300000000001,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-11-11,2021-11-11T0045,45,CPI,2021-11-10 13:30:00+00:00,11.25,0.9,0.55,0.35,SHORT,development_2019_2022,2021-11-11 00:45:00+00:00,2021-11-11 01:00:00+00:00,1.14829,1.14869,1.14769,1.1477000000000002,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-06,2021-12-06T0000,0,NFP,2021-12-03 13:30:00+00:00,58.5,210000.0,545000.0,-335000.0,LONG,development_2019_2022,2021-12-06 00:00:00+00:00,2021-12-06 00:00:00+00:00,1.1304800000000002,1.1300800000000002,1.13108,1.1300700000000001,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-06,2021-12-06T0015,15,NFP,2021-12-03 13:30:00+00:00,58.75,210000.0,545000.0,-335000.0,LONG,development_2019_2022,2021-12-06 00:15:00+00:00,2021-12-06 00:35:00+00:00,1.1301800000000002,1.1297800000000002,1.1307800000000001,1.1297700000000002,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-06,2021-12-06T0030,30,NFP,2021-12-03 13:30:00+00:00,59.0,210000.0,545000.0,-335000.0,LONG,development_2019_2022,2021-12-06 00:30:00+00:00,2021-12-06 00:35:00+00:00,1.13009,1.12969,1.13069,1.12968,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-06,2021-12-06T0045,45,NFP,2021-12-03 13:30:00+00:00,59.25,210000.0,545000.0,-335000.0,LONG,development_2019_2022,2021-12-06 00:45:00+00:00,2021-12-06 00:50:00+00:00,1.1296300000000001,1.1292300000000002,1.13023,1.1292200000000001,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
