prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
236,2022-09-14 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3856,2022-09-14 00:05:00+00:00,1,5.0
237,2022-09-14 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3858,2022-09-14 00:20:00+00:00,3,5.0
243,2022-12-16 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4126,2022-12-16 01:00:00+00:00,3,15.0
248,2023-02-06 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4268,2023-02-06 00:05:00+00:00,1,5.0
249,2023-02-06 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4269,2023-02-06 00:10:00+00:00,2,5.0
256,2023-04-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4462,2023-04-13 00:10:00+00:00,3,10.0
257,2023-04-13 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4463,2023-04-13 00:15:00+00:00,4,0.0
260,2023-04-14 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4464,2023-04-14 00:00:00+00:00,1,0.0
261,2023-04-14 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4466,2023-04-14 00:15:00+00:00,3,0.0
262,2023-04-14 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4467,2023-04-14 00:20:00+00:00,4,10.0
264,2023-05-08 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4528,2023-05-08 00:00:00+00:00,1,0.0
265,2023-05-08 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4531,2023-05-08 00:15:00+00:00,4,0.0
281,2023-07-10 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4709,2023-07-10 00:20:00+00:00,2,5.0
282,2023-07-10 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4711,2023-07-10 00:30:00+00:00,4,0.0
284,2023-08-07 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4788,2023-08-07 00:00:00+00:00,1,0.0
285,2023-08-07 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4789,2023-08-07 00:05:00+00:00,2,10.0
288,2023-08-11 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4804,2023-08-11 00:00:00+00:00,1,0.0
289,2023-08-11 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4807,2023-08-11 00:15:00+00:00,4,0.0
292,2023-09-04 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4868,2023-09-04 00:00:00+00:00,1,0.0
293,2023-09-04 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4871,2023-09-04 00:15:00+00:00,4,0.0
296,2023-09-15 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4905,2023-09-15 00:10:00+00:00,2,10.0
297,2023-09-15 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4906,2023-09-15 00:15:00+00:00,3,0.0
298,2023-09-15 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,4907,2023-09-15 00:35:00+00:00,4,5.0
311,2023-12-11 00:45:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5150,2023-12-11 01:00:00+00:00,3,15.0
316,2024-01-12 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5244,2024-01-12 00:00:00+00:00,1,0.0
317,2024-01-12 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5247,2024-01-12 00:15:00+00:00,4,0.0
320,2024-01-15 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5248,2024-01-15 00:05:00+00:00,1,5.0
321,2024-01-15 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5250,2024-01-15 00:15:00+00:00,3,0.0
322,2024-01-15 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5251,2024-01-15 00:20:00+00:00,4,10.0
324,2024-02-05 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5308,2024-02-05 00:00:00+00:00,1,0.0
325,2024-02-05 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5310,2024-02-05 00:15:00+00:00,3,0.0
326,2024-02-05 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5311,2024-02-05 00:25:00+00:00,4,5.0
328,2024-02-19 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5348,2024-02-19 00:05:00+00:00,1,5.0
329,2024-02-19 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5349,2024-02-19 00:15:00+00:00,2,0.0
330,2024-02-19 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5351,2024-02-19 00:25:00+00:00,4,5.0
333,2024-03-13 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5416,2024-03-13 00:25:00+00:00,1,10.0
334,2024-03-13 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5417,2024-03-13 00:30:00+00:00,2,0.0
336,2024-03-14 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5420,2024-03-14 00:00:00+00:00,1,0.0
337,2024-03-14 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5422,2024-03-14 00:10:00+00:00,3,5.0
344,2024-06-10 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5668,2024-06-10 00:00:00+00:00,1,0.0
345,2024-06-10 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5671,2024-06-10 00:15:00+00:00,4,0.0
352,2024-06-14 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5684,2024-06-14 00:00:00+00:00,1,0.0
353,2024-06-14 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5685,2024-06-14 00:15:00+00:00,2,0.0
354,2024-06-14 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5687,2024-06-14 00:25:00+00:00,4,5.0
