eligible_date,entry_time_utc,tickets,r,extra_half_pip_stress_r
2022-01-13,2022-01-13 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2022-02-07,2022-02-07 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2022-02-11,2022-02-11 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2022-03-07,2022-03-07 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2022-03-11,2022-03-11 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2022-03-17,2022-03-17 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2022-03-18,2022-03-18 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2022-05-12,2022-05-12 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2022-05-13,2022-05-13 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2022-06-06,2022-06-06 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2022-07-14,2022-07-14 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2022-07-15,2022-07-15 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2022-08-11,2022-08-11 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2022-09-14,2022-09-14 00:00:00+00:00,4,-1.024999999999776,-1.149999999999776
2022-12-16,2022-12-16 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-01-09,2023-01-09 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2023-02-06,2023-02-06 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-02-15,2023-02-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-04-13,2023-04-13 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2023-04-14,2023-04-14 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2023-05-08,2023-05-08 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2023-05-11,2023-05-11 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-05-12,2023-05-12 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-06-15,2023-06-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-07-10,2023-07-10 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2023-08-07,2023-08-07 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2023-08-11,2023-08-11 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2023-09-04,2023-09-04 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2023-09-15,2023-09-15 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2023-10-09,2023-10-09 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-10-13,2023-10-13 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-12-11,2023-12-11 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2023-12-13,2023-12-13 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2024-01-12,2024-01-12 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2024-01-15,2024-01-15 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2024-02-05,2024-02-05 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2024-02-19,2024-02-19 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2024-03-13,2024-03-13 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2024-03-14,2024-03-14 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2024-04-08,2024-04-08 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2024-06-10,2024-06-10 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2024-06-13,2024-06-13 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2024-06-14,2024-06-14 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2024-09-12,2024-09-12 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2024-09-13,2024-09-13 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2025-02-10,2025-02-10 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2025-02-13,2025-02-13 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2025-02-14,2025-02-14 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2025-04-11,2025-04-11 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2025-06-09,2025-06-09 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2025-06-12,2025-06-12 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2025-07-04,2025-07-04 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2025-08-04,2025-08-04 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2025-08-15,2025-08-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2026-06-12,2026-06-12 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
