strategy_id,timeframe,subtype_dimension,subtype,trades,net_r,profit_factor,stress_net_r
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,3,4.486283572760502,5.486283572760948,4.336283572760778
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,range_width_subtype,MEDIUM_WIDTH_CHOP,139,-22.81333338471957,0.7854798147732567,-29.763333384720358
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,range_width_subtype,NARROW_CHOP,13,2.919323888809666,1.3632468678065885,2.2693238888095486
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,range_width_subtype,WIDE_CHOP,53,-25.890725409509812,0.40451480746404855,-28.540725409509168
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,drift_subtype,DOWNWARD_DRIFT_CHOP,21,-12.269719182886732,0.33599558197452406,-13.319719182886367
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,drift_subtype,FLAT_CHOP,148,-24.941799382880173,0.7740423076781344,-32.34179938288078
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,drift_subtype,UPWARD_DRIFT_CHOP,36,-8.57321633965281,0.7043718503567983,-10.373216339652833
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,volatility_subtype,HIGH_VOL_CHOP,31,-9.470748228422451,0.5270195923462235,-11.020748228422292
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,volatility_subtype,LOW_VOL_CHOP,72,2.0460673831759357,1.0523764961651607,-1.5539326168235634
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,volatility_subtype,MEDIUM_VOL_CHOP,52,-9.243986059639964,0.7299713045883869,-11.84398605963998
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,6,1.4602982690158177,1.6465963402625705,1.160298269016025
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,range_width_subtype,MEDIUM_WIDTH_CHOP,114,-7.075461744894062,0.8953910573687228,-12.775461744893455
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,range_width_subtype,NARROW_CHOP,9,-0.94399251314737,0.8199591772144228,-1.3939925131471043
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,range_width_subtype,WIDE_CHOP,38,-7.188914377829226,0.6833004780005035,-9.088914377829242
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,drift_subtype,DOWNWARD_DRIFT_CHOP,17,-4.201742795100005,0.6150084247693475,-5.051742795100283
