strategy_id,timeframe,year,trades,net_r,profit_factor
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2022,63,-15.021335906831913,0.6342308864171584
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2023,38,5.994097558379943,1.3325899680351823
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2024,63,10.84421182227391,1.363599372007406
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2025,26,6.821096795998485,1.6017877228582187
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2016,5,-0.8442341711722874,0.604244427884811
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2017,22,-5.873962745441661,0.5403140517634382
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2018,29,-0.4812080591676524,0.9630362970746587
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2019,26,2.8864605738870104,1.3484556958442928
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2020,23,-1.3100458860241877,0.8622877350375886
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2021,29,1.295986607037402,1.1045088555161127
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2022,32,5.330323626512038,1.4475059150675191
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2023,22,4.076680137253614,1.477351611285028
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2024,22,-5.740212470429561,0.48125610785555006
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,2025,11,0.22152035876338083,1.049675618772253
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2016,3,4.486283572760502,5.486283572760948
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2017,13,-1.4979929178552949,0.8502007082144761
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2018,24,-9.189332126799098,0.516350940694778
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2019,20,-5.7555469789959925,0.6507210937719831
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2020,22,-9.734917302016399,0.48763593147281603
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2021,21,-8.657330512168269,0.45455807643833734
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2022,36,-11.956650608225996,0.5619327425403347
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2023,21,5.364815204898376,1.3576543469932272
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2024,23,1.8136287176838155,1.1120064482700702
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,2025,22,-10.657691954701361,0.40870060851987655
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2016,6,1.4602982690158177,1.6465963402625705
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2017,13,-4.649802292128387,0.4301210211188669
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2018,22,-3.7224951420700805,0.7398290394352086
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2019,16,-4.181267586986108,0.6198847648194418
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2020,19,-6.961979248806077,0.4644631347072237
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2021,24,-2.3268997976021586,0.8181465287341044
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2022,26,4.59953505210594,1.3140743377679975
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2023,12,0.9382605581744805,1.1229265408401619
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2024,15,3.3078117637536,1.5059175615511862
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,2025,8,-3.6718302113276886,0.29969854297648596
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2016,4,-0.6097866051694083,0.6216202615660068
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2017,3,-2.1647142264982664,0.0
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2018,14,-1.3512912758773141,0.7907794164591485
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2019,12,-4.918343440250984,0.3297828203577406
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2020,17,-0.4989902256782228,0.9349281653296915
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2021,10,-0.5202802590430743,0.8733218334546827
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2022,13,2.5372799441006864,1.5003957165182433
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2023,8,-3.2022216574205578,0.3944760886988352
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2024,7,2.0809293260589623,1.7928572511030718
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,2025,3,0.06001427367215317,1.0300071368360766
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2016,2,-0.3836315543479314,0.2288770390017524
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2017,2,-0.6861839647546583,0.2225640435850402
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2018,1,-0.999999999999951,0.0
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2019,1,-1.0000000000000275,0.0
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2021,6,-1.7295919732806166,0.26279074208915193
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2022,3,-0.2582999330092086,0.7841712229641791
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2023,4,-1.5255224771109404,0.18099696778757599
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2024,1,1.8604175066900408,999.0
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,2025,1,0.22896854949815326,999.0
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2016,19,2.9726560144584253,1.247393260955881
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2017,32,-2.456371465427626,0.8976511889405129
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2018,72,-13.605068556528536,0.7526351171540282
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2019,67,-0.6342646043876929,0.9870596206145054
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2020,79,-23.125933108102075,0.6263766396856018
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2021,103,-34.52929725112582,0.5814803574430158
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2022,64,7.282290755321699,1.1655066080754954
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2023,53,-3.2877751269140383,0.9111412127861082
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2024,75,11.510253986928284,1.2349031425903791
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,2025,34,8.4169225579234,1.3825873889965221
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2016,9,-0.039152281362408115,0.9921695437275183
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2017,18,1.3957429976545683,1.139574299765454
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2018,40,4.594821619554841,1.213003437281246
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2019,35,-0.19698276126313763,0.9913143702647521
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2020,47,0.36929776187635355,1.0130298181468669
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2021,50,-4.244904382760775,0.8643183796385636
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2022,42,4.096002189165532,1.1740712553881623
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2023,36,7.704146501001168,1.41420119584593
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2024,47,-8.824583890012097,0.7058472036662664
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,2025,23,5.375770395639462,1.5295841834470312
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2017,8,-0.042157555989303375,0.9894606110026741
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2018,19,4.266168223346892,1.515248370603603
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2019,13,5.408813793874517,2.081762758774891
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2020,18,2.926809562447857,1.3252010624942008
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2021,22,-1.1429699602092418,0.9105670091613894
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2022,18,5.381447217318067,1.8882376365698674
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2023,14,3.78396280383361,1.5405661148333867
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2024,15,-4.212632853551903,0.578736714644807
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,2025,14,1.4432241933206218,1.2396294060035675
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2016,1,-0.379181545658323,0.0
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2017,4,-1.9755337380480282,0.34148875398398143
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2018,2,0.06443717694448736,1.0644371769444911
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2019,3,-0.790299312154223,0.6048503439229085
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2020,6,0.8690358120890865,1.2896786040296946
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2021,7,0.7075469860156296,1.2105517602534954
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2022,5,0.06456549082324792,1.032282745411624
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2023,4,0.8156176428578911,1.4078088214289532
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2024,4,1.3849266437082415,2.3849266437083694
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,2025,2,2.0733146368344,999.0
