lifecycle_event_id,lifecycle_session_id,paper_shadow_event_id,source_cluster_id,family_event_id,timestamp_broker,timestamp_utc,timestamp_local,symbol,expert_family,observer,decision_bar_time,direction,entry_price_projected,stop_price_projected,target_price_projected,input_paper_shadow_action,input_paper_shadow_state,lifecycle_stage,synthetic_open_state,synthetic_close_state,synthetic_close_reason,synthetic_hold_bars,synthetic_gross_r,synthetic_cost_r,synthetic_net_r,running_synthetic_equity_r,running_synthetic_peak_r,running_synthetic_drawdown_r,risk_lock_after_event,kill_rule_state,proxy_cost_r,net_after_proxy_from_gross_r,review_priority,demo_authorized,real_phase2_readiness,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,lifecycle_notes
PH3LIFE00011,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00011,WS011,FAM00006,2026.05.25 05:50:00,2026.05.25 05:49:57,2026.05.25 11:19:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 05:50:00,SHORT,4555.14,4561.13,4546.16,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_STOP,synthetic_stop_hit,5,-1.0000,0.1838,-1.1838,-2.9594,0.0000,-2.9594,NORMAL,NORMAL,0.1838,0.3278,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_stop_hit. This is not broker or market execution.
PH3LIFE00012,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00012,WS012,FAM00006,2026.05.25 05:50:00,2026.05.25 05:49:57,2026.05.25 11:19:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 05:50:00,SHORT,4555.14,4561.13,4546.16,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9594,0.0000,-2.9594,NORMAL,NORMAL,0.1838,0.3278,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00013,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00013,WS013,FAM00007,2026.05.25 07:40:00,2026.05.25 07:39:56,2026.05.25 13:09:56,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 07:40:00,SHORT,4553.95,4562.05,4541.80,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_TIME_STOP,synthetic_time_stop_small_win,12,0.3500,0.1358,0.2142,-2.7452,0.0000,-2.7452,NORMAL,NORMAL,0.1358,0.3758,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_time_stop_small_win. This is not broker or market execution.
PH3LIFE00014,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00014,WS014,FAM00007,2026.05.25 07:40:00,2026.05.25 07:39:56,2026.05.25 13:09:56,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 07:40:00,SHORT,4553.95,4562.05,4541.80,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.7452,0.0000,-2.7452,NORMAL,NORMAL,0.1358,0.3758,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00015,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00015,WS015,FAM00008,2026.05.25 12:50:00,2026.05.25 12:50:00,2026.05.25 18:20:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 12:50:00,SHORT,4566.19,4569.52,4561.19,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.7452,0.0000,-2.7452,NORMAL,SUSPEND_FAMILY,0.4804,0.0312,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00016,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00016,WS016,FAM00008,2026.05.25 12:50:00,2026.05.25 12:50:00,2026.05.25 18:20:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 12:50:00,SHORT,4566.19,4569.52,4561.19,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.7452,0.0000,-2.7452,NORMAL,SUSPEND_FAMILY,0.4804,0.0312,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00017,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00017,WS017,FAM00009,2026.05.25 13:20:00,2026.05.25 13:20:00,2026.05.25 18:50:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 13:20:00,SHORT,4562.45,4568.88,4552.81,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_BREAK_EVEN,synthetic_break_even,6,0.0000,0.1711,-0.1711,-2.9163,0.0000,-2.9163,NORMAL,NORMAL,0.1711,0.3405,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_break_even. This is not broker or market execution.
PH3LIFE00018,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00018,WS018,FAM00009,2026.05.25 13:20:00,2026.05.25 13:20:00,2026.05.25 18:50:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 13:20:00,SHORT,4562.45,4568.88,4552.81,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,NORMAL,0.1711,0.3405,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00019,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00019,WS019,FAM00010,2026.05.25 15:05:00,2026.05.25 15:05:00,2026.05.25 20:35:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 15:05:00,LONG,4566.87,4564.95,4569.75,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.5735,-0.0619,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00020,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00020,WS020,FAM00010,2026.05.25 15:05:00,2026.05.25 15:05:00,2026.05.25 20:35:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 15:05:00,LONG,4566.87,4564.95,4569.75,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.5735,-0.0619,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
