month,subregime,expert_id,training_trades,training_early_trades,training_late_trades,training_profit_factor,training_stress_profit_factor,training_early_profit_factor,training_late_profit_factor,training_net_r,training_overlap_rejections,admitted
2022-12,3,H4_PRIOR24_EXTREME_FADE,90,37,53,1.1898936192268488,1.1409253028996573,0.7142161500388078,1.6653527883929404,9.545209432079753,58,False
2022-12,3,H4_PRIOR24_EXTREME_FOLLOW,42,18,24,0.7436511886542552,0.7128150031159488,1.1897978851473558,0.4956719787706244,-7.212987716967917,7,False
2022-12,3,H4_BODY_FADE,125,60,65,0.7798857774647122,0.7474264026606278,0.588203242847171,0.9911860308344514,-18.145617222144423,35,False
2022-12,3,H4_BODY_FOLLOW,126,61,65,1.0797926119629573,1.0350041734249935,1.1812609290080736,0.9913230234309927,5.855039693471242,34,False
2022-12,3,H4_MACRO_PRESSURE_FOLLOW,67,30,37,1.2077803149950685,1.166641820559809,1.303670341564974,1.1347246905375392,7.720295317948268,54,True
2022-12,3,H4_MACRO_PRESSURE_FADE,66,32,34,0.6477686909412054,0.6262662980753657,0.6773512729178605,0.6206572619748715,-16.268412807973732,55,False
2022-12,4,H4_ONE_BAR_FADE,62,12,50,0.941833135359927,0.91474031244226,0.7452551354515359,0.9942730759426526,-2.2182763354328197,27,False
2022-12,4,H4_THREE_BAR_FADE,69,11,58,1.1214127995164072,1.0888632376957585,1.241966663791128,1.099492851332338,4.752290816283979,45,False
2022-12,4,H4_THREE_BAR_FOLLOW,69,9,60,0.958712846837588,0.9314126212299488,0.7450932883827207,0.994347627813005,-1.7400323227999932,45,False
2022-12,4,H4_SIX_BAR_FOLLOW,55,10,45,0.9651535007156254,0.937083011241401,0.9936078712457549,0.958824900276146,-1.1539620317769563,43,False
2022-12,4,H4_PRIOR24_EXTREME_FADE,15,1,14,0.5425763870414665,0.5284645233221599,0.0,0.5967954691690885,-5.048235305698236,8,False
2022-12,4,H4_PRIOR24_EXTREME_FOLLOW,2,0,2,inf,inf,0.0,inf,2.9930208982475888,0,False
2022-12,4,H4_BODY_FADE,64,13,51,0.8947391554064564,0.8689899967455885,0.6624290032751663,0.9622115281857251,-4.225560889705907,29,False
2022-12,4,H4_BODY_FOLLOW,64,10,54,1.116245633182262,1.083824757806989,1.4903898198695646,1.056016080759754,4.207916311655066,29,False
2022-12,4,H4_MACRO_PRESSURE_FOLLOW,85,11,74,1.3401900511777367,1.302427974569475,1.242619778857091,1.3553566811035722,15.228701070075585,128,True
2022-12,4,H4_MACRO_PRESSURE_FADE,92,17,75,0.6805658405362404,0.6612705348893868,0.5941765824862901,0.7018220996494048,-20.37090577736573,121,False
2022-12,5,H4_ONE_BAR_FADE,153,82,71,0.9078318689928435,0.8692984464002578,0.5452079634477953,1.5292538750687963,-8.803486395288328,43,False
2022-12,5,H4_THREE_BAR_FADE,146,76,70,0.8987629061836563,0.8608506527119446,0.5310534056862034,1.4869724132009037,-9.262805048208971,69,False
2022-12,5,H4_THREE_BAR_FOLLOW,140,74,66,0.7758336708323615,0.7431947147041471,0.7585967015315963,0.795481296103065,-20.729508583642218,75,False
2022-12,5,H4_SIX_BAR_FOLLOW,115,63,52,0.7337707496748106,0.7023017890666934,0.743180278078841,0.7224723848147558,-20.60561649460209,74,False
2022-12,5,H4_PRIOR24_EXTREME_FADE,80,47,33,0.8922632770455018,0.8547686123637526,0.4542541557369484,2.0187733126332796,-5.41530543964471,48,False
2022-12,5,H4_PRIOR24_EXTREME_FOLLOW,38,20,18,0.8676149236505153,0.8317696695377387,0.800349384408677,0.9472309331536694,-3.193198508705234,11,False
2022-12,5,H4_BODY_FADE,150,81,69,0.9113401120301029,0.8725413839167314,0.5544423979851253,1.530377865213,-8.290525980912232,41,False
2022-12,5,H4_BODY_FOLLOW,150,82,68,0.9113493632501404,0.8725329622329865,1.0532258320426424,0.7599840526412289,-8.287377287434706,41,False
2022-12,5,H4_MACRO_PRESSURE_FOLLOW,68,36,32,1.0425820270510588,1.006439029892329,0.6549511085794145,1.6891301592304682,1.7107181227452943,52,False
2022-12,5,H4_MACRO_PRESSURE_FADE,71,37,34,0.7136776638674718,0.6889631345312012,0.8063062316793266,0.6209548476391047,-13.803451064821749,49,False
2022-12,6,H4_ONE_BAR_FADE,169,79,90,1.065705885889244,1.0244712051293055,0.8860928921965671,1.2452816070876227,6.469882004154714,5,False
2022-12,6,H4_THREE_BAR_FADE,128,61,67,1.1401127854416817,1.0955251303810856,0.807512696428753,1.5331150229671515,10.13711534694523,2,False
2022-12,6,H4_THREE_BAR_FOLLOW,129,61,68,0.6448158210050474,0.6197355539167341,0.7258590457569072,0.5770126381538883,-32.12191629119979,1,False
2022-12,6,H4_SIX_BAR_FOLLOW,89,41,48,0.6799694710351839,0.6531835923752378,0.6843086597989269,0.6762533157810346,-19.703205641926914,1,False
2022-12,6,H4_PRIOR24_EXTREME_FADE,35,18,17,0.6825791774032558,0.6565654372412965,0.9471955097375049,0.45873200440751544,-7.655830263682361,0,False
2022-12,6,H4_PRIOR24_EXTREME_FOLLOW,17,7,10,0.45802001484459864,0.4409080787978231,0.595575352657286,0.37208532115921855,-7.078699750489228,0,False
2022-12,6,H4_BODY_FADE,169,79,90,1.065705885889244,1.0244712051293055,0.8860928921965671,1.2452816070876227,6.469882004154714,5,False
2022-12,6,H4_BODY_FOLLOW,170,79,91,0.7293597369694181,0.7011701008433449,0.8129596969465172,0.6613608581005643,-31.074279220302493,4,False
2022-12,6,H4_MACRO_PRESSURE_FOLLOW,63,27,36,1.0828218719690101,1.046479164078159,1.294997175613237,0.9479042922948624,2.9940082864947444,2,False
2022-12,6,H4_MACRO_PRESSURE_FADE,64,28,36,0.6290834737595373,0.608340376412084,0.40648342657574954,0.8419238340978397,-16.75913065154778,1,False
2023-01,1,H4_ONE_BAR_FADE,139,71,68,0.8620608192299146,0.8267463669100054,0.8082115693153165,0.9210573721600379,-12.19800083788202,49,False
2023-01,1,H4_THREE_BAR_FADE,163,91,72,0.84413343848094,0.8108945848703554,0.7315990156819187,1.0038421875898842,-16.287788576776457,79,False
