candidate_id,family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,target_first,fixed_0p01_lot_usd,r,extra_half_pip_stress_r,report_date_utc,availability_utc,vote_sum,vote_dealer,dealer_flow_change,vote_asset,asset_flow_change,vote_leveraged,leveraged_flow_change,oracle_member
20190918T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-09-17 23:55:00+00:00,2019-09-18 00:00:00+00:00,2019-09-18 00:00:00+00:00,2019-09-18 01:10:00+00:00,1.10736,1.1077599999999999,1.10676,1.10677,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-09-10 00:00:00+00:00,2019-09-18 00:00:00+00:00,-3.0,-1.0,0.026977146457932227,-1.0,-0.01229878228302303,-1.0,-0.0007350867992373111,1
20190925T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-09-24 23:55:00+00:00,2019-09-25 00:00:00+00:00,2019-09-25 00:00:00+00:00,2019-09-25 00:30:00+00:00,1.10142,1.10102,1.10202,1.10101,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-09-17 00:00:00+00:00,2019-09-25 00:00:00+00:00,1.0,1.0,-0.006782539746754732,1.0,0.024566701061298102,-1.0,-0.04661944190926398,0
20191002T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-10-01 23:55:00+00:00,2019-10-02 00:00:00+00:00,2019-10-02 00:00:00+00:00,2019-10-02 00:30:00+00:00,1.09348,1.09308,1.09408,1.0940699999999999,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-09-24 00:00:00+00:00,2019-10-02 00:00:00+00:00,1.0,1.0,-0.014684835988400036,-1.0,-0.00016195739670335496,1.0,0.030305927507023628,1
20191009T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-10-08 23:55:00+00:00,2019-10-09 00:00:00+00:00,2019-10-09 00:00:00+00:00,2019-10-09 01:35:00+00:00,1.09596,1.09636,1.0953600000000001,1.09637,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-10-01 00:00:00+00:00,2019-10-09 00:00:00+00:00,-1.0,-1.0,0.013910065171631764,-1.0,-0.036244310543894986,1.0,0.006831246050211154,0
20191016T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-10-15 23:55:00+00:00,2019-10-16 00:00:00+00:00,2019-10-16 00:00:00+00:00,2019-10-16 01:10:00+00:00,1.10343,1.1038299999999999,1.10283,1.10284,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-10-08 00:00:00+00:00,2019-10-16 00:00:00+00:00,-1.0,-1.0,0.006427176489570918,1.0,0.03119779976803888,-1.0,-0.02532332710711005,1
20191023T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-10-22 23:55:00+00:00,2019-10-23 00:00:00+00:00,2019-10-23 00:00:00+00:00,2019-10-23 00:15:00+00:00,1.1129600000000002,1.1125600000000002,1.11356,1.1125500000000001,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-10-15 00:00:00+00:00,2019-10-23 00:00:00+00:00,3.0,1.0,-0.021367706673746115,1.0,0.019318289424188617,1.0,0.0032331141855370393,0
20191115T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-11-14 23:55:00+00:00,2019-11-15 00:00:00+00:00,2019-11-15 00:00:00+00:00,2019-11-15 01:05:00+00:00,1.10206,1.10166,1.10266,1.10265,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-11-05 00:00:00+00:00,2019-11-13 00:00:00+00:00,1.0,1.0,-0.009777271732139797,1.0,0.024846639307098684,-1.0,-0.0059021325637501065,1
20191204T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-12-03 23:55:00+00:00,2019-12-04 00:00:00+00:00,2019-12-04 00:00:00+00:00,2019-12-04 04:35:00+00:00,1.10818,1.10858,1.10758,1.10759,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-11-26 00:00:00+00:00,2019-12-04 00:00:00+00:00,-3.0,-1.0,0.00711304250550554,-1.0,-0.007494583619777617,-1.0,-0.014578523800915927,1
20191218T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2019-12-17 23:55:00+00:00,2019-12-18 00:00:00+00:00,2019-12-18 00:00:00+00:00,2019-12-18 01:35:00+00:00,1.1151099999999998,1.1155099999999998,1.11451,1.11452,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-12-10 00:00:00+00:00,2019-12-18 00:00:00+00:00,-1.0,-1.0,0.016601946810163054,-1.0,-0.010220508939118411,1.0,0.0032862179453032325,1
20191227T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2019-12-26 23:55:00+00:00,2019-12-27 00:00:00+00:00,2019-12-27 00:00:00+00:00,2019-12-27 01:35:00+00:00,1.1102100000000001,1.1098100000000002,1.11081,1.1108,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-12-17 00:00:00+00:00,2019-12-25 00:00:00+00:00,1.0,1.0,-0.030790299712011332,1.0,0.06543985444003653,-1.0,-0.03455852302243956,1
20200102T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2020-01-01 23:55:00+00:00,2020-01-02 00:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-02 01:10:00+00:00,1.12187,1.1222699999999999,1.12127,1.12228,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2019-12-24 00:00:00+00:00,2020-01-01 00:00:00+00:00,-3.0,-1.0,0.0017454326412130738,-1.0,-0.0028778165768145736,-1.0,-0.01776160831571344,0
20200108T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-01-07 23:55:00+00:00,2020-01-08 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-08 00:10:00+00:00,1.1154700000000002,1.1150700000000002,1.1160700000000001,1.11606,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2019-12-31 00:00:00+00:00,2020-01-08 00:00:00+00:00,1.0,1.0,-0.01101177873546183,1.0,0.027501591112669366,-1.0,-0.019183480557863092,1
20200115T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-01-14 23:55:00+00:00,2020-01-15 00:00:00+00:00,2020-01-15 00:00:00+00:00,2020-01-15 05:55:00+00:00,1.11284,1.11244,1.11344,1.11343,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2020-01-07 00:00:00+00:00,2020-01-15 00:00:00+00:00,3.0,1.0,-0.024575522719509663,1.0,0.005934724769229349,1.0,0.016670407609413795,1
20200122T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-01-21 23:55:00+00:00,2020-01-22 00:00:00+00:00,2020-01-22 00:00:00+00:00,2020-01-22 01:00:00+00:00,1.1085900000000002,1.1081900000000002,1.1091900000000001,1.1081800000000002,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-01-14 00:00:00+00:00,2020-01-22 00:00:00+00:00,1.0,1.0,-0.002777843420620013,-1.0,-0.024851308885963652,1.0,0.01997750838706014,0
20200129T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-01-28 23:55:00+00:00,2020-01-29 00:00:00+00:00,2020-01-29 00:00:00+00:00,2020-01-29 01:25:00+00:00,1.1022800000000001,1.1018800000000002,1.10288,1.1018700000000001,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-01-21 00:00:00+00:00,2020-01-29 00:00:00+00:00,1.0,1.0,-0.0035292932123211773,-1.0,-0.012900987339801329,1.0,0.01834157941456585,0
20200205T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2020-02-04 23:55:00+00:00,2020-02-05 00:00:00+00:00,2020-02-05 00:00:00+00:00,2020-02-05 02:10:00+00:00,1.10448,1.1048799999999999,1.10388,1.10389,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2020-01-28 00:00:00+00:00,2020-02-05 00:00:00+00:00,-1.0,-1.0,0.03141980422194435,-1.0,-0.037783036905246536,1.0,0.0004458112951309934,1
20200212T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2020-02-11 23:55:00+00:00,2020-02-12 00:00:00+00:00,2020-02-12 00:00:00+00:00,2020-02-12 00:50:00+00:00,1.0918599999999998,1.0922599999999998,1.09126,1.09127,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2020-02-04 00:00:00+00:00,2020-02-12 00:00:00+00:00,-1.0,-1.0,0.01622529231562253,1.0,0.013850096946459445,-1.0,-0.024345355699174787,1
20200219T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2020-02-18 23:55:00+00:00,2020-02-19 00:00:00+00:00,2020-02-19 00:00:00+00:00,2020-02-19 00:50:00+00:00,1.07948,1.07988,1.07888,1.07989,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-02-11 00:00:00+00:00,2020-02-19 00:00:00+00:00,-1.0,-1.0,0.004790044355268863,1.0,0.030226253941808445,-1.0,-0.02103138542163699,0
20200326T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-03-25 23:55:00+00:00,2020-03-26 00:00:00+00:00,2020-03-26 00:00:00+00:00,2020-03-26 00:00:00+00:00,1.0889,1.0885,1.0895,1.08849,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-03-17 00:00:00+00:00,2020-03-25 00:00:00+00:00,3.0,1.0,-0.07600812055440193,1.0,0.02232480295881273,1.0,0.05645831876825683,0
20200403T000000Z_SHORT,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,SHORT,2020-04-02 23:55:00+00:00,2020-04-03 00:00:00+00:00,2020-04-03 00:00:00+00:00,2020-04-03 00:00:00+00:00,1.0845799999999999,1.0849799999999998,1.08398,1.08399,TARGET,0.0004,4.0,1,0.5899999999998684,1.474999999999671,1.349999999999671,2020-03-24 00:00:00+00:00,2020-04-01 00:00:00+00:00,-1.0,-1.0,0.006733318454018256,-1.0,-0.031782639936682344,1.0,0.03264695482148222,1
20200410T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-04-09 23:55:00+00:00,2020-04-10 00:00:00+00:00,2020-04-10 00:00:00+00:00,2020-04-10 00:20:00+00:00,1.09234,1.0919400000000001,1.09294,1.09193,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-03-31 00:00:00+00:00,2020-04-08 00:00:00+00:00,3.0,1.0,-0.02398217047733381,1.0,0.010584282442935189,1.0,0.008888687228860173,0
20200415T000000Z_LONG,N10_NEUTRAL_CFTC_PARTICIPANT_FLOW,NEUTRAL,LONG,2020-04-14 23:55:00+00:00,2020-04-15 00:00:00+00:00,2020-04-15 00:00:00+00:00,2020-04-15 03:15:00+00:00,1.0984,1.098,1.099,1.09799,STOP,0.0004,4.0,0,-0.41000000000002146,-1.0250000000000536,-1.1500000000000536,2020-04-07 00:00:00+00:00,2020-04-15 00:00:00+00:00,1.0,1.0,-0.02347280517876782,-1.0,-0.016136645972837205,1.0,0.015652148081265083,0
