attempt_no,policy_id,mechanic,parameters_json,raw_discovery_signal_count
131106,V100_aa2aa1d925c5deb0eedb,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131107,V100_47313b7e969b3fab93fc,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131108,V100_076300eed0aa7f560deb,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131109,V100_879856ff3fad3a3f4271,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131110,V100_c5282876dc5f43e0af31,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131111,V100_ae90cd1fa8fb8077109d,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131112,V100_a2f9605ca0ed3aaa61c3,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131113,V100_7c1ed2dab3127bc26fb1,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131114,V100_e442b4a4403a34fd7269,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131115,V100_87d972c590e2ce1d6454,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131116,V100_c1c1412fc1c131051a39,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131117,V100_a86a1b55c337894f6591,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131118,V100_59f406229959e09aeca1,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131119,V100_5ed68d9cae8416e98dbb,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":5,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131120,V100_2fa1123fbce7514ecbf2,BREAK_60,"{""anchor_hour_utc"":8,""cooldown_calendar_days"":20,""health_lookback"":160,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131121,V100_218472fbde76ed70628b,BREAK_60,"{""anchor_hour_utc"":12,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131122,V100_d0294208ac0c06c63e61,BREAK_60,"{""anchor_hour_utc"":12,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131123,V100_dfddd4362035a71354d1,BREAK_60,"{""anchor_hour_utc"":12,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
