month,trades,wins,losses,win_rate_pct,avg_win_loss,profit_factor,net_usd,stress_net_030_usd,stress_profit_factor,max_closed_drawdown_usd
2024-10,39,14,25,35.9,1.3963,0.7819,-114.28,-125.98,0.763,418.37
2024-12,3,1,2,33.33,1.5163,0.7582,-5.86,-6.76,0.7277,17.44
2025-01,32,20,12,62.5,5.007,8.345,1149.56,1139.96,8.1199,79.69
2025-02,21,12,9,57.14,2.9489,3.9319,582.12,575.82,3.8612,198.55
2025-03,28,18,10,64.29,1.3421,2.4157,420.77,412.37,2.3736,235.99
2025-04,6,0,6,0.0,0.0,0.0,-104.65,-106.45,0.0,104.65
2025-06,7,1,6,14.29,0.4448,0.0741,-259.16,-261.26,0.0726,279.91
2025-07,11,5,6,45.45,1.1246,0.9372,-4.73,-8.03,0.8958,75.26
2025-08,19,13,6,68.42,2.6069,5.6483,682.32,676.62,5.5536,146.79
2025-09,24,13,11,54.17,2.3672,2.7976,220.17,212.97,2.6932,74.25
2025-11,10,7,3,70.0,1.7287,4.0336,129.9,126.9,3.9026,42.82
2025-12,28,12,16,42.86,1.8828,1.4121,423.82,415.42,1.4021,866.37
2026-01,20,12,8,60.0,17.8759,26.8138,2386.23,2380.23,26.0973,57.46
2026-02,3,0,3,0.0,0.0,0.0,-50.02,-50.92,0.0,50.02
2026-03,3,0,3,0.0,0.0,0.0,-37.14,-38.04,0.0,37.14
2026-04,8,6,2,75.0,1.8257,5.4771,145.37,142.97,5.3233,32.47
2026-05,5,2,3,40.0,5.2309,3.4873,55.74,54.24,3.3269,8.72
2026-06,46,29,17,63.04,2.0417,3.483,563.81,550.01,3.369,36.44
