attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
37280,075d543426071d0c,36280,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,1616,372,"{""flow_alignment_min"":0.01,""geometry_id"":""FAST"",""half_life_max"":36.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.97,""phi_min"":0.3,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":0.75}"
37281,94dc4bd4a7100e42,36281,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,290,31,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""half_life_max"":96.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.8,""session"":""ASIA"",""stationarity_window"":192,""z_abs_min"":1.75}"
37282,c4588422898e1fe2,36282,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,162,27,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""half_life_max"":12.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":0.75}"
37283,4f0c1cd054eed421,36283,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,1597,363,"{""flow_alignment_min"":-0.03,""geometry_id"":""TREND"",""half_life_max"":36.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.8,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":0.75}"
37284,66741fa732dc1897,36284,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,4321,983,"{""flow_alignment_min"":0.01,""geometry_id"":""FAST"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.15,""phi_max"":0.97,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":192,""z_abs_min"":0.75}"
37285,ca2f152a092bec4c,36285,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,547,107,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""half_life_max"":12.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.6,""session"":""LONDON"",""stationarity_window"":192,""z_abs_min"":1.25}"
37286,4ba50457b246d70f,36286,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,248,49,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""half_life_max"":36.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.8,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":1.75}"
37287,8faaad52aaf1e785,36287,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,405,86,"{""flow_alignment_min"":-0.03,""geometry_id"":""BALANCED"",""half_life_max"":12.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.8,""session"":""ASIA"",""stationarity_window"":192,""z_abs_min"":0.75}"
37288,dd4d0802372e0bb4,36288,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,639,141,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""half_life_max"":12.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.97,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":1.25}"
37289,c981b4a877655662,36289,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,612,133,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""half_life_max"":96.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.97,""phi_min"":0.3,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":1.25}"
37290,30efb5f1d54c9ee0,36290,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,318,66,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""half_life_max"":12.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":1.75}"
37291,55d300a9e0f5138d,36291,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,254,36,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.6,""session"":""ASIA"",""stationarity_window"":192,""z_abs_min"":0.75}"
37292,0a3837b51306759f,36292,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,261,60,"{""flow_alignment_min"":0.0,""geometry_id"":""EXTENDED"",""half_life_max"":12.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.8,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":0.75}"
