vote_eurgbp,vote_eurjpy,vote_gbpusd,vote_usdjpy,vote_score,direction_code,signal_time,entry_time,utc_date,direction
-1,-1,-1,-1,-4,-1,2016-09-22 08:55:00+00:00,2016-09-22 09:00:00+00:00,2016-09-22,SHORT
1,1,-1,1,2,1,2016-09-23 10:55:00+00:00,2016-09-23 11:00:00+00:00,2016-09-23,LONG
-1,-1,1,-1,-2,-1,2016-09-26 05:55:00+00:00,2016-09-26 06:00:00+00:00,2016-09-26,SHORT
1,-1,-1,-1,-2,-1,2016-09-27 07:55:00+00:00,2016-09-27 08:00:00+00:00,2016-09-27,SHORT
-1,-1,-1,0,-3,-1,2016-09-28 06:55:00+00:00,2016-09-28 07:00:00+00:00,2016-09-28,SHORT
1,-1,-1,-1,-2,-1,2016-09-29 06:55:00+00:00,2016-09-29 07:00:00+00:00,2016-09-29,SHORT
1,1,-1,1,2,1,2016-09-30 07:55:00+00:00,2016-09-30 08:00:00+00:00,2016-09-30,LONG
1,1,1,-1,2,1,2016-10-03 08:55:00+00:00,2016-10-03 09:00:00+00:00,2016-10-03,LONG
-1,1,-1,-1,-2,-1,2016-10-04 11:55:00+00:00,2016-10-04 12:00:00+00:00,2016-10-04,SHORT
1,1,1,-1,2,1,2016-10-05 06:55:00+00:00,2016-10-05 07:00:00+00:00,2016-10-05,LONG
1,1,-1,1,2,1,2016-10-06 05:55:00+00:00,2016-10-06 06:00:00+00:00,2016-10-06,LONG
1,1,1,1,4,1,2016-10-07 07:55:00+00:00,2016-10-07 08:00:00+00:00,2016-10-07,LONG
1,-1,-1,-1,-2,-1,2016-10-10 11:55:00+00:00,2016-10-10 12:00:00+00:00,2016-10-10,SHORT
-1,-1,1,-1,-2,-1,2016-10-11 05:55:00+00:00,2016-10-11 06:00:00+00:00,2016-10-11,SHORT
1,1,1,-1,2,1,2016-10-12 15:55:00+00:00,2016-10-12 16:00:00+00:00,2016-10-12,LONG
1,-1,1,1,2,1,2016-10-13 05:55:00+00:00,2016-10-13 06:00:00+00:00,2016-10-13,LONG
1,1,-1,1,2,1,2016-10-14 07:55:00+00:00,2016-10-14 08:00:00+00:00,2016-10-14,LONG
-1,-1,-1,1,-2,-1,2016-10-17 10:55:00+00:00,2016-10-17 11:00:00+00:00,2016-10-17,SHORT
-1,-1,-1,-1,-4,-1,2016-10-18 05:55:00+00:00,2016-10-18 06:00:00+00:00,2016-10-18,SHORT
1,1,1,0,3,1,2016-10-19 06:55:00+00:00,2016-10-19 07:00:00+00:00,2016-10-19,LONG
-1,-1,-1,-1,-4,-1,2016-10-20 05:55:00+00:00,2016-10-20 06:00:00+00:00,2016-10-20,SHORT
-1,-1,-1,-1,-4,-1,2016-10-21 07:55:00+00:00,2016-10-21 08:00:00+00:00,2016-10-21,SHORT
1,1,-1,1,2,1,2016-10-24 05:55:00+00:00,2016-10-24 06:00:00+00:00,2016-10-24,LONG
-1,1,-1,-1,-2,-1,2016-10-25 06:55:00+00:00,2016-10-25 07:00:00+00:00,2016-10-25,SHORT
1,1,-1,1,2,1,2016-10-26 05:55:00+00:00,2016-10-26 06:00:00+00:00,2016-10-26,LONG
1,1,1,-1,2,1,2016-10-27 05:55:00+00:00,2016-10-27 06:00:00+00:00,2016-10-27,LONG
-1,1,-1,-1,-2,-1,2016-10-28 05:55:00+00:00,2016-10-28 06:00:00+00:00,2016-10-28,SHORT
1,1,-1,1,2,1,2016-10-31 05:55:00+00:00,2016-10-31 06:00:00+00:00,2016-10-31,LONG
1,-1,-1,-1,-2,-1,2016-11-01 05:55:00+00:00,2016-11-01 06:00:00+00:00,2016-11-01,SHORT
1,-1,-1,-1,-2,-1,2016-11-02 06:55:00+00:00,2016-11-02 07:00:00+00:00,2016-11-02,SHORT
-1,-1,1,-1,-2,-1,2016-11-03 06:55:00+00:00,2016-11-03 07:00:00+00:00,2016-11-03,SHORT
1,1,1,1,4,1,2016-11-04 07:55:00+00:00,2016-11-04 08:00:00+00:00,2016-11-04,LONG
-1,-1,-1,1,-2,-1,2016-11-07 06:55:00+00:00,2016-11-07 07:00:00+00:00,2016-11-07,SHORT
1,1,1,1,4,1,2016-11-08 07:55:00+00:00,2016-11-08 08:00:00+00:00,2016-11-08,LONG
-1,1,-1,-1,-2,-1,2016-11-09 06:55:00+00:00,2016-11-09 07:00:00+00:00,2016-11-09,SHORT
1,-1,-1,-1,-2,-1,2016-11-10 08:55:00+00:00,2016-11-10 09:00:00+00:00,2016-11-10,SHORT
-1,-1,-1,-1,-4,-1,2016-11-11 07:55:00+00:00,2016-11-11 08:00:00+00:00,2016-11-11,SHORT
1,1,-1,1,2,1,2016-11-14 06:55:00+00:00,2016-11-14 07:00:00+00:00,2016-11-14,LONG
-1,-1,-1,1,-2,-1,2016-11-15 06:55:00+00:00,2016-11-15 07:00:00+00:00,2016-11-15,SHORT
-1,-1,-1,-1,-4,-1,2016-11-16 07:55:00+00:00,2016-11-16 08:00:00+00:00,2016-11-16,SHORT
1,-1,1,1,2,1,2016-11-17 06:55:00+00:00,2016-11-17 07:00:00+00:00,2016-11-17,LONG
-1,-1,-1,1,-2,-1,2016-11-18 05:55:00+00:00,2016-11-18 06:00:00+00:00,2016-11-18,SHORT
1,-1,1,1,2,1,2016-11-21 08:55:00+00:00,2016-11-21 09:00:00+00:00,2016-11-21,LONG
-1,-1,-1,1,-2,-1,2016-11-22 06:55:00+00:00,2016-11-22 07:00:00+00:00,2016-11-22,SHORT
1,1,1,-1,2,1,2016-11-23 06:55:00+00:00,2016-11-23 07:00:00+00:00,2016-11-23,LONG
-1,-1,-1,1,-2,-1,2016-11-24 05:55:00+00:00,2016-11-24 06:00:00+00:00,2016-11-24,SHORT
-1,-1,-1,-1,-4,-1,2016-11-25 05:55:00+00:00,2016-11-25 06:00:00+00:00,2016-11-25,SHORT
-1,1,-1,-1,-2,-1,2016-11-28 05:55:00+00:00,2016-11-28 06:00:00+00:00,2016-11-28,SHORT
-1,-1,1,-1,-2,-1,2016-11-29 05:55:00+00:00,2016-11-29 06:00:00+00:00,2016-11-29,SHORT
-1,1,-1,-1,-2,-1,2016-11-30 05:55:00+00:00,2016-11-30 06:00:00+00:00,2016-11-30,SHORT
-1,1,-1,-1,-2,-1,2016-12-01 07:55:00+00:00,2016-12-01 08:00:00+00:00,2016-12-01,SHORT
-1,-1,1,-1,-2,-1,2016-12-02 06:55:00+00:00,2016-12-02 07:00:00+00:00,2016-12-02,SHORT
1,1,1,-1,2,1,2016-12-05 07:55:00+00:00,2016-12-05 08:00:00+00:00,2016-12-05,LONG
1,-1,1,1,2,1,2016-12-06 07:55:00+00:00,2016-12-06 08:00:00+00:00,2016-12-06,LONG
1,-1,-1,-1,-2,-1,2016-12-07 07:55:00+00:00,2016-12-07 08:00:00+00:00,2016-12-07,SHORT
1,1,1,-1,2,1,2016-12-08 08:55:00+00:00,2016-12-08 09:00:00+00:00,2016-12-08,LONG
-1,1,-1,-1,-2,-1,2016-12-09 06:55:00+00:00,2016-12-09 07:00:00+00:00,2016-12-09,SHORT
1,-1,-1,-1,-2,-1,2016-12-12 08:55:00+00:00,2016-12-12 09:00:00+00:00,2016-12-12,SHORT
1,1,1,-1,2,1,2016-12-13 05:55:00+00:00,2016-12-13 06:00:00+00:00,2016-12-13,LONG
1,1,1,1,4,1,2016-12-14 05:55:00+00:00,2016-12-14 06:00:00+00:00,2016-12-14,LONG
1,-1,1,1,2,1,2016-12-15 05:55:00+00:00,2016-12-15 06:00:00+00:00,2016-12-15,LONG
-1,-1,-1,1,-2,-1,2016-12-16 05:55:00+00:00,2016-12-16 06:00:00+00:00,2016-12-16,SHORT
1,-1,1,1,2,1,2016-12-19 05:55:00+00:00,2016-12-19 06:00:00+00:00,2016-12-19,LONG
-1,1,-1,-1,-2,-1,2016-12-20 05:55:00+00:00,2016-12-20 06:00:00+00:00,2016-12-20,SHORT
-1,1,-1,-1,-2,-1,2016-12-21 05:55:00+00:00,2016-12-21 06:00:00+00:00,2016-12-21,SHORT
1,1,1,-1,2,1,2016-12-22 05:55:00+00:00,2016-12-22 06:00:00+00:00,2016-12-22,LONG
1,1,-1,1,2,1,2016-12-23 08:55:00+00:00,2016-12-23 09:00:00+00:00,2016-12-23,LONG
-1,-1,-1,1,-2,-1,2016-12-26 07:55:00+00:00,2016-12-26 08:00:00+00:00,2016-12-26,SHORT
1,1,1,1,4,1,2016-12-27 05:55:00+00:00,2016-12-27 06:00:00+00:00,2016-12-27,LONG
1,-1,1,1,2,1,2016-12-28 05:55:00+00:00,2016-12-28 06:00:00+00:00,2016-12-28,LONG
-1,-1,1,-1,-2,-1,2016-12-29 07:55:00+00:00,2016-12-29 08:00:00+00:00,2016-12-29,SHORT
-1,-1,1,-1,-2,-1,2016-12-30 06:55:00+00:00,2016-12-30 07:00:00+00:00,2016-12-30,SHORT
-1,-1,-1,-1,-4,-1,2017-01-02 07:55:00+00:00,2017-01-02 08:00:00+00:00,2017-01-02,SHORT
-1,-1,-1,1,-2,-1,2017-01-03 05:55:00+00:00,2017-01-03 06:00:00+00:00,2017-01-03,SHORT
-1,1,-1,-1,-2,-1,2017-01-04 06:55:00+00:00,2017-01-04 07:00:00+00:00,2017-01-04,SHORT
-1,1,-1,-1,-2,-1,2017-01-05 05:55:00+00:00,2017-01-05 06:00:00+00:00,2017-01-05,SHORT
1,1,1,1,4,1,2017-01-06 05:55:00+00:00,2017-01-06 06:00:00+00:00,2017-01-06,LONG
-1,1,1,1,2,1,2017-01-09 07:55:00+00:00,2017-01-09 08:00:00+00:00,2017-01-09,LONG
-1,1,-1,-1,-2,-1,2017-01-10 06:55:00+00:00,2017-01-10 07:00:00+00:00,2017-01-10,SHORT
1,-1,1,1,2,1,2017-01-11 06:55:00+00:00,2017-01-11 07:00:00+00:00,2017-01-11,LONG
1,-1,1,1,2,1,2017-01-12 05:55:00+00:00,2017-01-12 06:00:00+00:00,2017-01-12,LONG
1,-1,1,1,2,1,2017-01-13 06:55:00+00:00,2017-01-13 07:00:00+00:00,2017-01-13,LONG
-1,-1,-1,-1,-4,-1,2017-01-16 06:55:00+00:00,2017-01-16 07:00:00+00:00,2017-01-16,SHORT
1,1,-1,1,2,1,2017-01-17 07:55:00+00:00,2017-01-17 08:00:00+00:00,2017-01-17,LONG
-1,-1,-1,-1,-4,-1,2017-01-18 06:55:00+00:00,2017-01-18 07:00:00+00:00,2017-01-18,SHORT
1,-1,1,1,2,1,2017-01-19 05:55:00+00:00,2017-01-19 06:00:00+00:00,2017-01-19,LONG
-1,-1,-1,1,-2,-1,2017-01-20 05:55:00+00:00,2017-01-20 06:00:00+00:00,2017-01-20,SHORT
1,-1,1,1,2,1,2017-01-23 05:55:00+00:00,2017-01-23 06:00:00+00:00,2017-01-23,LONG
-1,-1,-1,-1,-4,-1,2017-01-24 06:55:00+00:00,2017-01-24 07:00:00+00:00,2017-01-24,SHORT
-1,-1,1,-1,-2,-1,2017-01-25 06:55:00+00:00,2017-01-25 07:00:00+00:00,2017-01-25,SHORT
-1,-1,-1,-1,-4,-1,2017-01-26 07:55:00+00:00,2017-01-26 08:00:00+00:00,2017-01-26,SHORT
1,1,1,1,4,1,2017-01-27 07:55:00+00:00,2017-01-27 08:00:00+00:00,2017-01-27,LONG
-1,1,-1,-1,-2,-1,2017-01-30 05:55:00+00:00,2017-01-30 06:00:00+00:00,2017-01-30,SHORT
1,1,1,1,4,1,2017-01-31 07:55:00+00:00,2017-01-31 08:00:00+00:00,2017-01-31,LONG
-1,-1,1,-1,-2,-1,2017-02-01 06:55:00+00:00,2017-02-01 07:00:00+00:00,2017-02-01,SHORT
-1,1,-1,-1,-2,-1,2017-02-02 06:55:00+00:00,2017-02-02 07:00:00+00:00,2017-02-02,SHORT
1,-1,1,1,2,1,2017-02-03 05:55:00+00:00,2017-02-03 06:00:00+00:00,2017-02-03,LONG
1,1,1,1,4,1,2017-02-06 09:55:00+00:00,2017-02-06 10:00:00+00:00,2017-02-06,LONG
1,-1,1,1,2,1,2017-02-07 06:55:00+00:00,2017-02-07 07:00:00+00:00,2017-02-07,LONG
-1,-1,-1,-1,-4,-1,2017-02-08 05:55:00+00:00,2017-02-08 06:00:00+00:00,2017-02-08,SHORT
1,-1,1,1,2,1,2017-02-09 05:55:00+00:00,2017-02-09 06:00:00+00:00,2017-02-09,LONG
-1,-1,-1,0,-3,-1,2017-02-10 05:55:00+00:00,2017-02-10 06:00:00+00:00,2017-02-10,SHORT
1,-1,1,1,2,1,2017-02-13 05:55:00+00:00,2017-02-13 06:00:00+00:00,2017-02-13,LONG
1,-1,1,1,2,1,2017-02-14 06:55:00+00:00,2017-02-14 07:00:00+00:00,2017-02-14,LONG
-1,1,-1,-1,-2,-1,2017-02-15 06:55:00+00:00,2017-02-15 07:00:00+00:00,2017-02-15,SHORT
-1,1,1,1,2,1,2017-02-16 09:55:00+00:00,2017-02-16 10:00:00+00:00,2017-02-16,LONG
-1,-1,1,-1,-2,-1,2017-02-17 07:55:00+00:00,2017-02-17 08:00:00+00:00,2017-02-17,SHORT
1,1,1,1,4,1,2017-02-20 06:55:00+00:00,2017-02-20 07:00:00+00:00,2017-02-20,LONG
1,1,1,1,4,1,2017-02-21 08:55:00+00:00,2017-02-21 09:00:00+00:00,2017-02-21,LONG
1,-1,1,1,2,1,2017-02-22 05:55:00+00:00,2017-02-22 06:00:00+00:00,2017-02-22,LONG
-1,1,-1,-1,-2,-1,2017-02-23 05:55:00+00:00,2017-02-23 06:00:00+00:00,2017-02-23,SHORT
1,1,-1,1,2,1,2017-02-24 06:55:00+00:00,2017-02-24 07:00:00+00:00,2017-02-24,LONG
1,1,-1,1,2,1,2017-02-27 07:55:00+00:00,2017-02-27 08:00:00+00:00,2017-02-27,LONG
1,1,-1,1,2,1,2017-02-28 05:55:00+00:00,2017-02-28 06:00:00+00:00,2017-02-28,LONG
-1,1,1,1,2,1,2017-03-01 06:55:00+00:00,2017-03-01 07:00:00+00:00,2017-03-01,LONG
1,1,1,1,4,1,2017-03-03 06:55:00+00:00,2017-03-03 07:00:00+00:00,2017-03-03,LONG
1,1,-1,1,2,1,2017-03-06 05:55:00+00:00,2017-03-06 06:00:00+00:00,2017-03-06,LONG
-1,-1,-1,-1,-4,-1,2017-03-07 09:55:00+00:00,2017-03-07 10:00:00+00:00,2017-03-07,SHORT
1,-1,-1,-1,-2,-1,2017-03-08 06:55:00+00:00,2017-03-08 07:00:00+00:00,2017-03-08,SHORT
1,1,1,1,4,1,2017-03-09 05:55:00+00:00,2017-03-09 06:00:00+00:00,2017-03-09,LONG
-1,-1,1,-1,-2,-1,2017-03-10 06:55:00+00:00,2017-03-10 07:00:00+00:00,2017-03-10,SHORT
-1,-1,-1,-1,-4,-1,2017-03-13 05:55:00+00:00,2017-03-13 06:00:00+00:00,2017-03-13,SHORT
1,1,-1,1,2,1,2017-03-14 05:55:00+00:00,2017-03-14 06:00:00+00:00,2017-03-14,LONG
1,-1,-1,-1,-2,-1,2017-03-15 06:55:00+00:00,2017-03-15 07:00:00+00:00,2017-03-15,SHORT
-1,-1,1,-1,-2,-1,2017-03-16 06:55:00+00:00,2017-03-16 07:00:00+00:00,2017-03-16,SHORT
1,1,1,1,4,1,2017-03-17 05:55:00+00:00,2017-03-17 06:00:00+00:00,2017-03-17,LONG
1,1,1,-1,2,1,2017-03-20 05:55:00+00:00,2017-03-20 06:00:00+00:00,2017-03-20,LONG
1,-1,-1,-1,-2,-1,2017-03-21 05:55:00+00:00,2017-03-21 06:00:00+00:00,2017-03-21,SHORT
1,1,1,1,4,1,2017-03-22 12:55:00+00:00,2017-03-22 13:00:00+00:00,2017-03-22,LONG
-1,0,-1,-1,-3,-1,2017-03-23 05:55:00+00:00,2017-03-23 06:00:00+00:00,2017-03-23,SHORT
-1,-1,-1,1,-2,-1,2017-03-24 06:55:00+00:00,2017-03-24 07:00:00+00:00,2017-03-24,SHORT
1,1,-1,1,2,1,2017-03-27 06:55:00+00:00,2017-03-27 07:00:00+00:00,2017-03-27,LONG
1,1,1,1,4,1,2017-03-28 08:55:00+00:00,2017-03-28 09:00:00+00:00,2017-03-28,LONG
1,1,1,-1,2,1,2017-03-29 05:55:00+00:00,2017-03-29 06:00:00+00:00,2017-03-29,LONG
-1,-1,-1,-1,-4,-1,2017-03-30 07:55:00+00:00,2017-03-30 08:00:00+00:00,2017-03-30,SHORT
1,1,1,1,4,1,2017-03-31 10:55:00+00:00,2017-03-31 11:00:00+00:00,2017-03-31,LONG
1,1,-1,1,2,1,2017-04-03 06:55:00+00:00,2017-04-03 07:00:00+00:00,2017-04-03,LONG
-1,1,-1,-1,-2,-1,2017-04-04 05:55:00+00:00,2017-04-04 06:00:00+00:00,2017-04-04,SHORT
1,1,1,-1,2,1,2017-04-05 06:55:00+00:00,2017-04-05 07:00:00+00:00,2017-04-05,LONG
1,1,1,-1,2,1,2017-04-06 07:55:00+00:00,2017-04-06 08:00:00+00:00,2017-04-06,LONG
1,-1,1,1,2,1,2017-04-07 05:55:00+00:00,2017-04-07 06:00:00+00:00,2017-04-07,LONG
1,1,1,1,4,1,2017-04-10 07:55:00+00:00,2017-04-10 08:00:00+00:00,2017-04-10,LONG
1,-1,-1,-1,-2,-1,2017-04-11 07:55:00+00:00,2017-04-11 08:00:00+00:00,2017-04-11,SHORT
-1,-1,-1,1,-2,-1,2017-04-12 09:55:00+00:00,2017-04-12 10:00:00+00:00,2017-04-12,SHORT
-1,-1,-1,-1,-4,-1,2017-04-13 06:55:00+00:00,2017-04-13 07:00:00+00:00,2017-04-13,SHORT
1,1,1,1,4,1,2017-04-14 06:55:00+00:00,2017-04-14 07:00:00+00:00,2017-04-14,LONG
1,1,1,1,4,1,2017-04-17 09:55:00+00:00,2017-04-17 10:00:00+00:00,2017-04-17,LONG
1,1,1,-1,2,1,2017-04-18 05:55:00+00:00,2017-04-18 06:00:00+00:00,2017-04-18,LONG
1,1,1,-1,2,1,2017-04-19 09:55:00+00:00,2017-04-19 10:00:00+00:00,2017-04-19,LONG
1,1,1,1,4,1,2017-04-20 06:55:00+00:00,2017-04-20 07:00:00+00:00,2017-04-20,LONG
-1,1,-1,-1,-2,-1,2017-04-21 05:55:00+00:00,2017-04-21 06:00:00+00:00,2017-04-21,SHORT
1,1,-1,1,2,1,2017-04-24 05:55:00+00:00,2017-04-24 06:00:00+00:00,2017-04-24,LONG
1,1,1,-1,2,1,2017-04-25 06:55:00+00:00,2017-04-25 07:00:00+00:00,2017-04-25,LONG
-1,-1,-1,-1,-4,-1,2017-04-26 06:55:00+00:00,2017-04-26 07:00:00+00:00,2017-04-26,SHORT
-1,-1,1,-1,-2,-1,2017-04-27 05:55:00+00:00,2017-04-27 06:00:00+00:00,2017-04-27,SHORT
-1,-1,-1,1,-2,-1,2017-04-28 05:55:00+00:00,2017-04-28 06:00:00+00:00,2017-04-28,SHORT
1,-1,-1,-1,-2,-1,2017-05-01 10:55:00+00:00,2017-05-01 11:00:00+00:00,2017-05-01,SHORT
-1,1,-1,-1,-2,-1,2017-05-02 07:55:00+00:00,2017-05-02 08:00:00+00:00,2017-05-02,SHORT
-1,-1,-1,1,-2,-1,2017-05-03 07:55:00+00:00,2017-05-03 08:00:00+00:00,2017-05-03,SHORT
-1,-1,-1,1,-2,-1,2017-05-04 05:55:00+00:00,2017-05-04 06:00:00+00:00,2017-05-04,SHORT
-1,-1,1,-1,-2,-1,2017-05-05 05:55:00+00:00,2017-05-05 06:00:00+00:00,2017-05-05,SHORT
1,1,1,1,4,1,2017-05-08 05:55:00+00:00,2017-05-08 06:00:00+00:00,2017-05-08,LONG
-1,-1,1,-1,-2,-1,2017-05-09 05:55:00+00:00,2017-05-09 06:00:00+00:00,2017-05-09,SHORT
1,1,1,1,4,1,2017-05-10 05:55:00+00:00,2017-05-10 06:00:00+00:00,2017-05-10,LONG
1,1,1,1,4,1,2017-05-11 05:55:00+00:00,2017-05-11 06:00:00+00:00,2017-05-11,LONG
-1,-1,-1,0,-3,-1,2017-05-12 06:55:00+00:00,2017-05-12 07:00:00+00:00,2017-05-12,SHORT
-1,-1,-1,1,-2,-1,2017-05-15 05:55:00+00:00,2017-05-15 06:00:00+00:00,2017-05-15,SHORT
-1,-1,-1,-1,-4,-1,2017-05-16 05:55:00+00:00,2017-05-16 06:00:00+00:00,2017-05-16,SHORT
-1,-1,-1,-1,-4,-1,2017-05-17 06:55:00+00:00,2017-05-17 07:00:00+00:00,2017-05-17,SHORT
-1,1,-1,-1,-2,-1,2017-05-18 06:55:00+00:00,2017-05-18 07:00:00+00:00,2017-05-18,SHORT
