causal_trade_index,family,side,causal_entry_time_utc,oracle_entry_time_utc,absolute_difference_minutes
368,N1_ROLLING_SWEEP_FADE,LONG,2019-08-15 00:50:00+00:00,2019-08-15 00:50:00+00:00,0.0
376,N3_ANCHOR_REVERSION,LONG,2019-08-19 00:35:00+00:00,2019-08-19 00:20:00+00:00,15.0
379,N3_ANCHOR_REVERSION,SHORT,2019-08-20 01:45:00+00:00,2019-08-20 01:15:00+00:00,30.0
398,N4_MICRO_BREAKOUT,SHORT,2019-08-26 00:30:00+00:00,2019-08-26 00:20:00+00:00,10.0
407,N1_ROLLING_SWEEP_FADE,SHORT,2019-08-30 00:00:00+00:00,2019-08-30 00:00:00+00:00,0.0
415,N1_ROLLING_SWEEP_FADE,SHORT,2019-09-04 00:00:00+00:00,2019-09-04 00:20:00+00:00,20.0
416,N4_MICRO_BREAKOUT,LONG,2019-09-04 00:10:00+00:00,2019-09-04 00:05:00+00:00,5.0
417,N4_MICRO_BREAKOUT,LONG,2019-09-04 01:20:00+00:00,2019-09-04 00:35:00+00:00,45.0
421,N4_MICRO_BREAKOUT,SHORT,2019-09-05 01:30:00+00:00,2019-09-05 00:55:00+00:00,35.0
423,N3_ANCHOR_REVERSION,LONG,2019-09-06 00:00:00+00:00,2019-09-06 00:15:00+00:00,15.0
428,N4_MICRO_BREAKOUT,SHORT,2019-09-09 00:50:00+00:00,2019-09-09 00:35:00+00:00,15.0
438,N1_ROLLING_SWEEP_FADE,SHORT,2019-09-12 00:05:00+00:00,2019-09-12 00:00:00+00:00,5.0
456,N3_ANCHOR_REVERSION,SHORT,2019-09-18 00:00:00+00:00,2019-09-18 00:00:00+00:00,0.0
467,N1_ROLLING_SWEEP_FADE,LONG,2019-09-23 00:25:00+00:00,2019-09-23 00:15:00+00:00,10.0
475,N4_MICRO_BREAKOUT,SHORT,2019-09-25 00:00:00+00:00,2019-09-25 00:05:00+00:00,5.0
476,N4_MICRO_BREAKOUT,SHORT,2019-09-25 00:30:00+00:00,2019-09-25 00:20:00+00:00,10.0
483,N4_MICRO_BREAKOUT,SHORT,2019-09-27 00:35:00+00:00,2019-09-27 00:15:00+00:00,20.0
488,N4_MICRO_BREAKOUT,SHORT,2019-09-30 00:05:00+00:00,2019-09-30 00:05:00+00:00,0.0
492,N1_ROLLING_SWEEP_FADE,SHORT,2019-10-01 00:00:00+00:00,2019-10-01 00:00:00+00:00,0.0
496,N4_MICRO_BREAKOUT,LONG,2019-10-02 00:05:00+00:00,2019-10-02 00:00:00+00:00,5.0
520,N4_MICRO_BREAKOUT,SHORT,2019-10-14 00:35:00+00:00,2019-10-14 00:05:00+00:00,30.0
521,N3_ANCHOR_REVERSION,LONG,2019-10-14 01:30:00+00:00,2019-10-14 00:40:00+00:00,50.0
527,N4_MICRO_BREAKOUT,SHORT,2019-10-16 01:10:00+00:00,2019-10-16 00:15:00+00:00,55.0
530,N1_ROLLING_SWEEP_FADE,LONG,2019-10-17 00:05:00+00:00,2019-10-17 00:05:00+00:00,0.0
531,N4_MICRO_BREAKOUT,LONG,2019-10-17 00:45:00+00:00,2019-10-17 00:15:00+00:00,30.0
534,N1_ROLLING_SWEEP_FADE,SHORT,2019-10-18 00:15:00+00:00,2019-10-18 00:55:00+00:00,40.0
535,N3_ANCHOR_REVERSION,SHORT,2019-10-18 01:25:00+00:00,2019-10-18 01:20:00+00:00,5.0
539,N4_MICRO_BREAKOUT,LONG,2019-10-21 00:30:00+00:00,2019-10-21 00:00:00+00:00,30.0
547,N4_MICRO_BREAKOUT,SHORT,2019-10-23 00:20:00+00:00,2019-10-23 00:15:00+00:00,5.0
548,N1_ROLLING_SWEEP_FADE,SHORT,2019-10-23 00:40:00+00:00,2019-10-23 00:25:00+00:00,15.0
551,N1_ROLLING_SWEEP_FADE,LONG,2019-10-24 00:15:00+00:00,2019-10-24 00:15:00+00:00,0.0
588,N1_ROLLING_SWEEP_FADE,LONG,2019-12-03 01:00:00+00:00,2019-12-03 01:00:00+00:00,0.0
597,N1_ROLLING_SWEEP_FADE,LONG,2019-12-09 00:10:00+00:00,2019-12-09 00:10:00+00:00,0.0
604,N1_ROLLING_SWEEP_FADE,SHORT,2019-12-11 02:00:00+00:00,2019-12-11 02:00:00+00:00,0.0
617,N1_ROLLING_SWEEP_FADE,LONG,2019-12-17 00:05:00+00:00,2019-12-17 00:05:00+00:00,0.0
633,N4_MICRO_BREAKOUT,LONG,2019-12-27 00:55:00+00:00,2019-12-27 00:15:00+00:00,40.0
640,N3_ANCHOR_REVERSION,LONG,2020-01-01 22:20:00+00:00,2020-01-01 22:20:00+00:00,0.0
641,N4_MICRO_BREAKOUT,LONG,2020-01-02 01:05:00+00:00,2020-01-02 00:30:00+00:00,35.0
645,N4_MICRO_BREAKOUT,LONG,2020-01-03 00:55:00+00:00,2020-01-03 00:05:00+00:00,50.0
658,N1_ROLLING_SWEEP_FADE,SHORT,2020-01-08 00:05:00+00:00,2020-01-08 00:15:00+00:00,10.0
659,N4_MICRO_BREAKOUT,LONG,2020-01-08 00:15:00+00:00,2020-01-08 00:10:00+00:00,5.0
667,N4_MICRO_BREAKOUT,LONG,2020-01-14 00:45:00+00:00,2020-01-14 00:00:00+00:00,45.0
669,N4_MICRO_BREAKOUT,SHORT,2020-01-14 01:40:00+00:00,2020-01-14 00:40:00+00:00,60.0
671,N4_MICRO_BREAKOUT,LONG,2020-01-15 00:05:00+00:00,2020-01-15 00:05:00+00:00,0.0
683,N4_MICRO_BREAKOUT,SHORT,2020-01-22 00:45:00+00:00,2020-01-22 00:15:00+00:00,30.0
721,N3_ANCHOR_REVERSION,LONG,2020-02-11 00:25:00+00:00,2020-02-11 00:20:00+00:00,5.0
725,N1_ROLLING_SWEEP_FADE,SHORT,2020-02-12 00:05:00+00:00,2020-02-12 00:00:00+00:00,5.0
735,N4_MICRO_BREAKOUT,LONG,2020-02-19 00:55:00+00:00,2020-02-19 00:15:00+00:00,40.0
752,N4_MICRO_BREAKOUT,SHORT,2020-02-24 01:15:00+00:00,2020-02-24 00:30:00+00:00,45.0
756,N1_ROLLING_SWEEP_FADE,SHORT,2020-02-25 01:45:00+00:00,2020-02-25 00:50:00+00:00,55.0
775,N4_MICRO_BREAKOUT,LONG,2020-03-26 00:35:00+00:00,2020-03-26 00:15:00+00:00,20.0
776,N4_MICRO_BREAKOUT,LONG,2020-03-26 00:55:00+00:00,2020-03-26 00:10:00+00:00,45.0
781,N4_MICRO_BREAKOUT,SHORT,2020-04-03 00:05:00+00:00,2020-04-03 00:00:00+00:00,5.0
782,N3_ANCHOR_REVERSION,LONG,2020-04-03 00:25:00+00:00,2020-04-03 00:45:00+00:00,20.0
783,N1_ROLLING_SWEEP_FADE,LONG,2020-04-03 00:35:00+00:00,2020-04-03 00:50:00+00:00,15.0
794,N3_ANCHOR_REVERSION,LONG,2020-04-10 00:30:00+00:00,2020-04-10 00:30:00+00:00,0.0
799,N4_MICRO_BREAKOUT,SHORT,2020-04-13 01:05:00+00:00,2020-04-13 00:45:00+00:00,20.0
807,N3_ANCHOR_REVERSION,SHORT,2020-04-15 01:05:00+00:00,2020-04-15 01:05:00+00:00,0.0
816,N4_MICRO_BREAKOUT,LONG,2020-04-17 01:15:00+00:00,2020-04-17 00:20:00+00:00,55.0
820,N3_ANCHOR_REVERSION,LONG,2020-04-20 00:20:00+00:00,2020-04-20 00:15:00+00:00,5.0
821,N1_ROLLING_SWEEP_FADE,LONG,2020-04-20 00:25:00+00:00,2020-04-20 00:25:00+00:00,0.0
828,N4_MICRO_BREAKOUT,SHORT,2020-04-22 00:30:00+00:00,2020-04-22 00:20:00+00:00,10.0
832,N3_ANCHOR_REVERSION,LONG,2020-04-23 00:05:00+00:00,2020-04-23 00:00:00+00:00,5.0
833,N3_ANCHOR_REVERSION,LONG,2020-04-23 00:30:00+00:00,2020-04-23 00:30:00+00:00,0.0
834,N1_ROLLING_SWEEP_FADE,SHORT,2020-04-23 01:35:00+00:00,2020-04-23 00:40:00+00:00,55.0
837,N4_MICRO_BREAKOUT,SHORT,2020-04-24 00:25:00+00:00,2020-04-24 00:20:00+00:00,5.0
841,N1_ROLLING_SWEEP_FADE,SHORT,2020-04-27 00:05:00+00:00,2020-04-27 00:00:00+00:00,5.0
845,N1_ROLLING_SWEEP_FADE,LONG,2020-04-28 00:05:00+00:00,2020-04-28 00:05:00+00:00,0.0
846,N4_MICRO_BREAKOUT,LONG,2020-04-28 00:30:00+00:00,2020-04-28 00:15:00+00:00,15.0
849,N4_MICRO_BREAKOUT,LONG,2020-04-29 00:15:00+00:00,2020-04-29 00:10:00+00:00,5.0
850,N4_MICRO_BREAKOUT,LONG,2020-04-29 00:35:00+00:00,2020-04-29 00:25:00+00:00,10.0
853,N4_MICRO_BREAKOUT,SHORT,2020-05-01 00:10:00+00:00,2020-05-01 00:05:00+00:00,5.0
861,N4_MICRO_BREAKOUT,SHORT,2020-05-04 00:10:00+00:00,2020-05-04 00:05:00+00:00,5.0
863,N4_MICRO_BREAKOUT,SHORT,2020-05-04 00:55:00+00:00,2020-05-04 00:20:00+00:00,35.0
875,N4_MICRO_BREAKOUT,LONG,2020-05-11 00:20:00+00:00,2020-05-11 00:20:00+00:00,0.0
883,N1_ROLLING_SWEEP_FADE,SHORT,2020-05-14 00:05:00+00:00,2020-05-14 00:00:00+00:00,5.0
884,N1_ROLLING_SWEEP_FADE,SHORT,2020-05-14 00:40:00+00:00,2020-05-14 00:25:00+00:00,15.0
894,N4_MICRO_BREAKOUT,LONG,2020-05-19 00:05:00+00:00,2020-05-19 00:00:00+00:00,5.0
900,N4_MICRO_BREAKOUT,SHORT,2020-05-21 00:05:00+00:00,2020-05-21 00:05:00+00:00,0.0
902,N4_MICRO_BREAKOUT,SHORT,2020-05-21 01:00:00+00:00,2020-05-21 00:15:00+00:00,45.0
904,N1_ROLLING_SWEEP_FADE,SHORT,2020-05-22 00:05:00+00:00,2020-05-22 00:20:00+00:00,15.0
905,N4_MICRO_BREAKOUT,SHORT,2020-05-22 01:10:00+00:00,2020-05-22 00:35:00+00:00,35.0
912,N4_MICRO_BREAKOUT,LONG,2020-05-26 00:00:00+00:00,2020-05-26 00:25:00+00:00,25.0
913,N4_MICRO_BREAKOUT,LONG,2020-05-26 00:40:00+00:00,2020-05-26 00:40:00+00:00,0.0
914,N4_MICRO_BREAKOUT,LONG,2020-05-26 01:10:00+00:00,2020-05-26 00:35:00+00:00,35.0
920,N4_MICRO_BREAKOUT,LONG,2020-05-28 00:00:00+00:00,2020-05-28 00:05:00+00:00,5.0
921,N3_ANCHOR_REVERSION,SHORT,2020-05-28 00:05:00+00:00,2020-05-28 00:00:00+00:00,5.0
923,N4_MICRO_BREAKOUT,LONG,2020-05-28 00:55:00+00:00,2020-05-28 00:15:00+00:00,40.0
924,N1_ROLLING_SWEEP_FADE,SHORT,2020-05-29 00:35:00+00:00,2020-05-29 00:00:00+00:00,35.0
932,N4_MICRO_BREAKOUT,LONG,2020-06-01 00:20:00+00:00,2020-06-01 00:15:00+00:00,5.0
942,N4_MICRO_BREAKOUT,SHORT,2020-06-04 00:20:00+00:00,2020-06-04 00:15:00+00:00,5.0
943,N4_MICRO_BREAKOUT,SHORT,2020-06-04 00:40:00+00:00,2020-06-04 00:10:00+00:00,30.0
946,N4_MICRO_BREAKOUT,SHORT,2020-06-05 01:15:00+00:00,2020-06-05 00:20:00+00:00,55.0
953,N4_MICRO_BREAKOUT,LONG,2020-06-09 00:05:00+00:00,2020-06-09 00:00:00+00:00,5.0
954,N3_ANCHOR_REVERSION,SHORT,2020-06-09 00:35:00+00:00,2020-06-09 00:20:00+00:00,15.0
957,N3_ANCHOR_REVERSION,LONG,2020-06-10 00:05:00+00:00,2020-06-10 00:05:00+00:00,0.0
966,N3_ANCHOR_REVERSION,SHORT,2020-06-15 00:15:00+00:00,2020-06-15 00:10:00+00:00,5.0
968,N1_ROLLING_SWEEP_FADE,LONG,2020-06-15 01:05:00+00:00,2020-06-15 00:20:00+00:00,45.0
970,N4_MICRO_BREAKOUT,LONG,2020-06-16 00:00:00+00:00,2020-06-16 00:25:00+00:00,25.0
971,N3_ANCHOR_REVERSION,SHORT,2020-06-16 00:10:00+00:00,2020-06-16 00:05:00+00:00,5.0
972,N3_ANCHOR_REVERSION,SHORT,2020-06-16 00:25:00+00:00,2020-06-16 00:00:00+00:00,25.0
973,N1_ROLLING_SWEEP_FADE,LONG,2020-06-16 01:30:00+00:00,2020-06-16 00:30:00+00:00,60.0
974,N4_MICRO_BREAKOUT,LONG,2020-06-17 00:10:00+00:00,2020-06-17 00:25:00+00:00,15.0
975,N1_ROLLING_SWEEP_FADE,SHORT,2020-06-17 00:20:00+00:00,2020-06-17 00:15:00+00:00,5.0
977,N3_ANCHOR_REVERSION,SHORT,2020-06-17 00:55:00+00:00,2020-06-17 00:10:00+00:00,45.0
982,N3_ANCHOR_REVERSION,LONG,2020-06-19 00:25:00+00:00,2020-06-19 00:20:00+00:00,5.0
983,N1_ROLLING_SWEEP_FADE,LONG,2020-06-19 00:50:00+00:00,2020-06-19 00:40:00+00:00,10.0
992,N3_ANCHOR_REVERSION,SHORT,2020-06-23 00:00:00+00:00,2020-06-23 00:00:00+00:00,0.0
993,N4_MICRO_BREAKOUT,SHORT,2020-06-23 01:15:00+00:00,2020-06-23 00:15:00+00:00,60.0
996,N4_MICRO_BREAKOUT,LONG,2020-06-24 00:05:00+00:00,2020-06-24 00:05:00+00:00,0.0
997,N4_MICRO_BREAKOUT,LONG,2020-06-24 01:25:00+00:00,2020-06-24 00:45:00+00:00,40.0
1011,N3_ANCHOR_REVERSION,SHORT,2020-06-30 00:00:00+00:00,2020-06-30 00:00:00+00:00,0.0
1020,N4_MICRO_BREAKOUT,LONG,2020-07-02 01:25:00+00:00,2020-07-02 00:35:00+00:00,50.0
1023,N4_MICRO_BREAKOUT,SHORT,2020-07-03 00:05:00+00:00,2020-07-03 00:20:00+00:00,15.0
1024,N4_MICRO_BREAKOUT,LONG,2020-07-03 00:20:00+00:00,2020-07-03 00:35:00+00:00,15.0
1026,N4_MICRO_BREAKOUT,LONG,2020-07-03 01:15:00+00:00,2020-07-03 00:45:00+00:00,30.0
1031,N1_ROLLING_SWEEP_FADE,LONG,2020-07-07 00:05:00+00:00,2020-07-07 00:05:00+00:00,0.0
1039,N4_MICRO_BREAKOUT,LONG,2020-07-15 00:05:00+00:00,2020-07-15 00:05:00+00:00,0.0
1040,N1_ROLLING_SWEEP_FADE,SHORT,2020-07-15 00:15:00+00:00,2020-07-15 00:15:00+00:00,0.0
1052,N4_MICRO_BREAKOUT,LONG,2020-08-10 00:20:00+00:00,2020-08-10 00:15:00+00:00,5.0
1058,N4_MICRO_BREAKOUT,SHORT,2020-08-14 00:50:00+00:00,2020-08-14 00:20:00+00:00,30.0
1059,N4_MICRO_BREAKOUT,SHORT,2020-08-14 01:05:00+00:00,2020-08-14 00:15:00+00:00,50.0
1063,N1_ROLLING_SWEEP_FADE,LONG,2020-08-17 00:15:00+00:00,2020-08-17 00:10:00+00:00,5.0
1064,N1_ROLLING_SWEEP_FADE,LONG,2020-08-17 00:30:00+00:00,2020-08-17 00:25:00+00:00,5.0
1069,N1_ROLLING_SWEEP_FADE,SHORT,2020-08-19 00:00:00+00:00,2020-08-19 00:05:00+00:00,5.0
1070,N1_ROLLING_SWEEP_FADE,SHORT,2020-08-19 00:10:00+00:00,2020-08-19 00:10:00+00:00,0.0
1071,N1_ROLLING_SWEEP_FADE,LONG,2020-08-19 00:50:00+00:00,2020-08-19 00:40:00+00:00,10.0
1072,N3_ANCHOR_REVERSION,SHORT,2020-08-19 01:05:00+00:00,2020-08-19 00:15:00+00:00,50.0
1073,N1_ROLLING_SWEEP_FADE,LONG,2020-08-20 00:05:00+00:00,2020-08-20 00:15:00+00:00,10.0
1074,N3_ANCHOR_REVERSION,LONG,2020-08-20 00:30:00+00:00,2020-08-20 00:30:00+00:00,0.0
1085,N1_ROLLING_SWEEP_FADE,LONG,2020-08-24 00:10:00+00:00,2020-08-24 00:10:00+00:00,0.0
1089,N1_ROLLING_SWEEP_FADE,SHORT,2020-08-25 00:05:00+00:00,2020-08-25 00:00:00+00:00,5.0
1090,N1_ROLLING_SWEEP_FADE,LONG,2020-08-25 00:25:00+00:00,2020-08-25 00:25:00+00:00,0.0
1091,N4_MICRO_BREAKOUT,LONG,2020-08-25 00:45:00+00:00,2020-08-25 00:35:00+00:00,10.0
1095,N4_MICRO_BREAKOUT,LONG,2020-08-27 01:05:00+00:00,2020-08-27 00:45:00+00:00,20.0
1098,N4_MICRO_BREAKOUT,SHORT,2020-08-28 00:10:00+00:00,2020-08-28 00:00:00+00:00,10.0
1108,N4_MICRO_BREAKOUT,SHORT,2020-09-02 00:50:00+00:00,2020-09-02 00:15:00+00:00,35.0
1109,N4_MICRO_BREAKOUT,SHORT,2020-09-02 01:05:00+00:00,2020-09-02 00:10:00+00:00,55.0
1120,N4_MICRO_BREAKOUT,LONG,2020-09-11 00:20:00+00:00,2020-09-11 00:15:00+00:00,5.0
1121,N4_MICRO_BREAKOUT,LONG,2020-09-11 01:05:00+00:00,2020-09-11 00:10:00+00:00,55.0
1127,N4_MICRO_BREAKOUT,LONG,2020-09-15 00:05:00+00:00,2020-09-15 00:25:00+00:00,20.0
1128,N4_MICRO_BREAKOUT,SHORT,2020-09-15 00:25:00+00:00,2020-09-15 00:10:00+00:00,15.0
1133,N4_MICRO_BREAKOUT,LONG,2020-09-18 00:10:00+00:00,2020-09-18 00:05:00+00:00,5.0
1138,N4_MICRO_BREAKOUT,SHORT,2020-09-22 00:00:00+00:00,2020-09-22 00:15:00+00:00,15.0
1139,N4_MICRO_BREAKOUT,LONG,2020-09-22 00:15:00+00:00,2020-09-22 00:05:00+00:00,10.0
1140,N4_MICRO_BREAKOUT,SHORT,2020-09-22 00:35:00+00:00,2020-09-22 00:30:00+00:00,5.0
1142,N4_MICRO_BREAKOUT,SHORT,2020-09-23 00:05:00+00:00,2020-09-23 00:05:00+00:00,0.0
1144,N4_MICRO_BREAKOUT,SHORT,2020-09-23 00:50:00+00:00,2020-09-23 00:15:00+00:00,35.0
1146,N4_MICRO_BREAKOUT,LONG,2020-09-24 00:20:00+00:00,2020-09-24 00:20:00+00:00,0.0
1164,N4_MICRO_BREAKOUT,SHORT,2020-10-01 00:55:00+00:00,2020-10-01 00:25:00+00:00,30.0
1175,N4_MICRO_BREAKOUT,SHORT,2020-10-07 00:50:00+00:00,2020-10-07 00:30:00+00:00,20.0
1200,N4_MICRO_BREAKOUT,LONG,2020-10-15 01:10:00+00:00,2020-10-15 00:40:00+00:00,30.0
1209,N1_ROLLING_SWEEP_FADE,SHORT,2020-10-20 00:15:00+00:00,2020-10-20 00:15:00+00:00,0.0
1213,N4_MICRO_BREAKOUT,LONG,2020-10-21 00:20:00+00:00,2020-10-21 00:15:00+00:00,5.0
1217,N4_MICRO_BREAKOUT,SHORT,2020-10-22 00:05:00+00:00,2020-10-22 00:00:00+00:00,5.0
1218,N4_MICRO_BREAKOUT,SHORT,2020-10-22 00:15:00+00:00,2020-10-22 00:10:00+00:00,5.0
1236,N1_ROLLING_SWEEP_FADE,LONG,2020-10-29 00:05:00+00:00,2020-10-29 00:05:00+00:00,0.0
1237,N1_ROLLING_SWEEP_FADE,SHORT,2020-10-29 00:30:00+00:00,2020-10-29 00:25:00+00:00,5.0
1242,N4_MICRO_BREAKOUT,SHORT,2020-11-10 00:25:00+00:00,2020-11-10 00:20:00+00:00,5.0
1254,N4_MICRO_BREAKOUT,LONG,2020-11-25 00:10:00+00:00,2020-11-25 00:05:00+00:00,5.0
1256,N4_MICRO_BREAKOUT,LONG,2020-11-25 01:10:00+00:00,2020-11-25 00:50:00+00:00,20.0
1266,N3_ANCHOR_REVERSION,SHORT,2020-12-03 00:00:00+00:00,2020-12-03 00:00:00+00:00,0.0
1271,N4_MICRO_BREAKOUT,LONG,2020-12-04 00:45:00+00:00,2020-12-04 00:25:00+00:00,20.0
1276,N1_ROLLING_SWEEP_FADE,LONG,2020-12-07 00:05:00+00:00,2020-12-07 00:05:00+00:00,0.0
1280,N3_ANCHOR_REVERSION,LONG,2020-12-08 00:10:00+00:00,2020-12-08 00:05:00+00:00,5.0
1281,N1_ROLLING_SWEEP_FADE,LONG,2020-12-08 01:00:00+00:00,2020-12-08 01:00:00+00:00,0.0
1286,N4_MICRO_BREAKOUT,LONG,2020-12-10 00:05:00+00:00,2020-12-10 00:00:00+00:00,5.0
1287,N1_ROLLING_SWEEP_FADE,LONG,2020-12-10 01:30:00+00:00,2020-12-10 00:35:00+00:00,55.0
1290,N4_MICRO_BREAKOUT,LONG,2020-12-11 00:05:00+00:00,2020-12-11 00:25:00+00:00,20.0
1291,N1_ROLLING_SWEEP_FADE,LONG,2020-12-11 00:55:00+00:00,2020-12-11 00:40:00+00:00,15.0
