variant_id,scale_id,direction,regime_mode,box_bars,atr_percentile_max,box_average_to_median_max,minimum_signal_body_fraction,target_r,stop_atr_floor,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V65_H1_M15_beb3690fc4e1c3d7,H1_M15,LONG,STRICT,2,60.0,1.5,0.2,1.5,1.0,3304,2972,1157,False,408,0.5204081632653061,-104.15811270371455,0.5938831663285851,-0.25528949192086897,105.47053002492167,-111.23015725303222,0.2222222222222222,242,0.46449136276391556,-44.98203881789948,0.7029142740702224,-0.18587619346239453,55.87994517893435,-52.03172702142577,0.3333333333333333,171,0.6551724137931034,2.064825758436996,1.0231971745951292,0.012075004435304069,17.38963898746402,-5.104082260473653,0.5,0.5938831663285851,0.46449136276391556
V65_H1_M15_f3410c3085ff8a91,H1_M15,LONG,PARENT_ONLY,3,60.0,1.5,0.2,2.0,1.0,3107,2934,1087,False,382,0.4872448979591837,-96.2439146109208,0.5854316020354695,-0.2519474204474366,100.20815829844706,-105.81652405319363,0.2222222222222222,220,0.42226487523992323,-49.55937578032226,0.6405731291484583,-0.22526988991055574,55.27489724333554,-59.14083543725047,0.375,160,0.6130268199233716,-2.8751794687227132,0.9654623803279264,-0.01796987167951696,15.41833072168305,-12.504052667863503,0.5833333333333334,0.5854316020354695,0.42226487523992323
V65_H1_M15_594dd0056f7ec9e8,H1_M15,SHORT,PARENT_ONLY,3,80.0,1.25,0.2,2.0,1.0,2558,2426,980,False,295,0.3762755102040816,-81.4707272618353,0.5827020543421627,-0.27617195681978063,81.47072726183532,-91.07278790673655,0.19444444444444445,230,0.44145873320537427,-53.20665992162754,0.6305237731974497,-0.23133330400707627,57.67584014463079,-62.77147401665502,0.25,75,0.28735632183908044,-14.020071417888435,0.6732115331467801,-0.1869342855718458,17.610090928162062,-23.601431745962042,0.08333333333333333,0.5827020543421627,0.28735632183908044
V65_H4_H1_0ccd5001522e1061,H4_H1,SHORT,PARENT_ONLY,3,60.0,1.5,0.2,1.5,1.0,444,425,184,False,46,0.058673469387755105,3.896406864765329,1.223095656112362,0.08470449706011585,4.491374965935782,-3.231352361369161,0.2777777777777778,52,0.09980806142034548,-9.950234722664632,0.5825458026084384,-0.1913506677435506,11.227247011171691,-16.475924662294464,0.20833333333333334,5,0.019157088122605363,-0.10135707100847335,0.9527687383881326,-0.02027141420169467,2.1459742456467916,0.0,0.08333333333333333,0.5825458026084384,0.019157088122605363
V65_H4_H1_8ac6cdb981dab4d5,H4_H1,SHORT,STRICT,3,60.0,1.5,0.2,1.5,1.0,443,424,184,False,46,0.058673469387755105,3.896406864765329,1.223095656112362,0.08470449706011585,4.491374965935782,-3.231352361369161,0.2777777777777778,52,0.09980806142034548,-9.950234722664632,0.5825458026084384,-0.1913506677435506,11.227247011171691,-16.475924662294464,0.20833333333333334,5,0.019157088122605363,-0.10135707100847335,0.9527687383881326,-0.02027141420169467,2.1459742456467916,0.0,0.08333333333333333,0.5825458026084384,0.019157088122605363
V65_H1_M15_38e0336048f52eb6,H1_M15,LONG,STRICT,3,60.0,1.5,0.2,2.0,1.0,3093,2923,1082,False,382,0.4872448979591837,-97.99430106581522,0.579908929950948,-0.25652958394192465,101.95854475334147,-107.56691050808806,0.2222222222222222,219,0.42034548944337813,-49.12509094299877,0.6425970714286351,-0.22431548375798524,54.84061240601205,-58.706550599926985,0.375,160,0.6130268199233716,-2.84217119811367,0.9658453442003486,-0.017763569988210437,15.385322451074007,-12.471044397254461,0.5833333333333334,0.579908929950948,0.42034548944337813
V65_H1_M15_f25e563e675e1194,H1_M15,LONG,PARENT_ONLY,3,60.0,1.5,0.35,2.0,1.0,2739,2589,1054,False,369,0.47066326530612246,-93.60776419947884,0.5788085096488289,-0.2536795777763654,96.587538461206,-103.18037364175166,0.2222222222222222,217,0.4165067178502879,-46.49053523962095,0.6533313760250192,-0.21424209787843754,54.55577534621201,-56.071994896549164,0.375,153,0.5862068965517241,-4.479677124552326,0.9428661613812879,-0.029278935454590368,15.709551778991193,-14.108550323693116,0.5833333333333334,0.5788085096488289,0.4165067178502879
V65_H1_M15_046beafa79c0ead4,H1_M15,SHORT,PARENT_ONLY,3,80.0,1.5,0.2,2.0,1.0,2634,2501,997,False,297,0.3788265306122449,-83.02523098720496,0.5751284656051191,-0.2795462322801514,83.02523098720499,-92.61022969332024,0.19444444444444445,235,0.4510556621880998,-55.41195299107618,0.6218149416981883,-0.23579554464287736,59.88113321407943,-64.97676708610365,0.25,77,0.2950191570881226,-15.124814855185562,0.6563114854727186,-0.19642616695046183,18.71483436545919,-24.70617518325917,0.08333333333333333,0.5751284656051191,0.2950191570881226
V65_H1_M15_34fd621b58e0a774,H1_M15,LONG,PARENT_ONLY,3,60.0,1.25,0.2,2.0,1.0,3029,2862,1075,False,378,0.48214285714285715,-99.50501790522519,0.5742345510034532,-0.2632407881090613,103.46926159275144,-109.07762734749801,0.2222222222222222,218,0.418426103646833,-51.73215122729653,0.6268880585933843,-0.23730344599677305,57.447672690309794,-61.30574062568607,0.375,158,0.6053639846743295,-4.236806002478003,0.9491410912433491,-0.02681522786378483,16.369222293953182,-13.865679201618795,0.5833333333333334,0.5742345510034532,0.418426103646833
V65_H1_M15_0517ca58e41b5659,H1_M15,SHORT,STRICT,3,80.0,1.25,0.2,2.0,1.0,2531,2402,973,False,295,0.3762755102040816,-83.29094820036164,0.5733787736520412,-0.2823421972893615,83.2909482003617,-92.8930088452629,0.16666666666666666,228,0.43761996161228406,-53.63787591716948,0.6238013167394336,-0.23525384174197142,58.10705614017274,-63.20269001219695,0.25,74,0.2835249042145594,-12.946680534154368,0.6904870045383956,-0.1749551423534374,16.536700044427995,-22.52804086222797,0.08333333333333333,0.5733787736520412,0.2835249042145594
