report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2016-12-06,GOLD - COMMODITY EXCHANGE INC.,088691,393524,21781,105209,28749,100265,150856,68538,13357,76819,22757,45639,27075
2016-12-13,GOLD - COMMODITY EXCHANGE INC.,088691,397034,22199,103372,28815,97528,146150,77432,14367,83605,23012,46092,25517
2016-12-20,GOLD - COMMODITY EXCHANGE INC.,088691,398661,22130,101474,39604,94282,137588,83783,21490,81479,20450,47292,28104
2016-12-27,GOLD - COMMODITY EXCHANGE INC.,088691,401513,23547,97994,41038,87558,130595,87229,31876,75943,20966,49164,26540
2017-01-03,GOLD - COMMODITY EXCHANGE INC.,088691,424673,24768,97997,45237,89620,127786,91229,45322,81069,21076,47387,26325
2017-01-10,GOLD - COMMODITY EXCHANGE INC.,088691,444001,24588,96661,43277,97020,135563,79884,63303,78437,24634,44077,27743
2017-01-17,GOLD - COMMODITY EXCHANGE INC.,088691,467937,23844,99443,55461,102973,141566,82931,78180,76578,28172,43995,27925
2017-01-24,GOLD - COMMODITY EXCHANGE INC.,088691,482374,23117,108482,58497,99506,135159,75405,92830,74695,25042,43722,26755
2017-01-31,GOLD - COMMODITY EXCHANGE INC.,088691,398433,20746,110568,58393,100374,140663,70826,27032,71751,22433,39227,26579
2017-02-07,GOLD - COMMODITY EXCHANGE INC.,088691,415543,22551,115774,62157,103080,142542,72393,34189,73866,26866,41364,24367
2017-02-14,GOLD - COMMODITY EXCHANGE INC.,088691,415128,20992,113422,63220,98578,135739,72114,36321,76520,30393,39763,21727
2017-02-21,GOLD - COMMODITY EXCHANGE INC.,088691,427168,20557,116326,61324,105119,142639,64597,40857,77034,31313,40344,24543
2017-02-28,GOLD - COMMODITY EXCHANGE INC.,088691,446081,19559,126908,56402,128960,166437,52191,34855,81057,31505,43997,27888
2017-03-07,GOLD - COMMODITY EXCHANGE INC.,088691,434401,20164,118027,57578,112363,150277,60030,40987,79692,36254,43791,24828
2017-03-14,GOLD - COMMODITY EXCHANGE INC.,088691,426170,20937,109327,56881,91778,121179,74805,50954,89136,29472,44232,26983
2017-03-21,GOLD - COMMODITY EXCHANGE INC.,088691,446880,18872,117388,57057,87538,130259,74064,63513,89460,29403,43297,30552
2017-03-28,GOLD - COMMODITY EXCHANGE INC.,088691,449418,17857,131503,59196,97664,150879,59836,58342,76960,30183,42014,27720
2017-04-04,GOLD - COMMODITY EXCHANGE INC.,088691,427808,16834,139711,58279,106418,163428,54302,34850,75633,29323,43589,28009
2017-04-11,GOLD - COMMODITY EXCHANGE INC.,088691,456131,17653,153297,58431,110151,179841,46830,39146,73163,33508,47518,32820
2017-04-18,GOLD - COMMODITY EXCHANGE INC.,088691,472263,17577,167357,56226,117510,199001,47765,30699,80310,35778,46822,31526
2017-04-25,GOLD - COMMODITY EXCHANGE INC.,088691,475985,17618,169292,57558,120464,207394,47014,24853,80074,39777,44669,30766
2017-05-02,GOLD - COMMODITY EXCHANGE INC.,088691,461905,17427,170723,59280,109970,195331,51720,25171,80701,34678,44782,30430
2017-05-09,GOLD - COMMODITY EXCHANGE INC.,088691,433033,17259,155245,59970,86406,151419,55457,24064,84696,30652,45099,30683
2017-05-16,GOLD - COMMODITY EXCHANGE INC.,088691,435021,20336,148925,63431,77701,132094,66226,32036,89438,28582,45111,28976
2017-05-23,GOLD - COMMODITY EXCHANGE INC.,088691,462572,19274,166109,57061,84517,161893,50845,38548,79859,31140,45278,30754
2017-05-30,GOLD - COMMODITY EXCHANGE INC.,088691,434246,21570,177812,60524,87501,175304,51171,19242,75238,32281,44404,28275
2017-06-06,GOLD - COMMODITY EXCHANGE INC.,088691,494041,18528,192484,68622,111020,229476,63427,14533,82764,44348,44028,32139
2017-06-13,GOLD - COMMODITY EXCHANGE INC.,088691,471134,16856,183073,67130,104524,214955,67459,14420,82223,39445,40186,26849
