timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2023.10.02 08:00:00	2023.10.02 08:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1839.80	1839.84	4	1839.81	0.00	0.00	4007.00	0.0010	0		0	0	0.00	direction_mode_block	
2023.10.02 20:00:00	2023.10.02 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1829.35	1829.46	11	1829.38	0.00	0.00	5050.00	0.0022	0		0	0	0.00	direction_mode_block	
2023.10.09 20:00:00	2023.10.09 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1863.28	1863.37	9	1863.30	0.00	0.00	5283.00	0.0017	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.11 08:00:00	2023.10.11 08:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1867.96	1868.00	4	1867.99	0.00	0.00	2376.00	0.0017	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.11 12:00:00	2023.10.11 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1870.99	1871.03	4	1871.00	0.00	0.00	2677.00	0.0015	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.12 04:00:00	2023.10.12 04:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1877.72	1877.80	8	1877.72	0.00	0.00	3349.00	0.0024	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.12 12:00:00	2023.10.12 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1883.58	1883.62	4	1883.56	0.00	0.00	3933.00	0.0010	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 12:00:00	2023.10.13 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1896.52	1896.56	4	1896.52	0.00	0.00	4352.00	0.0009	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 16:00:00	2023.10.13 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1923.04	1923.09	5	1922.99	0.00	0.00	6999.00	0.0007	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.10.13 20:00:00	2023.10.13 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1928.39	1928.47	8	1928.39	0.00	0.00	7539.00	0.0011	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_shock	
2023.11.06 20:00:00	2023.11.06 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1977.56	1977.65	9	1977.55	0.00	0.00	2656.00	0.0034	0		0	0	0.00	direction_mode_block	
2023.11.07 04:00:00	2023.11.07 04:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1971.43	1971.51	8	1971.41	0.00	0.00	3270.00	0.0024	0		0	0	0.00	direction_mode_block	
2023.11.07 08:00:00	2023.11.07 08:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1966.72	1966.78	6	1966.73	0.00	0.00	3738.00	0.0016	0		0	0	0.00	direction_mode_block	
2023.11.07 12:00:00	2023.11.07 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1958.81	1958.87	6	1958.82	0.00	0.00	4529.00	0.0013	0		0	0	0.00	direction_mode_block	
2023.11.08 16:00:00	2023.11.08 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1954.86	1954.93	7	1954.87	0.00	0.00	3829.00	0.0018	0		0	0	0.00	direction_mode_block	
